#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1575.712	1356.746	Svensson_Links
1597.2	1370.02	Svensson_Links
1640.88	1396.43	Svensson_Links
1653.88	1404.23	Svensson_Links
1663.79	1410.3	Svensson_Links
1669.73	1413.86	Svensson_Links
1678.25	1418.955	Svensson_Links
1692.25	1429.08	Svensson_Links
1694.24	1430.56	Svensson_Links
1708.64	1441.43	Svensson_Links
1713.915	1445.007	Svensson_Links
1715.71	1446.08	Svensson_Links
1717.28	1447.056	Svensson_Links
1718.666	1447.92	Svensson_Links
1725.74	1452.02	Svensson_Links
1744.25	1462.3690000000001	Svensson_Links
1753.92	1467.49	Svensson_Links
1787.32	1484.035	Svensson_Links
1798.17	1489.4660000000001	Svensson_Links
1799.765	1490.348	Svensson_Links
1805.39	1493.3020000000001	Svensson_Links
1812.8	1497.556	Svensson_Links
1835.425	1510.686	Svensson_Links
1861.91	1525.84	Svensson_Links
1867.435	1528.84	Svensson_Links
1874.615	1532.52	Svensson_Links
1879.445	1535.29	Svensson_Links
1887.525	1539.73	Svensson_Links
1904.72	1550.3	Svensson_Links
1922.77	1561.195	Svensson_Links
1963.65	1585.4	Svensson_Links
2006.76	1610.41	Svensson_Links
2022.74	1619.62	Svensson_Links
2030.73	1624.3	Svensson_Links
2057.05	1641.23	Svensson_Links
2059.5	1642.78	Svensson_Links
2066.17	1647.55	Svensson_Links
2092.92	1665.98	Svensson_Links
2109.92	1678.65	Svensson_Links
2117.06	1683.32	Svensson_Links
2125.72	1688.83	Svensson_Links
2160.05	1712.05	Svensson_Links
2169.35	1717.88	Svensson_Links
2179.13	1724.05	Svensson_Links
2185.45	1728.47	Svensson_Links
2188.78	1730.51	Svensson_Links
2202.73	1740.05	Svensson_Links
2206.65	1742.65	Svensson_Links
2217.63	1749.58	Svensson_Links
2224.844	1754.19	Svensson_Links
2229.705	1757.3	Svensson_Links
2232.367	1759.0	Svensson_Links
2234.17	1760.4	Svensson_Links
2239.51	1764.63	Svensson_Links
2242.06	1766.64	Svensson_Links
2247.62	1771.08	Svensson_Links
2252.11	1774.76	Svensson_Links
2256.34	1777.73	Svensson_Links
2269.62	1786.92	Svensson_Links
2274.583	1790.006	Svensson_Links
2283.78	1796.74	Svensson_Links
2285.24	1797.81	Svensson_Links
2291.12	1801.8	Svensson_Links
2299.22	1807.0	Svensson_Links
2303.13	1809.58	Svensson_Links
2307.46	1812.9	Svensson_Links
2315.01	1818.48	Svensson_Links
2317.11	1819.87	Svensson_Links
2318.21	1820.59	Svensson_Links
2320.35	1821.96	Svensson_Links
2320.62	1822.12	Svensson_Links
2324.65	1824.74	Svensson_Links
2332.678	1829.657	Svensson_Links
2339.05	1833.48	Svensson_Links
2341.167	1834.824	Svensson_Links
2343.475	1836.231	Svensson_Links
2355.18	1843.675	Svensson_Links
2362.96	1849.1	Svensson_Links
2382.3	1863.15	Svensson_Links
2386.05	1865.65	Svensson_Links
2401.8	1876.39	Svensson_Links
2411.08	1882.7	Svensson_Links
2421.67	1889.52	Svensson_Links
2425.618	1891.996	Svensson_Links
2449.2	1908.0	Svensson_Links
2454.18	1911.415	Svensson_Links
2462.903	1918.79	Svensson_Links
2464.255	1919.82	Svensson_Links
2473.9	1927.3	Svensson_Links
2482.037	1933.35	Svensson_Links
2489.829	1938.82	Svensson_Links
2493.25	1941.25	Svensson_Links
2507.702	1952.0	Svensson_Links
2522.96	1965.61	Svensson_Links
2526.51	1969.0	Svensson_Links
2532.45	1974.18	Svensson_Links
2545.84	1984.52	Svensson_Links
2549.7	1987.28	Svensson_Links
2557.1	1992.32	Svensson_Links
2578.57	2006.134	Svensson_Links
2591.095	2015.15	Svensson_Links
2591.64	2015.44	Svensson_Links
2593.868	2016.979	Svensson_Links
2602.63	2022.73	Svensson_Links
2607.9	2026.18	Svensson_Links
2621.88	2037.425	Svensson_Links
2632.4	2046.0	Svensson_Links
2636.28	2049.4	Svensson_Links
2644.83	2057.0	Svensson_Links
2651.9	2063.43	Svensson_Links
2658.324	2069.7	Svensson_Links
2660.27	2071.54	Svensson_Links
2662.279	2073.3	Svensson_Links
2673.537	2084.04	Svensson_Links
2678.7	2088.2	Svensson_Links
2698.934	2118.662	Svensson_Links
2708.23	2134.9	Svensson_Links
2728.1	2163.48	Svensson_Links
2741.53	2179.96	Svensson_Links
