#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1575.712	1399.381	Svensson_Links
1597.2	1419.08	Svensson_Links
1640.88	1458.68	Svensson_Links
1653.88	1470.64	Svensson_Links
1663.79	1479.711	Svensson_Links
1669.73	1485.084	Svensson_Links
1678.25	1492.65	Svensson_Links
1679.75	1494.0	Svensson_Links
1692.25	1506.13	Svensson_Links
1694.24	1508.049	Svensson_Links
1708.64	1522.22	Svensson_Links
1713.915	1527.32	Svensson_Links
1715.71	1529.03	Svensson_Links
1717.28	1530.4940000000001	Svensson_Links
1718.666	1531.81	Svensson_Links
1725.74	1538.352	Svensson_Links
1744.25	1555.516	Svensson_Links
1753.92	1564.5	Svensson_Links
1787.32	1595.04	Svensson_Links
1798.17	1605.0040000000001	Svensson_Links
1799.765	1606.517	Svensson_Links
1805.39	1611.97	Svensson_Links
1812.8	1619.54	Svensson_Links
1818.88	1625.57	Svensson_Links
1821.266	1627.96	Svensson_Links
1821.52	1628.21	Svensson_Links
1835.425	1642.661	Svensson_Links
1838.6	1645.86	Svensson_Links
1858.715	1664.9	Svensson_Links
1861.91	1667.92	Svensson_Links
1865.295	1671.35	Svensson_Links
1867.435	1673.21	Svensson_Links
1868.255	1674.03	Svensson_Links
1869.7250000000001	1675.23	Svensson_Links
1872.38	1677.76	Svensson_Links
1874.615	1679.65	Svensson_Links
1879.445	1684.3	Svensson_Links
1883.93	1688.69	Svensson_Links
1887.525	1692.28	Svensson_Links
1904.72	1710.06	Svensson_Links
1915.734	1721.322	Svensson_Links
1922.77	1728.59	Svensson_Links
1963.65	1770.805	Svensson_Links
1997.75	1805.58	Svensson_Links
2006.76	1814.919	Svensson_Links
2022.74	1831.59	Svensson_Links
2030.73	1840.25	Svensson_Links
2033.89	1843.683	Svensson_Links
2050.57	1862.58	Svensson_Links
2057.05	1869.52	Svensson_Links
2059.5	1872.22	Svensson_Links
2066.17	1880.0	Svensson_Links
2086.38	1902.87	Svensson_Links
2092.92	1910.98	Svensson_Links
2109.92	1931.08	Svensson_Links
2112.92	1934.6599999999999	Svensson_Links
2117.06	1939.54	Svensson_Links
2125.72	1949.6	Svensson_Links
2137.48	1963.76	Svensson_Links
2160.05	1989.9	Svensson_Links
2162.47	1992.63	Svensson_Links
2169.35	2000.22	Svensson_Links
2179.13	2010.98	Svensson_Links
2183.74	2016.41	Svensson_Links
2185.45	2018.48	Svensson_Links
2188.78	2022.25	Svensson_Links
2202.73	2038.06	Svensson_Links
2206.65	2042.284	Svensson_Links
2217.63	2054.15	Svensson_Links
2224.844	2061.99	Svensson_Links
2229.705	2067.37	Svensson_Links
2232.367	2070.24	Svensson_Links
2234.17	2072.476	Svensson_Links
2239.51	2079.0	Svensson_Links
2242.06	2082.16	Svensson_Links
2247.62	2089.08	Svensson_Links
2252.11	2094.881	Svensson_Links
2256.34	2100.03	Svensson_Links
2269.62	2116.181	Svensson_Links
2274.583	2121.857	Svensson_Links
2283.78	2133.26	Svensson_Links
2285.24	2135.12	Svensson_Links
2291.12	2142.37	Svensson_Links
2299.22	2151.8	Svensson_Links
2303.13	2156.53	Svensson_Links
2305.7	2159.8	Svensson_Links
2307.46	2161.98	Svensson_Links
2315.01	2171.42	Svensson_Links
2317.11	2173.9	Svensson_Links
2318.21	2175.16	Svensson_Links
2320.35	2177.7	Svensson_Links
2320.62	2177.99	Svensson_Links
2324.65	2182.77	Svensson_Links
2332.678	2191.98	Svensson_Links
2339.05	2199.2	Svensson_Links
2341.167	2201.554	Svensson_Links
2343.475	2204.139	Svensson_Links
2355.18	2217.638	Svensson_Links
2362.96	2227.22	Svensson_Links
2382.3	2252.88	Svensson_Links
2386.05	2257.55	Svensson_Links
2396.69	2271.13	Svensson_Links
2401.8	2277.65	Svensson_Links
2411.08	2289.42	Svensson_Links
2421.67	2302.75	Svensson_Links
2425.618	2307.609	Svensson_Links
2449.2	2337.93	Svensson_Links
2454.18	2344.6	Svensson_Links
2454.467	2344.98	Svensson_Links
2462.903	2357.412	Svensson_Links
2464.255	2359.45	Svensson_Links
2469.69	2367.03	Svensson_Links
2473.9	2373.41	Svensson_Links
2480.283	2382.65	Svensson_Links
2482.037	2385.24	Svensson_Links
2485.052	2389.487	Svensson_Links
2489.829	2395.84	Svensson_Links
2493.25	2400.69	Svensson_Links
2507.702	2421.724	Svensson_Links
2522.96	2445.9	Svensson_Links
2526.51	2451.86	Svensson_Links
2532.45	2461.16	Svensson_Links
2544.03	2478.76	Svensson_Links
2545.84	2481.763	Svensson_Links
2549.7	2487.42	Svensson_Links
2557.1	2498.29	Svensson_Links
2564.501	2509.193	Svensson_Links
2566.1	2511.332	Svensson_Links
2576.369	2525.16	Svensson_Links
2578.57	2528.014	Svensson_Links
2591.095	2547.221	Svensson_Links
2591.64	2548.01	Svensson_Links
2593.03	2550.058	Svensson_Links
2593.868	2551.446	Svensson_Links
2602.63	2564.7	Svensson_Links
2607.9	2572.63	Svensson_Links
2621.88	2595.62	Svensson_Links
2632.4	2612.55	Svensson_Links
2636.28	2619.18	Svensson_Links
2640.711	2626.65	Svensson_Links
2644.83	2633.45	Svensson_Links
2647.67	2638.4	Svensson_Links
2651.9	2645.8	Svensson_Links
2658.324	2656.952	Svensson_Links
2660.27	2660.251	Svensson_Links
2662.279	2663.843	Svensson_Links
2673.537	2683.214	Svensson_Links
2678.7	2691.24	Svensson_Links
2698.934	2733.48	Svensson_Links
2708.23	2756.92	Svensson_Links
2717.206	2775.1	Svensson_Links
2728.1	2811.08	Svensson_Links
2738.6	2852.02	Svensson_Links
2741.53	2863.2	Svensson_Links
2756.88	2905.02	Svensson_Links
