#Includes GICC21 tie points
depth1	depth2	reference
13.003	19.839	GICC21
17.342	23.419	GICC21
26.359	31.277	GICC21
30.646	35.368	GICC21
36.097	40.108	GICC21
37.898	41.844	GICC21
38.927	42.794	GICC21
53.107	56.239	GICC21
54.399	57.362	GICC21
57.067	59.804	GICC21
58.685	61.163	GICC21
61.048	63.383	GICC21
61.855	64.346	GICC21
62.981	65.441	GICC21
64.752	67.109	GICC21
64.988	67.308	GICC21
65.804	68.058	GICC21
67.4	69.693	GICC21
70.407	72.424	GICC21
72.653	74.9	GICC21
74.3	76.4	GICC21
80.314	81.783	GICC21
83.614	84.747	GICC21
87.591	88.381	GICC21
92.141	92.583	GICC21
95.916	96.25	GICC21
100.978	100.886	GICC21
102.196	101.991	GICC21
103.144	102.966	GICC21
103.356	103.154	GICC21
106.1	105.85	GICC21
107.069	106.764	GICC21
109.132	108.831	GICC21
110.928	110.658	GICC21
112.673	112.453	GICC21
114.835	114.465	GICC21
118.886	118.297	GICC21
124.727	123.966	GICC21
125.6	124.798	GICC21
131.206	130.082	GICC21
134.31	132.966	GICC21
139.391	137.355	GICC21
143.16	140.923	GICC21
144.614	142.589	GICC21
144.776	142.781	GICC21
149.3	147.175	GICC21
153.8	151.398	GICC21
158.0	155.073	GICC21
160.7	157.503	GICC21
163.757	160.495	GICC21
165.061	161.864	GICC21
167.686	164.3	GICC21
168.151	164.703	GICC21
168.872	165.339	GICC21
169.528	166.032	GICC21
169.745	166.25	GICC21
171.665	168.019	GICC21
176.97	172.593	GICC21
181.014	176.632	GICC21
181.404	177.029	GICC21
181.863	177.556	GICC21
182.684	178.5	GICC21
183.477	179.315	GICC21
187.381	182.946	GICC21
189.386	184.907	GICC21
191.346	186.829	GICC21
193.3	188.885	GICC21
197.3	192.965	GICC21
197.6	193.166	GICC21
203.705	199.122	GICC21
205.972	201.179	GICC21
209.317	204.21	GICC21
215.003	209.652	GICC21
215.453	210.102	GICC21
215.618	210.353	GICC21
219.584	214.021	GICC21
220.428	214.88	GICC21
224.544	219.182	GICC21
226.54	220.952	GICC21
234.153	228.0	GICC21
236.2	230.127	GICC21
236.631	230.43	GICC21
238.201	231.65	GICC21
238.424	231.82	GICC21
240.607	233.898	GICC21
243.095	236.409	GICC21
244.3	237.7	GICC21
245.395	238.646	GICC21
247.2	240.3	GICC21
247.45	240.45	GICC21
247.677	240.7	GICC21
251.558	244.223	GICC21
252.47	245.004	GICC21
253.195	245.643	GICC21
254.761	247.003	GICC21
256.2	248.3	GICC21
258.55	250.512	GICC21
260.493	252.308	GICC21
263.8	255.536	GICC21
264.0	255.635	GICC21
264.691	256.405	GICC21
269.491	260.956	GICC21
271.761	263.261	GICC21
272.4	263.889	GICC21
280.838	271.553	GICC21
285.4	275.849	GICC21
288.256	278.6	GICC21
290.683	280.858	GICC21
293.118	283.099	GICC21
295.639	285.507	GICC21
296.994	286.715	GICC21
297.55	287.278	GICC21
303.8	293.0	GICC21
309.7	298.77	GICC21
312.65	301.6	GICC21
318.861	307.562	GICC21
319.878	308.488	GICC21
320.9	309.449	GICC21
330.415	318.4	GICC21
331.887	319.77	GICC21
333.916	321.6	GICC21
335.449	323.049	GICC21
335.72	323.231	GICC21
337.617	324.95	GICC21
339.8	326.784	GICC21
342.655	329.368	GICC21
353.8	339.6	GICC21
354.451	340.25	GICC21
356.867	342.514	GICC21
360.803	346.194	GICC21
362.057	347.255	GICC21
362.265	347.5	GICC21
365.493	350.413	GICC21
369.3	353.865	GICC21
371.955	356.401	GICC21
373.945	358.36	GICC21
374.469	358.931	GICC21
384.097	367.826	GICC21
388.054	371.518	GICC21
388.822	372.4	GICC21
389.65	373.286	GICC21
394.166	377.1	GICC21
394.3	377.322	GICC21
397.603	380.171	GICC21
401.101	383.4	GICC21
404.85	386.973	GICC21
408.521	390.329	GICC21
413.372	394.7	GICC21
415.0	396.245	GICC21
415.2	396.399	GICC21
420.366	401.389	GICC21
427.328	408.505	GICC21
429.12	410.2	GICC21
432.498	413.434	GICC21
437.478	418.192	GICC21
439.988	420.269	GICC21
442.165	422.167	GICC21
452.311	431.243	GICC21
453.674	432.35	GICC21
455.433	433.85	GICC21
455.838	434.271	GICC21
464.496	442.287	GICC21
469.393	446.931	GICC21
472.229	449.567	GICC21
474.3	451.296	GICC21
476.993	453.664	GICC21
479.365	455.858	GICC21
484.195	460.429	GICC21
488.013	464.037	GICC21
493.063	468.821	GICC21
495.187	470.78	GICC21
498.43	473.917	GICC21
507.068	482.21	GICC21
507.65	482.805	GICC21
509.797	485.122	GICC21
513.471	488.608	GICC21
517.78	492.466	GICC21
520.8	495.1	GICC21
521.4	495.885	GICC21
524.4	498.8	GICC21
525.155	499.527	GICC21
525.446	499.8	GICC21
526.8	501.045	GICC21
528.3	502.388	GICC21
534.143	508.093	GICC21
538.909	512.738	GICC21
540.017	513.673	GICC21
542.415	515.903	GICC21
547.05	520.2	GICC21
548.136	521.062	GICC21
549.339	522.259	GICC21
551.87	524.706	GICC21
551.98	524.924	GICC21
552.336	525.2	GICC21
553.461	526.103	GICC21
558.065	530.411	GICC21
559.163	531.351	GICC21
559.8	531.936	GICC21
562.659	534.853	GICC21
563.687	535.976	GICC21
563.857	536.1	GICC21
564.024	536.309	GICC21
564.631	536.8	GICC21
564.8	536.947	GICC21
566.801	538.647	GICC21
567.165	538.945	GICC21
569.37	541.0	GICC21
572.3	543.644	GICC21
575.514	546.652	GICC21
576.897	547.918	GICC21
586.204	556.557	GICC21
587.095	557.558	GICC21
590.956	561.157	GICC21
594.4	564.383	GICC21
595.1	564.933	GICC21
599.644	569.298	GICC21
600.005	569.639	GICC21
600.902	570.341	GICC21
610.017	578.941	GICC21
613.552	582.142	GICC21
614.106	582.629	GICC21
615.562	583.947	GICC21
617.527	585.811	GICC21
619.715	587.815	GICC21
621.388	589.554	GICC21
621.954	590.078	GICC21
628.838	596.462	GICC21
630.215	597.834	GICC21
637.003	604.195	GICC21
641.713	608.757	GICC21
643.27	610.149	GICC21
647.748	614.4	GICC21
649.093	615.529	GICC21
650.224	616.565	GICC21
651.475	617.72	GICC21
657.364	623.369	GICC21
659.364	624.99	GICC21
660.357	626.0	GICC21
660.999	626.463	GICC21
661.847	627.278	GICC21
662.354	627.717	GICC21
662.93	628.283	GICC21
666.545	631.6	GICC21
668.586	633.377	GICC21
668.865	633.65	GICC21
670.876	635.7	GICC21
671.05	635.862	GICC21
671.341	636.08	GICC21
672.559	637.1	GICC21
675.427	639.606	GICC21
679.06	642.971	GICC21
680.862	644.58	GICC21
684.75	648.202	GICC21
686.322	649.586	GICC21
686.55	649.83	GICC21
687.6	650.734	GICC21
688.1	651.2	GICC21
688.372	651.571	GICC21
691.964	654.961	GICC21
694.466	657.2	GICC21
696.666	659.335	GICC21
699.655	662.1	GICC21
701.889	664.072	GICC21
702.629	664.75	GICC21
706.328	668.302	GICC21
708.556	670.486	GICC21
709.681	671.57	GICC21
710.602	672.262	GICC21
711.737	673.509	GICC21
717.804	679.093	GICC21
720.354	681.456	GICC21
721.847	682.758	GICC21
722.472	683.388	GICC21
722.932	683.816	GICC21
725.604	686.234	GICC21
728.689	689.07	GICC21
729.523	689.829	GICC21
730.054	690.426	GICC21
736.527	696.149	GICC21
737.28	696.785	GICC21
739.728	699.419	GICC21
740.531	700.216	GICC21
741.016	700.616	GICC21
743.424	702.921	GICC21
745.06	704.412	GICC21
751.995	710.648	GICC21
752.836	711.332	GICC21
758.26	716.443	GICC21
764.078	722.02	GICC21
768.423	725.792	GICC21
