#Includes Seierstad 2014 and Rasmussen 2014 tie points (same file)
depth1	depth2	reference
1460.029	1347.301	Seierstad2014_Rasmussen2014
1460.314	1347.572	Seierstad2014_Rasmussen2014
1460.771	1347.982	Seierstad2014_Rasmussen2014
1461.446	1348.622	Seierstad2014_Rasmussen2014
1461.741	1348.91	Seierstad2014_Rasmussen2014
1465.38	1352.313	Seierstad2014_Rasmussen2014
1467.339	1354.108	Seierstad2014_Rasmussen2014
1467.713	1354.471	Seierstad2014_Rasmussen2014
1469.113	1355.647	Seierstad2014_Rasmussen2014
1469.637	1356.152	Seierstad2014_Rasmussen2014
1470.514	1356.942	Seierstad2014_Rasmussen2014
1474.384	1360.44	Seierstad2014_Rasmussen2014
1474.803	1360.809	Seierstad2014_Rasmussen2014
1476.004	1361.85	Seierstad2014_Rasmussen2014
1476.512	1362.292	Seierstad2014_Rasmussen2014
1477.551	1363.283	Seierstad2014_Rasmussen2014
1480.062	1365.587	Seierstad2014_Rasmussen2014
1480.723	1366.183	Seierstad2014_Rasmussen2014
1483.665	1368.942	Seierstad2014_Rasmussen2014
1484.822	1369.947	Seierstad2014_Rasmussen2014
1486.612	1371.582	Seierstad2014_Rasmussen2014
1488.498	1373.277	Seierstad2014_Rasmussen2014
1489.309	1374.067	Seierstad2014_Rasmussen2014
1489.677	1374.411	Seierstad2014_Rasmussen2014
1491.386	1375.911	Seierstad2014_Rasmussen2014
1492.823	1377.255	Seierstad2014_Rasmussen2014
1494.453	1378.674	Seierstad2014_Rasmussen2014
1496.02	1380.094	Seierstad2014_Rasmussen2014
1496.46	1380.564	Seierstad2014_Rasmussen2014
1497.089	1381.106	Seierstad2014_Rasmussen2014
1497.875	1381.892	Seierstad2014_Rasmussen2014
1498.562	1382.516	Seierstad2014_Rasmussen2014
1499.965	1383.761	Seierstad2014_Rasmussen2014
1500.755	1384.466	Seierstad2014_Rasmussen2014
1502.978	1386.425	Seierstad2014_Rasmussen2014
1503.227	1386.683	Seierstad2014_Rasmussen2014
1503.322	1386.748	Seierstad2014_Rasmussen2014
1505.063	1388.287	Seierstad2014_Rasmussen2014
1505.682	1388.887	Seierstad2014_Rasmussen2014
1506.19	1389.313	Seierstad2014_Rasmussen2014
1506.759	1389.81	Seierstad2014_Rasmussen2014
1507.353	1390.366	Seierstad2014_Rasmussen2014
1508.402	1391.359	Seierstad2014_Rasmussen2014
1509.238	1392.143	Seierstad2014_Rasmussen2014
1510.343	1393.092	Seierstad2014_Rasmussen2014
1510.77	1393.478	Seierstad2014_Rasmussen2014
1512.179	1394.674	Seierstad2014_Rasmussen2014
1514.736	1397.144	Seierstad2014_Rasmussen2014
1515.417	1397.728	Seierstad2014_Rasmussen2014
1516.076	1398.341	Seierstad2014_Rasmussen2014
1516.792	1398.991	Seierstad2014_Rasmussen2014
1517.287	1399.381	Seierstad2014_Rasmussen2014
1519.377	1401.406	Seierstad2014_Rasmussen2014
1519.717	1401.735	Seierstad2014_Rasmussen2014
1521.072	1402.992	Seierstad2014_Rasmussen2014
1522.093	1403.983	Seierstad2014_Rasmussen2014
1525.311	1406.929	Seierstad2014_Rasmussen2014
1528.585	1409.82	Seierstad2014_Rasmussen2014
1529.472	1410.627	Seierstad2014_Rasmussen2014
1531.273	1412.266	Seierstad2014_Rasmussen2014
1532.805	1413.64	Seierstad2014_Rasmussen2014
1534.333	1414.993	Seierstad2014_Rasmussen2014
1535.577	1416.066	Seierstad2014_Rasmussen2014
1536.464	1416.837	Seierstad2014_Rasmussen2014
1537.873	1418.076	Seierstad2014_Rasmussen2014
1539.055	1419.082	Seierstad2014_Rasmussen2014
1541.405	1421.185	Seierstad2014_Rasmussen2014
1544.169	1423.593	Seierstad2014_Rasmussen2014
1544.888	1424.195	Seierstad2014_Rasmussen2014
1546.086	1425.268	Seierstad2014_Rasmussen2014
1547.066	1426.16	Seierstad2014_Rasmussen2014
1548.124	1427.027	Seierstad2014_Rasmussen2014
1549.089	1427.862	Seierstad2014_Rasmussen2014
1549.828	1428.496	Seierstad2014_Rasmussen2014
1553.043	1431.246	Seierstad2014_Rasmussen2014
1556.84	1434.5	Seierstad2014_Rasmussen2014
1565.482	1441.926	Seierstad2014_Rasmussen2014
1568.322	1444.479	Seierstad2014_Rasmussen2014
1569.01	1445.091	Seierstad2014_Rasmussen2014
1570.574	1446.405	Seierstad2014_Rasmussen2014
1571.599	1447.28	Seierstad2014_Rasmussen2014
1572.716	1448.17	Seierstad2014_Rasmussen2014
1575.657	1450.593	Seierstad2014_Rasmussen2014
1575.845	1450.749	Seierstad2014_Rasmussen2014
1581.884	1455.97	Seierstad2014_Rasmussen2014
1582.771	1456.768	Seierstad2014_Rasmussen2014
1583.863	1457.7	Seierstad2014_Rasmussen2014
1585.109	1458.709	Seierstad2014_Rasmussen2014
1588.857	1461.967	Seierstad2014_Rasmussen2014
1591.454	1464.205	Seierstad2014_Rasmussen2014
1592.965	1465.562	Seierstad2014_Rasmussen2014
1593.195	1465.768	Seierstad2014_Rasmussen2014
1593.606	1466.13	Seierstad2014_Rasmussen2014
1596.267	1468.415	Seierstad2014_Rasmussen2014
1597.178	1469.15	Seierstad2014_Rasmussen2014
1598.9	1470.627	Seierstad2014_Rasmussen2014
1599.467	1471.126	Seierstad2014_Rasmussen2014
1600.751	1472.231	Seierstad2014_Rasmussen2014
1601.213	1472.639	Seierstad2014_Rasmussen2014
1603.025	1474.171	Seierstad2014_Rasmussen2014
1604.748	1475.59	Seierstad2014_Rasmussen2014
1605.694	1476.458	Seierstad2014_Rasmussen2014
1607.202	1477.841	Seierstad2014_Rasmussen2014
1607.38	1477.998	Seierstad2014_Rasmussen2014
1609.156	1479.487	Seierstad2014_Rasmussen2014
1609.4	1479.72	Seierstad2014_Rasmussen2014
1609.565	1479.873	Seierstad2014_Rasmussen2014
1610.739	1480.91	Seierstad2014_Rasmussen2014
1611.405	1481.502	Seierstad2014_Rasmussen2014
1611.736	1481.764	Seierstad2014_Rasmussen2014
1612.372	1482.282	Seierstad2014_Rasmussen2014
1613.454	1483.132	Seierstad2014_Rasmussen2014
1614.064	1483.722	Seierstad2014_Rasmussen2014
1614.686	1484.243	Seierstad2014_Rasmussen2014
1615.618	1485.087	Seierstad2014_Rasmussen2014
1615.825	1485.262	Seierstad2014_Rasmussen2014
1616.125	1485.496	Seierstad2014_Rasmussen2014
1616.486	1485.813	Seierstad2014_Rasmussen2014
1616.821	1486.093	Seierstad2014_Rasmussen2014
1616.973	1486.196	Seierstad2014_Rasmussen2014
1617.201	1486.374	Seierstad2014_Rasmussen2014
1617.481	1486.619	Seierstad2014_Rasmussen2014
1618.466	1487.396	Seierstad2014_Rasmussen2014
1618.985	1487.852	Seierstad2014_Rasmussen2014
1619.709	1488.447	Seierstad2014_Rasmussen2014
1620.031	1488.766	Seierstad2014_Rasmussen2014
1620.366	1489.03	Seierstad2014_Rasmussen2014
1620.808	1489.416	Seierstad2014_Rasmussen2014
1621.569	1490.08	Seierstad2014_Rasmussen2014
1621.972	1490.432	Seierstad2014_Rasmussen2014
1622.299	1490.74	Seierstad2014_Rasmussen2014
1622.973	1491.298	Seierstad2014_Rasmussen2014
1623.553	1491.813	Seierstad2014_Rasmussen2014
1624.449	1492.61	Seierstad2014_Rasmussen2014
1625.651	1493.636	Seierstad2014_Rasmussen2014
1625.816	1493.801	Seierstad2014_Rasmussen2014
1626.516	1494.431	Seierstad2014_Rasmussen2014
1627.543	1495.381	Seierstad2014_Rasmussen2014
1628.029	1495.785	Seierstad2014_Rasmussen2014
1628.338	1496.112	Seierstad2014_Rasmussen2014
1633.481	1500.734	Seierstad2014_Rasmussen2014
1634.636	1501.85	Seierstad2014_Rasmussen2014
1636.505	1503.499	Seierstad2014_Rasmussen2014
1637.1	1504.02	Seierstad2014_Rasmussen2014
1639.543	1506.108	Seierstad2014_Rasmussen2014
1640.521	1507.008	Seierstad2014_Rasmussen2014
1641.7	1508.05	Seierstad2014_Rasmussen2014
1645.339	1511.357	Seierstad2014_Rasmussen2014
1646.133	1512.004	Seierstad2014_Rasmussen2014
1647.815	1513.462	Seierstad2014_Rasmussen2014
1652.898	1517.98	Seierstad2014_Rasmussen2014
1657.511	1522.206	Seierstad2014_Rasmussen2014
1659.829	1524.185	Seierstad2014_Rasmussen2014
1660.462	1524.77	Seierstad2014_Rasmussen2014
1661.219	1525.454	Seierstad2014_Rasmussen2014
1661.702	1525.862	Seierstad2014_Rasmussen2014
1662.378	1526.497	Seierstad2014_Rasmussen2014
1663.325	1527.317	Seierstad2014_Rasmussen2014
1665.26	1529.023	Seierstad2014_Rasmussen2014
1667.001	1530.485	Seierstad2014_Rasmussen2014
1668.483	1531.776	Seierstad2014_Rasmussen2014
1669.26	1532.38	Seierstad2014_Rasmussen2014
1670.131	1533.16	Seierstad2014_Rasmussen2014
1673.107	1535.687	Seierstad2014_Rasmussen2014
1673.501	1536.035	Seierstad2014_Rasmussen2014
1676.25	1538.39	Seierstad2014_Rasmussen2014
1676.545	1538.676	Seierstad2014_Rasmussen2014
1677.337	1539.366	Seierstad2014_Rasmussen2014
1678.13	1540.037	Seierstad2014_Rasmussen2014
1678.816	1540.676	Seierstad2014_Rasmussen2014
1679.975	1541.622	Seierstad2014_Rasmussen2014
1680.369	1541.958	Seierstad2014_Rasmussen2014
1681.628	1543.069	Seierstad2014_Rasmussen2014
1682.139	1543.528	Seierstad2014_Rasmussen2014
1683.012	1544.236	Seierstad2014_Rasmussen2014
1684.632	1545.612	Seierstad2014_Rasmussen2014
1687.271	1547.86	Seierstad2014_Rasmussen2014
1689.134	1549.426	Seierstad2014_Rasmussen2014
1696.121	1555.457	Seierstad2014_Rasmussen2014
1697.69	1556.83	Seierstad2014_Rasmussen2014
1698.208	1557.272	Seierstad2014_Rasmussen2014
1699.546	1558.465	Seierstad2014_Rasmussen2014
1701.589	1560.159	Seierstad2014_Rasmussen2014
1703.137	1561.495	Seierstad2014_Rasmussen2014
1704.203	1562.416	Seierstad2014_Rasmussen2014
1705.074	1563.139	Seierstad2014_Rasmussen2014
1706.598	1564.5	Seierstad2014_Rasmussen2014
1708.951	1566.528	Seierstad2014_Rasmussen2014
1710.171	1567.573	Seierstad2014_Rasmussen2014
1710.953	1568.246	Seierstad2014_Rasmussen2014
1711.774	1568.989	Seierstad2014_Rasmussen2014
1712.438	1569.543	Seierstad2014_Rasmussen2014
1714.47	1571.39	Seierstad2014_Rasmussen2014
1717.198	1573.661	Seierstad2014_Rasmussen2014
1718.537	1574.903	Seierstad2014_Rasmussen2014
1719.855	1575.999	Seierstad2014_Rasmussen2014
1720.576	1576.651	Seierstad2014_Rasmussen2014
1721.672	1577.573	Seierstad2014_Rasmussen2014
1722.902	1578.605	Seierstad2014_Rasmussen2014
1724.264	1579.77	Seierstad2014_Rasmussen2014
1725.4	1580.71	Seierstad2014_Rasmussen2014
1726.675	1581.848	Seierstad2014_Rasmussen2014
1727.586	1582.623	Seierstad2014_Rasmussen2014
1728.708	1583.582	Seierstad2014_Rasmussen2014
1729.813	1584.505	Seierstad2014_Rasmussen2014
1730.729	1585.306	Seierstad2014_Rasmussen2014
1733.961	1588.09	Seierstad2014_Rasmussen2014
1734.935	1588.937	Seierstad2014_Rasmussen2014
1736.485	1590.265	Seierstad2014_Rasmussen2014
1737.255	1590.85	Seierstad2014_Rasmussen2014
1738.837	1592.197	Seierstad2014_Rasmussen2014
1741.723	1594.59	Seierstad2014_Rasmussen2014
1742.31	1595.1	Seierstad2014_Rasmussen2014
1743.074	1595.798	Seierstad2014_Rasmussen2014
1743.617	1596.278	Seierstad2014_Rasmussen2014
1745.166	1597.519	Seierstad2014_Rasmussen2014
1746.981	1599.069	Seierstad2014_Rasmussen2014
1749.324	1601.074	Seierstad2014_Rasmussen2014
1749.86	1601.546	Seierstad2014_Rasmussen2014
1750.351	1602.033	Seierstad2014_Rasmussen2014
1750.88	1602.444	Seierstad2014_Rasmussen2014
1751.496	1602.962	Seierstad2014_Rasmussen2014
1753.773	1604.968	Seierstad2014_Rasmussen2014
1754.605	1605.737	Seierstad2014_Rasmussen2014
1755.5	1606.57	Seierstad2014_Rasmussen2014
1756.53	1607.468	Seierstad2014_Rasmussen2014
1758.71	1609.45	Seierstad2014_Rasmussen2014
