#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1517.287	1399.381	Svensson_Links
1539.05	1419.08	Svensson_Links
1585.05	1458.68	Svensson_Links
1598.9	1470.64	Svensson_Links
1609.47	1479.711	Svensson_Links
1615.62	1485.084	Svensson_Links
1624.449	1492.65	Svensson_Links
1639.53	1506.13	Svensson_Links
1641.68	1508.049	Svensson_Links
1657.52	1522.22	Svensson_Links
1663.325	1527.32	Svensson_Links
1665.4	1529.03	Svensson_Links
1666.99	1530.4940000000001	Svensson_Links
1668.483	1531.81	Svensson_Links
1676.25	1538.352	Svensson_Links
1696.15	1555.516	Svensson_Links
1706.57	1564.5	Svensson_Links
1742.28	1595.04	Svensson_Links
1753.75	1605.0040000000001	Svensson_Links
1755.46	1606.517	Svensson_Links
1761.44	1611.97	Svensson_Links
1769.48	1619.54	Svensson_Links
1775.82	1625.57	Svensson_Links
1778.339	1627.96	Svensson_Links
1778.62	1628.21	Svensson_Links
1793.372	1642.661	Svensson_Links
1796.72	1645.86	Svensson_Links
1874.755	1721.322	Svensson_Links
1882.23	1728.59	Svensson_Links
1926.337	1770.805	Svensson_Links
1973.03	1814.919	Svensson_Links
1985.34	1827.205	Svensson_Links
1997.82	1840.25	Svensson_Links
2001.127	1843.683	Svensson_Links
2018.919	1862.58	Svensson_Links
2025.84	1869.52	Svensson_Links
2028.25	1872.22	Svensson_Links
2035.26	1880.0	Svensson_Links
2055.99	1902.87	Svensson_Links
2080.41	1931.08	Svensson_Links
2087.83	1939.54	Svensson_Links
2096.91	1949.6	Svensson_Links
2131.4	1989.9	Svensson_Links
2140.49	2000.22	Svensson_Links
2150.0	2010.98	Svensson_Links
2159.12	2022.25	Svensson_Links
2172.18	2038.06	Svensson_Links
2175.9	2042.284	Svensson_Links
2186.42	2054.15	Svensson_Links
2193.328	2061.99	Svensson_Links
2197.994	2067.37	Svensson_Links
2200.507	2070.24	Svensson_Links
2202.29	2072.476	Svensson_Links
2207.53	2079.0	Svensson_Links
2223.93	2100.03	Svensson_Links
2236.819	2116.181	Svensson_Links
2241.555	2121.857	Svensson_Links
2249.72	2132.213	Svensson_Links
2250.53	2133.26	Svensson_Links
2252.045	2135.12	Svensson_Links
2257.93	2142.37	Svensson_Links
2265.98	2151.8	Svensson_Links
2269.91	2156.53	Svensson_Links
2281.58	2171.42	Svensson_Links
2283.64	2173.9	Svensson_Links
2286.78	2177.7	Svensson_Links
2287.04	2177.99	Svensson_Links
2291.05	2182.77	Svensson_Links
2298.735	2191.98	Svensson_Links
2304.88	2199.2	Svensson_Links
2306.902	2201.554	Svensson_Links
2309.126	2204.139	Svensson_Links
2320.513	2217.638	Svensson_Links
2328.03	2227.22	Svensson_Links
2347.35	2252.88	Svensson_Links
2351.03	2257.55	Svensson_Links
2361.54	2271.13	Svensson_Links
2366.64	2277.65	Svensson_Links
2375.84	2289.42	Svensson_Links
2386.63	2302.75	Svensson_Links
2390.604	2307.609	Svensson_Links
2415.02	2337.93	Svensson_Links
2420.13	2344.6	Svensson_Links
2420.448	2344.98	Svensson_Links
2429.538	2357.412	Svensson_Links
2431.0	2359.45	Svensson_Links
2447.875	2382.65	Svensson_Links
2449.785	2385.24	Svensson_Links
2453.106	2389.487	Svensson_Links
2458.0	2395.84	Svensson_Links
2461.6	2400.69	Svensson_Links
2493.81	2445.9	Svensson_Links
2504.25	2461.16	Svensson_Links
2510.03	2469.74	Svensson_Links
2527.27	2494.16	Svensson_Links
2549.772	2525.16	Svensson_Links
2551.894	2528.014	Svensson_Links
2564.67	2547.221	Svensson_Links
2565.18	2548.01	Svensson_Links
2566.58	2550.058	Svensson_Links
2567.46	2551.446	Svensson_Links
2576.28	2564.7	Svensson_Links
2581.3	2572.63	Svensson_Links
2592.72	2592.5	Svensson_Links
2594.65	2595.62	Svensson_Links
2604.73	2612.55	Svensson_Links
2608.54	2619.18	Svensson_Links
2612.846	2626.65	Svensson_Links
2616.73	2633.45	Svensson_Links
2623.96	2645.8	Svensson_Links
2630.662	2656.952	Svensson_Links
2632.624	2660.251	Svensson_Links
2634.719	2663.843	Svensson_Links
2646.247	2683.214	Svensson_Links
2650.814	2691.24	Svensson_Links
2672.177	2733.48	Svensson_Links
2684.72	2756.92	Svensson_Links
2694.724	2775.1	Svensson_Links
2703.62	2793.06	Svensson_Links
2710.77	2806.74	Svensson_Links
2713.05	2811.08	Svensson_Links
2732.72	2852.02	Svensson_Links
2738.9	2864.73	Svensson_Links
2741.75	2870.35	Svensson_Links
2753.15	2897.2	Svensson_Links
2753.24	2898.54	Svensson_Links
2753.96	2905.02	Svensson_Links
