#Svensson Match Points, unpublished.
depth1	depth2	reference
1356.746	314.57	SvenssonLinks
1370.02	322.43	SvenssonLinks
1396.43	339.14	SvenssonLinks
1404.23	344.97	SvenssonLinks
1410.3	349.66	SvenssonLinks
1413.86	352.45	SvenssonLinks
1429.08	369.5049909	SvenssonLinks
1430.56	371.46	SvenssonLinks
1441.43	384.93	SvenssonLinks
1445.007	388.27	SvenssonLinks
1446.08	388.99	SvenssonLinks
1447.056	389.63	SvenssonLinks
1447.92	390.31	SvenssonLinks
1452.02	394.31	SvenssonLinks
1462.3690000000001	402.25	SvenssonLinks
1467.49	406.4	SvenssonLinks
1484.035	419.62	SvenssonLinks
1489.4660000000001	424.34	SvenssonLinks
1490.348	425.66	SvenssonLinks
1493.3020000000001	429.97	SvenssonLinks
1510.686	457.02	SvenssonLinks
1532.52	488.79	SvenssonLinks
1535.29	491.69	SvenssonLinks
1539.73	496.84	SvenssonLinks
1548.03	503.93	SvenssonLinks
1550.3	505.79	SvenssonLinks
1561.195	515.14	SvenssonLinks
1585.4	542.01	SvenssonLinks
1610.2	572.46	SvenssonLinks
1610.41	572.75	SvenssonLinks
1617.105	582.17	SvenssonLinks
1619.62	585.87	SvenssonLinks
1622.85	590.34	SvenssonLinks
1624.3	592.29	SvenssonLinks
1641.23	611.23	SvenssonLinks
1647.55	619.782267428027	SvenssonLinks
1661.59	636.3952726	SvenssonLinks
1665.98	643.53	SvenssonLinks
1678.65	659.48	SvenssonLinks
1683.32	666.29	SvenssonLinks
1688.83	671.04	SvenssonLinks
1696.18	681.01	SvenssonLinks
1712.05	701.01	SvenssonLinks
1717.88	706.27	SvenssonLinks
1728.47	718.91	SvenssonLinks
1730.51	721.68	SvenssonLinks
1740.05	733.04	SvenssonLinks
1742.65	735.39	SvenssonLinks
1754.19	744.19	SvenssonLinks
1757.3	746.51	SvenssonLinks
1760.4	750.0	SvenssonLinks
1771.08	767.61	SvenssonLinks
1774.32	772.69	SvenssonLinks
1777.73	776.242308626974	SvenssonLinks
1786.92	788.98	SvenssonLinks
1790.006	792.08	SvenssonLinks
1796.12	801.0	SvenssonLinks
1796.74	802.14	SvenssonLinks
1797.81	803.87	SvenssonLinks
1801.8	808.42	SvenssonLinks
1807.0	814.12	SvenssonLinks
1809.58	817.37	SvenssonLinks
1819.87	831.48	SvenssonLinks
1822.12	834.28	SvenssonLinks
1824.74	837.4	SvenssonLinks
1829.657	843.07	SvenssonLinks
1833.48	847.01	SvenssonLinks
1834.824	847.98	SvenssonLinks
1836.231	849.55	SvenssonLinks
1843.675	856.33	SvenssonLinks
1847.19	861.08	SvenssonLinks
1854.62	875.39	SvenssonLinks
1863.15	887.43	SvenssonLinks
1865.65	890.19	SvenssonLinks
1876.39	904.64	SvenssonLinks
1882.7	912.5	SvenssonLinks
1889.52	921.001	SvenssonLinks
1891.996	923.92	SvenssonLinks
1908.0	942.07	SvenssonLinks
1911.415	946.02	SvenssonLinks
1918.79	960.65	SvenssonLinks
1919.82	962.83	SvenssonLinks
1921.21	965.07	SvenssonLinks
1927.3	974.92	SvenssonLinks
1929.8	978.99	SvenssonLinks
1933.35	984.95	SvenssonLinks
1941.25	997.31	SvenssonLinks
1948.9	1010.42	SvenssonLinks
1952.0	1016.07	SvenssonLinks
1952.65	1017.73	SvenssonLinks
1956.91	1029.47	SvenssonLinks
1965.61	1052.1	SvenssonLinks
1981.01	1087.63	SvenssonLinks
1984.52	1095.7	SvenssonLinks
1987.28	1102.12	SvenssonLinks
1995.66	1123.38	SvenssonLinks
2006.134	1143.85	SvenssonLinks
2009.768	1149.61	SvenssonLinks
2011.98	1156.6	SvenssonLinks
2012.38	1157.73	SvenssonLinks
2015.15	1166.23	SvenssonLinks
2015.44	1167.29	SvenssonLinks
2016.979	1170.11	SvenssonLinks
2022.73	1179.97	SvenssonLinks
2026.18	1185.55	SvenssonLinks
2029.18	1190.42	SvenssonLinks
2033.15	1201.23	SvenssonLinks
2035.74	1207.35	SvenssonLinks
2037.425	1210.16	SvenssonLinks
2046.0	1224.9	SvenssonLinks
2049.4	1230.85	SvenssonLinks
2057.0	1243.32	SvenssonLinks
2063.43	1254.26	SvenssonLinks
2069.7	1264.5	SvenssonLinks
2071.54	1267.65	SvenssonLinks
2073.3	1270.78	SvenssonLinks
2088.2	1297.97	SvenssonLinks
2118.662	1351.34	SvenssonLinks
2126.88	1357.76	SvenssonLinks
2128.87	1359.17	SvenssonLinks
2134.9	1367.97	SvenssonLinks
2162.12	1409.88	SvenssonLinks
2163.48	1413.65	SvenssonLinks
2171.4	1437.74	SvenssonLinks
2179.96	1465.54	SvenssonLinks
2180.45	1466.97	SvenssonLinks
2182.09	1473.27	SvenssonLinks
2188.66	1502.15	SvenssonLinks
2188.82	1503.91	SvenssonLinks
2190.3	1512.94	SvenssonLinks
2205.575	1559.28	SvenssonLinks
2206.03	1563.42	SvenssonLinks
