#Includes GICC21 tie points
depth1	depth2	reference
19.839	14.1	GICC21
23.419	17.61	GICC21
31.277	25.15	GICC21
35.368	28.46	GICC21
40.108	32.95	GICC21
41.844	34.529	GICC21
42.794	35.48	GICC21
56.239	47.853	GICC21
57.362	49.04	GICC21
59.804	51.3	GICC21
61.163	52.66	GICC21
63.383	54.66	GICC21
64.346	55.33	GICC21
65.441	56.272	GICC21
67.109	58.02	GICC21
67.308	58.219	GICC21
68.058	58.7	GICC21
69.693	60.31	GICC21
72.424	62.81	GICC21
74.9	64.73	GICC21
76.4	66.22	GICC21
81.783	71.254	GICC21
84.747	73.942	GICC21
88.381	77.392	GICC21
92.583	81.04	GICC21
96.25	84.31	GICC21
100.886	88.43	GICC21
101.991	89.46	GICC21
102.966	90.18	GICC21
103.154	90.294	GICC21
105.85	92.86	GICC21
106.764	93.595	GICC21
108.831	95.526	GICC21
110.658	97.06	GICC21
112.453	98.722	GICC21
114.465	100.48	GICC21
118.297	103.91	GICC21
123.966	108.908	GICC21
124.798	109.606	GICC21
130.082	114.35	GICC21
132.966	116.91	GICC21
137.355	121.07	GICC21
140.923	124.28	GICC21
142.589	125.61	GICC21
142.781	125.8	GICC21
147.175	129.56	GICC21
151.398	133.37	GICC21
155.073	136.72	GICC21
157.503	138.94	GICC21
160.495	141.57	GICC21
161.864	142.9	GICC21
164.3	145.04	GICC21
164.703	145.3	GICC21
165.339	146.1	GICC21
166.032	146.58	GICC21
166.25	146.86	GICC21
168.019	148.51	GICC21
172.593	152.74	GICC21
176.632	156.27	GICC21
177.029	156.55	GICC21
177.556	157.0	GICC21
178.5	157.79	GICC21
179.315	158.55	GICC21
182.946	161.73	GICC21
184.907	163.45	GICC21
186.829	165.11	GICC21
188.885	166.78	GICC21
192.965	170.4	GICC21
193.166	170.61	GICC21
199.122	175.79	GICC21
201.179	177.74	GICC21
204.21	180.47	GICC21
209.652	185.31	GICC21
210.102	185.71	GICC21
210.353	185.86	GICC21
214.021	189.12	GICC21
214.88	189.994	GICC21
219.182	193.644	GICC21
220.952	195.25	GICC21
228.0	201.5	GICC21
230.127	203.3	GICC21
230.43	203.62	GICC21
231.65	204.83	GICC21
231.82	205.01	GICC21
233.898	206.93	GICC21
236.409	209.13	GICC21
237.7	210.2	GICC21
238.646	211.23	GICC21
240.3	212.57	GICC21
240.45	212.74	GICC21
240.7	213.02	GICC21
244.223	216.07	GICC21
245.004	216.82	GICC21
245.643	217.35	GICC21
247.003	218.591	GICC21
248.3	219.82	GICC21
250.512	221.82	GICC21
252.308	223.491	GICC21
255.536	226.4	GICC21
255.635	226.59	GICC21
256.405	227.09	GICC21
260.956	231.09	GICC21
263.261	233.1	GICC21
263.889	233.6	GICC21
271.553	240.8	GICC21
275.849	244.65	GICC21
278.6	247.14	GICC21
280.858	249.259	GICC21
283.099	251.27	GICC21
285.507	253.51	GICC21
286.715	254.576	GICC21
287.278	255.18	GICC21
293.0	260.45	GICC21
298.77	265.48	GICC21
301.6	268.1	GICC21
307.562	273.28	GICC21
308.488	274.1	GICC21
309.449	275.03	GICC21
318.4	283.05	GICC21
319.77	284.4	GICC21
321.6	286.08	GICC21
323.049	287.42	GICC21
323.231	287.59	GICC21
324.95	289.2	GICC21
326.784	291.0	GICC21
329.368	293.5	GICC21
339.6	303.05	GICC21
340.25	303.65	GICC21
342.514	305.72	GICC21
346.194	309.13	GICC21
347.255	310.116	GICC21
347.5	310.33	GICC21
350.413	313.0	GICC21
353.865	316.06	GICC21
356.401	318.374	GICC21
358.36	320.2	GICC21
358.931	320.7	GICC21
367.826	329.01	GICC21
371.518	332.491	GICC21
372.4	333.21	GICC21
373.286	333.9	GICC21
377.1	337.6	GICC21
377.322	337.75	GICC21
380.171	340.55	GICC21
383.4	343.6	GICC21
386.973	346.75	GICC21
390.329	349.9	GICC21
394.7	353.98	GICC21
396.245	355.5	GICC21
396.399	355.6	GICC21
401.389	360.072	GICC21
408.505	366.37	GICC21
410.2	367.92	GICC21
413.434	370.93	GICC21
418.192	375.3	GICC21
420.269	377.325	GICC21
422.167	379.12	GICC21
431.243	387.83	GICC21
432.35	388.96	GICC21
433.85	390.35	GICC21
434.271	390.75	GICC21
442.287	398.28	GICC21
446.931	402.57	GICC21
449.567	405.189	GICC21
451.296	406.92	GICC21
453.664	409.137	GICC21
455.858	411.12	GICC21
460.429	415.289	GICC21
464.037	418.6	GICC21
468.821	423.1	GICC21
470.78	424.83	GICC21
473.917	427.7	GICC21
482.21	435.47	GICC21
482.805	435.9	GICC21
485.122	437.94	GICC21
488.608	441.16	GICC21
492.466	444.85	GICC21
495.1	447.4	GICC21
495.885	448.1	GICC21
498.8	450.8	GICC21
499.527	451.47	GICC21
499.8	451.74	GICC21
501.045	452.97	GICC21
502.388	454.15	GICC21
508.093	459.35	GICC21
512.738	463.6	GICC21
513.673	464.593	GICC21
515.903	466.76	GICC21
520.2	470.8	GICC21
521.062	471.71	GICC21
522.259	472.8	GICC21
524.706	474.94	GICC21
524.924	475.1	GICC21
525.2	475.36	GICC21
526.103	476.4	GICC21
530.411	480.4	GICC21
531.351	481.3	GICC21
531.936	481.9	GICC21
534.853	484.44	GICC21
535.976	485.56	GICC21
536.1	485.7	GICC21
536.309	485.82	GICC21
536.8	486.35	GICC21
536.947	486.5	GICC21
538.647	488.25	GICC21
538.945	488.58	GICC21
541.0	490.52	GICC21
543.644	493.07	GICC21
546.652	495.9	GICC21
547.918	497.03	GICC21
556.557	505.27	GICC21
557.558	506.11	GICC21
561.157	509.64	GICC21
564.383	512.67	GICC21
564.933	513.22	GICC21
569.298	517.33	GICC21
569.639	517.64	GICC21
570.341	518.39	GICC21
578.941	526.64	GICC21
582.142	529.77	GICC21
582.629	530.24	GICC21
583.947	531.46	GICC21
585.811	533.33	GICC21
587.815	535.27	GICC21
589.554	536.96	GICC21
590.078	537.49	GICC21
596.462	543.73	GICC21
597.834	544.86	GICC21
604.195	550.86	GICC21
608.757	555.15	GICC21
610.149	556.51	GICC21
614.4	560.52	GICC21
615.529	561.61	GICC21
616.565	562.6	GICC21
617.72	563.78	GICC21
623.369	569.05	GICC21
624.99	570.68	GICC21
626.0	571.66	GICC21
626.463	572.13	GICC21
627.278	572.95	GICC21
627.717	573.37	GICC21
628.283	573.86	GICC21
631.6	577.16	GICC21
633.377	578.92	GICC21
633.65	579.16	GICC21
635.7	581.1	GICC21
635.862	581.26	GICC21
636.08	581.55	GICC21
637.1	582.53	GICC21
639.606	585.19	GICC21
642.971	588.53	GICC21
644.58	590.1	GICC21
648.202	593.7	GICC21
649.586	595.07	GICC21
649.83	595.28	GICC21
650.734	596.24	GICC21
651.2	596.7	GICC21
651.571	597.04	GICC21
654.961	600.32	GICC21
657.2	602.56	GICC21
659.335	604.64	GICC21
662.1	607.38	GICC21
664.072	609.29	GICC21
664.75	610.0	GICC21
668.302	613.42	GICC21
670.486	615.46	GICC21
671.57	616.51	GICC21
672.262	617.36	GICC21
673.509	618.33	GICC21
679.093	623.99	GICC21
681.456	626.2	GICC21
682.758	627.6	GICC21
683.388	628.18	GICC21
683.816	628.61	GICC21
686.234	630.83	GICC21
689.07	633.79	GICC21
689.829	634.54	GICC21
690.426	635.07	GICC21
696.149	640.93	GICC21
696.785	641.64	GICC21
699.419	643.97	GICC21
700.216	644.67	GICC21
700.616	645.15	GICC21
702.921	647.38	GICC21
704.412	648.83	GICC21
710.648	655.01	GICC21
711.332	655.88	GICC21
716.443	661.03	GICC21
722.02	666.38	GICC21
725.792	670.28	GICC21
