#GICC05modeltext-NEEM-1 time scale, including separate tephra links within sheet
depth1	depth2	reference
1319.628	1346.554	NEEM-GICC05
1319.744	1346.721	NEEM-GICC05
1320.476	1347.749	NEEM-GICC05
1320.66	1347.994	NEEM-GICC05
1323.033	1351.282	NEEM-GICC05
1323.717	1352.299	NEEM-GICC05
1324.965	1354.103	NEEM-GICC05
1325.26	1354.487	NEEM-GICC05
1331.321	1362.883	NEEM-GICC05
1331.75	1363.565	NEEM-GICC05
1335.126	1368.477	NEEM-GICC05
1335.484	1368.954	NEEM-GICC05
1335.624	1369.132	NEEM-GICC05
1335.836	1369.412	NEEM-GICC05
1336.029	1369.687	NEEM-GICC05
1336.099	1369.796	NEEM-GICC05
1336.204	1369.952	NEEM-GICC05
1336.398	1370.217	NEEM-GICC05
1336.894	1370.96	NEEM-GICC05
1337.338	1371.575	NEEM-GICC05
1337.584	1371.937	NEEM-GICC05
1337.692	1372.116	NEEM-GICC05
1337.904	1372.423	NEEM-GICC05
1338.653	1373.56	NEEM-GICC05
1339.017	1374.083	NEEM-GICC05
1339.995	1375.505	NEEM-GICC05
1340.137	1375.697	NEEM-GICC05
1340.313	1375.911	NEEM-GICC05
1340.417	1376.067	NEEM-GICC05
1340.83	1376.596	NEEM-GICC05
1341.635	1377.716	NEEM-GICC05
1342.284	1378.673	NEEM-GICC05
1343.295	1380.089	NEEM-GICC05
1344.688	1382.169	NEEM-GICC05
1345.798	1383.745	NEEM-GICC05
1346.03	1384.089	NEEM-GICC05
1346.274	1384.47	NEEM-GICC05
1347.632	1386.381	NEEM-GICC05
1348.454	1387.608	NEEM-GICC05
1348.853	1388.204	NEEM-GICC05
1349.215	1388.752	NEEM-GICC05
1349.496	1389.117	NEEM-GICC05
1350.371	1390.359	NEEM-GICC05
1351.046	1391.35	NEEM-GICC05
1351.272	1391.684	NEEM-GICC05
1351.604	1392.142	NEEM-GICC05
1352.425	1393.308	NEEM-GICC05
1356.031	1398.34	NEEM-GICC05
1356.454	1398.997	NEEM-GICC05
1356.746	1399.381	NEEM-GICC05
1357.207	1400.061	NEEM-GICC05
1358.338	1401.741	NEEM-GICC05
1359.247	1403.032	NEEM-GICC05
1359.594	1403.566	NEEM-GICC05
1359.892	1403.984	NEEM-GICC05
1360.317	1404.568	NEEM-GICC05
1361.435	1406.207	NEEM-GICC05
1361.892	1406.913	NEEM-GICC05
1362.263	1407.459	NEEM-GICC05
1362.531	1407.928	NEEM-GICC05
1363.044	1408.707	NEEM-GICC05
1363.775	1409.827	NEEM-GICC05
1364.314	1410.629	NEEM-GICC05
