#Svensson Match Points, unpublished.
depth1	depth2	reference
1356.746	606.6197	SvenssonLinks
1370.02	619.24265	SvenssonLinks
1396.43	645.2138	SvenssonLinks
1404.23	654.69	SvenssonLinks
1410.3	662.1985	SvenssonLinks
1413.86	666.74	SvenssonLinks
1429.08	692.8	SvenssonLinks
1430.56	695.5111	SvenssonLinks
1441.43	713.1655	SvenssonLinks
1445.007	717.1847499999999	SvenssonLinks
1447.92	720.4048	SvenssonLinks
1452.02	725.67785	SvenssonLinks
1462.3690000000001	736.1168	SvenssonLinks
1467.49	741.4846	SvenssonLinks
1484.035	759.61426	SvenssonLinks
1489.4660000000001	766.0942	SvenssonLinks
1490.348	767.7046	SvenssonLinks
1493.3020000000001	773.2282	SvenssonLinks
1535.29	832.6777	SvenssonLinks
1539.73	837.17	SvenssonLinks
1548.03	843.268575	SvenssonLinks
1550.3	844.775075	SvenssonLinks
1561.195	852.7045250000001	SvenssonLinks
1610.2	898.4	SvenssonLinks
1610.41	898.58315	SvenssonLinks
1617.105	905.9506	SvenssonLinks
1619.62	908.84087	SvenssonLinks
1622.85	912.39	SvenssonLinks
1624.3	913.9723	SvenssonLinks
1641.23	928.73855	SvenssonLinks
1647.55	935.311065	SvenssonLinks
1661.59	948.71497	SvenssonLinks
1665.98	954.64557	SvenssonLinks
1678.65	966.743475	SvenssonLinks
1683.32	972.18308	SvenssonLinks
1688.83	976.25918	SvenssonLinks
1696.18	984.68575	SvenssonLinks
1712.05	1002.32965	SvenssonLinks
1717.88	1007.25638	SvenssonLinks
1719.26	1008.8337	SvenssonLinks
1724.05	1013.18866	SvenssonLinks
1728.47	1018.7479000000001	SvenssonLinks
1730.51	1021.32	SvenssonLinks
1740.05	1032.0540999999998	SvenssonLinks
1742.65	1034.2954	SvenssonLinks
1754.19	1042.9017	SvenssonLinks
1757.3	1045.2232	SvenssonLinks
1759.0	1046.5603	SvenssonLinks
1760.4	1048.5496	SvenssonLinks
1764.63	1054.9244	SvenssonLinks
1771.08	1064.79	SvenssonLinks
1774.32	1069.4747	SvenssonLinks
1774.76	1070.1309	SvenssonLinks
1777.73	1072.9110500000002	SvenssonLinks
1786.92	1085.6603	SvenssonLinks
1790.006	1088.6617	SvenssonLinks
1796.12	1097.7233	SvenssonLinks
1796.74	1098.6907	SvenssonLinks
1797.81	1100.30355	SvenssonLinks
1801.8	1104.8169	SvenssonLinks
1807.0	1110.65845	SvenssonLinks
1809.58	1113.91	SvenssonLinks
1818.48	1126.4641	SvenssonLinks
1819.87	1128.11925	SvenssonLinks
1820.59	1129.136	SvenssonLinks
1822.12	1131.2186000000002	SvenssonLinks
1824.74	1134.5295	SvenssonLinks
1829.657	1140.5064	SvenssonLinks
1833.48	1144.52	SvenssonLinks
1834.824	1145.7373	SvenssonLinks
1836.231	1147.2226500000002	SvenssonLinks
1843.675	1154.3309	SvenssonLinks
1847.19	1159.079	SvenssonLinks
1863.15	1181.26585	SvenssonLinks
1865.65	1183.4676	SvenssonLinks
1882.7	1199.7054	SvenssonLinks
1889.52	1205.459	SvenssonLinks
1891.996	1207.4301500000001	SvenssonLinks
1908.0	1219.21	SvenssonLinks
1911.415	1221.7092	SvenssonLinks
1918.79	1230.15	SvenssonLinks
1933.35	1243.21	SvenssonLinks
1941.25	1249.7577	SvenssonLinks
1948.9	1256.5894	SvenssonLinks
1952.0	1259.133	SvenssonLinks
1952.65	1259.9182	SvenssonLinks
