#Svensson Match Points, unpublished.
depth1	depth2	reference
1399.381	314.57	SvenssonLinks
1419.08	322.43	SvenssonLinks
1458.68	339.14	SvenssonLinks
1470.64	344.97	SvenssonLinks
1479.711	349.66	SvenssonLinks
1485.084	352.45	SvenssonLinks
1506.13	369.5049909	SvenssonLinks
1508.049	371.46	SvenssonLinks
1522.22	384.93	SvenssonLinks
1527.32	388.27	SvenssonLinks
1529.03	388.99	SvenssonLinks
1530.4940000000001	389.63	SvenssonLinks
1531.81	390.31	SvenssonLinks
1538.352	394.31	SvenssonLinks
1555.516	402.25	SvenssonLinks
1564.5	406.4	SvenssonLinks
1595.04	419.62	SvenssonLinks
1605.0040000000001	424.34	SvenssonLinks
1606.517	425.66	SvenssonLinks
1611.97	429.97	SvenssonLinks
1625.57	441.82	SvenssonLinks
1642.661	457.02	SvenssonLinks
1645.86	459.74	SvenssonLinks
1653.93	466.98	SvenssonLinks
1657.95	470.87	SvenssonLinks
1671.35	482.85	SvenssonLinks
1675.23	485.93	SvenssonLinks
1679.65	488.79	SvenssonLinks
1684.3	491.69	SvenssonLinks
1692.28	496.84	SvenssonLinks
1706.1	503.93	SvenssonLinks
1710.06	505.79	SvenssonLinks
1721.322	511.4	SvenssonLinks
1728.59	515.14	SvenssonLinks
1751.03	528.65	SvenssonLinks
1770.805	542.01	SvenssonLinks
1784.44	550.82	SvenssonLinks
1795.42	557.82	SvenssonLinks
1797.64	559.708053097345	SvenssonLinks
1801.9	562.96	SvenssonLinks
1805.58	565.86	SvenssonLinks
1814.63	572.46	SvenssonLinks
1814.919	572.75	SvenssonLinks
1824.01	579.71	SvenssonLinks
1827.205	582.17	SvenssonLinks
1829.14	583.68	SvenssonLinks
1831.59	585.87	SvenssonLinks
1837.38	590.34	SvenssonLinks
1840.25	592.29	SvenssonLinks
1842.48	593.97	SvenssonLinks
1843.683	594.9	SvenssonLinks
1855.0	602.98	SvenssonLinks
1869.52	611.23	SvenssonLinks
1877.95	618.05	SvenssonLinks
1880.0	619.782267428027	SvenssonLinks
1892.34	626.30515108256	SvenssonLinks
1902.87	635.89	SvenssonLinks
1903.45	636.3952726	SvenssonLinks
1910.98	643.53	SvenssonLinks
1915.58	646.95	SvenssonLinks
1931.08	659.48	SvenssonLinks
1939.54	666.29	SvenssonLinks
1949.6	671.04	SvenssonLinks
1962.25	681.01	SvenssonLinks
1963.76	682.43	SvenssonLinks
1982.33	694.54	SvenssonLinks
1989.9	701.01	SvenssonLinks
2000.22	706.27	SvenssonLinks
2009.39	711.59	SvenssonLinks
2012.94	714.22	SvenssonLinks
2016.41	716.768	SvenssonLinks
2018.48	718.91	SvenssonLinks
2022.25	721.68	SvenssonLinks
2032.52	729.35	SvenssonLinks
2038.06	733.04	SvenssonLinks
2042.284	735.39	SvenssonLinks
2061.99	744.19	SvenssonLinks
2067.37	746.51	SvenssonLinks
2072.476	750.0	SvenssonLinks
2089.08	767.61	SvenssonLinks
2094.1330000000003	772.69	SvenssonLinks
2100.03	776.242308626974	SvenssonLinks
2116.181	788.98	SvenssonLinks
2121.857	792.08	SvenssonLinks
2132.213	801.0	SvenssonLinks
2133.26	802.14	SvenssonLinks
2135.12	803.87	SvenssonLinks
2142.37	808.42	SvenssonLinks
2151.8	814.12	SvenssonLinks
2156.53	817.37	SvenssonLinks
2157.88	818.28	SvenssonLinks
2173.9	831.48	SvenssonLinks
2177.99	834.28	SvenssonLinks
2182.77	837.4	SvenssonLinks
2191.98	843.07	SvenssonLinks
2199.2	847.01	SvenssonLinks
2201.554	847.98	SvenssonLinks
2204.139	849.55	SvenssonLinks
2217.638	856.33	SvenssonLinks
2224.0	861.08	SvenssonLinks
2237.22	875.39	SvenssonLinks
2252.88	887.43	SvenssonLinks
2257.55	890.19	SvenssonLinks
2271.13	900.03	SvenssonLinks
2277.65	904.64	SvenssonLinks
2289.42	912.5	SvenssonLinks
2302.75	921.001	SvenssonLinks
2307.609	923.92	SvenssonLinks
2329.1	936.57	SvenssonLinks
2337.93	942.07	SvenssonLinks
2344.6	946.02	SvenssonLinks
2346.6	947.92	SvenssonLinks
2352.78	955.68	SvenssonLinks
2355.55	958.14	SvenssonLinks
2357.412	960.65	SvenssonLinks
2359.45	962.83	SvenssonLinks
2362.28	965.07	SvenssonLinks
2367.03	968.54	SvenssonLinks
2373.41	974.92	SvenssonLinks
2378.13	978.99	SvenssonLinks
2382.65	983.03	SvenssonLinks
2383.32	983.54	SvenssonLinks
2385.24	984.95	SvenssonLinks
2389.487	988.59	SvenssonLinks
2399.05	995.79	SvenssonLinks
2400.69	997.31	SvenssonLinks
2403.591	999.56	SvenssonLinks
2405.91	1002.18	SvenssonLinks
2415.95	1010.42	SvenssonLinks
2417.46	1012.31	SvenssonLinks
2421.724	1016.07	SvenssonLinks
2422.824	1017.73	SvenssonLinks
2430.41	1029.47	SvenssonLinks
2434.96	1036.03	SvenssonLinks
2437.142	1038.89	SvenssonLinks
2445.9	1052.1	SvenssonLinks
