#Svensson Match Points, unpublished.
depth1	depth2	reference
1399.381	606.6197	SvenssonLinks
1419.08	619.24265	SvenssonLinks
1458.68	645.2138	SvenssonLinks
1470.64	654.69	SvenssonLinks
1479.711	662.1985	SvenssonLinks
1485.084	666.74	SvenssonLinks
1506.13	692.8	SvenssonLinks
1508.049	695.5111	SvenssonLinks
1522.22	713.1655	SvenssonLinks
1527.32	717.1847499999999	SvenssonLinks
1531.81	720.4048	SvenssonLinks
1538.352	725.67785	SvenssonLinks
1555.516	736.1168	SvenssonLinks
1564.5	741.4846	SvenssonLinks
1595.04	759.61426	SvenssonLinks
1605.0040000000001	766.0942	SvenssonLinks
1606.517	767.7046	SvenssonLinks
1611.97	773.2282	SvenssonLinks
1625.57	786.55675	SvenssonLinks
1645.86	804.47635	SvenssonLinks
1684.3	832.6777	SvenssonLinks
1692.28	837.17	SvenssonLinks
1706.1	843.268575	SvenssonLinks
1710.06	844.775075	SvenssonLinks
1721.322	849.47285	SvenssonLinks
1728.59	852.7045250000001	SvenssonLinks
1751.03	863.6472	SvenssonLinks
1795.42	886.95318	SvenssonLinks
1801.9	890.9	SvenssonLinks
1805.58	893.0500999999999	SvenssonLinks
1814.63	898.4	SvenssonLinks
1814.919	898.58315	SvenssonLinks
1827.205	905.9506	SvenssonLinks
1831.59	908.84087	SvenssonLinks
1837.38	912.39	SvenssonLinks
1840.25	913.9723	SvenssonLinks
1843.683	915.82	SvenssonLinks
1850.08	919.64	SvenssonLinks
1855.0	922.2397000000001	SvenssonLinks
1869.52	928.73855	SvenssonLinks
1877.95	933.9	SvenssonLinks
1880.0	935.311065	SvenssonLinks
1892.34	940.346235	SvenssonLinks
1902.87	948.24145	SvenssonLinks
1903.45	948.71497	SvenssonLinks
1910.98	954.64557	SvenssonLinks
1915.58	956.7564	SvenssonLinks
1931.08	966.743475	SvenssonLinks
1934.6599999999999	969.24	SvenssonLinks
1939.54	972.18308	SvenssonLinks
1949.6	976.25918	SvenssonLinks
1954.6000000000001	979.45983	SvenssonLinks
1962.25	984.68575	SvenssonLinks
1963.76	985.85	SvenssonLinks
1977.85	993.1901250000001	SvenssonLinks
1982.33	996.6311000000001	SvenssonLinks
1989.9	1002.32965	SvenssonLinks
1992.63	1003.63086	SvenssonLinks
2000.22	1007.25638	SvenssonLinks
2002.8899999999999	1008.8337	SvenssonLinks
2009.39	1012.2939	SvenssonLinks
2010.98	1013.18866	SvenssonLinks
2012.94	1014.6379	SvenssonLinks
2015.38	1016.27013	SvenssonLinks
2016.41	1016.94	SvenssonLinks
2018.48	1018.7479000000001	SvenssonLinks
2022.25	1021.32	SvenssonLinks
2032.52	1028.38	SvenssonLinks
2038.06	1032.0540999999998	SvenssonLinks
2042.284	1034.2954	SvenssonLinks
2061.99	1042.9017	SvenssonLinks
2067.37	1045.2232	SvenssonLinks
2070.24	1046.5603	SvenssonLinks
2072.476	1048.5496	SvenssonLinks
2079.0	1054.9244	SvenssonLinks
2089.08	1064.79	SvenssonLinks
2094.1330000000003	1069.4747	SvenssonLinks
2094.881	1070.1309	SvenssonLinks
2100.03	1072.9110500000002	SvenssonLinks
2116.181	1085.6603	SvenssonLinks
2121.857	1088.6617	SvenssonLinks
2132.213	1097.7233	SvenssonLinks
2133.26	1098.6907	SvenssonLinks
2135.12	1100.30355	SvenssonLinks
2142.37	1104.8169	SvenssonLinks
2151.8	1110.65845	SvenssonLinks
2156.53	1113.91	SvenssonLinks
2157.88	1114.84	SvenssonLinks
2159.8	1116.24	SvenssonLinks
2171.42	1126.4641	SvenssonLinks
2173.9	1128.11925	SvenssonLinks
2175.16	1129.136	SvenssonLinks
2177.99	1131.2186000000002	SvenssonLinks
2182.77	1134.5295	SvenssonLinks
2191.98	1140.5064	SvenssonLinks
2199.2	1144.52	SvenssonLinks
2201.554	1145.7373	SvenssonLinks
2204.139	1147.2226500000002	SvenssonLinks
2217.638	1154.3309	SvenssonLinks
2224.0	1159.079	SvenssonLinks
2245.63	1177.9481	SvenssonLinks
2252.88	1181.26585	SvenssonLinks
2257.55	1183.4676	SvenssonLinks
2271.13	1190.93	SvenssonLinks
2289.42	1199.7054	SvenssonLinks
2302.75	1205.459	SvenssonLinks
2307.609	1207.4301500000001	SvenssonLinks
2329.1	1215.6733	SvenssonLinks
2337.93	1219.21	SvenssonLinks
2344.6	1221.7092	SvenssonLinks
2348.72	1224.5736	SvenssonLinks
2352.78	1227.3228	SvenssonLinks
2355.55	1228.8572	SvenssonLinks
2357.412	1230.15	SvenssonLinks
2367.03	1234.5045	SvenssonLinks
2382.65	1242.2386	SvenssonLinks
2383.32	1242.39245	SvenssonLinks
2385.24	1243.21	SvenssonLinks
2389.487	1245.26	SvenssonLinks
2399.05	1248.92	SvenssonLinks
2400.69	1249.7577	SvenssonLinks
2402.96	1250.26	SvenssonLinks
2403.591	1250.5653	SvenssonLinks
2405.91	1252.19	SvenssonLinks
2415.95	1256.5894	SvenssonLinks
2417.46	1257.3143	SvenssonLinks
2421.724	1259.133	SvenssonLinks
2422.824	1259.9182	SvenssonLinks
