#Includes TALDICE-EDC links from Severi et al. 2012, with EDC96 depths converted to EDC99 by Quinn.
depth1	depth2	reference
29.56	12.160086107921929	Severi2012
30.37	12.501061997703788	Severi2012
36.14	15.188754305396095	Severi2012
42.86	18.458111366245696	Severi2012
45.29	19.54121125143513	Severi2012
48.82	21.08563145809414	Severi2012
51.15	22.048386911595863	Severi2012
53.2	23.051257175660158	Severi2012
65.64	28.76761768082663	Severi2012
67.36	29.639761336515512	Severi2012
77.96	34.391241050119326	Severi2012
83.49	36.786861575178996	Severi2012
85.1	37.462804295942725	Severi2012
85.94	37.94008849557522	Severi2012
88.27	39.04982300884956	Severi2012
91.55	40.56916666666667	Severi2012
93.12	41.24028639618139	Severi2012
128.6	57.68518624641833	Severi2012
133.52	60.27973362326719	Severi2012
142.17	64.04534927969557	Severi2012
144.89	65.15112530578962	Severi2012
152.84	68.97651263930416	Severi2012
162.54	73.38965479749932	Severi2012
167.45	75.5912449035064	Severi2012
172.32	77.81275890187551	Severi2012
182.82	82.39525414514814	Severi2012
186.19	84.05889915737973	Severi2012
188.31	84.86581679804294	Severi2012
215.33	96.84007610763796	Severi2012
264.63	119.53014598540146	Severi2012
276.55	125.00985401459855	Severi2012
280.07	126.61	Severi2012
288.48	130.54000000000002	Severi2012
294.93	133.6103370786517	Severi2012
298.8	135.389914893617	Severi2012
308.21	140.04992187500002	Severi2012
310.73	141.300078125	Severi2012
317.32	144.66011764705883	Severi2012
335.05	153.64	Severi2012
340.77	156.53487804878048	Severi2012
353.04	162.97	Severi2012
354.84	163.97621794871796	Severi2012
365.04	169.28988059701493	Severi2012
377.83	175.90994994994995	Severi2012
419.21	198.57377102550188	Severi2012
437.33	208.58	Severi2012
439.3	209.72985645933016	Severi2012
450.03	215.52455497382198	Severi2012
450.54	215.74916230366492	Severi2012
455.95	218.81180083482408	Severi2012
481.59	232.57	Severi2012
509.25	249.09996649916246	Severi2012
512.89	251.21985849056603	Severi2012
526.24	259.30981343283577	Severi2012
544.06	270.42012195121947	Severi2012
562.84	283.000197368421	Severi2012
594.22	304.27968253968254	Severi2012
596.32	305.57930463576156	Severi2012
606.62	312.7007650273224	Severi2012
608.05	313.69592997811816	Severi2012
613.61	317.340350877193	Severi2012
619.24	321.03403508771925	Severi2012
620.48	321.9498245614035	Severi2012
645.21	338.5599759036145	Severi2012
651.34	342.69	Severi2012
652.67	343.61036585365855	Severi2012
654.69	344.8655424528302	Severi2012
663.28	350.6336674528302	Severi2012
666.74	352.8103183962264	Severi2012
717.18	387.30999999999995	Severi2012
720.4	389.3299999999999	Severi2012
725.67	392.99985655737703	Severi2012
741.48	404.1399831578948	Severi2012
763.2	419.71685473684215	Severi2012
766.09	421.89501894736844	Severi2012
774.47	428.1795145631068	Severi2012
779.29	431.9501748251748	Severi2012
786.55	438.08000000000004	Severi2012
800.68	450.48999999999995	Severi2012
804.46	453.96016064257026	Severi2012
823.56	473.1653164556962	Severi2012
833.44	483.1750914634147	Severi2012
844.77	494.6299085365854	Severi2012
852.7	502.7229642545772	Severi2012
854.2	504.3645318221448	Severi2012
863.63	514.6125893635573	Severi2012
879.46	532.32	Severi2012
893.16	547.89	Severi2012
902.5	557.68	Severi2012
903.65	558.86	Severi2012
905.95	561.36	Severi2012
908.84	564.39	Severi2012
911.74	567.5239795918367	Severi2012
912.39	568.2104591836735	Severi2012
913.97	569.9415816326531	Severi2012
922.24	578.9600232018562	Severi2012
929.86	587.5199419953597	Severi2012
935.31	593.4397959183673	Severi2012
940.35	598.840641509434	Severi2012
948.24	606.9787547169811	Severi2012
956.75	615.9902264150943	Severi2012
966.75	626.5003018867925	Severi2012
969.24	629.1337241379309	Severi2012
972.18	632.2304137931035	Severi2012
976.26	636.3589731051344	Severi2012
977.38	637.4365384615385	Severi2012
984.68	644.7615950226245	Severi2012
985.84	645.9187567567568	Severi2012
1000.52	660.1031531531531	Severi2012
1002.32	661.8400180180181	Severi2012
1007.25	666.3424057217165	Severi2012
1012.29	670.9941872561768	Severi2012
1014.63	673.1756436931079	Severi2012
1016.93	675.3969440832249	Severi2012
1018.75	677.1401170351104	Severi2012
1021.31	679.5249428571427	Severi2012
1028.38	685.9112285714285	Severi2012
1032.05	689.0744357142856	Severi2012
1034.28	691.0801285714285	Severi2012
1034.81	691.5915	Severi2012
1042.92	699.0039999999999	Severi2012
1044.49	700.63	Severi2012
1045.22	701.28	Severi2012
1046.56	702.5411940298508	Severi2012
1064.44	718.6013688760808	Severi2012
1064.88	719.030439481268	Severi2012
1072.91	726.2798373983741	Severi2012
1085.66	737.4604946996467	Severi2012
1087.39	739.1296202531646	Severi2012
1097.72	748.1220017793594	Severi2012
