#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
606.6197	312.765	Svensson_Links
619.24265	320.949	Svensson_Links
645.2138	338.556	Svensson_Links
654.69	344.807	Svensson_Links
662.1985	349.927	Svensson_Links
666.74	352.845	Svensson_Links
692.8	370.087	Svensson_Links
695.5111	371.943	Svensson_Links
713.1655	384.13100000000003	Svensson_Links
717.1847499999999	387.279	Svensson_Links
720.4048	389.357	Svensson_Links
725.67785	393.008	Svensson_Links
736.1168	400.284	Svensson_Links
741.4846	404.13920631263164	Svensson_Links
759.61426	417.1	Svensson_Links
766.0942	421.883	Svensson_Links
767.7046	423.062	Svensson_Links
773.2282	427.105	Svensson_Links
786.55675	438.08	Svensson_Links
804.47635	454.0	Svensson_Links
837.17	486.1	Svensson_Links
843.268575	492.5	Svensson_Links
849.47285	499.209065483871	Svensson_Links
852.7045250000001	502.75	Svensson_Links
863.6472	514.7724498692241	Svensson_Links
886.95318	540.32	Svensson_Links
890.9	544.8	Svensson_Links
893.0500999999999	547.36	Svensson_Links
898.4	553.1	Svensson_Links
898.58315	553.32	Svensson_Links
905.9506	561.376	Svensson_Links
908.84087	564.41	Svensson_Links
912.39	568.22	Svensson_Links
913.9723	569.95	Svensson_Links
915.82	571.93	Svensson_Links
919.64	576.07	Svensson_Links
922.2397000000001	579.0	Svensson_Links
928.73855	586.28	Svensson_Links
935.311065	593.45	Svensson_Links
940.346235	598.86	Svensson_Links
948.24145	606.98	Svensson_Links
954.64557	613.2	Svensson_Links
956.7564	616.0	Svensson_Links
966.743475	626.54	Svensson_Links
969.24	629.2	Svensson_Links
972.18308	632.28	Svensson_Links
976.25918	636.42	Svensson_Links
984.68575	644.76	Svensson_Links
985.85	645.9	Svensson_Links
993.1901250000001	653.22	Svensson_Links
1002.32965	661.85	Svensson_Links
1007.25638	666.38	Svensson_Links
1008.8337	667.8	Svensson_Links
1012.2939	670.99	Svensson_Links
1013.18866	671.93	Svensson_Links
1014.6379	673.1726553966189	Svensson_Links
1016.27013	674.852078023407	Svensson_Links
1018.7479000000001	677.14	Svensson_Links
1021.32	679.52	Svensson_Links
1028.38	686.23	Svensson_Links
1032.0540999999998	689.12	Svensson_Links
1034.2954	691.11	Svensson_Links
1042.9017	699.02	Svensson_Links
1045.2232	701.27	Svensson_Links
1046.5603	702.592	Svensson_Links
1048.5496	704.155	Svensson_Links
1054.9244	710.0	Svensson_Links
1064.79	718.95	Svensson_Links
1069.4747	723.22	Svensson_Links
1070.1309	723.82	Svensson_Links
1072.9110500000002	726.31	Svensson_Links
1085.6603	737.48	Svensson_Links
1097.7233	748.08	Svensson_Links
1098.6907	748.96	Svensson_Links
1100.30355	750.33	Svensson_Links
1104.8169	754.28	Svensson_Links
1110.65845	759.56	Svensson_Links
1114.84	763.25	Svensson_Links
1126.4641	773.55	Svensson_Links
1128.11925	775.02	Svensson_Links
1129.136	775.9	Svensson_Links
1131.2186000000002	777.65	Svensson_Links
1134.5295	780.58	Svensson_Links
1140.5064	785.82	Svensson_Links
1144.52	789.4	Svensson_Links
1145.7373	790.56	Svensson_Links
1147.2226500000002	791.88	Svensson_Links
1154.3309	798.503	Svensson_Links
1159.079	802.85	Svensson_Links
1177.9481	822.08	Svensson_Links
1181.26585	826.0	Svensson_Links
1183.4676	828.55	Svensson_Links
1190.93	837.56	Svensson_Links
1199.7054	848.95	Svensson_Links
1205.459	856.76	Svensson_Links
1207.4301500000001	859.49	Svensson_Links
1215.6733	871.43	Svensson_Links
1219.21	876.66	Svensson_Links
1221.7092	880.53	Svensson_Links
1224.5736	884.77	Svensson_Links
1227.3228	889.3	Svensson_Links
1228.8572	891.34	Svensson_Links
1230.15	893.62	Svensson_Links
1234.5045	900.9	Svensson_Links
1242.2386	913.91	Svensson_Links
1242.39245	914.42	Svensson_Links
1243.21	915.695	Svensson_Links
1245.26	919.18	Svensson_Links
1248.92	925.74	Svensson_Links
1249.7577	927.11	Svensson_Links
1250.5653	929.2	Svensson_Links
1252.19	931.64	Svensson_Links
1256.5894	939.54	Svensson_Links
1257.3143	941.3	Svensson_Links
1259.133	944.59	Svensson_Links
1259.9182	946.097	Svensson_Links
