#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.000000000000000000e+01	4.999999703159119235e+00	nan	nan	6.807331674392977372e-02	1.096019269499168974e-02	9.988617431557554882e-01	5.994427053167657648e-04	nan	nan	nan	nan	3.749999999999999861e-02	8.000000000000000444e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	1.762302833569183713e-01	2.838075893561972998e-02	nan	nan
1.000000000000000000e+00	-4.432560635464277965e+01	5.082821415944485999e+00	nan	nan	5.850237065888580501e-02	6.755048391443210787e-03	9.989103278996392943e-01	3.861173267499783146e-04	nan	nan	nan	nan	3.739999999999999575e-02	8.000000000000000444e-01	9.989999999999999991e-01	9.999999999999999124e-05	1.095300000000000011e+02	1.000000000000000000e+00	1.482541121620979396e-01	1.712202939223037013e-02	nan	nan
2.000000000000000000e+00	-3.758043088924576125e+01	5.278616839751198775e+00	nan	nan	3.983132892632668121e-02	2.558208601529225485e-03	9.989589150066902068e-01	1.750721406779056515e-04	nan	nan	nan	nan	3.020000000000000462e-02	8.000000000000000444e-01	9.989999999999999991e-01	9.999999999999999124e-05	1.095300000000000011e+02	1.000000000000000000e+00	9.883603367060200817e-02	6.349003155766742151e-03	nan	nan
3.000000000000000000e+00	-2.746266348335438323e+01	5.518329721824515310e+00	nan	nan	3.607981176987089256e-02	7.603660325106884272e-04	9.989773895003540849e-01	9.802265263822035346e-05	nan	nan	nan	nan	3.290000000000001257e-02	8.000000000000000444e-01	9.989999999999999991e-01	9.999999999999999124e-05	1.095300000000000011e+02	1.000000000000000000e+00	8.768542241388713188e-02	1.847715044443447828e-03	nan	nan
4.000000000000000000e+00	-1.605825927942794351e+01	5.560755898026112476e+00	nan	nan	3.215810051661072838e-02	1.345515340407251251e-03	9.989773755198234628e-01	9.795657414739584079e-05	nan	nan	nan	nan	3.379999999999999671e-02	8.000000000000000444e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	7.656802356650074803e-02	3.202842963340087837e-03	nan	nan
5.000000000000000000e+00	-2.997977017714845260e+00	5.409687613430419262e+00	nan	nan	2.771896810750013387e-02	9.526374343843022844e-04	9.989773615392931738e-01	9.792971548393830813e-05	nan	nan	nan	nan	2.990000000000000990e-02	8.000000000000001554e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	6.467822880531735874e-02	2.222169445102648716e-03	nan	nan
6.000000000000000000e+00	1.246317611636398226e+01	5.276275998232986986e+00	nan	nan	2.283791359490174033e-02	6.998041154770975533e-04	9.989772889114684196e-01	9.784739777974792911e-05	nan	nan	nan	nan	2.540000000000000591e-02	8.000000000000001554e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.223868845599176358e-02	1.600271166499531725e-03	nan	nan
7.000000000000000000e+00	3.160607632226110297e+01	5.146077356765604627e+00	nan	nan	2.420267845023423361e-02	8.336718260932377824e-04	9.984772071518629444e-01	9.768822327930546247e-05	nan	nan	nan	nan	2.779999999999999138e-02	8.000000000000002665e-01	9.984999999999999432e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.425853163525759526e-02	1.868723267889305442e-03	nan	nan
8.000000000000000000e+00	5.003635760451741987e+01	5.061285281779725587e+00	nan	nan	2.257820334693422248e-02	5.439494424279249767e-04	9.979771254855326346e-01	9.775417940001025481e-05	nan	nan	nan	nan	2.570000000000000062e-02	8.000000000000000444e-01	9.979999999999999982e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	4.962432380246776381e-02	1.195333476479082998e-03	nan	nan
9.000000000000000000e+00	7.018776569182058722e+01	5.048770099240893927e+00	nan	nan	2.478094700024392749e-02	3.516799277682253417e-04	9.979770936491443312e-01	9.747671491952810481e-05	nan	nan	nan	nan	2.779999999999999138e-02	7.999999999999998224e-01	9.979999999999999982e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.344089413758231627e-02	7.582001617878732442e-04	nan	nan
