# Dome Fuji, Antarctica 1993 Shallow Core 1 cm Electrical Conductivity Measurements (ECM)
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/18675
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df1993ecm1cm.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice core
#--------------------
# Contribution_Date
#	Date: 2015-05-15
#--------------------
# Title
#	Study_Name: Dome Fuji, Antarctica 1993 Shallow Core 1 cm Electrical Conductivity Measurements (ECM)
#--------------------
# Investigators
#       Investigators: Watanabe, O.; Shimada, W.; Narita, H.; Miyamoto, A.; Tayuki, K.; Hondoh, T.; Kawamura, T.; Fujita, S.; Shoji, H.; Enomoto, H.; Kameda, T.; Kawada, K.; Yokoyama, K.
#--------------------
# Description_Notes_and_Keywords
#	Description: In 1993, the 34th wintering party of the Japanese Antarctic Research Expediton  (JARE-34) conducted shallow core drilling at Dome Fuji Station, East Antarctica to make a pilot borehole for deep core drilling. Then, an ice core of 112.59 depth was recovered by electro-mechanical drill. The core was brought to the National Institute of Polar Research (NIPR: Tokyo). In 1995, core analysis was started to determine: (1) the recent circumstance of deposition process at Dome Fuji Station, and (2) the formation process of stratigraphic structure and its characteristics in a shallow layer. Chronology, chemical and physical properties are examined. The ECM signal was measured at DF 1250 V and about -15C. The data were corrected to values corresponding to -15C by use of the Arrhenius law for temperature dependence (Neftel, 1985). Density was also corrected for effects of firn density. Analogue ECM data were digitized at 1 mm intervals. After taking the moving average of 10 data, Data set was made at intervals of 1 cm.
#--------------------
# Publication
#       Authors: Watanabe, Okitsugu; Shimada, Wataru; Narita, Hideki; Miyamoto, Atsushi; Tayuki, Kazushige; Hondoh, Takeo; Kawamura, Toshiyuki; Fujita, Shuji; Shoji, Hitoshi; Enomoto, Hiroyuki; Kameda, Takao; Kawada, Kunio; Yokoyama, Kotaro
#       Published_Date_or_Year:  1997     
#       Published_Title: Preliminary discussion of physical properties of the Dome Fuji shallow ice core in 1993, Antarctica
#       Journal_Name: Proc. NIPR Symp. Polar Meteorol. Glaciol.
#       Volume: 11
#       Edition:
#       Issue:
#       Pages: 1-8
#       DOI:
#       Online_Resource: http://ci.nii.ac.jp/naid/110001030903/en/
#       Full_Citation:
#       Abstract: To make a pilot-hole for deep core drilling at Dome Fuji Station, East Queen Maud Land, Antarctica, shallow ice core drilling was conducted to a depth of 112.59 m by electro-mechanical drill. Core logging, measurements of impermeability and bulk density were conducted in situ and most of another analysis was done in Japan.  Much depth hoar developed at Dome Fuji Station. However, it did not influence the densification rate, which mainly depends on temperature. Air bubble close-off starts from about 90 m depth. Much accumulation at one time occurs during marine cyclones at Dome Fuji Station.
#------------------
# Funding_Agency
#       Funding_Agency_Name:
#       Grant:
#------------------
# Site_Information
#       Site_Name: Dome Fuji
#       Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -77.317
#	Southernmost_Latitude: -77.317
#	Easternmost_Longitude: 39.703
#	Westernmost_Longitude: 39.703
#	Elevation: 3800 m 
#------------------
# Data_Collection  
#	Collection_Name: DF93ECM1cm
#	Earliest_Year:  2632
#	Most_Recent_Year:  33
#	Time_Unit:  Cal. Year BP
#	Core_Length: 112.59 m
#	Notes:
#------------------
# Chronology:
#
#	
#----------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
## depth_m	depth, , , m, , , center of averaged 10 mm section, ,N
## ec	Electrical conductance, , , micro Ampare, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: 
#
depth_m	ec
6.20	0.989
6.21	1.696
6.22	3.172
6.23	2.794
6.24	4.270
6.25	1.690
6.26	3.347
6.27	2.562
6.28	1.912
6.29	4.489
6.30	1.457
6.31	1.711
6.32	0.820
6.33	2.311
6.34	0.878
6.35	0.725
6.36	1.809
6.37	0.798
6.38	1.022
6.39	1.835
6.40	2.693
6.41	1.592
6.42	1.425
6.43	1.996
6.44	2.598
6.45	2.536
6.46	0.725
6.47	0.452
6.48	0.285
6.49	0.283
6.50	0.252
6.51	0.235
6.52	0.339
6.53	0.232
6.54	0.185
6.55	0.501
6.56	0.273
6.57	0.271
6.58	0.464
6.59	0.362
6.60	0.448
6.61	0.363
6.62	0.340
6.63	0.520
6.64	1.360
6.65	2.856
6.66	6.923
6.67	5.348
6.68	6.233
6.69	6.431
6.70	1.567
6.71	7.726
6.72	3.017
6.73	4.266
6.74	3.781
6.75	4.266
6.76	4.531
6.77	6.386
6.78	6.943
6.79	4.486
6.80	4.339
6.81	6.458
6.82	5.751
6.83	4.190
6.84	2.556
6.85	2.130
6.86	1.938
6.87	3.174
6.88	3.673
6.89	5.263
6.90	4.659
6.91	4.659
6.92	3.291
6.93	3.776
6.94	3.745
6.95	4.202
6.96	4.231
6.97	7.336
6.98	4.952
6.99	5.466
7.00	4.200
7.01	5.392
7.02	4.759
7.03	4.862
7.04	4.581
7.05	5.111
7.06	6.024
7.07	8.349
7.08	8.128
7.09	6.140
7.10	4.609
7.11	6.125
7.12	7.965
7.13	9.172
7.14	6.065
7.15	6.403
7.16	9.288
7.17	7.360
7.18	8.037
7.19	8.080
7.20	6.196
7.21	6.549
7.22	3.292
7.23	0.884
7.24	5.848
7.25	7.963
7.26	5.060
7.27	3.437
7.28	4.050
7.29	5.720
7.30	2.988
7.31	4.437
7.32	3.684
7.33	7.096
7.34	6.567
7.35	6.666
7.36	7.142
7.37	3.574
7.38	8.009
7.39	14.202
7.40	9.936
7.41	4.678
7.42	9.574
7.43	10.630
7.44	11.908
7.45	4.773
7.46	7.502
7.47	9.241
7.48	9.137
7.49	7.412
7.50	5.669
7.51	6.214
7.52	5.205
7.53	6.961
7.54	3.853
7.55	3.357
7.56	5.010
7.57	5.350
7.58	6.236
7.59	5.091
7.60	2.410
7.61	2.527
7.62	2.645
7.63	2.405
7.64	1.993
7.65	2.248
7.66	2.894
7.67	3.080
7.68	3.164
7.69	0.654
7.70	4.662
7.71	1.708
7.72	0.411
7.73	2.193
7.74	1.878
7.75	1.824
7.76	2.468
7.77	2.167
7.78	1.865
7.79	1.661
7.80	1.962
7.81	0.839
7.82	0.907
7.83	0.469
7.84	0.415
7.85	0.333
7.86	0.360
7.87	0.360
7.88	0.334
7.89	0.376
7.90	0.321
7.91	0.334
7.92	0.293
7.93	0.281
7.94	0.199
7.95	0.185
7.96	0.199
7.97	0.226
7.98	0.227
7.99	0.255
8.00	0.227
8.01	0.227
8.02	0.201
8.03	0.503
8.04	0.695
8.05	2.106
8.06	3.586
8.07	4.821
8.08	2.820
8.09	1.614
8.10	0.532
8.11	0.355
8.12	0.273
8.13	1.026
8.14	3.027
8.15	2.822
8.16	3.563
8.17	2.193
8.22	1.512
8.23	1.490
8.24	1.213
8.26	1.525
8.27	1.995
8.28	2.189
8.29	2.854
8.30	2.421
8.31	1.300
8.32	2.458
8.33	1.887
8.34	2.297
8.35	1.863
8.36	1.370
8.37	1.231
8.38	1.290
8.39	1.170
8.40	1.070
8.41	1.461
8.42	1.145
8.43	1.025
8.44	0.868
8.45	1.690
8.46	2.670
8.47	2.432
8.48	1.881
8.49	0.858
8.50	0.799
8.51	3.231
8.52	2.228
8.53	1.068
8.54	1.714
8.55	5.874
8.56	1.535
8.57	4.458
8.58	2.552
8.59	3.473
8.60	2.764
8.61	2.841
8.62	1.466
8.63	4.291
8.64	4.702
8.65	4.307
8.66	6.622
8.67	4.796
8.68	4.676
8.69	3.791
8.70	3.651
8.77	4.449
8.78	4.092
8.79	2.143
8.80	4.189
8.81	3.495
8.82	1.813
8.83	3.387
8.84	4.692
8.85	6.830
8.86	7.259
8.87	5.936
8.88	7.668
8.89	6.884
8.90	4.148
8.91	6.060
8.92	4.310
8.93	3.279
8.94	1.441
8.95	1.645
8.96	4.215
8.97	5.288
8.98	4.601
8.99	7.081
9.00	8.392
9.01	8.947
