/* DATA DESCRIPTION:
Citation:	Alley, Richard B (1999): GISP2 Stratigraphy [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.56103
Related to:	Alley, Richard B; Meese, D A; Shuman, Christopher A; Gow, A J; Taylor, Kendrick C; Grootes, Pieter Meiert; White, James W C; Ram, M; Waddington, Edwin D; Mayewski, Paul Andrew; Zielinski, G A (1993): Abrupt increase in Greenland snow accumulation at the end of the Younger Dryas event. Nature, 362(6420), 527-529, https://doi.org/10.1038/362527a0
	Alley, Richard B; Saltzman, Eric S; Cuffey, Kurt M; Fitzpatrick, Joan J (1990): Summertime formation of depth hoar in central Greenland. Geophysical Research Letters, 17, 2393-2396, https://doi.org/10.1029/GL017i013p02393
	Alley, Richard B; Shuman, Christopher A; Meese, D A; Gow, A J; Taylor, Kendrick C; Cuffey, Kurt M; Fitzpatrick, Joan J; Grootes, Pieter Meiert; Zielinski, G A; Ram, M; Spinelli, Glenn; Elder, Bruce C (1997): Visual-stratigraphic dating of the GISP2 ice core: Basis, reproducibility, and application. Journal of Geophysical Research: Oceans, 102(C12), 26367-26382, https://doi.org/10.1029/96JC03837
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Kapsner, W R; Alley, Richard B; Shuman, Christopher A; Anandakrishnan, Sridhar; Grootes, Pieter Meiert (1995): Dominant influence of atmospheric circulation on snow accumulation in Greenland over the past 18,000 years. Nature, 373(6509), 52-54, https://doi.org/10.1038/373052a0
	Meese, D A; Gow, A J; Alley, Richard B; Zielinski, G A; Grootes, Pieter Meiert; Ram, M; Taylor, Kendrick C; Mayewski, Paul Andrew; Bolzan, J F (1997): The Greenland Ice Sheet Project 2 depth-age scale: Methods and results. Journal of Geophysical Research: Oceans, 102(C12), 26411-26424, https://doi.org/10.1029/97JC00269
	Spinelli, Glenn (1996): A statistical analysis of ice-accumulation level and variability in the GISP2 ice core and a reexamination of the age of the termination of the Younger Dryas cooling episode. Earth System Science Center Technical Report University of New, 96-001
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.588000 * LONGITUDE: -38.457000
	MINIMUM ELEVATION: 3203.0 m * MAXIMUM ELEVATION: 3203.0 m
Event(s):	GISP2-D_Strat * LATITUDE: 72.588000 * LONGITUDE: -38.457000 * ELEVATION: 3203.0 m * LOCATION: Greenland * CAMPAIGN: GISP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Dummy (DUMMY)
Comment:	Depths of mid-summer as determined separately from ECM and visual stratigraphy in the GISP2-D ice core. Also given are calculated layer thicknesses (true and ice equivalent) and calculated accumulation rates. Factor A = (accum)/(layer thickness). Summ. refers to the calender year associated with the mid-summer pick.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated from conductivity
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy
	Age [a AD/CE] (Age) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy * COMMENT: mid-summer pick
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: true layer thickness
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: ice equivalent layer thickness
	Density [g/cm**3] (Density) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Factor (Factor) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: Factor A = (accum)/(layer thickness)
	Correction (corr) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu)
	Interval comments (Interval comm) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual description
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8237 data points
*/
Age [ka BP]	Depth ref [m] (Calculated from conductivity)	Depth ref [m] (Visual stratigraphy)	Age [a AD/CE] (mid-summer pick, Visual strat...)	Thickness [m] (true layer thickness, Calculated)	Thickness [m] (ice equivalent layer thicknes...)	Density [g/cm**3] (Pycnometer (Micromeritics))	Factor (Factor A = (accum)/(layer thi...)	corr	Interval comm (Visual description)
0.24700	94.05		1703						
0.24800	94.24	94.28	1702			0.884			
0.24900	94.50	94.65	1701	0.3700	0.3270	0.884	1.026	0.336	
0.25000	94.75	94.95	1700	0.3000	0.2650	0.884	1.026	0.272	
0.25100	95.06	95.21	1699	0.2600	0.2300	0.884	1.026	0.236	
0.25200	95.44	95.53	1698	0.3200	0.2830	0.884	1.026	0.290	
0.25300	95.71	95.76	1697	0.2300	0.2030	0.884	1.026	0.209	
0.25400	96.00	95.98	1696	0.2200	0.1940	0.884	1.026	0.200	
0.25500	96.24	96.24	1695	0.1600	0.1420	0.885	1.026	0.145	
0.25600	96.53	96.53	1694	0.2900	0.2570	0.885	1.026	0.263	
0.25700	96.82	96.85	1693	0.3200	0.2830	0.885	1.027	0.291	
0.25800	97.04	97.04	1692	0.1900	0.1680	0.886	1.027	0.173	
0.25900	97.29	97.25	1691	0.2100	0.1860	0.886	1.027	0.191	
0.26000	97.54	97.54	1690	0.2900	0.2570	0.886	1.027	0.264	
0.26100	97.84	97.79	1689	0.2500	0.2220	0.886	1.027	0.227	
0.26200	98.01	98.02	1688	0.2300	0.2040	0.887	1.027	0.210	
0.26300	98.34	98.24	1687	0.2200	0.1950	0.887	1.027	0.200	
0.26400	98.60	98.57	1686	0.3300	0.2930	0.887	1.027	0.301	
0.26500	98.90	98.83	1685	0.2600	0.2310	0.887	1.027	0.237	
0.26600	99.20	99.11	1684	0.2800	0.2490	0.888	1.027	0.255	
0.26700	99.40	99.35	1683	0.2400	0.2130	0.888	1.027	0.219	
0.26800	99.69	99.66	1682	0.3100	0.2750	0.888	1.027	0.283	
0.26900	99.99	99.93	1681	0.2700	0.2400	0.888	1.028	0.246	
0.27000	100.23	100.21	1680	0.2800	0.2490	0.889	1.028	0.256	
0.27100	100.45	100.49	1679	0.2800	0.2490	0.889	1.028	0.256	
0.27200	100.74	100.71	1678	0.2200	0.1960	0.889	1.028	0.201	
0.27300	101.02	100.98	1677	0.2700	0.2400	0.889	1.028	0.247	questionable
0.27400	101.23	101.23	1676	0.2500	0.2220	0.889	1.028	0.228	
0.27500	101.51	101.47	1675	0.2400	0.2130	0.889	1.028	0.219	
0.27600	101.78	101.74	1674	0.2700	0.2400	0.889	1.028	0.247	
0.27700	102.00	102.03	1673	0.2900	0.2580	0.890	1.028	0.265	
0.27800	102.28	102.25	1672	0.2200	0.1960	0.890	1.028	0.201	
0.27900	102.49	102.49	1671	0.2400	0.2140	0.890	1.028	0.220	
0.28000	102.65	102.74	1670	0.2500	0.2230	0.890	1.028	0.229	
0.28100	102.97	103.05	1669	0.3100	0.2760	0.890	1.028	0.284	
0.28200	103.22	103.18	1668	0.1300	0.1160	0.890	1.029	0.119	
0.28300	103.45	103.45	1667	0.2700	0.2400	0.890	1.029	0.247	
0.28400	103.72	103.72	1666	0.2700	0.2400	0.890	1.029	0.247	
0.28500	104.00	103.95	1665	0.2300	0.2050	0.890	1.029	0.211	
0.28600	104.22	104.21	1664	0.2600	0.2320	0.891	1.029	0.238	
0.28700	104.47	104.44	1663	0.2300	0.2050	0.891	1.029	0.211	
0.28800	104.80	104.80	1662	0.3600	0.3210	0.891	1.029	0.330	
0.28900	105.00	104.94	1661	0.1400	0.1250	0.891	1.029	0.128	
0.29000	105.24	105.31	1660	0.3700	0.3300	0.891	1.029	0.339	
0.29100	105.41	105.59	1659	0.2800	0.2490	0.891	1.029	0.257	
0.29200	105.60	105.82	1658	0.2300	0.2050	0.891	1.029	0.211	
0.29300	106.00	106.04	1657	0.2200	0.1960	0.892	1.029	0.202	questionable
0.29400	106.23	106.22	1656	0.1800	0.1610	0.892	1.029	0.165	
0.29500	106.45	106.44	1655	0.2200	0.1960	0.892	1.030	0.202	
0.29600	106.73	106.70	1654	0.2600	0.2320	0.892	1.030	0.239	
0.29700	107.01	106.92	1653	0.2200	0.1960	0.892	1.030	0.202	
0.29800	107.21	107.20	1652	0.2800	0.2500	0.892	1.030	0.257	
0.29900	107.48	107.48	1651	0.2800	0.2500	0.892	1.030	0.257	
0.30000	107.74	107.70	1650	0.2200	0.1960	0.892	1.030	0.202	
0.30100	108.00	108.02	1649	0.3200	0.2860	0.893	1.030	0.294	
0.30200	108.32	108.33	1648	0.3100	0.2770	0.893	1.030	0.285	
0.30300	108.58	108.57	1647	0.2400	0.2140	0.893	1.030	0.221	
0.30400	108.84	108.80	1646	0.2300	0.2050	0.893	1.030	0.212	
0.30500	109.13	109.05	1645	0.2500	0.2240	0.894	1.030	0.230	
0.30600	109.36	109.24	1644	0.1900	0.1700	0.894	1.030	0.175	
0.30700	109.53	109.51	1643	0.2700	0.2410	0.894	1.031	0.249	
0.30800	109.81	109.71	1642	0.2000	0.1790	0.894	1.031	0.184	
0.30900	110.03	110.02	1641	0.3100	0.2770	0.895	1.031	0.286	
0.31000	110.41	110.30	1640	0.2800	0.2510	0.895	1.031	0.258	
0.31100	110.50	110.52	1639	0.2200	0.1970	0.895	1.031	0.203	
0.31200	110.74	111.01	1638	0.4900	0.4390	0.895	1.031	0.452	
0.31300	111.23	111.18	1637	0.1700	0.1520	0.895	1.031	0.157	
0.31400	111.56	111.42	1636	0.2400	0.2150	0.895	1.031	0.221	
0.31500	111.85	111.86	1635	0.4400	0.3940	0.896	1.031	0.407	
0.31600	112.08	112.05	1634	0.1900	0.1700	0.896	1.031	0.176	
0.31700	112.31	112.31	1633	0.2600	0.2330	0.896	1.031	0.240	
0.31800	112.55	112.51	1632	0.2000	0.1790	0.896	1.031	0.185	
0.31900	112.78	112.75	1631	0.2400	0.2150	0.896	1.032	0.222	
0.32000	113.02	112.98	1630	0.2300	0.2060	0.896	1.032	0.213	
0.32100	113.22	113.22	1629	0.2400	0.2150	0.897	1.032	0.222	
0.32200	113.50	113.48	1628	0.2600	0.2330	0.897	1.032	0.241	
0.32300	113.71	113.71	1627	0.2300	0.2060	0.897	1.032	0.213	
0.32400	113.93	113.93	1626	0.2200	0.1970	0.897	1.032	0.204	
0.32500	114.22	114.22	1625	0.2900	0.2600	0.897	1.032	0.268	
0.32600	114.50	114.50	1624	0.2800	0.2510	0.897	1.032	0.259	
0.32700	114.73	114.71	1623	0.2100	0.1890	0.898	1.032	0.195	
0.32800	114.98	114.99	1622	0.2800	0.2510	0.898	1.032	0.260	
0.32900	115.32	115.20	1621	0.2100	0.1890	0.898	1.032	0.195	questionable
0.33000	115.39	115.38	1620	0.1800	0.1620	0.898	1.032	0.167	
0.33100	115.66	115.63	1619	0.2500	0.2250	0.898	1.032	0.232	
