GRIP Dielectric Profiling (DEP) and Electrical Conductivity (ECM) data

REFERENCES: 

Wolff, E.W., J.C. Moore, H.B. Clausen, and C.U. Hammer. 1997. Climatic
implications of background acidity and other chemistry derived from
electrical studies of the Greenland Ice Core Project ice core. Journal of
Geophysical Research 102:26325-26332.

Clausen, H.B., C.U. Hammer, J. Christensen, C.S. Hvidberg, D. Dahl-Jensen,
M.R. Legrand, and J.P. Steffensen. 1995. 1250 years of global volcanism as
revealed by central Greenland ice cores. Ice Core Studies of Global
Biogeochemical cycles, annecy, France, R. Delmas (ed.). NATO Advanced
Sciences Institutes Series 1, 30:175-194.

Wolff, E.W., J.C. Moore, H.B. Clausen, C.U. Hammer, J. Kipfstuhl, and K.
Fuhrer. 1995. Long-term changes in the acid and salt concentrations of the
Greenland Ice Core Project ice core from electrical stratigraphy. Journal
of Geophysical Research 100:16249-16263.

Moore, J.C., E.W. Wolff, H.B. Clausen, C.U. Hammer, M.R. Legrand, and K.
Fuhrer. 1994. Electrical response of the Summit-Greenland ice core to
ammonium, sulphuric acid, and hydrochloric acid. Geophysical Research
Letters 21:565-568.

GRIP Members. 1993. Climate instability during the last interglacial period
recorded in the GRIP ice core. Nature 364:203-207.

Taylor, K.C., C.U. Hammer, R.B. Alley, H.B. Clausen, D. Dahl-Jensen, A.J.
Gow, N.S. Gundestrup, J. Kipfstuhl, J.C. Moore, and E.D. Waddington. 1993.
Electrical conductivity measurements from the GISP2 and GRIP Greenland ice
cores. Nature 366:549-552.

Moore, J.C., R. Mulvaney, and J.G. Paren. 1989. Dielectric stratigraphy of
ice: a new technique for determining total ionic concentrations in polar
ice cores. Geophysical Research Letters 16:1177-1180.

Moore, J.C., and J.G. Paren. 1987. A new technique for dielectric logging
of Antarctic ice cores. Journal de Physique 48:C1/155-C1/160.

DATA DESCRIPTION: 

This file contains DEP (dielectric profiling) data and ECM (electrical
conductivity) from the GRIP ice core drilled at Summit, Greenland between
1990 and 1992.  The DEP data are reported as sigma infinity
(microsiemens/m), which is the high-frequency limit of the conductivity,
corrected to -15 degrees C.  The data start at 138 metres below the
surface, and continue to the bottom of the core, including several metres
of silty basal ice.  Each data point is an average over a 55 cm interval
(both top and bottom depths are given).  There are a few missing
datapoints.  The data have all the corrections described in Wolff et al.
(1995), except that large peaks from volcanic eruptions have not been
removed from this dataset (although they are generally not seen clearly in
these 55 cm averages).  Note that the level changes between 730 and 930 m
are believed to be spurious (Wolff, et al., 1995) due to poor temperature
correction. 

Sigma infinity has a pure ice background of 9 microsiemens/m, and responds
to the chemistry of the ice. The only components known to cause an
increased sigma infinity are acidity, ammonium and chloride (Wolff et al.
1995; Moore et al. 1994).  A calibration is given in Wolff et al. (1995). 
During warm periods, the DEP is mainly a record of acidity, while during
cold (glacial) periods it is responding mainly to ammonium and/or
chloride.  The ECM record also shown in Wolff et al. (1995) responds only
to acidity. ECM is calculated as H+ = 0.03 * I^2 and is given in units of
micromolarity (uM) = micromoles of H+ per kg.

NOTE Additional data:

ECM data from GRIP are also reported by Clausen (1997) (file gripecm.dat),
calculated in a slightly different way.

The DEP data are reported in detail in files dep1.dat ... dep10.dat. 

DATA: 			

Depth	DEP	ECM	Age
Top (m)	(uS/m)	(uM)	Top (yr BP)

138.05	18.9870	2.3240	466
138.60	20.4664	2.5689	469
139.15	22.1330	2.8183	471
139.70	20.6000	2.0998	474
140.25	20.4737	1.8131	477
140.80	20.2581	1.7144	479
141.35	17.0175	1.5050	482
141.90	19.6370	2.3101	484
142.45	21.7050	2.4432	487
143.00	23.3347	1.8249	489
143.55	20.4211	1.8140	491
144.10	20.2968	1.7142	494
144.65	17.9725	1.9961	496
145.20	15.6663	1.7783	499
145.75	18.5141	1.5618	501
146.30	18.6689	2.1745	504
146.85	21.3367	3.0563	506
147.40	19.0632	2.1215	508
147.95	19.3322	1.8962	511
148.50	18.9343	1.4869	513
149.05	19.8511	1.2693	516
149.60	19.7528	1.4698	518
150.15	19.4496	1.5011	521
150.70	19.4757	1.3584	523
151.25	19.2878	1.6917	526
151.80	19.7000	2.4994	529
152.35	20.1722	2.1482	531
152.90	19.1725	1.7895	534
153.45	18.8359	2.1949	536
154.00	20.5914	2.3906	539
154.55	20.2907	2.3811	541
155.10	20.1378	2.3839	543
155.65	19.0914	1.7694	546
156.20	19.4652	1.7026	548
156.75	19.0800	1.9991	551
157.30	18.6768	1.8750	553
157.85	19.0715	1.7458	556
158.40	19.5019	1.9149	558
158.95	22.3982	2.4546	560
159.50	20.8315	2.3544	563
160.05	21.7914	2.3994	565
160.60	19.9873	2.4970	568
161.15	19.9882	1.9039	571
161.70	19.8264	1.4771	574
162.25	18.5533	1.0787	576
162.80	18.9182	1.3182	579
163.35	19.2326	0.9531	582
163.90	18.8471	0.9751	584
164.45	18.1207	1.0404	587
165.00	19.3082	1.0857	590
165.55	18.1368	1.0719	592
166.10	19.1852	1.0146	595
166.65	18.3530	1.2691	598
167.20	18.2582	0.9844	600
167.75	18.8411	1.0945	603
168.30	21.5229	1.5723	606
168.85	21.1259	1.6474	608
169.40	20.4229	1.8316	611
169.95	18.4469	0.9430	613
170.50	20.2943	1.9091	616
171.05	18.3196	1.4146	619
171.60	20.9682	2.0755	621
172.15	20.6679	1.8521	624
172.70	20.6570	1.7200	626
173.25	19.7432	1.3931	629
173.80	18.1119	1.5089	632
174.35	19.1239	1.7428	634
174.90	19.7907	1.4788	637
175.45	19.2389	1.0729	640
176.00	18.0948	1.3234	642
176.55	19.5243	1.4096	645
177.10	17.3222	0.8451	647
177.65	20.5796	1.6207	650
178.20	19.5996	1.4803	652
178.75	18.2859	1.1627	655
179.30	18.6204	1.1711	657
179.85	19.3764	1.3327	660
180.40	20.8526	1.7750	662
180.95	23.0407	1.9061	665
181.50	20.4962	1.1185	667
182.05	18.3147	1.4596	670
182.60	17.9963	1.0890	672
183.15	19.3579	1.4064	675
183.70	17.0170	1.5203	677
184.25	19.2414	1.6138	680
184.80	21.0111	2.3985	682
185.35	18.8989	1.7536	685
185.90	18.9975	1.7102	687
186.45	19.5326	1.8611	690
187.00	36.6682	7.1303	693
187.55	17.1707	1.3088	696
188.10	19.7368	1.8462	698
188.65	19.5456	1.5117	701
189.20	17.7157	1.6026	703
189.75	18.0482	1.4205	706
190.30	16.7896	1.5710	709
190.85	16.5396	1.0153	711
191.40	17.7443	1.7514	714
191.95	19.3737	1.9548	716
192.50	18.9275	1.1883	719
193.05	20.4140	3.6332	721
194.70	17.3610	1.2927	729
195.25	20.2678	1.2689	731
195.80	20.4532	1.5513	734
196.35	17.2626	0.9978	737
196.90	17.9456	0.8283	739
197.45	18.2196	0.9417	742
198.00	20.1078	1.1871	744
198.55	20.4043	1.1575	747
199.10	19.0067	1.4914	749
199.65	22.6350	1.8636	752
200.20	18.0626	0.9792	754
200.75	15.8891	2.2209	757
201.30	13.2230	2.4366	759
201.85	14.3029	2.0682	762
202.40	16.8496	1.4898	765
202.95	19.4641	2.3392	768
203.50	25.0500	3.4402	770
204.05	18.5874	1.4850	773
204.60	18.1714	1.1079	775
205.15	20.4152	1.7278	778
205.70	22.5929	1.6491	781
206.25	18.3074	0.8405	783
206.80	17.4721	1.0357	786
207.35	17.8122	1.1368	788
207.90	17.5900	1.0637	791
208.45	17.8152	1.0376	794
209.00	17.4085	1.2952	796
209.55	19.0925	1.8606	799
210.10	18.2533	1.4403	802
210.65	19.2511	0.9952	805
211.20	19.9646	1.4407	807
211.75	21.2754	1.4357	810
212.30	20.8263	1.4683	812
212.85	19.5856	1.5589	815
213.40	20.3022	1.6804	817
213.95	20.3189	1.8951	820
214.50	21.2171	1.8040	823
215.05	21.9722	1.1895	825
215.60	20.6950	1.3395	828
216.15	21.4767	1.1622	830
216.70	19.9659	2.0371	833
217.25	19.2226	0.9701	836
217.80	20.5843	1.0819	838
218.35	20.4048	1.0262	841
218.90	22.6414	2.0483	844
219.45	25.0226	2.7962	847
220.00	18.8971	1.4015	850
220.55	20.2722	1.4489	852
221.10	20.2868	1.5631	855
221.65	19.4922	1.6832	858
222.20	21.0207	2.1559	860
222.75	19.3300	1.6886	863
223.30	20.6700	1.9804	865
223.85	20.2637	1.6567	868
224.40	18.4679	1.0659	870
224.95	16.6877	1.3868	873
225.50	19.2233	1.9105	875
226.05	17.4361	1.2827	878
226.60	18.7039	1.2028	881
227.15	22.2464	1.5400	883
227.70	20.2785	0.9922	886
228.25	19.5711	1.0329	889
228.80	21.3035	1.5138	891
229.35	19.5639	1.6901	894
229.90	18.4396	1.0948	896
230.45	20.0464	1.4482	899
231.00	19.4374	1.9371	902
231.55	20.4489	2.0548	905
232.10	18.7796	1.6312	907
232.65	19.1668	1.5380	910
233.20	18.8122	1.4145	912
233.75	19.7959	1.3262	915
234.30	18.8664	1.3041	918
234.85	19.5848	1.0454	920
235.40	18.9615	1.5125	923
235.95	20.4268	2.0010	926
236.50	21.3111	2.2769	928
237.05	18.5314	2.0316	931
237.60	18.9896	1.1058	933
238.15	20.0725	1.6271	936
238.70	20.6163	1.6109	939
239.25	19.1561	1.6186	941
239.80	19.2800	1.6236	944
240.35	21.1678	2.0353	947
240.90	21.3179	2.3224	949
241.45	20.2156	2.0802	952
242.00	20.0761	2.4084	955
242.55	22.9770	2.3721	957
243.10	22.7807	2.4033	960
243.65	20.4989	2.1541	963
244.20	19.6382	1.6880	965
244.75	17.9393	1.4722	968
245.30	18.8042	2.2081	971
245.85	19.4446	0.9512	974
246.40	19.0078	0.8844	976
246.95	20.8318	1.1796	978
247.50	21.7022	1.4215	981
248.05	20.1436	0.8440	984
248.60	19.4837	0.7433	986
249.15	19.2354	0.7458	989
249.70	18.8500	1.3424	991
250.25	18.2759	0.9342	994
250.80	21.5296	1.4223	996
251.35	19.8348	1.1568	998
251.90	19.2636	1.0346	1001
252.45	19.9259	1.6743	1004
253.00	18.6304	1.4126	1006
253.55	21.3685	1.9710	1009
254.10	21.6621	2.6909	1011
254.65	19.3845	2.0297	1014
255.20	20.5467	0.8162	1017
255.75	46.6932	9.6833	1019
256.30	23.2141	1.1493	1022
256.85	18.5675	1.2392	1025
257.40	18.8733	1.2525	1027
257.95	20.2375	1.7842	1030
258.50	19.9893	2.1118	1032
259.05	20.4815	1.9799	1035
259.60	20.8426	1.7234	1038
260.15	20.9957	1.7592	1040
260.70	22.5359	2.1360	1043
261.25	19.9196	1.7012	1046
261.80	20.1656	0.9854	1048
262.35	20.5618	1.0840	1051
262.90	20.2889	1.1465	1053
263.45	24.8896	2.6052	1056
264.00	20.9107	1.9287	1058
264.55	22.1482	2.1945	1061
265.10	21.0375	1.5332	1064
265.65	19.6704	1.5243	1066
266.20	19.9547	1.5287	1069
266.75	19.9400	1.3352	1072
267.30	20.8714	1.2939	1075
267.85	19.4558	1.7023	1077
268.40	22.8489	1.7926	1080
268.95	29.2904	3.3289	1083
269.50	22.9208	1.4333	1085
270.05	20.5671	1.3542	1088
270.60	21.0382	1.0777	1091
271.15	20.3243	0.9751	1093
271.70	19.2937	0.6342	1096
272.25	19.9963	1.3227	1099
272.80	23.3246	2.2696	1102
273.35	22.1448	1.9883	1105
273.90	22.3793	2.2025	1107
274.45	20.6678	1.0728	1110
275.00	20.6411	0.9097	1113
275.55	18.9500	0.5689	1115
276.10	20.8996	0.6359	1117
276.65	20.6654	0.5142	1120
277.20	20.3833	0.4995	1123
277.75	21.3661	0.4567	1125
278.30	18.8946	1.1443	1128
278.85	20.2068	1.2842	1131
279.40	22.2856	1.9463	1133
279.95	21.6300	1.2030	1136
280.50	22.5348	1.5069	1139
281.05	25.2800	1.9948	1141
281.60	22.8593	1.6589	1144
282.15	20.4356	1.2617	1147
282.70	18.0982	1.0010	1150
283.25	20.8582	1.6782	1152
283.80	20.0557	1.4005	1155
284.35	21.9507	1.9689	1158
284.90	21.5543	2.0550	1160
285.45	21.0126	2.1084	1163
286.00	18.9463	1.5020	1166
286.55	21.7479	1.3881	1168
287.10	23.4744	1.8873	1171
287.65	21.1143	1.7262	1174
288.20	19.5470	1.3838	1176
288.75	21.8626	1.7518	1180
289.30	22.0293	1.5751	1182
289.85	20.2311	1.9078	1185
290.40	22.2356	2.3459	1187
290.95	19.6854	1.5254	1190
291.50	16.3156	1.1222	1192
292.05	21.1350	1.7692	1195
292.60	22.4178	2.2153	1197
293.15	19.2337	1.5933	1200
293.70	22.0225	2.0143	1203
294.25	22.3874	2.1492	1205
294.80	22.0525	2.3590	1208
295.35	25.4130	2.6810	1210
295.90	21.3978	1.9358	1213
296.45	20.1129	1.5796	1215
297.00	19.2554	1.3622	1218
297.55	18.1800	1.2456	1221
298.10	19.8886	1.4084	1223
298.65	21.2230	1.7321	1226
299.20	19.7364	1.7944	1229
299.75	21.2352	2.2150	1231
300.30	17.2861	1.1453	1234
300.85	18.7274	1.0490	1236
301.40	18.5261	1.0542	1239
301.95	19.3346	1.0403	1241
302.50	18.7161	1.1063	1244
303.05	18.4759	0.9091	1247
303.60	18.9254	0.9301	1249
304.15	19.4130	0.9722	1252
304.70	20.1430	0.9861	1255
305.25	20.5946	0.8840	1258
305.80	20.4682	1.8221	1261
306.35	19.8624	1.6174	1263
306.90	21.7943	1.6816	1266
307.45	19.3970	1.3399	1269
308.00	21.7439	0.6835	1271
308.55	22.9886	1.3285	1274
309.10	22.7943	2.0879	1277
309.65	22.2782	1.5718	1280
310.20	20.4611	1.3849	1283
310.75	21.8663	1.6360	1285
311.30	21.5189	1.6948	1288
311.85	21.4396	1.0298	1290
312.40	21.2248	1.3341	1293
312.95	20.0382	1.0531	1296
313.50	21.4648	1.7633	1298
314.05	20.4007	1.1090	1301
314.60	20.2959	1.2793	1304
315.15	20.0800	0.9325	1306
315.70	21.8911	1.7442	1309
316.25	21.7219	2.2817	1312
316.80	20.0393	1.0702	1315
317.35	20.0636	0.9821	1317
317.90	19.2857	1.2555	1320
318.45	18.9200	0.9742	1322
319.00	18.0211	0.4678	1325
319.55	23.7768	2.0101	1328
320.10	20.2059	1.1724	1331
320.65	30.0744	2.6528	1333
321.20	20.6570	1.4314	1336
321.75	19.7033	0.7980	1339
322.30	21.3454	0.6625	1342
322.85	18.9393	1.3369	1345
323.40	19.8596	1.3787	1347
323.95	21.1889	0.9234	1350
324.50	20.8825	0.8936	1353
325.05	20.0356	1.5320	1355
325.60	19.9496	1.4592	1358
326.15	20.3382	1.8865	1361
326.70	20.5361	1.7298	1363
327.25	19.9808	1.6732	1366
327.80	22.1348	2.0808	1369
328.35	22.6329	1.5932	1372
328.90	20.3089	1.7092	1375
329.45	20.3029	1.4884	1377
330.00	22.3359	2.0731	1380
330.55	19.3993	1.2177	1383
331.10	22.5096	2.1566	1386
331.65	25.6452	2.0179	1389
332.20	20.5240	1.2457	1392
332.75	22.6156	2.0744	1394
333.30	20.9346	1.6478	1397
333.85	18.4393	1.2278	1399
334.40	19.0554	1.0435	1402
334.95	19.6186	1.3534	1404
335.50	20.0689	1.1162	1407
336.05	16.2382	0.5280	1410
336.60	18.0564	0.9039	1412
337.15	19.9186	1.5371	1415
337.70	21.4404	2.1194	1418
338.25	23.3004	2.3626	1421
338.80	25.0421	2.6306	1423
339.35	30.4285	4.2959	1426
339.90	20.1489	1.6398	1429
340.45	21.3914	1.9491	1432
341.00	20.5082	0.9191	1435
341.55	19.5797	1.3509	1438
342.10	25.8282	2.6315	1440
342.65	21.7359	2.0008	1443
343.20	20.9036	1.7013	1446
343.75	20.1093	1.3879	1449
344.30	18.6774	1.2269	1452
344.85	21.5300	1.7405	1455
345.40	19.7570	1.3600	1458
345.95	19.6221	1.3869	1461
346.50	20.7493	1.7344	1463
347.05	19.5152	1.7178	1466
347.60	19.3839	1.6540	1469
348.15	19.1541	1.4878	1472
348.70	19.6357	1.5327	1475
349.25	21.6512	1.8104	1478
349.80	20.3775	1.7390	1480
350.35	20.0107	1.4098	1484
350.90	20.7075	1.9250	1486
351.45	20.4662	1.2219	1489
352.00	22.0093	1.0685	1492
352.55	21.2252	0.8972	1495
353.10	19.9721	1.4221	1497
353.65	21.6696	2.0621	1500
354.20	22.0472	0.9553	1503
354.75	21.5456	1.2169	1506
355.30	20.8425	1.3764	1509
355.85	22.0512	1.4973	1512
356.40	20.5136	1.8141	1514
356.95	20.8185	1.8502	1517
357.50	19.4036	1.5336	1519
358.05	20.9648	0.8129	1522
358.60	21.2415	1.4715	1525
359.15	20.9589	1.6120	1528
359.70	21.0852	1.6495	1531
360.25	20.6296	1.5796	1534
360.80	19.6307	1.3423	1536
361.35	20.5647	1.6037	1539
361.90	18.9367	0.9936	1542
362.45	20.8943	1.3168	1544
363.00	19.8650	1.1930	1547
363.55	20.3536	1.3771	1550
364.10	20.4448	1.5048	1553
364.65	18.7429	1.2909	1555
365.20	21.6437	1.4490	1558
365.75	21.1359	1.3894	1561
366.30	20.9848	1.6232	1563
366.85	20.1239	1.2976	1566
367.40	17.6552	0.9687	1569
367.95	16.5136	0.7656	1572
368.50	18.2663	1.1187	1574
369.05	19.5075	1.5371	1577
369.60	20.2544	1.6503	1580
370.15	19.8326	1.3630	1582
370.70	18.2825	0.9973	1585
371.25	19.4052	1.2598	1587
371.80	17.2325	0.8613	1590
372.35	19.6269	1.1581	1593
372.90	19.4952	1.2371	1596
373.45	19.5132	1.1416	1598
374.00	21.1956	1.3594	1601
374.55	17.9179	0.9294	1604
