/* DATA DESCRIPTION:
Citation:	Hammer, C U; Dahl-Jensen, Dorthe (1999): GRIP Accumulation Rates [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55084
Related to:	Dahl-Jensen, Dorthe; Johnsen, Sigfús Jóhann; Hammer, C U; Clausen, Henrik Brink; Jouzel, Jean (1993): Past accumulation rates derived from observed annual layers in the GRIP ice core from Summit, central Greenland. In: Peltier, W R (ed.), Ice in the Climate System,Springer-Verlag, Berlin-Heidelberg, Germany, 517-532
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Hammer, C U; Andersen, Katrine K; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Hvidberg, Christine Schøtt; Iversen, P (1997): The stratigraphic dating of the GRIP ice core. Special Report of the Geophysical Department, Niels Bohr Institute for Astronomy physics and Geophysics, University of Copenhagen
	Johnsen, Sigfús Jóhann; Dahl-Jensen, Dorthe; Dansgaard, W; Gundestrup, Niels S (1995): Greenland palaeotemperatures derived from GRIP bore hole temperature and ice core isotope profiles. Tellus Series B-Chemical and Physical Meteorology, 47(5), 624-629, https://doi.org/10.1034/j.1600-0889.47.issue5.9.x
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 2983.20 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Depth at the top of the sample
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate per year [g/cm**2/a] (Acc rate) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk) * METHOD/DEVICE: Calculated * COMMENT: based on d18O
	Layer thickness [m] (Thickness) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10850 data points
*/
Depth ice/snow [m]	Age [ka BP]	Acc rate [g/cm**2/a]	Thickness [m]
0.00	-0.03900	0.249	0.23084
0.55	-0.03806	0.252	0.25188
1.10	-0.03719	0.211	0.21048
1.65	-0.03612	0.235	0.23493
2.20	-0.03514	0.222	0.22189
2.75	-0.03410	0.260	0.25999
3.30	-0.03319	0.242	0.24200
3.85	-0.03220	0.229	0.22908
4.40	-0.03113	0.247	0.24679
4.95	-0.03012	0.232	0.23141
5.50	-0.02903	0.244	0.24376
6.05	-0.02797	0.244	0.24328
6.60	-0.02690	0.242	0.24200
7.15	-0.02580	0.229	0.22819
7.70	-0.02461	0.191	0.19089
8.25	-0.02317	0.226	0.22568
8.80	-0.02193	0.188	0.18743
9.35	-0.02041	0.246	0.24551
9.90	-0.01923	0.254	0.25316
10.45	-0.01807	0.205	0.20452
11.00	-0.01660	0.257	0.25675
11.55	-0.01542	0.228	0.22759
12.10	-0.01405	0.249	0.24793
12.65	-0.01278	0.238	0.23778
13.20	-0.01144	0.203	0.20287
13.75	-0.00983	0.238	0.23772
14.30	-0.00844	0.204	0.20368
14.85	-0.00681	0.222	0.22107
15.40	-0.00530	0.243	0.24196
15.95	-0.00392	0.227	0.22620
16.50	-0.00243	0.227	0.22580
17.05	-0.00093	0.229	0.22801
17.60	0.00056	0.181	0.18059
18.15	0.00246	0.228	0.22738
18.70	0.00397	0.250	0.24901
19.25	0.00535	0.257	0.25545
19.80	0.00671	0.230	0.22913
20.35	0.00823	0.250	0.24917
20.90	0.00964	0.236	0.23439
21.45	0.01114	0.253	0.25155
22.00	0.01254	0.211	0.20987
22.55	0.01424	0.240	0.23864
23.10	0.01573	0.258	0.25666
23.65	0.01713	0.242	0.24111
24.20	0.01862	0.256	0.25499
24.75	0.02004	0.227	0.22585
25.30	0.02165	0.265	0.26327
25.85	0.02303	0.232	0.23037
26.40	0.02463	0.208	0.20708
26.95	0.02640	0.233	0.23101
27.50	0.02801	0.202	0.20034
28.05	0.02986	0.230	0.22823
28.60	0.03150	0.223	0.22179
29.15	0.03319	0.259	0.25702
29.70	0.03465	0.213	0.21107
30.25	0.03645	0.212	0.21083
30.80	0.03825	0.230	0.22859
31.35	0.03992	0.253	0.25096
31.90	0.04145	0.242	0.24007
32.45	0.04305	0.183	0.18121
33.00	0.04518	0.220	0.21797
33.55	0.04696	0.235	0.23267
34.10	0.04864	0.226	0.22448
34.65	0.05038	0.233	0.23084
35.20	0.05209	0.225	0.22308
35.75	0.05386	0.238	0.23591
36.30	0.05554	0.230	0.22821
36.85	0.05728	0.233	0.23050
37.40	0.05902	0.203	0.20104
37.95	0.06101	0.236	0.23321
38.50	0.06274	0.239	0.23669
39.05	0.06445	0.235	0.23244
39.60	0.06620	0.230	0.22724
40.15	0.06799	0.216	0.21367
40.70	0.06991	0.236	0.23301
41.25	0.07167	0.236	0.23365
41.80	0.07344	0.238	0.23496
42.35	0.07520	0.235	0.23202
42.90	0.07699	0.239	0.23652
43.45	0.07875	0.246	0.24313
44.00	0.08048	0.221	0.21878
