/* DATA DESCRIPTION:
Citation:	Wolff, Eric William (1999): GRIP Dielectric Profiling (DEP) and Electrical Conductivity (ECM) averaged data [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55092
Related to:	Clausen, Henrik Brink; Hammer, C U; Christensen, John P; Hvidberg, Christine Schøtt; Dahl-Jensen, Dorthe; Legrand, Michel R; Steffensen, Jørgen Peder (1995): 1250 years of global volcanism as revealed by central Greenland ice cores. In: Delmas, R (ed.), Ice Core Studies of Global Biogeochemical cycles, Annecy, France, NATO Advanced Sciences Institutes Series 1, 30, 175-194
	GRIP Members (1993): Climate instability during the last interglacial period recorded in the GRIP ice core. Nature, 364(6434), 203-207, https://doi.org/10.1038/364203a0
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Moore, J Casey; Mulvaney, Robert; Paren, J G (1989): Dielectric stratigraphy of ice: a new technique for determining total ionic concentrations in polar ice cores. Geophysical Research Letters, 16, 1177-1180, https://doi.org/10.1029/GL016i010p01177
	Moore, J Casey; Paren, J G (1987): A new technique for dielectric logging of Antarctic ice cores. Journal de Physique, 48C, 155-160, https://doi.org/10.1051/jphyscol:1987123
	Moore, J Casey; Wolff, Eric William; Clausen, Henrik Brink; Hammer, C U; Legrand, Michel R; Fuhrer, Katrin (1994): Electrical response of the Summit-Greenland ice core to ammonium, sulphuric acid, and hydrochloric acid. Geophysical Research Letters, 21(7), 565-568, https://doi.org/10.1029/94GL00542
	Taylor, Kendrick C; Hammer, C U; Alley, Richard B; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Gow, A J; Gundestrup, Niels S; Kipfstuhl, Sepp; Moore, J Casey; Waddington, Edwin D (1993): Electrical conductivity measurements from the GISP2 and GRIP Greenland ice cores. Nature, 366(6455), 549-552, https://doi.org/10.1038/366549a0
	Wolff, Eric William; Moore, J Casey; Clausen, Henrik Brink; Hammer, C U (1997): Climatic implications of background acidity and other chemistry derived from electrical studies of the Greenland Ice Core Project ice core. Journal of Geophysical Research: Oceans, 102(C12), 26325-26332, https://doi.org/10.1029/96JC02223
	Wolff, Eric William; Moore, J Casey; Clausen, Henrik Brink; Hammer, C U; Kipfstuhl, Sepp; Fuhrer, Katrin (1995): Long-term changes in the acid and salt concentrations of the Greenland Ice Core Project ice core from electrical stratigraphy. Journal of Geophysical Research: Atmospheres, 100(D8), 16249-16264, https://doi.org/10.1029/95JD01174
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 138.05 m * MAXIMUM DEPTH, ice/snow: 3021.70 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Each data point is an average over a 55 cm interval; data are correted, level changes between 730 and 930 m are believed to be spurious (Wolff, et al., 1995) due to poor temperature correction.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Conductivity, specific [µS/m] (Cond) * PI: Wolff, Eric William (https://orcid.org/0000-0002-5914-8531, ew428@cam.ac.uk) * METHOD/DEVICE: Calculated average/mean values
	Conductivity, electrical, ice (Cond electr) * PI: Wolff, Eric William (https://orcid.org/0000-0002-5914-8531, ew428@cam.ac.uk) * METHOD/DEVICE: Calculated average/mean values * COMMENT: calculated as H+ = 0.03 x I**2; unit=micromol of H+ per kg
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10346 data points
*/
Depth ice/snow [m]	Age [ka BP]	Cond [µS/m]	Cond electr
138.05	0.466	18.987	2.324
138.60	0.469	20.466	2.569
139.15	0.471	22.133	2.818
139.70	0.474	20.600	2.100
140.25	0.477	20.474	1.813
140.80	0.479	20.258	1.714
141.35	0.482	17.018	1.505
141.90	0.484	19.637	2.310
142.45	0.487	21.705	2.443
143.00	0.489	23.335	1.825
143.55	0.491	20.421	1.814
144.10	0.494	20.297	1.714
144.65	0.496	17.972	1.996
145.20	0.499	15.666	1.778
145.75	0.501	18.514	1.562
146.30	0.504	18.669	2.174
146.85	0.506	21.337	3.056
147.40	0.508	19.063	2.122
147.95	0.511	19.332	1.896
148.50	0.513	18.934	1.487
149.05	0.516	19.851	1.269
149.60	0.518	19.753	1.470
150.15	0.521	19.450	1.501
150.70	0.523	19.476	1.358
151.25	0.526	19.288	1.692
151.80	0.529	19.700	2.499
152.35	0.531	20.172	2.148
152.90	0.534	19.172	1.790
153.45	0.536	18.836	2.195
154.00	0.539	20.591	2.391
154.55	0.541	20.291	2.381
155.10	0.543	20.138	2.384
155.65	0.546	19.091	1.769
156.20	0.548	19.465	1.703
156.75	0.551	19.080	1.999
157.30	0.553	18.677	1.875
157.85	0.556	19.072	1.746
158.40	0.558	19.502	1.915
158.95	0.560	22.398	2.455
159.50	0.563	20.832	2.354
160.05	0.565	21.791	2.399
160.60	0.568	19.987	2.497
161.15	0.571	19.988	1.904
161.70	0.574	19.826	1.477
162.25	0.576	18.553	1.079
162.80	0.579	18.918	1.318
163.35	0.582	19.233	0.953
163.90	0.584	18.847	0.975
164.45	0.587	18.121	1.040
165.00	0.590	19.308	1.086
165.55	0.592	18.137	1.072
166.10	0.595	19.185	1.015
166.65	0.598	18.353	1.269
167.20	0.600	18.258	0.984
167.75	0.603	18.841	1.094
168.30	0.606	21.523	1.572
168.85	0.608	21.126	1.647
169.40	0.611	20.423	1.832
169.95	0.613	18.447	0.943
170.50	0.616	20.294	1.909
171.05	0.619	18.320	1.415
171.60	0.621	20.968	2.076
172.15	0.624	20.668	1.852
172.70	0.626	20.657	1.720
173.25	0.629	19.743	1.393
173.80	0.632	18.112	1.509
174.35	0.634	19.124	1.743
174.90	0.637	19.791	1.479
175.45	0.640	19.239	1.073
176.00	0.642	18.095	1.323
176.55	0.645	19.524	1.410
177.10	0.647	17.322	0.845
177.65	0.650	20.580	1.621
178.20	0.652	19.600	1.480
178.75	0.655	18.286	1.163
179.30	0.657	18.620	1.171
179.85	0.660	19.376	1.333
180.40	0.662	20.853	1.775
180.95	0.665	23.041	1.906
181.50	0.667	20.496	1.118
182.05	0.670	18.315	1.460
182.60	0.672	17.996	1.089
183.15	0.675	19.358	1.406
183.70	0.677	17.017	1.520
184.25	0.680	19.241	1.614
184.80	0.682	21.011	2.398
185.35	0.685	18.899	1.754
185.90	0.687	18.998	1.710
186.45	0.690	19.533	1.861
187.00	0.693	36.668	7.130
187.55	0.696	17.171	1.309
188.10	0.698	19.737	1.846
188.65	0.701	19.546	1.512
189.20	0.703	17.716	1.603
189.75	0.706	18.048	1.420
190.30	0.709	16.790	1.571
190.85	0.711	16.540	1.015
191.40	0.714	17.744	1.751
191.95	0.716	19.374	1.955
192.50	0.719	18.928	1.188
193.05	0.721	20.414	3.633
194.70	0.729	17.361	1.293
195.25	0.731	20.268	1.269
195.80	0.734	20.453	1.551
196.35	0.737	17.263	0.998
196.90	0.739	17.946	0.828
197.45	0.742	18.220	0.942
198.00	0.744	20.108	1.187
198.55	0.747	20.404	1.158
199.10	0.749	19.007	1.491
199.65	0.752	22.635	1.864
200.20	0.754	18.063	0.979
200.75	0.757	15.889	2.221
201.30	0.759	13.223	2.437
201.85	0.762	14.303	2.068
202.40	0.765	16.850	1.490
202.95	0.768	19.464	2.339
203.50	0.770	25.050	3.440
204.05	0.773	18.587	1.485
204.60	0.775	18.171	1.108
205.15	0.778	20.415	1.728
205.70	0.781	22.593	1.649
206.25	0.783	18.307	0.840
206.80	0.786	17.472	1.036
207.35	0.788	17.812	1.137
207.90	0.791	17.590	1.064
208.45	0.794	17.815	1.038
209.00	0.796	17.408	1.295
209.55	0.799	19.092	1.861
210.10	0.802	18.253	1.440
210.65	0.805	19.251	0.995
211.20	0.807	19.965	1.441
211.75	0.810	21.275	1.436
212.30	0.812	20.826	1.468
212.85	0.815	19.586	1.559
213.40	0.817	20.302	1.680
213.95	0.820	20.319	1.895
214.50	0.823	21.217	1.804
