#PROGRAM: dep90.pas
#PROT: N: 145
#PROT: TE: -26.3
#PROT: T: 79.200
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 445 78.00
#PROT: DB: 1425 78.00
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    79.205   0.135159  78.579000   0.135570  78.655900   0.140760  79.549000   0.171568  80.640400 
    79.210   0.162456 103.337000   0.163570 103.177000   0.173694 102.698000   0.217551 101.451000 
    79.215   0.171503 110.959000   0.173165 110.641000   0.187067 108.979000   0.239064 105.136000 
    79.220   0.175497 114.392000   0.177424 113.997000   0.193230 111.813000   0.249574 106.669000 
    79.225   0.177574 115.107000   0.179547 114.710000   0.195793 112.493000   0.253405 106.961000 
    79.230   0.178345 113.098000   0.180177 112.758000   0.195663 110.807000   0.251599 105.720000 
    79.235   0.178232 108.914000   0.179795 108.662000   0.193518 107.238000   0.245291 103.250000 
    79.240   0.177637 102.972000   0.178864 102.826000   0.189947 102.133000   0.235228  99.771200 
    79.245   0.177017  96.248200   0.177817  96.213200   0.186061  96.246800   0.223828  95.600800 
    79.250   0.176636  90.924300   0.177208  90.917400   0.183534  91.290900   0.215192  91.677600 
    79.255   0.176661  88.078400   0.177168  88.055600   0.182855  88.360800   0.211179  88.997500 
    79.260   0.177020  86.821600   0.177521  86.830800   0.183096  86.951300   0.209914  87.451900 
    79.265   0.177372  86.205400   0.177898  86.157600   0.183501  86.220200   0.209648  86.574900 
    79.270   0.177662  85.863900   0.178187  85.803700   0.183835  85.808300   0.209877  86.065400 
    79.275   0.177936  86.132500   0.178507  86.068100   0.184404  85.997300   0.211001  86.014700 
    79.280   0.178052  86.900200   0.178659  86.859700   0.184917  86.662100   0.212347  86.466100 
    79.285   0.178097  87.984100   0.178764  87.908600   0.185428  87.667600   0.214206  87.195600 
    79.290   0.178102  89.396200   0.178879  89.274300   0.186161  88.876100   0.216689  88.002700 
    79.295   0.178087  90.490400   0.178940  90.362400   0.186749  89.839200   0.218665  88.638000 
    79.300   0.178171  90.977700   0.179011  90.848000   0.187031  90.322700   0.219623  89.023700 
    79.305   0.178216  91.117900   0.179036  90.991500   0.187051  90.490500   0.219860  89.244400 
    79.310   0.178367  91.353400   0.179220  91.245500   0.187303  90.703900   0.220251  89.428400 
    79.315   0.178548  91.368300   0.179398  91.229400   0.187485  90.667800   0.220293  89.363000 
    79.320   0.178775  90.714800   0.179590  90.597000   0.187382  90.101200   0.219342  89.016000 
    79.325   0.179188  89.163100   0.179887  89.079500   0.186801  88.859800   0.216939  88.349500 
    79.330   0.179707  88.759900   0.180350  88.703600   0.186959  88.591200   0.216527  88.254800 
    79.335   0.180327  90.508000   0.181097  90.393300   0.188582  89.972900   0.219665  89.127700 
    79.340   0.180699  90.996000   0.181493  90.867900   0.189095  90.443000   0.220601  89.491200 
    79.345   0.180883  89.888800   0.181559  89.815200   0.188457  89.638600   0.218680  89.216300 
    79.350   0.181160  89.472900   0.181750  89.461700   0.188228  89.441400   0.217824  89.339100 
    79.355   0.181419  90.265400   0.182028  90.234600   0.188660  90.238700   0.218862  90.115900 
    79.360   0.181596  92.181000   0.182310  92.114400   0.189589  91.934900   0.221475  91.432200 
    79.365   0.181626  94.309300   0.182470  94.202100   0.190658  93.750100   0.224764  92.668300 
    79.370   0.181712  95.732500   0.182612  95.611000   0.191247  95.115800   0.226731  93.783700 
    79.375   0.181650  96.422200   0.182562  96.298700   0.191213  95.837000   0.227244  94.550800 
    79.380   0.181457  96.749500   0.182331  96.700700   0.190980  96.239500   0.227205  94.995000 
    79.385   0.181328  97.065200   0.182239  96.937000   0.190997  96.489000   0.227500  95.169400 
    79.390   0.181313  97.095300   0.182252  96.991900   0.191129  96.468700   0.227796  95.048600 
    79.395   0.181421  96.922300   0.182371  96.771900   0.191302  96.223400   0.227804  94.726200 
    79.400   0.181424  96.274100   0.182348  96.139200   0.191117  95.571900   0.226758  94.135700 
    79.405   0.181132  94.650300   0.181994  94.556500   0.190124  94.097200   0.224029  92.994700 
    79.410   0.180890  92.464400   0.181614  92.384500   0.188893  92.153500   0.220380  91.593700 
    79.415   0.180940  90.833200   0.181585  90.772500   0.188226  90.632200   0.217586  90.419100 
    79.420   0.181023  89.659800   0.181601  89.610500   0.187727  89.551200   0.215414  89.603800 
    79.425   0.180941  88.100500   0.181405  88.097600   0.186823  88.234700   0.212583  88.729000 
    79.430   0.180824  87.146200   0.181181  87.204900   0.186046  87.438600   0.210667  88.334600 
    79.435   0.180773  87.950200   0.181180  87.967300   0.186200  88.248800   0.211587  89.083500 
    79.440   0.180802  90.769500   0.181365  90.738100   0.187452  90.829700   0.215921  91.045900 
    79.445   0.180787  94.331200   0.181533  94.251300   0.188976  94.004300   0.221262  93.433000 
    79.450   0.180724  97.389400   0.181649  97.272200   0.190302  96.780500   0.226087  95.507200 
    79.455   0.180649  99.820900   0.181682  99.699400   0.191329  99.025900   0.229945  97.165100 
    79.460   0.180373 101.339000   0.181486 101.182000   0.191686 100.375000   0.232137  98.198300 
    79.465   0.180200 102.220000   0.181355 102.065000   0.191887 101.185000   0.233250  98.856500 
    79.470   0.180197 102.628000   0.181367 102.449000   0.191997 101.535000   0.233603  99.125700 
    79.475   0.180316 102.166000   0.181466 102.004000   0.191867 101.094000   0.232592  98.852100 
