#PROGRAM: dep90.pas
#PROT: N: 139
#PROT: TE: -28
#PROT: T: 75.900
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 890 78.00
#PROT: S: 1075 1150
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    75.905   0.143708  53.635000   0.143817  53.599000   0.145570  53.557500   0.153842  54.115900 
    75.910   0.159809  62.347200   0.160123  62.246300   0.163429  61.910900   0.176569  61.756400 
    75.915   0.165282  65.656300   0.165677  65.560700   0.169769  65.175600   0.186020  64.678700 
    75.920   0.168278  68.165600   0.168731  68.071800   0.173263  67.712300   0.191880  67.125900 
    75.925   0.170600  71.216400   0.171131  71.100400   0.176372  70.662800   0.197157  69.784100 
    75.930   0.172190  73.847200   0.172861  73.732500   0.178837  73.122000   0.201999  71.867100 
    75.935   0.173149  74.480400   0.173782  74.378600   0.179819  73.828300   0.203539  72.646100 
    75.940   0.173840  74.152500   0.174408  74.074500   0.180036  73.721500   0.203256  72.891200 
    75.945   0.174477  74.500200   0.175005  74.416600   0.180561  74.117800   0.203780  73.416700 
    75.950   0.175601  75.832500   0.176187  75.727400   0.182176  75.331500   0.206492  74.431400 
    75.955   0.176819  76.972000   0.177437  76.889900   0.183660  76.433500   0.208893  75.399000 
    75.960   0.177583  77.676300   0.178244  77.540900   0.184538  77.086100   0.210054  76.018900 
    75.965   0.178116  77.965100   0.178760  77.842300   0.185014  77.404200   0.210402  76.417000 
    75.970   0.178391  77.653500   0.178991  77.539400   0.184959  77.198900   0.209667  76.384700 
    75.975   0.178439  77.453800   0.179023  77.367600   0.184934  77.015600   0.209108  76.241400 
    75.980   0.178494  77.103800   0.179060  77.000900   0.184732  76.650300   0.208104  75.959300 
    75.985   0.178490  75.528800   0.178952  75.457900   0.183825  75.312200   0.205065  75.147800 
    75.990   0.178589  74.445800   0.178959  74.401000   0.183214  74.418900   0.202898  74.664200 
    75.995   0.178843  75.664900   0.179276  75.590500   0.183946  75.488300   0.204538  75.484000 
