#PROGRAM: dep90.pas
#PROT: N: 166
#PROT: TE: -28
#PROT: T: 90.750
#PROT: DB: 1650 78.00 # end of core
#PROT: DB: 550 78.00 # bag cut
#PROT: DB: 1100 78.00 # bag cut
#PROT: DB: 480 78.00
#PROT: DB: 1525 78.00
#PROT: S: 440 550
#PROT: S: 1050 1150
#PROT: CC: 1350 1440
# depth c250k g250k c200k g200k c100k g100k c50k g50k 
    90.755   0.139097  77.670100   0.139291  77.759600   0.142610  78.850000   0.166342  81.198800 
    90.760   0.163955  98.261900   0.164673  98.201500   0.171758  98.386100   0.206285  99.023500 
    90.765   0.172104 105.918000   0.173270 105.763000   0.183789 105.102000   0.227148 103.539000 
    90.770   0.176152 111.751000   0.177695 111.494000   0.190818 110.224000   0.241160 107.017000 
    90.775   0.178446 115.424000   0.180154 115.135000   0.194790 113.570000   0.249639 109.534000 
    90.780   0.179709 117.316000   0.181462 117.013000   0.196635 115.475000   0.253790 111.182000 
    90.785   0.180379 117.904000   0.182082 117.637000   0.197041 116.291000   0.254992 112.296000 
    90.790   0.180842 117.532000   0.182431 117.312000   0.196636 116.359000   0.254129 113.017000 
    90.795   0.181221 116.060000   0.182599 115.952000   0.195387 115.630000   0.251295 113.428000 
    90.800   0.181991 115.533000   0.183183 115.523000   0.194910 115.738000   0.249863 114.433000 
    90.805   0.182972 117.993000   0.184252 117.958000   0.196563 118.102000   0.253697 116.612000 
    90.810   0.183587 121.301000   0.185002 121.216000   0.198490 121.154000   0.259174 119.000000 
    90.815   0.184222 124.717000   0.185754 124.585000   0.200437 124.375000   0.265134 121.522000 
    90.820   0.184975 128.875000   0.186753 128.760000   0.203195 128.157000   0.272782 124.223000 
    90.825   0.185628 133.388000   0.187759 133.186000   0.206357 131.938000   0.280974 126.605000 
    90.830   0.186115 136.938000   0.188439 136.640000   0.208666 134.925000   0.287171 128.565000 
    90.835   0.186352 139.215000   0.188816 138.880000   0.210004 136.906000   0.290980 129.939000 
    90.840   0.186286 139.803000   0.188745 139.484000   0.210095 137.532000   0.291800 130.545000 
    90.845   0.185911 138.451000   0.188248 138.215000   0.208664 136.690000   0.289242 130.355000 
    90.850   0.185570 136.546000   0.187721 136.395000   0.206862 135.432000   0.285462 129.963000 
    90.855   0.185505 135.631000   0.187560 135.530000   0.205950 134.752000   0.283153 129.853000 
    90.860   0.185629 135.750000   0.187686 135.583000   0.205998 134.717000   0.282410 129.942000 
    90.865   0.185443 135.044000   0.187475 134.871000   0.205482 134.018000   0.280798 129.463000 
    90.870   0.185290 133.780000   0.187183 133.637000   0.204515 133.028000   0.278310 128.991000 
    90.875   0.185315 132.986000   0.187131 132.873000   0.203878 132.417000   0.276415 128.769000 
    90.880   0.185349 132.696000   0.187125 132.583000   0.203656 132.194000   0.275589 128.729000 
