/* DATA DESCRIPTION:
Citation:	Bazin, L et al. (2013): Methane measured on ice core TALDICE on AICC2012 chronology. doi:10.1594/PANGAEA.824886, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012). doi:10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaelle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, P; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Y; Loutre, M-F; Raynaud, Dominique; Vinther, Bo M; Svensson, A; Rasmussen, Sune O; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric W (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, doi:10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaelle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, P; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune O; Severi, Mirko; Svensson, A; Vinther, Bo M; Wolff, Eric W (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, doi:10.5194/cp-9-1733-2013
Other version:	Icecores data on AICC2012 in Excel format (URI: hdl:10013/epic.42842.d001)
Further details:	Buiron, Daphné; Chappellaz, Jérôme A; Stenni, Barbara; Frezzotti, Massimo; Baumgartner, Matthias; Capron, Emilie; Landais, Amaelle; Lemieux-Dudon, Bénédicte; Masson-Delmotte, Valerie; Montagnat, M; Parrenin, Frédéric; Schilt, Adrian (2011): TALDICE-1 age scale of the Talos Dome deep ice core, East Antarctica. Climate of the Past, 7(1), 1-16, doi:10.5194/cp-7-1-2011
	Schüpbach, Simon; Federer, Urs; Bigler, Matthias; Fischer, Hubertus; Stocker, Thomas F (2011): A refined TALDICE-1a age scale from 55 to 112 ka before present for the Talos Dome ice core based on high-resolution methane measurements. Climate of the Past, 7(3), 1001-1009, doi:10.5194/cp-7-1001-2011
Project(s):	Talos Dome Ice Core (TALDICE) (URI: http://www.taldice.org/)
Coverage:	LATITUDE: -72.783330 * LONGITUDE: 159.066670
	DATE/TIME START: 2005-01-01T00:00:00 * DATE/TIME END: 2008-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 73.475 m * MAXIMUM DEPTH, ice/snow: 1437.980 m
Event(s):	TALDICE (Talos Dome) * LATITUDE: -72.783330 * LONGITUDE: 159.066670 * DATE/TIME START: 2005-01-01T00:00:00 * DATE/TIME END: 2008-12-31T00:00:00 * ELEVATION: 2315.0 m * Recovery: 89 m * LOCATION: Antarctica * DEVICE: Electromechanical drill (EMD)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (eMail: lucie.bazin@lsce.ipsl.fr) * COMMENT: on AICC2012
	Methane [ppbv] (CH4) * PI: Buiron, Daphné * COMMENT: see "Further details" for the original reference of this data
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2678 data points
*/
Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
73.475	0.0116866	1388.300
82.575	0.1256770	1194.000
91.015	0.2170970	796.300
91.045	0.2173320	811.000
94.570	0.2652040	743.300
101.015	0.3132270	703.000
105.570	0.4183350	694.700
111.015	0.4792190	687.000
114.575	0.5045130	685.100
120.015	0.5328600	682.700
120.045	0.5346470	712.000
125.575	0.6634280	665.400
132.015	0.7218660	681.000
132.045	0.7228960	685.000
136.575	0.7809940	669.700
143.015	0.8695870	674.000
148.575	0.9165450	674.100
156.015	1.0455500	675.000
156.045	1.0462900	682.700
156.075	1.0470200	677.000
156.535	1.0582400	661.700
160.575	1.1013900	637.700
169.015	1.2366800	650.000
169.045	1.2367100	654.000
169.535	1.2372000	660.500
173.575	1.2699000	628.700
180.015	1.3256000	637.000
183.575	1.4274800	637.200
192.015	1.4334000	630.300
196.575	1.6196200	619.500
204.015	1.6700500	630.300
208.575	1.7604600	641.400
216.015	1.8476600	636.000
220.575	1.8764500	621.500
227.535	1.9834100	617.700
232.570	2.1003600	620.000
240.025	2.1941300	601.000
244.575	2.2771500	611.000
253.015	2.4049100	608.700
256.575	2.4293300	598.700
264.015	2.5295800	597.700
264.045	2.5308400	606.300
264.075	2.5320900	598.000
264.535	2.5513200	605.300
268.575	2.5781800	589.000
275.015	2.6954800	594.700
279.570	2.7869000	583.300
288.015	2.9338000	586.700
288.045	2.9344600	585.000
288.075	2.9351100	609.000
292.575	2.9873300	574.400
300.020	3.0968100	578.700
304.575	3.1650000	586.900
312.015	3.3397600	592.000
312.045	3.3407900	590.000
316.575	3.4020900	579.800
319.575	3.4403900	587.700
324.015	3.4962300	579.700
336.015	3.7474900	579.700
341.575	3.8144400	570.000
348.015	3.8899100	599.700
348.045	3.8917100	602.000
348.505	3.9193000	608.700
353.575	4.0297300	581.300
361.015	4.1685800	572.300
361.045	4.1699400	573.000
361.075	4.1712900	576.000
361.515	4.1911500	575.300
365.575	4.2368200	562.800
373.015	4.3945700	577.300
373.045	4.3958700	592.700
373.075	4.3971700	577.000
373.105	4.3984800	595.000
373.535	4.4171300	589.300
375.575	4.4324400	575.100
385.015	4.6001700	573.000
388.575	4.6575000	574.900
397.015	4.8221000	567.300
400.575	4.8891800	573.000
409.015	5.0648900	557.300
413.575	5.1358900	557.000
421.015	5.3538000	548.300
424.575	5.3868500	558.000
433.015	5.5439200	567.000
436.575	5.6682800	567.200
444.045	5.7432100	576.700
448.575	5.9119600	578.100
456.015	5.9911000	559.000
456.045	5.9926000	587.700
456.075	5.9941000	568.000
468.015	6.2532000	606.000
472.575	6.3749500	578.300
478.015	6.4513200	617.700
478.045	6.4521800	605.000
482.575	6.5766100	579.900
490.050	6.6962100	618.300
490.080	6.6964900	603.000
490.110	6.6967700	598.000
490.140	6.6970500	605.000
490.170	6.6973300	603.700
494.575	6.8438800	607.400
503.015	6.9933600	621.000
503.045	6.9945000	631.000
503.075	6.9956300	637.000
508.575	7.1223000	613.600
515.015	7.2824900	625.300
515.045	7.2827000	624.000
520.575	7.4200600	612.200
527.015	7.5661100	629.700
527.045	7.5662100	631.000
527.075	7.5663200	630.000
527.105	7.5664300	632.300
530.525	7.6473500	627.200
540.015	7.8926300	625.700
540.055	7.8944100	625.000
543.525	7.9705300	617.000
552.575	8.2276600	573.700
555.015	8.2523200	624.300
555.045	8.2535700	631.700
555.075	8.2548300	616.000
558.575	8.3718300	619.100
