#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.000000000000000000e+01	4.999999703159119235e+00	nan	nan	6.853093164265944282e-02	1.107567071213876909e-02	9.989397622054988490e-01	5.994027904382346868e-04	nan	nan	nan	nan	3.749999999999999861e-02	8.000000000000000444e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	1.774288283166780833e-01	2.868199911752493045e-02	nan	nan
1.000000000000000000e+00	-4.436393730665243140e+01	5.082330298168122873e+00	nan	nan	5.876543883119457468e-02	6.813249538665958581e-03	9.989615647239368235e-01	3.861429388091699067e-04	nan	nan	nan	nan	3.739999999999999575e-02	8.000000000000000444e-01	9.989999999999999991e-01	9.999999999999999124e-05	1.095300000000000011e+02	1.000000000000000000e+00	1.489284064036081601e-01	1.727042313515243441e-02	nan	nan
2.000000000000000000e+00	-3.764930156892810231e+01	5.277630880357029319e+00	nan	nan	3.990908211994970839e-02	2.575624284588740910e-03	9.989833677182290428e-01	1.751271488763642993e-04	nan	nan	nan	nan	3.020000000000000462e-02	8.000000000000000444e-01	9.989999999999999991e-01	9.999999999999999124e-05	1.095300000000000011e+02	1.000000000000000000e+00	9.903139171218373893e-02	6.392377821690917866e-03	nan	nan
3.000000000000000000e+00	-2.755149336174554264e+01	5.517845174690805266e+00	nan	nan	3.605117644810938021e-02	7.610545468134449418e-04	9.989916607173082719e-01	9.815629645889515243e-05	nan	nan	nan	nan	3.290000000000001257e-02	8.000000000000000444e-01	9.989999999999999991e-01	9.999999999999999124e-05	1.095300000000000011e+02	1.000000000000000000e+00	8.761708113534495690e-02	1.849421663211214427e-03	nan	nan
4.000000000000000000e+00	-1.613819372836392319e+01	5.561010435436862132e+00	nan	nan	3.207324384401970957e-02	1.341050351231200905e-03	9.989916591277532287e-01	9.800288670209647373e-05	nan	nan	nan	nan	3.379999999999999671e-02	8.000000000000000444e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	7.636707281920607215e-02	3.192260278358651816e-03	nan	nan
5.000000000000000000e+00	-3.043544908087241652e+00	5.409638695269698871e+00	nan	nan	2.766870351760031960e-02	9.501842156471095122e-04	9.989916575381981856e-01	9.797712451937874961e-05	nan	nan	nan	nan	2.990000000000000990e-02	8.000000000000001554e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	6.456186751591554140e-02	2.216477707658550365e-03	nan	nan
6.000000000000000000e+00	1.244547420607459287e+01	5.276130689347809266e+00	nan	nan	2.281874132024276289e-02	6.987366740324077279e-04	9.989916358160521037e-01	9.777618804916176644e-05	nan	nan	nan	nan	2.540000000000000591e-02	8.000000000000001554e-01	9.989999999999999991e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.219558402977350631e-02	1.597853281098596647e-03	nan	nan
7.000000000000000000e+00	3.160418310048179080e+01	5.145971622987882022e+00	nan	nan	2.420723487902218252e-02	8.334943689065649631e-04	9.984916112417330236e-01	9.778929123390494769e-05	nan	nan	nan	nan	2.779999999999999138e-02	8.000000000000002665e-01	9.984999999999999432e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.426952930345006754e-02	1.868352007300253491e-03	nan	nan
8.000000000000000000e+00	5.003072950386891193e+01	5.061273671503839999e+00	nan	nan	2.257364985311057295e-02	5.435809859586251784e-04	9.979915866962190130e-01	9.761220398467728029e-05	nan	nan	nan	nan	2.570000000000000062e-02	8.000000000000000444e-01	9.979999999999999982e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	4.961503467817122981e-02	1.194542240999175303e-03	nan	nan
9.000000000000000000e+00	7.018591041801151675e+01	5.048770089081313195e+00	nan	nan	2.476160030743446844e-02	3.512265683674221928e-04	9.979915929828108156e-01	9.745675175834494293e-05	nan	nan	nan	nan	2.779999999999999138e-02	7.999999999999998224e-01	9.979999999999999982e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.339994820591102698e-02	7.572348519758425982e-04	nan	nan
1.000000000000000000e+01	8.891252034175121821e+01	5.060663837819221911e+00	nan	nan	2.635804838905453362e-02	3.934462271295481204e-04	9.979916048357346803e-01	9.746739297744434825e-05	nan	nan	nan	nan	2.920000000000000373e-02	7.999999999999996003e-01	9.979999999999999982e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.579031358341340202e-02	8.327333184701888030e-04	nan	nan
1.100000000000000000e+01	1.068367787975649890e+02	5.075593200045897646e+00	nan	nan	2.485374364439645392e-02	3.174353632812978109e-04	9.979916166886587670e-01	9.753505124937999116e-05	nan	nan	nan	nan	2.610000000000001208e-02	7.999999999999997113e-01	9.979999999999999982e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.164804743288350236e-02	6.598024038492268694e-04	nan	nan
1.200000000000000000e+01	1.261985949688248354e+02	5.095653949132433524e+00	nan	nan	2.749621630791337923e-02	4.967923035542815609e-04	9.974915459213307134e-01	9.713998232340562155e-05	nan	nan	nan	nan	2.710000000000001297e-02	7.999999999999997113e-01	9.975000000000000533e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.608764913666497431e-02	1.013648424802106058e-03	nan	nan
1.300000000000000000e+01	1.440278321608377894e+02	5.119760032810482642e+00	nan	nan	2.792654700119616071e-02	7.937955832455226507e-04	9.969914740497944905e-01	9.709651594770069428e-05	nan	nan	nan	nan	2.579999999999998961e-02	7.999999999999998224e-01	9.969999999999999973e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.593416074371499597e-02	1.590175636364240044e-03	nan	nan
1.400000000000000000e+01	1.619059943912841391e+02	5.178775410509330435e+00	nan	nan	2.931494772040946911e-02	3.898695470897405794e-04	9.969914031526196929e-01	9.704430109976060431e-05	nan	nan	nan	nan	2.700000000000002398e-02	8.000000000000000444e-01	9.969999999999999973e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.769868149660500184e-02	7.677606855759548741e-04	nan	nan
1.500000000000000000e+01	1.792374129620679355e+02	5.217819351952582174e+00	nan	nan	2.799065631678209279e-02	3.437699609285298436e-04	9.964913780507239638e-01	9.692004412225688746e-05	nan	nan	nan	nan	2.570000000000000062e-02	8.000000000000002665e-01	9.964999999999999414e-01	1.000000000000000048e-04	1.095300000000000011e+02	1.000000000000000000e+00	5.412805414370387008e-02	6.649696429029697481e-04	nan	nan
