#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.000000000000000000e+01	4.999999703159119235e+00	nan	nan	7.528495596423218084e-02	2.618562841911781583e-02	9.226435083062708431e-01	1.454728235551041582e-01	nan	nan	nan	nan	3.749999999999999861e-02	5.999999999999999778e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	1.800281338050646052e-01	4.412121849253672345e-02	nan	nan
1.000000000000000000e+00	-4.444531263606384641e+01	5.182011746792761109e+00	nan	nan	6.470530059287109281e-02	1.785306109115676956e-02	9.262179069854222790e-01	1.390019285997664278e-01	nan	nan	nan	nan	3.739999999999999575e-02	5.999999999999999778e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	1.520406830674160270e-01	2.627181345121240227e-02	nan	nan
2.000000000000000000e+00	-3.786812566330739571e+01	5.588757613073263464e+00	nan	nan	4.405867390177922727e-02	8.744361691176229939e-03	9.298061531861814277e-01	1.324957649167246287e-01	nan	nan	nan	nan	3.020000000000000462e-02	5.999999999999998668e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	1.017575688819302715e-01	9.294316331424768221e-03	nan	nan
3.000000000000000000e+00	-2.804084685753812778e+01	6.035290813290866474e+00	nan	nan	3.991300376466276612e-02	5.246970219539510809e-03	9.334083005550136702e-01	1.259570126619090069e-01	nan	nan	nan	nan	3.290000000000001257e-02	5.999999999999998668e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	9.063450107003355460e-02	3.064569588672958096e-03	nan	nan
4.000000000000000000e+00	-1.700752082612656579e+01	6.051353606003559982e+00	nan	nan	3.538910733145425591e-02	3.922493429565849024e-03	9.370244029462151403e-01	1.193892326289781314e-01	nan	nan	nan	nan	3.379999999999999671e-02	5.999999999999998668e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	7.903544543803331379e-02	6.058135095844716794e-03	nan	nan
5.000000000000000000e+00	-4.354969879424601231e+00	5.706259027967774955e+00	nan	nan	2.976981740642944269e-02	3.108482660686838657e-03	9.406545144227181909e-01	1.127968252915808600e-01	nan	nan	nan	nan	2.990000000000000990e-02	5.999999999999998668e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	6.540812926781572334e-02	3.748002151797917830e-03	nan	nan
6.000000000000000000e+00	1.093364961167056748e+01	5.452980711944463543e+00	nan	nan	2.383324014135184896e-02	2.452062202545690801e-03	9.442986892568994151e-01	1.061854839078022333e-01	nan	nan	nan	nan	2.540000000000000591e-02	5.999999999999999778e-01	9.989999999999999991e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	5.153149000221482479e-02	2.211720956281845295e-03	nan	nan
7.000000000000000000e+00	3.033925965626698940e+01	5.229995119714236473e+00	nan	nan	2.450421153205661895e-02	2.660384815349951197e-03	9.474825289874816425e-01	9.951266539849175363e-02	nan	nan	nan	nan	2.779999999999999138e-02	5.999999999999999778e-01	9.984999999999999432e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	5.212887994184217666e-02	2.386669077877636314e-03	nan	nan
8.000000000000000000e+00	4.952248402471025202e+01	5.071986108885617739e+00	nan	nan	2.296021266975664665e-02	2.278447451003255859e-03	9.506768651107273538e-01	9.284455435764890630e-02	nan	nan	nan	nan	2.570000000000000062e-02	6.000000000000000888e-01	9.979999999999999982e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	4.807214120390129047e-02	1.486237231537021822e-03	nan	nan
9.000000000000000000e+00	7.032455306004678164e+01	5.049595160353784529e+00	nan	nan	2.542651978153547335e-02	2.297916798052285388e-03	9.543598673758054707e-01	8.623702970246682753e-02	nan	nan	nan	nan	2.779999999999999138e-02	6.000000000000000888e-01	9.979999999999999982e-01	5.000000000000000278e-02	1.095300000000000011e+02	1.000000000000000000e+00	5.243657689440017061e-02	8.174923758621218750e-04	nan	nan
