#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	6.843582306677313909e+01	2.911683338879811345e+00	nan	nan	6.379941980021953951e-02	4.793869516710015134e-03	7.566075744217001242e-01	1.725536823617926097e-01	nan	nan	nan	nan	6.838582208562737907e-02	2.000000000000000666e-01	9.940799999999999637e-01	3.375833045815397615e-02	8.017700000000000671e+01	2.000000000000000389e-01	8.300882219390612327e-02	1.295648715005714817e-02	nan	nan
1.900000000000000000e+01	8.048273535356634056e+01	3.432098599018237106e+00	nan	nan	6.355562082012014558e-02	4.465989264539414749e-03	8.667565826385882355e-01	9.882398703104447457e-02	nan	nan	nan	nan	6.769229830658929359e-02	2.000000000000000389e-01	9.939700000000000202e-01	3.377570872506405197e-02	8.017700000000000671e+01	2.000000000000000389e-01	9.247528980256949915e-02	4.322268438859574319e-03	nan	nan
2.000000000000000000e+01	9.129643490654913762e+01	3.715720052788397343e+00	nan	nan	6.331784429239079026e-02	4.153383033873251501e-03	9.820103901443635319e-01	9.155427973211019421e-03	nan	nan	nan	nan	6.699877389495612068e-02	2.000000000000000389e-01	9.938299999999999912e-01	3.374041575423840367e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.030572726192950789e-01	5.818243289151625239e-03	nan	nan
2.100000000000000000e+01	1.009997772770978912e+02	3.406684653383018180e+00	nan	nan	6.340460119758353774e-02	3.884663868573209888e-03	9.820942327672281813e-01	8.985284213918448559e-03	nan	nan	nan	nan	6.664418833089791327e-02	2.000000000000000111e-01	9.936800000000000077e-01	3.310993131837027675e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.022313063609262135e-01	5.344447902446006378e-03	nan	nan
2.200000000000000000e+01	1.107815167030767896e+02	3.169483724938426672e+00	nan	nan	6.394275941321739265e-02	3.672386438472911765e-03	9.821681744260972735e-01	8.834193633813890861e-03	nan	nan	nan	nan	6.675685185542823419e-02	2.000000000000000111e-01	9.935199999999999587e-01	3.247944688250214290e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.018252297146526320e-01	4.957831400237182155e-03	nan	nan
2.300000000000000000e+01	1.206022654782312884e+02	3.004635636650601516e+00	nan	nan	6.449117755804766039e-02	3.498278478172895008e-03	9.822287853803622903e-01	8.682741094144241778e-03	nan	nan	nan	nan	6.687207098885572520e-02	1.999999999999999833e-01	9.933600000000000207e-01	3.188670175727913170e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.020708879656435780e-01	4.681855508039281175e-03	nan	nan
2.400000000000000000e+01	1.303993782488833233e+02	2.910299598287228839e+00	nan	nan	6.504687870230947688e-02	3.372602470084564742e-03	9.822727409179961011e-01	8.539154292041830144e-03	nan	nan	nan	nan	6.698718399969716408e-02	1.999999999999999833e-01	9.931900000000000173e-01	3.131307535914702733e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.019470363567982485e-01	4.485907456199905892e-03	nan	nan
2.500000000000000000e+01	1.402083931622757973e+02	2.882069664691189192e+00	nan	nan	6.561730751596925315e-02	3.305794371659933652e-03	9.822366093339919280e-01	8.426331642895985158e-03	nan	nan	nan	nan	6.711002789673603530e-02	1.999999999999999556e-01	9.929700000000000193e-01	3.082741347270669813e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.023507840831099497e-01	4.424158998076182549e-03	nan	nan
2.600000000000000000e+01	1.499787140148057460e+02	2.915947541531563214e+00	nan	nan	6.620049053750083623e-02	3.305881014610936256e-03	9.821073255465708751e-01	8.370407658355522723e-03	nan	nan	nan	nan	6.723911802422044559e-02	1.999999999999999278e-01	9.927500000000000213e-01	3.060943085059789417e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.025741139959611969e-01	4.470404378328830808e-03	nan	nan
2.700000000000000000e+01	1.597277623959536186e+02	3.008394858492065449e+00	nan	nan	6.674167618895231191e-02	3.297505558812142013e-03	9.819780105512617707e-01	8.332142218410975784e-03	nan	nan	nan	nan	6.736834459720886237e-02	1.999999999999999278e-01	9.925300000000000233e-01	3.039144822848909369e-02	8.017700000000000671e+01	2.000000000000000389e-01	1.020299843307670984e-01	4.472398580482023385e-03	nan	nan
