#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.494171454921105635e+01	5.852976414644217584e+00	nan	nan	9.606340152305256619e-02	3.167038238440040773e-03	1.011688484568196156e+00	1.102688260978943596e-01	nan	nan	nan	nan	8.742999999999999383e-02	1.499999999999999944e-01	1.000000000000000000e+00	8.385892408111482801e-03	7.192771428571430192e+01	2.374081900691191183e-01	2.489592876228275686e-01	2.019419781818179369e-02	nan	nan
1.000000000000000000e+00	-5.092499354414859170e+01	5.865297187792539724e+00	nan	nan	9.593543693984368792e-02	3.074891104627578472e-03	1.009506465563933197e+00	8.945135490759295593e-02	nan	nan	nan	nan	8.742999999999999383e-02	1.499999999999999944e-01	1.000000000000000000e+00	8.699506224830323708e-03	7.192771428571430192e+01	2.374118452138593016e-01	2.413884097292519904e-01	1.489044209865075970e-02	nan	nan
2.000000000000000000e+00	-4.678229257055325974e+01	5.887800772828684082e+00	nan	nan	9.573161032196550457e-02	2.929078858418593476e-03	1.007329152758275503e+00	6.872312570472274840e-02	nan	nan	nan	nan	8.742999999999997995e-02	1.499999999999999944e-01	1.000000000000000000e+00	9.013120041549162881e-03	7.192771428571430192e+01	2.374479209978987981e-01	2.615635291250160144e-01	1.119031508118274558e-02	nan	nan
3.000000000000000000e+00	-4.295912959616915572e+01	5.908115864421625396e+00	nan	nan	9.553107752507758454e-02	2.786892373083891920e-03	1.005156536000850531e+00	4.808427023707355363e-02	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	1.000000000000000000e+00	9.326733858268002053e-03	7.192771428571430192e+01	2.374810717669715576e-01	2.459812151690337068e-01	6.044704148925404696e-03	nan	nan
4.000000000000000000e+00	-3.889377851107585116e+01	5.922576040136076969e+00	nan	nan	9.531382953261655078e-02	2.634444409406430307e-03	1.002988605163178670e+00	2.753431265343792705e-02	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	1.000000000000000000e+00	9.640347674986842960e-03	7.192771428571430192e+01	2.375161728457470256e-01	2.204004263646802408e-01	2.468397162137845897e-03	nan	nan
5.000000000000000000e+00	-3.435658220663053442e+01	5.927043228827913346e+00	nan	nan	9.507713510855332617e-02	2.470507720714690009e-03	1.000825350138624836e+00	7.077334097828337674e-03	nan	nan	nan	nan	8.742999999999995220e-02	1.499999999999999944e-01	1.000000000000000000e+00	9.953961491705682132e-03	7.192771428571430192e+01	2.375551745439278550e-01	2.040739620725642023e-01	4.001416151724839117e-03	nan	nan
6.000000000000000000e+00	-2.945639802907032845e+01	5.918890116316508632e+00	nan	nan	9.482398389530587168e-02	2.298084949468564685e-03	1.000508856118372369e+00	4.082559785955297733e-03	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	1.000000000000000000e+00	1.000000000000000021e-02	7.192771428571430192e+01	2.375971012570754215e-01	1.901971405137816706e-01	3.891393673516911882e-03	nan	nan
7.000000000000000000e+00	-2.419869543007915169e+01	5.910221944428924346e+00	nan	nan	9.456017649161030381e-02	2.122238193228049696e-03	1.000509651756521290e+00	4.079728834467972499e-03	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	1.000000000000000000e+00	1.000000000000000021e-02	7.192771428571430192e+01	2.376419529851897250e-01	1.856340022597001982e-01	3.455468400964674825e-03	nan	nan
8.000000000000000000e+00	-1.881175129362181764e+01	5.903354078142259098e+00	nan	nan	9.428580566724001355e-02	1.944455702555793588e-03	1.000510447395303038e+00	4.077311402387036147e-03	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	1.000000000000000000e+00	9.999999999999998473e-03	7.192771428571430192e+01	2.376877794185680848e-01	1.739900653125472929e-01	2.912002281870130875e-03	nan	nan
9.000000000000000000e+00	-1.306429670071935334e+01	5.897716788334244065e+00	nan	nan	9.399815017705646925e-02	1.765126292643633176e-03	1.000511243034717390e+00	4.075642709646478713e-03	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	1.000000000000000000e+00	9.999999999999998473e-03	7.192771428571430192e+01	2.377365308669131816e-01	1.667870361548066116e-01	2.474054620871809097e-03	nan	nan
1.000000000000000000e+01	-7.068626874967243623e+00	5.893135574599678961e+00	nan	nan	9.370575723995998307e-02	1.592471853150084901e-03	1.000512038674764570e+00	4.074405760482308764e-03	nan	nan	nan	nan	8.743000000000000771e-02	1.499999999999999667e-01	1.000000000000000000e+00	9.999999999999998473e-03	7.192771428571430192e+01	2.377872326249609869e-01	1.662683565568569832e-01	2.161840595729389372e-03	nan	nan
1.100000000000000000e+01	-1.054253360316906196e+00	5.889367210690326537e+00	nan	nan	9.340867657740635488e-02	1.430283773029143160e-03	1.000512852698447919e+00	4.072750788083957449e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.499999999999999667e-01	1.000000000000000000e+00	9.999999999999998473e-03	7.192771428571430192e+01	2.378612151914598349e-01	1.596020586605088054e-01	1.804016020273226974e-03	nan	nan
1.200000000000000000e+01	5.211329981105464526e+00	5.885872826435191385e+00	nan	nan	9.310416428599943561e-02	1.282784193450555625e-03	1.000473712457756514e+00	4.069110982646987132e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.499999999999999667e-01	9.999599999999999600e-01	9.999999999999998473e-03	7.192771428571430192e+01	2.379472945315279919e-01	1.561842201349609438e-01	1.534332581954330225e-03	nan	nan
1.300000000000000000e+01	1.161402545914982909e+01	5.882385050062102216e+00	nan	nan	9.280062668817226634e-02	1.161365462626082982e-03	1.000394551562882262e+00	4.066127730011168812e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.499999999999999667e-01	9.998799999999999910e-01	9.999999999999998473e-03	7.192771428571430192e+01	2.380349708960466104e-01	1.585443700397372591e-01	1.388025969768689810e-03	nan	nan
1.400000000000000000e+01	1.792140805336848075e+01	5.878772969956784777e+00	nan	nan	9.249805429180270322e-02	1.073996167464323246e-03	1.000315390527932946e+00	4.063814700109484937e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.499999999999999667e-01	9.998000000000000220e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.381210605668752645e-01	1.551429029208225563e-01	1.280975736107703390e-03	nan	nan
1.500000000000000000e+01	2.436707834297465070e+01	5.874754660111230820e+00	nan	nan	9.218815720520825985e-02	1.027851011813784307e-03	1.000236229352908124e+00	4.062182048367877531e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.499999999999999667e-01	9.997200000000000530e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.382087509624184474e-01	1.491852881520986107e-01	1.260003401467212330e-03	nan	nan
1.600000000000000000e+01	3.107015216738869867e+01	5.870197305206806604e+00	nan	nan	9.182615763233774320e-02	1.031342952221754768e-03	1.000157068037808239e+00	4.060527588454889390e-03	nan	nan	nan	nan	8.739000000000007873e-02	1.499999999999999667e-01	9.996400000000000841e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.382996377730157433e-01	1.435524963451498826e-01	1.341323049490080604e-03	nan	nan
1.700000000000000000e+01	3.803624488928504377e+01	5.865171166459541396e+00	nan	nan	8.275042361276313541e-02	9.854294870275562106e-04	9.998177574021709368e-01	4.056827752682081421e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.993000000000000771e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.383937631028866244e-01	1.315493663215182574e-01	1.427678693913041327e-03	nan	nan
1.800000000000000000e+01	4.563795387476135090e+01	5.859697976638394756e+00	nan	nan	8.284487127291569053e-02	9.179705295186168287e-04	9.992683272176732245e-01	4.051552651385241684e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.987500000000000266e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.385003652367939930e-01	1.316271380526448653e-01	1.312427322308288256e-03	nan	nan
1.900000000000000000e+01	5.323517139991976421e+01	5.855539245890568623e+00	nan	nan	8.293947884610333721e-02	8.525400046170422555e-04	9.987188960924697767e-01	4.046874874444428109e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.981999999999999762e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.386160247431845238e-01	1.317049985780056054e-01	1.199633062220926624e-03	nan	nan
2.000000000000000000e+01	6.082789765022775441e+01	5.852438338632311776e+00	nan	nan	8.303670213057734451e-02	7.881230930867198130e-04	9.981194379921776161e-01	4.042256343680659600e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.976000000000000423e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.387317479770129647e-01	1.252994080719857795e-01	1.033847888659672172e-03	nan	nan
2.100000000000000000e+01	6.880878132228380650e+01	5.850067516276942214e+00	nan	nan	8.313655398941074970e-02	7.257756465168676121e-04	9.975199788655916278e-01	4.038564087655569131e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.969999999999999973e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.388535299376670085e-01	1.253747370641839498e-01	9.290937519672925549e-04	nan	nan
2.200000000000000000e+01	7.678486983434235924e+01	5.848381177707069334e+00	nan	nan	8.323658865056583755e-02	6.682959343714187355e-04	9.968704925927436289e-01	4.034970739621679577e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.963500000000000689e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.389753851873645807e-01	1.254438652826008194e-01	8.309704173209375667e-04	nan	nan
2.300000000000000000e+01	8.475656297172450593e+01	5.847181586139235776e+00	nan	nan	8.333681159786854309e-02	6.171565530802552036e-04	9.961697706294878607e-01	4.028708140502570284e-03	nan	nan	nan	nan	7.903999999999977710e-02	1.499999999999999667e-01	9.956499999999999240e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.390973199331351273e-01	1.255066254867135411e-01	7.420606912994950856e-04	nan	nan
2.400000000000000000e+01	9.272426982482495816e+01	5.846305234489689084e+00	nan	nan	8.343887376928683930e-02	5.735419590681047758e-04	9.954690208961595177e-01	4.023017131974697923e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.949500000000000011e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.392193404061411788e-01	1.215850310704680026e-01	6.442345482098341212e-04	nan	nan
2.500000000000000000e+01	1.009489664934504134e+02	5.845603630915245930e+00	nan	nan	8.354360809077020222e-02	5.398740353601662670e-04	9.947682717037362732e-01	4.017854545780926052e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.942500000000000782e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.393371701491529002e-01	1.197517696686548200e-01	5.782482550118798418e-04	nan	nan
2.600000000000000000e+01	1.092995737768912505e+02	5.844999003988243125e+00	nan	nan	8.364854719813070993e-02	5.196399844958626705e-04	9.940675230522175720e-01	4.013256959883335778e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.935499999999999332e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.394559576936599044e-01	1.217189550174373192e-01	5.561897161870237591e-04	nan	nan
2.700000000000000000e+01	1.175152210428141331e+02	5.844447066040910244e+00	nan	nan	8.375286698511072436e-02	5.145522457376257124e-04	9.933167489167789022e-01	4.008959721540145647e-03	nan	nan	nan	nan	7.903999999999999915e-02	1.499999999999999667e-01	9.927999999999999048e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.395729721817608515e-01	1.217787097213051395e-01	5.548887088946256353e-04	nan	nan
2.800000000000000000e+01	1.257268370329041574e+02	5.843915581936702353e+00	nan	nan	8.389980733326740658e-02	5.252436528845866705e-04	9.925656167608185587e-01	4.003951474981786926e-03	nan	nan	nan	nan	7.907999999999981711e-02	1.499999999999999667e-01	9.920499999999999874e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.396900750671886460e-01	1.219001156581401013e-01	5.837508826149630627e-04	nan	nan
2.900000000000000000e+01	1.339302746966093309e+02	5.843419514904484302e+00	nan	nan	8.571540239781813564e-02	5.618349416473134971e-04	9.918138839206009916e-01	3.997638949018204706e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.913000000000000700e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.398072072062035487e-01	1.206142190624782951e-01	6.315872329617751649e-04	nan	nan
3.000000000000000000e+01	1.422211711412647901e+02	5.843022788955203772e+00	nan	nan	8.573484447174177514e-02	5.628098816469055991e-04	9.910121272624670130e-01	3.991773861969169328e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.904999999999999361e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.399257365675977471e-01	1.224286669843334674e-01	6.447766252421752078e-04	nan	nan
3.100000000000000000e+01	1.503891927707738887e+02	5.842854160650581719e+00	nan	nan	8.566436396120187535e-02	5.297501176589100146e-04	9.902103727738508221e-01	3.986538147620240224e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.897000000000000242e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.400524956664736309e-01	1.167562376417119185e-01	5.542393315632277101e-04	nan	nan
3.200000000000000000e+01	1.589540456659886445e+02	5.842952157975600969e+00	nan	nan	8.559227181666499706e-02	4.992333690543956275e-04	9.894086204547479779e-01	3.981505945834717605e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.889000000000000012e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.401907675280349763e-01	1.165635241696227342e-01	4.939228269909844192e-04	nan	nan
3.300000000000000000e+01	1.675330587588392177e+02	5.843239999166354615e+00	nan	nan	8.551964378045315285e-02	4.725042665974919678e-04	9.886068703051535955e-01	3.977552646314326361e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.880999999999999783e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.403291512487218395e-01	1.146579158189313247e-01	4.306077763951517341e-04	nan	nan
3.400000000000000000e+01	1.762546545846277013e+02	5.843633675612188050e+00	nan	nan	8.544648079000841112e-02	4.503560045322448687e-04	9.878059441241041627e-01	3.971361263320045965e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.873000000000000664e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.404697153340135674e-01	1.144670133431742315e-01	3.794418678436652049e-04	nan	nan
3.500000000000000000e+01	1.849907958605600129e+02	5.844068643752252434e+00	nan	nan	8.537385940150302166e-02	4.338252081495654424e-04	9.870052503678977684e-01	3.964894332151541571e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999667e-01	9.864999999999999325e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.406103933170752052e-01	1.159836583624046097e-01	3.413295854395474510e-04	nan	nan
3.600000000000000000e+01	1.936127001367243565e+02	5.844485868967316478e+00	nan	nan	8.530124045703614544e-02	4.233469696477365160e-04	9.862045570720577858e-01	3.959338849665330895e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999389e-01	9.857000000000000206e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.407491137036816276e-01	1.140871910474096085e-01	3.040049128724216687e-04	nan	nan
3.700000000000000000e+01	2.023779260207102766e+02	5.844853781537320714e+00	nan	nan	8.522754893419141886e-02	4.193504308344792866e-04	9.854038642365841039e-01	3.954066859505604714e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999389e-01	9.848999999999999977e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.408744567907546430e-01	1.122459684569369343e-01	2.818191905430913894e-04	nan	nan
3.800000000000000000e+01	2.112869319631699909e+02	5.845157090673885669e+00	nan	nan	8.515332215267007454e-02	4.222524534736261308e-04	9.845531462963987845e-01	3.949121228151378747e-03	nan	nan	nan	nan	8.069000000000015049e-02	1.499999999999999389e-01	9.840500000000000913e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.409869849867415925e-01	1.120513909771349709e-01	2.813404359030998976e-04	nan	nan
3.900000000000000000e+01	2.202114084134806831e+02	5.845376434590533243e+00	nan	nan	8.501634237887882584e-02	4.315436707754999215e-04	9.837027080186387940e-01	3.944610842770702487e-03	nan	nan	nan	nan	8.063000000000020151e-02	1.499999999999999389e-01	9.832000000000000739e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.410996103820238767e-01	1.134176956262702152e-01	3.022257036785189243e-04	nan	nan
4.000000000000000000e+01	2.290283747120657267e+02	5.845517983010908303e+00	nan	nan	8.348713245416472528e-02	4.401843289912919311e-04	9.829034285128173121e-01	3.937893057357421366e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999389e-01	9.823999999999999400e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.412107826935316335e-01	1.065849963968076436e-01	3.149669808978135146e-04	nan	nan
4.100000000000000000e+01	2.384105582632765845e+02	5.845613354622129165e+00	nan	nan	8.341076380539366730e-02	4.627014439710831371e-04	9.821041471686635660e-01	3.931895527180515743e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999389e-01	9.816000000000000281e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.413289769562664833e-01	1.064009053796375892e-01	3.575769503966165150e-04	nan	nan
4.200000000000000000e+01	2.478089745308074612e+02	5.845699433929425481e+00	nan	nan	8.366979694622413144e-02	4.548934770622820359e-04	9.813548897235304658e-01	3.927031810330958682e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999389e-01	9.808499999999999996e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.414472675468438134e-01	1.037276422836973244e-01	3.405798974471927658e-04	nan	nan
4.300000000000000000e+01	2.574496062658369624e+02	5.845766464675626217e+00	nan	nan	8.430823227921399599e-02	4.157766744764595178e-04	9.806056305550362451e-01	3.922185482419122786e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999389e-01	9.800999999999999712e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.416037903422434685e-01	1.058907283796643034e-01	2.898484975627409481e-04	nan	nan
4.400000000000000000e+01	2.668933037009378495e+02	5.845692931943877291e+00	nan	nan	8.495203689231009547e-02	3.898393973684912534e-04	9.798563696631774622e-01	3.918065806417503176e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999389e-01	9.793499999999999428e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.417888433594518605e-01	1.051564502643935611e-01	2.614770489627833488e-04	nan	nan
4.500000000000000000e+01	2.764029438369990430e+02	5.845424434722549023e+00	nan	nan	8.560573537521048992e-02	3.806701967598800896e-04	9.791579843512540071e-01	3.912961928811781349e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999112e-01	9.786500000000000199e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.419766117574085884e-01	1.058900937340011145e-01	2.773221806126460807e-04	nan	nan
4.600000000000000000e+01	2.858466978723106990e+02	5.844954907108832032e+00	nan	nan	8.626040060166818846e-02	3.904553903835408703e-04	9.784601049954732011e-01	3.907019628683964553e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999112e-01	9.779499999999999860e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.421645144606619504e-01	1.081055929370338814e-01	3.335119978543993552e-04	nan	nan
4.700000000000000000e+01	2.950969130816426400e+02	5.844333657326943765e+00	nan	nan	8.692054977197528898e-02	4.186010590814423743e-04	9.777622220899970795e-01	3.901868946996216430e-03	nan	nan	nan	nan	7.925000000000004263e-02	1.499999999999999112e-01	9.772499999999999520e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.423499743125623052e-01	1.073631929285750741e-01	4.041042269151395839e-04	nan	nan
4.800000000000000000e+01	3.044110921100668747e+02	5.843625918751628845e+00	nan	nan	8.759543052012490338e-02	4.632451462668630291e-04	9.771143619691339266e-01	3.897358689080029220e-03	nan	nan	nan	nan	7.924999999999959854e-02	1.499999999999999112e-01	9.765999999999999126e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.425381462036228508e-01	1.066644482435644831e-01	4.878146968970082970e-04	nan	nan
4.900000000000000000e+01	3.137862870927150425e+02	5.842956497685521278e+00	nan	nan	8.805872855532821675e-02	5.199059778583896155e-04	9.764664985525502994e-01	3.893518464572905211e-03	nan	nan	nan	nan	7.904999999999962057e-02	1.499999999999999112e-01	9.759499999999999842e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.426625834453430830e-01	1.071575069967608679e-01	5.849410701244974180e-04	nan	nan
5.000000000000000000e+01	3.231183444354659287e+02	5.842506726439891551e+00	nan	nan	8.553372682838908392e-02	5.680845656760529329e-04	9.758185987292730124e-01	3.889869445804813863e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999999112e-01	9.753000000000000558e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.427618652806714239e-01	1.026293868675483695e-01	6.579161851807752625e-04	nan	nan
5.100000000000000000e+01	3.328621422941687342e+02	5.842507554630729238e+00	nan	nan	8.624037346210831900e-02	6.447391280616028477e-04	9.751702176620847817e-01	3.883982066418264351e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999998834e-01	9.746500000000000163e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.428663624810014354e-01	1.034085159421885003e-01	7.665953245464692499e-04	nan	nan
5.200000000000000000e+01	3.425325257329859028e+02	5.843285684863562146e+00	nan	nan	8.695333541587096926e-02	7.274940284929010429e-04	9.745218339784991191e-01	3.878654588152643384e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999998834e-01	9.739999999999999769e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.429709293711485585e-01	1.041940854820934681e-01	8.788516589178675805e-04	nan	nan
5.300000000000000000e+01	3.521299994799180695e+02	5.845179246483227509e+00	nan	nan	8.758638383925576587e-02	7.834430362743712972e-04	9.739234745674834048e-01	3.874003928164645397e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999998834e-01	9.734000000000000430e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.430755660441278887e-01	1.035072990262695392e-01	9.396712518978570612e-04	nan	nan
5.400000000000000000e+01	3.617911539048461691e+02	5.848414460955000393e+00	nan	nan	8.773859334464996496e-02	6.746223105505532022e-04	9.733251127416210347e-01	3.870043977891243336e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999999112e-01	9.727999999999999980e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.431842535031161490e-01	1.050059343870703016e-01	8.019763442007662307e-04	nan	nan
5.500000000000000000e+01	3.713144251926747756e+02	5.851773596881584716e+00	nan	nan	8.789217338349691877e-02	5.768567088577498904e-04	9.727267485009050141e-01	3.866528224202438885e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999999112e-01	9.721999999999999531e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.433099556915045425e-01	1.023942081465061132e-01	6.400151483461574784e-04	nan	nan
5.600000000000000000e+01	3.810806025781104154e+02	5.854865604403359569e+00	nan	nan	8.805017261015488095e-02	4.966561953826343842e-04	9.721277599829215577e-01	3.861773771731346130e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999999389e-01	9.716000000000000192e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.434390900180230521e-01	9.991947360721352422e-02	4.945685347849293652e-04	nan	nan
5.700000000000000000e+01	3.910886617071149658e+02	5.857236130898693993e+00	nan	nan	8.820854844256117988e-02	4.484093314972000606e-04	9.715782103979160311e-01	3.856162103481144011e-03	nan	nan	nan	nan	7.617000000000029303e-02	1.499999999999999389e-01	9.710499999999999687e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.435716607216236451e-01	1.026414482581458620e-01	4.002828357524829670e-04	nan	nan
5.800000000000000000e+01	4.008313145726997959e+02	5.858471247987899311e+00	nan	nan	8.805434977653739392e-02	4.417286344577598311e-04	9.710286599648347838e-01	3.851514558505231105e-03	nan	nan	nan	nan	7.589999999999985647e-02	1.499999999999999667e-01	9.704999999999999183e-01	1.000000000000000021e-02	7.192771428571430192e+01	2.437009479799947809e-01	9.981123827419127736e-02	3.342026767424878097e-04	nan	nan
5.900000000000000000e+01	4.108502264436546625e+02	5.858466475849687605e+00	nan	nan	8.453452637941558101e-02	4.636636763535859399e-04	9.704791086836773717e-01	3.847178809089915868e-03	nan	nan	nan	nan	7.272999999999996135e-02	1.499999999999999667e-01	9.699499999999999789e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.438341410739645054e-01	9.576722326935394047e-02	3.411334789174232172e-04	nan	nan
6.000000000000000000e+01	4.212922123952303082e+02	5.857049522852285861e+00	nan	nan	8.469506780449356786e-02	5.418754219248738757e-04	9.699795838680670412e-01	3.843651739579469727e-03	nan	nan	nan	nan	7.272999999999996135e-02	1.499999999999999944e-01	9.694499999999999229e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.439600145383821750e-01	9.712992034131046060e-02	4.348925445243627570e-04	nan	nan
6.100000000000000000e+01	4.315877011229677578e+02	5.854355522070430418e+00	nan	nan	8.485599770459220648e-02	6.445383298630283321e-04	9.694800582815290557e-01	3.840500943567569728e-03	nan	nan	nan	nan	7.272999999999996135e-02	1.500000000000000222e-01	9.689499999999999780e-01	1.000000000000000194e-02	7.192771428571430192e+01	2.440781444565973402e-01	9.603244919183487327e-02	5.543261153494627880e-04	nan	nan
