#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.072207302513636051e+01	4.467986514100630302e+00	nan	nan	2.905879277442267525e-02	4.119260102337530399e-03	1.343420224675952568e+00	5.755303298516611932e-01	nan	nan	nan	nan	2.805915900000000018e-02	2.000000000000000389e-01	1.000140000000000029e+00	3.666082044943003160e-02	1.041228646999999938e+02	2.000000000000000111e-01	1.073550746290984903e-01	3.581132330642389228e-02	nan	nan
5.500000000000000444e-01	-4.559888716829449606e+01	4.796146198974870600e+00	nan	nan	2.898319050450268164e-02	3.880573573225521312e-03	1.271504160434885788e+00	4.426801145634104984e-01	nan	nan	nan	nan	2.805915900000000018e-02	2.000000000000000389e-01	1.000059999999999949e+00	3.656685204964369579e-02	1.041228646999999938e+02	2.000000000000000111e-01	1.013437814439495377e-01	2.617771587105820197e-02	nan	nan
1.100000000000000089e+00	-4.017181515495947508e+01	5.464524465018005372e+00	nan	nan	2.889112864016275123e-02	3.594692697971608487e-03	1.203443921519929516e+00	3.224072770855675452e-01	nan	nan	nan	nan	2.805915899999999671e-02	2.000000000000000389e-01	9.999850000000000128e-01	3.647288364985735998e-02	1.041228646999999938e+02	2.000000000000000111e-01	1.006465477351730642e-01	1.855996893995632765e-02	nan	nan
1.650000000000000133e+00	-3.470714684415767692e+01	6.098506182722628566e+00	nan	nan	2.880405183875004230e-02	3.330027268664462366e-03	1.139032455575463620e+00	2.137457299301811497e-01	nan	nan	nan	nan	2.805915900000000712e-02	2.000000000000000111e-01	9.999149999999999983e-01	3.637891525007101723e-02	1.041228646999999938e+02	2.000000000000000111e-01	1.002488744760930695e-01	1.139832007471531898e-02	nan	nan
2.200000000000000178e+00	-2.922080095873667460e+01	6.524689636045406971e+00	nan	nan	2.871020222603583999e-02	3.052421460423403437e-03	1.078051202685454957e+00	1.158000583830549046e-01	nan	nan	nan	nan	2.805915899999999324e-02	2.000000000000000111e-01	9.998289999999999678e-01	3.628494685028468142e-02	1.041228646999999938e+02	2.000000000000000111e-01	7.737767009780140148e-02	4.545696903111579555e-03	nan	nan
2.750000000000000000e+00	-2.211280714986612850e+01	6.726015779060643851e+00	nan	nan	2.860964706210028519e-02	2.766042678384749657e-03	1.020338824672426536e+00	2.781853961641636216e-02	nan	nan	nan	nan	2.805915899999999671e-02	2.000000000000000111e-01	9.997470000000000523e-01	3.619097845049834561e-02	1.041228646999999938e+02	2.000000000000000111e-01	7.645405312907287143e-02	5.648029824714708574e-03	nan	nan
3.300000000000000266e+00	-1.491894394065905516e+01	6.570332399841619875e+00	nan	nan	2.851176226283374041e-02	2.501478126322538055e-03	1.012907420819630699e+00	1.701706316696333446e-02	nan	nan	nan	nan	2.805915899999997243e-02	2.000000000000000111e-01	9.996639999999999970e-01	3.590580328970878476e-02	1.041228646999999938e+02	2.000000000000000111e-01	7.563754348058343568e-02	5.510265005816234948e-03	nan	nan
3.850000000000000533e+00	-7.647422753020428843e+00	6.398225215320346493e+00	nan	nan	2.840724766564997270e-02	2.239571268607188238e-03	1.012694161347181376e+00	1.685496327461229529e-02	nan	nan	nan	nan	2.805915899999999324e-02	2.000000000000000111e-01	9.995699999999999585e-01	3.559213276306579660e-02	1.041228646999999938e+02	2.000000000000000111e-01	6.592627680318971506e-02	4.180460542283541414e-03	nan	nan
4.400000000000000355e+00	6.952294741320272919e-01	6.228080567702741099e+00	nan	nan	2.828924932047828869e-02	1.978929445354079934e-03	1.012472833726762556e+00	1.669567544946880949e-02	nan	nan	nan	nan	2.805915900000012161e-02	1.999999999999999833e-01	9.994680000000000231e-01	3.527846223642281537e-02	1.041228646999999938e+02	2.000000000000000111e-01	5.834502203770463441e-02	3.149912776725326789e-03	nan	nan
4.950000000000000178e+00	1.012191200489823473e+01	6.049287315851707092e+00	nan	nan	2.816943053276671147e-02	1.767499141841105985e-03	1.012253569722976199e+00	1.653971976385554266e-02	nan	nan	nan	nan	2.805915900000012161e-02	1.999999999999999833e-01	9.993680000000000341e-01	3.496479170977983414e-02	1.041228646999999938e+02	2.000000000000000111e-01	6.273219728268158990e-02	2.924901046374237066e-03	nan	nan
5.500000000000000000e+00	1.888933963893453694e+01	5.878595997943029339e+00	nan	nan	2.805010643081829944e-02	1.629740445845485278e-03	1.012027253640615854e+00	1.638650452305712504e-02	nan	nan	nan	nan	2.805915900000017713e-02	1.999999999999999833e-01	9.992609999999999548e-01	3.465112118313685291e-02	1.041228646999999938e+02	2.000000000000000111e-01	5.782634291795021864e-02	2.470110777307762181e-03	nan	nan
6.050000000000000711e+00	2.840057573388170198e+01	5.675693306265621629e+00	nan	nan	2.792899568536373611e-02	1.582510935643976656e-03	1.011824270010091231e+00	1.625115215670363752e-02	nan	nan	nan	nan	2.805915899999996896e-02	1.999999999999999556e-01	9.991630000000000233e-01	3.437573598842891265e-02	1.041228646999999938e+02	2.000000000000000111e-01	5.977918686992312464e-02	2.585129602923578497e-03	nan	nan
