#Depth	#Thinning	#error
0	0.9948	0.0001
1.65	0.9945	0.0001
3.3	0.9942	0.0001
4.95	0.9941	0.0001
6.6	0.9941	0.0001
8.25	0.994	0.0001
9.9	0.9939	0.01
11.55	0.9938	0.01
13.2	0.9939	0.01
14.85	0.9938	0.01
16.5	0.9937	0.01
18.15	0.9935	0.01
19.8	0.9932	0.01
21.45	0.9926	0.01
23.1	0.9922	0.01
24.75	0.9919	0.01
26.4	0.9916	0.01
28.05	0.9913	0.01
29.7	0.991	0.01
31.35	0.9907	0.01
33	0.9906	0.01
34.65	0.9906	0.01
36.3	0.9905	0.01
37.95	0.9904	0.01
39.6	0.9905	0.01
41.25	0.9906	0.01
42.9	0.9905	0.01
44.55	0.9903	0.01
46.2	0.9901	0.01
47.85	0.9899	0.01
49.5	0.9897	0.01
51.15	0.9894	0.01
52.8	0.9892	0.01
54.45	0.9888	0.01
56.1	0.9885	0.01
57.75	0.9881	0.01
59.4	0.9877	0.01
61.05	0.9873	0.01
62.7	0.9868	0.01
64.35	0.9866	0.01
66	0.9861	0.01
67.65	0.9858	0.01
69.3	0.9855	0.01
70.95	0.9853	0.01
72.6	0.985	0.01
74.25	0.9848	0.01
75.9	0.9845	0.01
77.55	0.9842	0.01
79.2	0.9838	0.01
80.85	0.9833	0.01
82.5	0.9828	0.01
84.15	0.9824	0.01
85.8	0.982	0.01
87.45	0.9815	0.01
89.1	0.9811	0.01
90.75	0.9806	0.01
92.4	0.9801	0.01
94.05	0.9796	0.01
95.7	0.9791	0.01
97.35	0.9787	0.01
99	0.9782	0.01
100.65	0.9777	0.01
102.3	0.9772	0.01
103.95	0.9767	0.05
105.6	0.9764	0.05
107.25	0.9758	0.05
108.9	0.9754	0.05
110.55	0.9748	0.05
112.2	0.9743	0.05
113.85	0.9736	0.05
115.5	0.9731	0.05
117.15	0.9724	0.05
118.8	0.972	0.05
120.45	0.9714	0.05
122.1	0.9708	0.05
123.75	0.9702	0.05
125.4	0.9696	0.05
127.05	0.9691	0.05
128.7	0.9684	0.05
130.35	0.968	0.05
132	0.9674	0.05
133.65	0.967	0.05
135.3	0.9667	0.05
136.95	0.9662	0.05
138.6	0.9657	0.05
140.25	0.9653	0.05
141.9	0.965	0.05
143.55	0.9643	0.05
145.2	0.9639	0.05
146.85	0.9635	0.05
148.5	0.9627	0.05
150.15	0.9623	0.05
151.8	0.9618	0.05
153.45	0.9613	0.05
155.1	0.9608	0.05
156.75	0.9606	0.05
158.4	0.9604	0.05
160.05	0.9597	0.05
161.7	0.9594	0.05
163.35	0.9588	0.05
165	0.9583	0.05
166.65	0.9581	0.05
168.3	0.9575	0.05
169.95	0.9572	0.05
171.6	0.9567	0.05
173.25	0.9563	0.05
174.9	0.9561	0.05
176.55	0.9556	0.05
178.2	0.9553	0.05
179.85	0.9548	0.05
181.5	0.9544	0.05
183.15	0.9538	0.05
184.8	0.9534	0.05
186.45	0.9532	0.05
188.1	0.9528	0.05
189.75	0.9525	0.05
191.4	0.9523	0.05
193.05	0.9518	0.05
194.7	0.9517	0.05
196.35	0.9513	0.05
198	0.951	0.05
199.65	0.9507	0.05
201.3	0.9502	0.05
202.95	0.95	0.05
204.6	0.9498	0.05
206.25	0.9495	0.05
207.9	0.9494	0.05
209.55	0.949	0.05
211.2	0.9486	0.05
212.85	0.9481	0.05
214.5	0.9479	0.05
216.15	0.9474	0.05
217.8	0.9468	0.05
219.45	0.9469	0.05
221.1	0.9469	0.05
222.75	0.9467	0.05
224.4	0.9462	0.05
226.05	0.946	0.05
227.7	0.9454	0.05
229.35	0.9451	0.05
231	0.9449	0.05
232.65	0.9442	0.05
234.3	0.9437	0.05
235.95	0.9432	0.05
237.6	0.9425	0.05
239.25	0.9419	0.05
240.9	0.9421	0.05
242.55	0.942	0.05
244.2	0.942	0.05
245.85	0.9418	0.05
247.5	0.9414	0.05
249.15	0.9411	0.05
250.8	0.9404	0.05
252.45	0.9396	0.05
254.1	0.9394	0.05
255.75	0.9388	0.05
257.4	0.9381	0.05
259.05	0.9373	0.05
260.7	0.9372	0.05
262.35	0.937	0.05
264	0.9369	0.05
265.65	0.9366	0.05
267.3	0.9363	0.05
268.95	0.9363	0.05
270.6	0.9362	0.05
272.25	0.9357	0.05
273.9	0.9355	0.05
275.55	0.9356	0.05
277.2	0.9355	0.05
278.85	0.9353	0.05
280.5	0.9353	0.05
282.15	0.9357	0.05
283.8	0.9355	0.05
285.45	0.9353	0.05
287.1	0.9356	0.05
288.75	0.9352	0.05
290.4	0.9349	0.05
292.05	0.935	0.05
293.7	0.9349	0.05
295.35	0.935	0.05
297	0.9351	0.05
298.65	0.9351	0.05
300.3	0.9355	0.05
301.95	0.9353	0.05
303.6	0.9354	0.05
305.25	0.9357	0.05
306.9	0.9356	0.05
308.55	0.9357	0.05
310.2	0.9355	0.05
311.85	0.9354	0.05
313.5	0.9352	0.05
315.15	0.9349	0.05
316.8	0.9351	0.05
318.45	0.9351	0.05
320.1	0.9354	0.05
321.75	0.9353	0.05
323.4	0.9351	0.05
325.05	0.9356	0.05
326.7	0.9353	0.05
328.35	0.9354	0.05
330	0.9353	0.05
331.65	0.9346	0.05
333.3	0.9344	0.05
334.95	0.934	0.05
336.6	0.9336	0.05
338.25	0.9331	0.05
339.9	0.9325	0.05
341.55	0.9324	0.05
343.2	0.9316	0.05
344.85	0.9305	0.05
346.5	0.9299	0.05
348.15	0.9293	0.05
349.8	0.9288	0.05
351.45	0.9286	0.05
353.1	0.9281	0.05
354.75	0.9277	0.05
356.4	0.9273	0.05
358.05	0.9269	0.05
359.7	0.9268	0.05
361.35	0.9261	0.05
363	0.9256	0.05
364.65	0.9251	0.05
366.3	0.9245	0.05
367.95	0.924	0.05
369.6	0.9236	0.05
371.25	0.9228	0.05
372.9	0.9224	0.05
374.55	0.9221	0.05
376.2	0.9219	0.05
377.85	0.9216	0.05
379.5	0.9213	0.05
381.15	0.9211	0.05
382.8	0.921	0.05
384.45	0.921	0.05
386.1	0.921	0.05
387.75	0.9208	0.05
389.4	0.9207	0.05
391.05	0.9207	0.05
392.7	0.9208	0.05
394.35	0.9207	0.05
396	0.9207	0.05
397.65	0.9207	0.05
399.3	0.9209	0.05
400.95	0.9211	0.05
402.6	0.9212	0.05
404.25	0.9212	0.05
405.9	0.9215	0.05
407.55	0.9218	0.05
409.2	0.922	0.05
410.85	0.9222	0.05
412.5	0.9224	0.05
414.15	0.9226	0.05
415.8	0.923	0.05
417.45	0.9228	0.05
419.1	0.9221	0.05
420.75	0.9214	0.05
422.4	0.9206	0.05
424.05	0.9197	0.05
425.7	0.9187	0.05
427.35	0.9177	0.05
429	0.9168	0.05
430.65	0.9157	0.05
432.3	0.915	0.05
433.95	0.9142	0.05
435.6	0.9133	0.05
437.25	0.9125	0.05
438.9	0.9117	0.05
440.55	0.9108	0.05
442.2	0.9101	0.05
443.85	0.9093	0.05
445.5	0.9084	0.05
447.15	0.9075	0.05
448.8	0.9067	0.05
450.45	0.9057	0.05
452.1	0.905	0.05
453.75	0.9042	0.05
455.4	0.9035	0.05
457.05	0.9026	0.05
458.7	0.9017	0.05
460.35	0.901	0.05
462	0.9002	0.05
463.65	0.8995	0.05
465.3	0.8987	0.05
466.95	0.8979	0.05
468.6	0.8971	0.05
470.25	0.8962	0.05
471.9	0.8952	0.05
473.55	0.8942	0.05
475.2	0.8932	0.05
476.85	0.8922	0.05
478.5	0.8911	0.05
480.15	0.8902	0.05
481.8	0.8893	0.05
483.45	0.8883	0.05
485.1	0.8872	0.05
486.75	0.8863	0.05
488.4	0.8856	0.05
490.05	0.8849	0.05
491.7	0.8842	0.05
493.35	0.8834	0.05
495	0.8826	0.05
496.65	0.8819	0.05
498.3	0.8812	0.05
499.95	0.8804	0.05
501.6	0.8796	0.05
503.25	0.8789	0.05
504.9	0.8783	0.05
506.55	0.8775	0.05
508.2	0.8768	0.05
509.85	0.8759	0.05
511.5	0.8753	0.05
513.15	0.8744	0.05
514.8	0.8738	0.05
516.45	0.8731	0.05
518.1	0.8724	0.05
519.75	0.8717	0.05
521.4	0.871	0.05
523.05	0.8702	0.05
524.7	0.8695	0.05
526.35	0.8688	0.05
528	0.868	0.05
529.65	0.8673	0.05
531.3	0.8666	0.05
532.95	0.866	0.05
534.6	0.8652	0.05
536.25	0.8645	0.05
537.9	0.8639	0.05
539.55	0.8634	0.05
541.2	0.8626	0.05
542.85	0.8618	0.05
544.5	0.8611	0.05
546.15	0.8606	0.05
547.8	0.8599	0.05
549.45	0.8591	0.05
551.1	0.8586	0.05
552.75	0.8579	0.05
554.4	0.8571	0.05
556.05	0.8564	0.05
557.7	0.8558	0.05
559.35	0.8551	0.05
561	0.8544	0.05
562.65	0.8536	0.05
564.3	0.853	0.05
565.95	0.8523	0.05
567.6	0.8517	0.05
569.25	0.8511	0.05
570.9	0.8505	0.05
572.55	0.8498	0.05
574.2	0.8492	0.05
575.85	0.8487	0.05
577.5	0.8481	0.05
579.15	0.8472	0.05
580.8	0.847	0.05
582.45	0.846	0.05
584.1	0.8459	0.05
585.75	0.8453	0.05
587.4	0.8452	0.05
589.05	0.845	0.05
590.7	0.8444	0.05
592.35	0.843	0.05
594	0.8429	0.05
595.65	0.8424	0.05
597.3	0.8421	0.05
598.95	0.8415	0.05
600.6	0.8413	0.05
602.25	0.841	0.05
603.9	0.8404	0.05
605.55	0.8395	0.05
607.2	0.8385	0.05
608.85	0.838	0.05
610.5	0.8377	0.05
612.15	0.8368	0.05
613.8	0.836	0.05
615.45	0.8358	0.05
617.1	0.8356	0.05
618.75	0.8349	0.05
620.4	0.8341	0.05
622.05	0.8334	0.05
623.7	0.8325	0.05
625.35	0.8314	0.05
627	0.8316	0.05
628.65	0.8313	0.05
630.3	0.8305	0.05
631.95	0.8302	0.05
633.6	0.8298	0.05
635.25	0.8296	0.05
636.9	0.8293	0.05
638.55	0.8278	0.05
640.2	0.8267	0.05
641.85	0.8263	0.05
643.5	0.8252	0.05
645.15	0.8252	0.05
646.8	0.8233	0.05
648.45	0.8225	0.05
650.1	0.8225	0.05
651.75	0.8225	0.05
653.4	0.8214	0.05
655.05	0.819	0.05
656.7	0.8196	0.05
658.35	0.8189	0.05
660	0.8181	0.05
661.65	0.8172	0.05
663.3	0.8162	0.05
664.95	0.8156	0.05
666.6	0.8145	0.05
668.25	0.8135	0.05
669.9	0.8135	0.05
671.55	0.8132	0.05
673.2	0.8124	0.05
674.85	0.8117	0.05
676.5	0.811	0.05
678.15	0.8097	0.05
679.8	0.8081	0.05
681.45	0.8075	0.05
683.1	0.807	0.05
684.75	0.8065	0.05
686.4	0.8062	0.05
688.05	0.8059	0.05
689.7	0.8051	0.05
691.35	0.8037	0.05
693	0.8018	0.05
694.65	0.8006	0.05
696.3	0.8005	0.05
697.95	0.8003	0.05
699.6	0.7998	0.05
701.25	0.7994	0.05
702.9	0.799	0.05
704.55	0.7983	0.05
706.2	0.7973	0.05
707.85	0.7963	0.05
709.5	0.7958	0.05
711.15	0.795	0.05
712.8	0.7944	0.05
714.45	0.7937	0.05
716.1	0.793	0.05
717.75	0.7925	0.05
719.4	0.7917	0.05
721.05	0.791	0.05
722.7	0.7902	0.05
724.35	0.7896	0.05
726	0.7889	0.05
727.65	0.7883	0.05
729.3	0.7876	0.05
730.95	0.7868	0.05
732.6	0.786	0.05
734.25	0.7855	0.05
735.9	0.785	0.05
737.55	0.7843	0.05
739.2	0.7832	0.05
740.85	0.7827	0.05
742.5	0.7819	0.05
744.15	0.7811	0.05
745.8	0.7797	0.05
747.45	0.7793	0.05
749.1	0.7793	0.05
750.75	0.7786	0.05
752.4	0.7774	0.05
754.05	0.7763	0.05
755.7	0.7759	0.05
757.35	0.7756	0.05
759	0.7751	0.05
760.65	0.7746	0.05
762.3	0.7742	0.05
763.95	0.7737	0.05
765.6	0.7729	0.05
767.25	0.7721	0.05
768.9	0.7715	0.05
770.55	0.771	0.05
772.2	0.7705	0.05
773.85	0.7697	0.05
775.5	0.7691	0.05
777.15	0.7688	0.05
778.8	0.7677	0.05
780.45	0.7668	0.05
782.1	0.7659	0.05
783.75	0.7655	0.05
785.4	0.7649	0.05
787.05	0.7646	0.05
788.7	0.7642	0.05
790.35	0.7638	0.05
792	0.7633	0.05
793.65	0.7626	0.05
795.3	0.762	0.05
796.95	0.7609	0.05
798.6	0.7598	0.05
800.25	0.7589	0.05
801.9	0.758	0.05
803.55	0.757	0.05
805.2	0.7559	0.05
806.85	0.7549	0.05
808.5	0.7541	0.05
810.15	0.7535	0.05
811.8	0.7527	0.05
813.45	0.752	0.05
815.1	0.7511	0.05
816.75	0.75	0.05
818.4	0.7491	0.05
820.05	0.7487	0.05
821.7	0.7482	0.05
823.35	0.7477	0.05
825	0.7472	0.05
826.65	0.7466	0.05
828.3	0.7458	0.05
829.95	0.7448	0.05
831.6	0.7437	0.05
833.25	0.743	0.05
