#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	6.659992473818860503e+01	5.428509552984906783e+00	nan	nan	5.831847342024323866e-02	7.998059705035374554e-04	9.854012301238581628e-01	1.065581245798399856e-02	nan	nan	nan	nan	6.439430000000000154e-02	1.511375617535554994e-01	9.998054281251042008e-01	1.264797054625905592e-03	8.017700000000000671e+01	2.000000000000000111e-01	9.882255656274306632e-02	1.133070172745839896e-03	nan	nan
1.900000000000000000e+01	7.671907197321377225e+01	5.425388066825978406e+00	nan	nan	6.106985205476938433e-02	7.115020067701810199e-04	9.863548360278276972e-01	9.668716726759877048e-03	nan	nan	nan	nan	6.738280000000000658e-02	1.511703111957128087e-01	9.994162843753127135e-01	1.577328503327268122e-03	8.017700000000000671e+01	2.000000000000000111e-01	1.011194347289406242e-01	8.808781530467626325e-04	nan	nan
2.000000000000000000e+01	8.660836776170968676e+01	5.423772673290132573e+00	nan	nan	5.174895592851747050e-02	5.454700078999791127e-04	9.873092150825193425e-01	8.679664282307359910e-03	nan	nan	nan	nan	5.705279999999998686e-02	1.512059056716521244e-01	9.990271406255212261e-01	1.889859952028630219e-03	8.017700000000000671e+01	2.000000000000000111e-01	8.468202289766743607e-02	5.981504562733867868e-04	nan	nan
2.100000000000000000e+01	9.841724957371403093e+01	5.422231857711384606e+00	nan	nan	6.351351237425927054e-02	6.955055594994297673e-04	9.882643676297455659e-01	7.688847061636497511e-03	nan	nan	nan	nan	6.996760000000001867e-02	1.512412651344645642e-01	9.986379968757297387e-01	2.202391400729992749e-03	8.017700000000000671e+01	2.000000000000000111e-01	1.030502955867676484e-01	7.919800080027895829e-04	nan	nan
2.200000000000000000e+01	1.081212489102128416e+02	5.421044442357068505e+00	nan	nan	7.019928626181268227e-02	7.307942456034190008e-04	9.892202940108224540e-01	6.696084036767620783e-03	nan	nan	nan	nan	7.677929999999999477e-02	1.512884756496873095e-01	9.982488531259382514e-01	2.514922849431354846e-03	8.017700000000000671e+01	2.000000000000000111e-01	1.125910530300862494e-01	8.245326241774854131e-04	nan	nan
2.300000000000000000e+01	1.170029493036959991e+02	5.420419187855337384e+00	nan	nan	6.268385806624278411e-02	6.259245312030781942e-04	9.901769945665670480e-01	5.701572392289137176e-03	nan	nan	nan	nan	6.794200000000000239e-02	1.513411762334958832e-01	9.978597093761467640e-01	2.827454298132717377e-03	8.017700000000000671e+01	2.000000000000000111e-01	1.000132359025224654e-01	7.255529540942420559e-04	nan	nan
2.400000000000000000e+01	1.270016258886096807e+02	5.420168431496063199e+00	nan	nan	5.899482832540605542e-02	6.089233355233077431e-04	9.911344696372959007e-01	4.705364476414199831e-03	nan	nan	nan	nan	6.330510000000000304e-02	1.513996314243127306e-01	9.974705656263552767e-01	3.139985746834079473e-03	8.017700000000000671e+01	2.000000000000000111e-01	9.329590318658546877e-02	7.680779182080086894e-04	nan	nan
2.500000000000000000e+01	1.377202101548455460e+02	5.420644329771283410e+00	nan	nan	6.745612246443327686e-02	7.693223927511728564e-04	9.920927195628229667e-01	3.707463570520587188e-03	nan	nan	nan	nan	7.167479999999998297e-02	1.514570375257354162e-01	9.970814218765637893e-01	3.452517195535442004e-03	8.017700000000000671e+01	2.000000000000000111e-01	1.062747977445355346e-01	1.060296851833152695e-03	nan	nan
2.600000000000000000e+01	1.471297787564608655e+02	5.422297163901743211e+00	nan	nan	6.236860548968986562e-02	8.123976673492807297e-04	9.930517446824574934e-01	2.708200389151445894e-03	nan	nan	nan	nan	6.562740000000000240e-02	1.515137234453688420e-01	9.966922781267723019e-01	3.765048644236804101e-03	8.017700000000000671e+01	2.000000000000000111e-01	9.771371582747241658e-02	1.186118150212366312e-03	nan	nan
2.700000000000000000e+01	1.573637565714653022e+02	5.426529497958042292e+00	nan	nan	5.673242428774468576e-02	8.658362565499292318e-04	9.940115453350018004e-01	1.708988612355401672e-03	nan	nan	nan	nan	5.905320000000002789e-02	1.515768629935652090e-01	9.963031343769808146e-01	4.077580092938166631e-03	8.017700000000000671e+01	2.000000000000000111e-01	8.779134821858847193e-02	1.299302563061288359e-03	nan	nan
