#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.000000000000000000e+01	4.999999703159119235e+00	nan	nan	6.847761689062295543e-02	5.156977679882229597e-03	9.995620262731321759e-01	2.546470964206265508e-03	nan	nan	nan	nan	7.119884899999999461e-02	1.999999999999999833e-01	9.999221021244875107e-01	4.560928211389067718e-04	5.490676117999999661e+01	1.000000000000000000e+00	1.774012334585350348e-01	1.337531093867914272e-02	nan	nan
1.000000000000000000e+00	-4.436306061404170009e+01	5.018029803431464764e+00	nan	nan	6.885448049932081649e-02	4.868030643788416427e-03	9.994218796089301415e-01	2.077720485220671716e-03	nan	nan	nan	nan	7.119884899999999461e-02	1.999999999999999001e-01	9.997663063734625322e-01	7.354863985639494613e-04	5.490676117999999661e+01	1.000000000000000000e+00	1.745773266189092066e-01	1.235555234122430977e-02	nan	nan
2.000000000000000000e+00	-3.863493990462715999e+01	5.068485522307972779e+00	nan	nan	6.924163851169318207e-02	4.569783039123648770e-03	9.992817283281988372e-01	1.628432885311813629e-03	nan	nan	nan	nan	7.119884899999998074e-02	1.999999999999998168e-01	9.996105106224375536e-01	1.014879975988992097e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.718692445733108198e-01	1.135420805374976784e-02	nan	nan
3.000000000000000000e+00	-3.281656325159282517e+01	5.145439657395335153e+00	nan	nan	6.963930229502630909e-02	4.262065333131420664e-03	9.991172261661311893e-01	1.383195264240135239e-03	nan	nan	nan	nan	7.119884900000000849e-02	1.999999999999997058e-01	9.994547148714125751e-01	1.313958414542011448e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.692693532673442969e-01	1.037074431577410943e-02	nan	nan
4.000000000000000000e+00	-2.690881928791973721e+01	5.242672445475760945e+00	nan	nan	7.004768473511405191e-02	3.944746783505773124e-03	9.988617628242861812e-01	1.772803999431587932e-03	nan	nan	nan	nan	7.119884900000000849e-02	1.999999999999996225e-01	9.992989191203875965e-01	1.686600978835712476e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.667633341540810665e-01	9.404024777740617111e-03	nan	nan
5.000000000000000000e+00	-2.091229730020240396e+01	5.354046666875367677e+00	nan	nan	7.046700016635586150e-02	3.617772127410258561e-03	9.986063405291107919e-01	2.164172847541071844e-03	nan	nan	nan	nan	7.119884899999995298e-02	1.999999999999995393e-01	9.991431233693626179e-01	2.059243543129413503e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.643635511952700745e-01	8.451718823159775143e-03	nan	nan
6.000000000000000000e+00	-1.482822335115537982e+01	5.473664293868358399e+00	nan	nan	7.089746430290304324e-02	3.281197314833299208e-03	9.983509592749559847e-01	2.556186020710158636e-03	nan	nan	nan	nan	7.119884900000000849e-02	1.999999999999994560e-01	9.989873276183376394e-01	2.431886107423114531e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.620668407977065573e-01	7.513138772507715717e-03	nan	nan
7.000000000000000000e+00	-8.657929692823323364e+00	5.596057155898176205e+00	nan	nan	7.133929417119218297e-02	2.935281456287019541e-03	9.980911550016353662e-01	2.942638093145761528e-03	nan	nan	nan	nan	7.119884900000000849e-02	1.999999999999993450e-01	9.988315318673126608e-01	2.804528671716815559e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.598694442554457473e-01	6.587768706551192475e-03	nan	nan
8.000000000000000000e+00	-2.402825694324647543e+00	5.716266296695240889e+00	nan	nan	7.179270804420637142e-02	2.580642978863502152e-03	9.978310338692807369e-01	3.331704856074469562e-03	nan	nan	nan	nan	7.119884899999995298e-02	1.999999999999992617e-01	9.986757361162876823e-01	3.177171236010516587e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.577691105659481396e-01	5.675684534606429722e-03	nan	nan
9.000000000000000000e+00	3.935550660925173361e+00	5.829868023257906096e+00	nan	nan	7.229581775774221453e-02	2.219850646074385606e-03	9.975709562517196538e-01	3.722590003255676992e-03	nan	nan	nan	nan	7.123630813000014772e-02	1.999999999999991784e-01	9.985199403652628147e-01	3.549813800304217615e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.558447636920761437e-01	4.780372484158555875e-03	nan	nan
1.000000000000000000e+01	1.035219230039557203e+01	5.932916402318367588e+00	nan	nan	7.500154640770219372e-02	1.915692788047529882e-03	9.973091379322154282e-01	4.108457739326721626e-03	nan	nan	nan	nan	7.342500579999988730e-02	1.999999999999990674e-01	9.983641446142378362e-01	3.922456364597918209e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.586421838842043130e-01	4.030699694850211658e-03	nan	nan
1.100000000000000000e+01	1.665568595836184329e+01	6.019689410056083823e+00	nan	nan	7.974977473606822964e-02	1.647870475431697330e-03	9.970463722167719478e-01	4.494205932603015895e-03	nan	nan	nan	nan	7.758093681999966851e-02	1.999999999999989841e-01	9.982083488632128576e-01	4.295098928891619670e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.655693800321786091e-01	3.370495346020415707e-03	nan	nan
1.200000000000000000e+01	2.269545007299251438e+01	6.087441518514218330e+00	nan	nan	8.203128934736110545e-02	1.327234220019619330e-03	9.967836514522664393e-01	4.883430385931504872e-03	nan	nan	nan	nan	7.930711147000035766e-02	1.999999999999988731e-01	9.980525531121878791e-01	4.667741493185321132e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.672112610551221845e-01	2.605566902043906716e-03	nan	nan
1.300000000000000000e+01	2.867590852830160486e+01	6.138308827415780655e+00	nan	nan	8.295857567091369233e-02	1.020688383770820308e-03	9.965202565409378987e-01	5.269965650721197999e-03	nan	nan	nan	nan	7.970554521000050574e-02	1.999999999999987899e-01	9.978967573611629005e-01	5.040384057479021726e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.660794353196402007e-01	1.857430409912030293e-03	nan	nan
1.400000000000000000e+01	3.469712360574558829e+01	6.172242684611264352e+00	nan	nan	8.720234601884323256e-02	8.580431918997694692e-04	9.962556460245033385e-01	5.651882122342367573e-03	nan	nan	nan	nan	8.326599180999982863e-02	1.999999999999987066e-01	9.977409616101379219e-01	5.413026621772722320e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.715079737672035864e-01	1.353968148687370457e-03	nan	nan
1.500000000000000000e+01	4.052775630482551605e+01	6.187991224936442158e+00	nan	nan	8.622666652181192048e-02	8.506703161752919877e-04	9.959910814866855810e-01	6.038598616539742059e-03	nan	nan	nan	nan	8.182413849499914349e-02	1.999999999999985956e-01	9.975851658591129434e-01	5.785669186066422914e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.666605589657279562e-01	1.221865806676370380e-03	nan	nan
