#IGOR SMB Depth (m)	mm ie	error
0	0.091508081	0.2
9.264441032	0.091508081	0.2
9.436004755	0.091508081	0.2
9.607568478	0.091508081	0.2
9.779132201	0.091508081	0.2
9.950695924	0.091508081	0.2
10.12225965	0.091508081	0.2
10.29382337	0.091508081	0.2
10.46538709	0.091508081	0.2
10.63695082	0.091508081	0.2
10.80851454	0.091508081	0.2
10.98007826	0.091508081	0.2
11.15164198	0.091508081	0.2
11.32320571	0.091508081	0.2
11.49476943	0.091508081	0.2
11.66633315	0.091508081	0.2
11.83789687	0.091508081	0.2
12.0094606	0.091508081	0.2
12.18102432	0.091508081	0.2
12.35258804	0.091508081	0.2
12.52415177	0.091508081	0.2
12.69571549	0.091508081	0.2
12.86727921	0.091508081	0.2
13.03884293	0.091508081	0.2
13.21040666	0.091508081	0.2
13.38197038	0.091508081	0.2
13.5535341	0.091508081	0.2
13.72509783	0.091508081	0.2
13.89666155	0.091508081	0.2
14.06822527	0.091508081	0.2
14.23978899	0.091508081	0.2
14.41135272	0.091504113	0.2
14.58291644	0.091500263	0.2
14.75448016	0.091496527	0.2
14.92604389	0.091492899	0.2
15.09760761	0.091489375	0.2
15.26917133	0.091485949	0.2
15.44073505	0.091482261	0.2
15.61229878	0.091478572	0.2
15.7838625	0.091474884	0.2
15.95542622	0.091471195	0.2
16.12698995	0.091467507	0.2
16.29855367	0.091463818	0.2
16.47011739	0.09146013	0.2
16.64168111	0.091456441	0.2
16.81324484	0.091452753	0.2
16.98480856	0.091449064	0.2
17.15637228	0.091445375	0.2
17.32793601	0.091441687	0.2
17.49949973	0.091437998	0.2
17.67106345	0.09143431	0.2
17.84262717	0.091430621	0.2
18.0141909	0.091426933	0.2
18.18575462	0.091423244	0.2
18.35731834	0.091419556	0.2
18.52888206	0.091415867	0.2
18.70044579	0.091412179	0.2
18.87200951	0.09140849	0.2
19.04357323	0.091404801	0.2
19.21513696	0.091401113	0.2
19.38670068	0.091397424	0.2
19.5582644	0.091393736	0.2
19.72982812	0.091390047	0.2
19.90139185	0.091386359	0.2
20.07295557	0.09138267	0.2
20.24451929	0.091378982	0.2
20.40569165	0.091375293	0.2
20.53856825	0.091371605	0.2
20.67144485	0.091367916	0.2
20.80432145	0.091364228	0.2
20.93719805	0.091360539	0.2
21.07007465	0.09135685	0.2
21.20295124	0.091353162	0.2
21.33582784	0.091349473	0.2
21.46870444	0.091345785	0.2
21.60158104	0.091342096	0.2
21.73445764	0.091338408	0.2
21.86733423	0.091334719	0.2
22.00021083	0.091331031	0.2
22.13308743	0.091327342	0.2
22.26596403	0.091323654	0.2
22.39884063	0.091319965	0.2
22.53171723	0.091316276	0.2
22.66459382	0.091312588	0.2
22.79747042	0.091308899	0.2
22.93034702	0.091305211	0.2
23.06322362	0.091301522	0.2
23.19610022	0.091297834	0.2
23.32897682	0.091294145	0.2
23.46185341	0.091290457	0.2
23.59473001	0.091286768	0.2
23.72760661	0.09128308	0.2
23.86048321	0.091279391	0.2
23.99335981	0.091275702	0.2
24.12623641	0.091272014	0.2
24.259113	0.091268325	0.2
24.3919896	0.091264637	0.2
24.5248662	0.091260948	0.2
24.6577428	0.09125726	0.2
24.7906194	0.091253571	0.2
24.92349599	0.091667466	0.2
25.05637259	0.09208136	0.2
25.18924919	0.092498943	0.2
25.32212579	0.092916526	0.2
25.45500239	0.093334109	0.2
25.58787899	0.093234001	0.2
25.72075558	0.093133893	0.2
25.85363218	0.093033784	0.2
25.98650878	0.092933676	0.2
26.11938538	0.092833568	0.2
26.25226198	0.092733459	0.2
26.38513858	0.092633351	0.2
26.51801517	0.092533243	0.2
26.65089177	0.092433134	0.2
26.78376837	0.092333026	0.2
26.91664497	0.092232918	0.2
27.04952157	0.092132809	0.2
27.18239816	0.092032701	0.2
27.31527476	0.091932593	0.2
27.44815136	0.091832484	0.2
27.58102796	0.091732376	0.2
27.71390456	0.091632268	0.2
27.84678116	0.091532159	0.2
27.97965775	0.091432051	0.2
28.11253435	0.091331942	0.2
28.24541095	0.091231834	0.2
28.37828755	0.091131726	0.2
28.51116415	0.091031617	0.2
28.64404075	0.090931509	0.2
28.77691734	0.090831401	0.2
28.90979394	0.090731292	0.2
29.04267054	0.090631184	0.2
29.17554714	0.090531076	0.2
29.30842374	0.090430967	0.2
29.44130033	0.090330859	0.2
29.5779635	0.090230751	0.2
29.74632808	0.090130642	0.2
29.91469266	0.090030534	0.2
30.08305724	0.089930426	0.2
30.25142183	0.089830317	0.2
30.40375997	0.089730209	0.2
30.51792625	0.089630101	0.2
30.63209253	0.089529992	0.2
30.74625881	0.089429884	0.2
30.86042509	0.089329776	0.2
30.97459136	0.089229667	0.2
31.08875764	0.089129559	0.2
31.20292392	0.089029451	0.2
31.3170902	0.088929342	0.2
31.43125648	0.088829234	0.2
31.54542276	0.088729126	0.2
31.65958904	0.088629017	0.2
31.77375532	0.088528909	0.2
31.8879216	0.0884288	0.2
32.00208788	0.088328692	0.2
32.11625416	0.088228584	0.2
32.23042044	0.088128482	0.2
32.34458671	0.08802838	0.2
32.45875299	0.087928278	0.2
32.57291927	0.087828176	0.2
32.68708555	0.087728074	0.2
32.80125183	0.087627972	0.2
32.91541811	0.087527871	0.2
33.02958439	0.087427769	0.2
33.14375067	0.087327667	0.2
33.25791695	0.087227565	0.2
33.37208323	0.087127463	0.2
33.48624951	0.087027361	0.2
33.60041579	0.086927259	0.2
33.71458207	0.086827157	0.2
33.82874834	0.086727055	0.2
33.94291462	0.08620937	0.2
34.0570809	0.085691686	0.2
34.17124718	0.085174001	0.2
34.28541346	0.084656316	0.2
34.39957974	0.084138631	0.2
34.51374602	0.084138637	0.2
34.6279123	0.084138644	0.2
34.74207858	0.08413865	0.2
34.85624486	0.084138656	0.2
34.97041114	0.084138663	0.2
35.08457742	0.084138669	0.2
35.19874369	0.084138676	0.2
35.31290997	0.084138682	0.2
35.42707625	0.084138689	0.2
35.54124253	0.084138695	0.2
35.65540881	0.084138702	0.2
35.76957509	0.084138708	0.2
