#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.989978697323490309e+01	4.718656043678493006e+00	nan	nan	3.002825925853366482e-02	7.931615256580948695e-04	9.995956047453889992e-01	1.426061925161471039e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.997854999999999936e-01	1.664959947086154274e-04	1.041500000000000057e+02	1.499999999999999944e-01	7.779518951675085114e-02	2.055158836564637079e-03	nan	nan
1.000000000000000000e+00	-3.704552173894711586e+01	4.732745262154326227e+00	nan	nan	2.953825576666610497e-02	5.838607956409643104e-04	9.995428515737125874e-01	8.988177225755545089e-04	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.996665000000000134e-01	2.493151498557070068e-04	1.041500000000000057e+02	1.499999999999999944e-01	7.490193616286673628e-02	1.479983880679500933e-03	nan	nan
2.000000000000000000e+00	-2.369473201001941121e+01	4.759873845376792367e+00	nan	nan	2.904592653088139062e-02	3.848294042185333719e-04	9.994900870228344836e-01	3.718370727217541532e-04	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000944e-01	9.995475000000000332e-01	3.321343050027985590e-04	1.041500000000000057e+02	1.499999999999999944e-01	7.211184561062489173e-02	9.546208301836695215e-04	nan	nan
3.000000000000000000e+00	-9.827384814392225110e+00	4.786057582883041839e+00	nan	nan	2.855158248927388079e-02	2.183444628014518198e-04	9.993886179190153429e-01	2.096333342114014772e-04	nan	nan	nan	nan	2.677527900000002681e-02	2.000000000000000944e-01	9.994279999999999831e-01	4.444869419614413692e-04	1.041500000000000057e+02	1.499999999999999944e-01	6.941799405836864001e-02	5.300375455060573390e-04	nan	nan
4.000000000000000000e+00	4.578102027523307527e+00	4.800869260919131243e+00	nan	nan	2.805537977767243174e-02	1.903678088359783260e-04	9.992555611578959329e-01	2.710741632566979285e-04	nan	nan	nan	nan	2.677512720689079195e-02	2.000000000000000944e-01	9.993065000000000975e-01	5.749714970626385209e-04	1.041500000000000057e+02	1.499999999999999944e-01	6.681809995850471195e-02	4.524055687382857040e-04	nan	nan
5.000000000000000000e+00	1.954410675709537060e+01	4.798915516673734061e+00	nan	nan	2.732165743914901496e-02	3.296555988055579144e-04	9.991195075295644656e-01	3.324025801791184319e-04	nan	nan	nan	nan	2.654759231145342735e-02	2.000000000000001221e-01	9.991820000000000146e-01	7.054560521638356726e-04	1.041500000000000057e+02	1.499999999999999944e-01	6.376023270367546514e-02	7.687839329115864033e-04	nan	nan
6.000000000000000000e+00	3.522786382002018257e+01	4.781559502024719244e+00	nan	nan	2.645742641487153907e-02	5.071597943613609513e-04	9.989798465444915676e-01	3.964989319003351764e-04	nan	nan	nan	nan	2.618884883834321498e-02	2.000000000000001221e-01	9.990544999999999565e-01	8.428099402536747518e-04	1.041500000000000057e+02	1.499999999999999944e-01	6.051799734757913607e-02	1.159772014393153873e-03	nan	nan
7.000000000000000000e+00	5.175187392988218704e+01	4.760035770960775459e+00	nan	nan	2.630871554379819385e-02	4.171806772559786343e-04	9.988364752452800754e-01	4.617325132861662459e-04	nan	nan	nan	nan	2.607126267520479268e-02	2.000000000000000944e-01	9.989235000000000753e-01	9.825702945392927965e-04	1.041500000000000057e+02	1.500000000000000222e-01	5.900115166769782232e-02	9.351423667225070967e-04	nan	nan
8.000000000000000000e+00	6.870069563478941177e+01	4.758128623651999511e+00	nan	nan	2.630285604522610010e-02	3.291836138423202178e-04	9.986711095361391344e-01	5.271262813197695029e-04	nan	nan	nan	nan	2.608738613997421685e-02	2.000000000000000666e-01	9.987705000000000055e-01	1.122330648824910841e-03	1.041500000000000057e+02	1.500000000000000222e-01	5.785088795456144739e-02	7.233028560504407064e-04	nan	nan
9.000000000000000000e+00	8.598651501210721904e+01	4.767537173544957874e+00	nan	nan	2.669052025960426747e-02	2.571909085358027656e-04	9.984752394002837095e-01	5.970472002438411124e-04	nan	nan	nan	nan	2.649439814204726518e-02	2.000000000000000389e-01	9.985880000000000312e-01	1.273549748456964713e-03	1.041500000000000057e+02	1.500000000000000222e-01	5.758767999136868432e-02	5.537752949807026818e-04	nan	nan
1.000000000000000000e+01	1.033513402690003886e+02	4.780992171434838234e+00	nan	nan	2.730219902852835598e-02	2.139034306413002500e-04	9.982662152694246060e-01	6.683121755010098912e-04	nan	nan	nan	nan	2.712463088687977475e-02	1.999999999999999833e-01	9.983925000000000161e-01	1.426589519193189768e-03	1.041500000000000057e+02	1.500000000000000222e-01	5.780463525730004243e-02	4.511599040835599910e-04	nan	nan
1.100000000000000000e+01	1.206509909898949786e+02	4.793886997976636088e+00	nan	nan	2.755659107984995138e-02	2.173460066053263279e-04	9.980511974677758191e-01	7.395436329563010369e-04	nan	nan	nan	nan	2.740069640551207053e-02	1.999999999999999556e-01	9.981910000000000505e-01	1.579629289929414824e-03	1.041500000000000057e+02	1.500000000000000222e-01	5.726819718545329840e-02	4.496608379307971779e-04	nan	nan
