#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-2.820972427084752354e+01	5.914461809197746334e-01	nan	nan	2.095420071783128946e-01	4.738242346526109171e-03	9.916143073910154149e-01	1.766475352089835749e-02	nan	nan	nan	nan	3.661119999999999930e-01	1.499999999999999944e-01	9.986000000000000432e-01	4.836340040669045125e-03	7.036914285714290429e+01	2.330940950383862120e-01	4.187277493202652967e-01	4.585532258625122856e-03	nan	nan
9.000000000000000000e+00	-2.582153767078738227e+01	5.683534099352357538e-01	nan	nan	1.913374038226475504e-01	4.302975339933173306e-03	9.920085720015294761e-01	1.702377456217447557e-02	nan	nan	nan	nan	3.322499999999999343e-01	1.499999999999999944e-01	9.983999999999999542e-01	1.252914999997981407e-02	7.036914285714290429e+01	2.331386165279079881e-01	3.645911586431669904e-01	3.906549487374622910e-03	nan	nan
1.000000000000000000e+01	-2.307873939854863821e+01	5.426135485097838274e-01	nan	nan	1.968762082697530780e-01	4.401731602255897803e-03	9.924029535477076891e-01	1.643580721804405176e-02	nan	nan	nan	nan	3.396090000000000497e-01	1.499999999999999944e-01	9.981999999999999762e-01	2.022195995929057868e-02	7.036914285714290429e+01	2.331900958331792617e-01	3.653700358677591797e-01	3.866495968131840495e-03	nan	nan
1.100000000000000000e+01	-2.034178808390405990e+01	5.178030889295666128e-01	nan	nan	2.185521862508950086e-01	4.859099624550421333e-03	9.921237655844713510e-01	1.686866588482075630e-02	nan	nan	nan	nan	3.746009999999999618e-01	1.499999999999999944e-01	9.979000000000000092e-01	2.445348833469656799e-02	7.036914285714290429e+01	2.332418380069915809e-01	3.993473183254783176e-01	4.080169751802253074e-03	nan	nan
1.200000000000000000e+01	-1.783770215641330736e+01	4.959030688718946145e-01	nan	nan	1.883698643576203757e-01	4.163851996915937485e-03	9.915247004847661527e-01	1.802284933718593593e-02	nan	nan	nan	nan	3.207260000000000666e-01	1.499999999999999944e-01	9.977000000000000313e-01	2.615584903144870313e-02	7.036914285714290429e+01	2.332894819120985841e-01	3.418691511312678677e-01	3.317781180534826787e-03	nan	nan
1.300000000000000000e+01	-1.491260640942667948e+01	4.711864435528411721e-01	nan	nan	1.676997348838297208e-01	3.682023200117666342e-03	9.909259572931080617e-01	1.918107052333035620e-02	nan	nan	nan	nan	2.833090000000000330e-01	1.499999999999999944e-01	9.975000000000000533e-01	2.785820972820083827e-02	7.036914285714290429e+01	2.333454852585974959e-01	2.935691035551988293e-01	2.730390897391190511e-03	nan	nan
1.400000000000000000e+01	-1.150625339785380774e+01	4.434807025584369122e-01	nan	nan	2.139970770426964652e-01	4.667860090128571511e-03	9.905973739543743051e-01	1.954796137803769054e-02	nan	nan	nan	nan	3.587650000000000006e-01	1.499999999999999944e-01	9.972999999999999643e-01	2.841469349056505167e-02	7.036914285714290429e+01	2.334111879301640768e-01	3.630463508722414634e-01	3.275505731956186370e-03	nan	nan
1.500000000000000000e+01	-8.751784174853941778e+00	4.219836354763690234e-01	nan	nan	1.920940368298234002e-01	4.164112938377730749e-03	9.904097260569518779e-01	1.950625485792704256e-02	nan	nan	nan	nan	3.196889999999998899e-01	1.499999999999999944e-01	9.970999999999999863e-01	2.837290915816395240e-02	7.036914285714290429e+01	2.334647182848645641e-01	3.221112731846799693e-01	2.824905537881409936e-03	nan	nan
1.600000000000000000e+01	-5.647266937338141446e+00	3.987931880563940212e-01	nan	nan	1.919185666186661310e-01	4.132872287806752497e-03	9.901227437350771377e-01	1.946759034965758056e-02	nan	nan	nan	nan	3.168850000000000833e-01	1.499999999999999944e-01	9.968000000000000194e-01	2.833112482576284966e-02	7.036914285714290429e+01	2.335254967203029275e-01	3.174530272244537876e-01	2.702244831569368833e-03	nan	nan
1.700000000000000000e+01	-2.497194598311573088e+00	3.764213653117404190e-01	nan	nan	1.861140702755015586e-01	3.980712206208529384e-03	9.899339110872534819e-01	1.942947335627058167e-02	nan	nan	nan	nan	3.047900000000001164e-01	1.499999999999999944e-01	9.966000000000000414e-01	2.829611394101826105e-02	7.036914285714290429e+01	2.335876565640443159e-01	3.033566527747146857e-01	2.497564736416749490e-03	nan	nan
1.800000000000000000e+01	7.992552762940832167e-01	3.542993219600099053e-01	nan	nan	2.011833533483546599e-01	4.274275523462668300e-03	9.896453244883222089e-01	1.939207647960432615e-02	nan	nan	nan	nan	3.267780000000000129e-01	1.499999999999999944e-01	9.962999999999999634e-01	2.826351326355778376e-02	7.036914285714290429e+01	2.336532413882189685e-01	3.231652394051577337e-01	2.571769400591563184e-03	nan	nan
1.900000000000000000e+01	3.893647488280358004e+00	3.347648320183574389e-01	nan	nan	1.731900508732953925e-01	3.653751782045761703e-03	9.894560653190184185e-01	1.936249097329774058e-02	nan	nan	nan	nan	2.788659999999998362e-01	1.499999999999999944e-01	9.960999999999999854e-01	2.823091258609730647e-02	7.036914285714290429e+01	2.337153135840230878e-01	2.744264438276153850e-01	2.107664990846956111e-03	nan	nan
2.000000000000000000e+01	7.537611189636209019e+00	3.133442569794904764e-01	nan	nan	1.810519771465361472e-01	3.791355621268449171e-03	9.892545122499066812e-01	1.936208968255558743e-02	nan	nan	nan	nan	2.888079999999999536e-01	1.499999999999999944e-01	9.959000000000000075e-01	2.825279989987340701e-02	7.036914285714290429e+01	2.337890510247151443e-01	2.834627180795152301e-01	2.088071896546960307e-03	nan	nan
2.100000000000000000e+01	1.106541197689701050e+01	2.942871511611221957e-01	nan	nan	1.818767218611274383e-01	3.781031419570970650e-03	9.889509219421653841e-01	1.937053386465804536e-02	nan	nan	nan	nan	2.874299999999996302e-01	1.499999999999999944e-01	9.956000000000000405e-01	2.828668777550345445e-02	7.036914285714290429e+01	2.338611092369902167e-01	2.817538531109500810e-01	1.989669140742562469e-03	nan	nan
2.200000000000000000e+01	1.461460922463160017e+01	2.768233501445496736e-01	nan	nan	2.161445642817949320e-01	4.463560440949541734e-03	9.886473350361615342e-01	1.938436902276167648e-02	nan	nan	nan	nan	3.386170000000001679e-01	1.499999999999999944e-01	9.952999999999999625e-01	2.832057565113350189e-02	7.036914285714290429e+01	2.339342834534973714e-01	3.315893195681065553e-01	2.252506965245906680e-03	nan	nan
2.300000000000000000e+01	1.763038790321658666e+01	2.633613929582880320e-01	nan	nan	1.969471221573230457e-01	4.041114175379536579e-03	9.884396385657083783e-01	1.940277573329639987e-02	nan	nan	nan	nan	3.059139999999995752e-01	1.499999999999999944e-01	9.950999999999999845e-01	2.837121478839491756e-02	7.036914285714290429e+01	2.339970048173050099e-01	2.977193429933394087e-01	1.938020559167558761e-03	nan	nan
2.400000000000000000e+01	2.098925599000519782e+01	2.498774752582050562e-01	nan	nan	1.730528435626203232e-01	3.525396491528646429e-03	9.881322455569799823e-01	1.942438493214656767e-02	nan	nan	nan	nan	2.661780000000000257e-01	1.500000000000000222e-01	9.948000000000000176e-01	2.842365644548000558e-02	7.036914285714290429e+01	2.340674611009538331e-01	2.578922923119831290e-01	1.599050642819326929e-03	nan	nan
2.500000000000000000e+01	2.486684376525463591e+01	2.363033947131675805e-01	nan	nan	1.670676902545016052e-01	3.377135683047493859e-03	9.879241871019202037e-01	1.945303519168438064e-02	nan	nan	nan	nan	2.541929999999998913e-01	1.500000000000000222e-01	9.946000000000000396e-01	2.847609810256509708e-02	7.036914285714290429e+01	2.341495984317052137e-01	2.456769721645949978e-01	1.444312827423635147e-03	nan	nan
2.600000000000000000e+01	2.893722932556687510e+01	2.243513249268557497e-01	nan	nan	1.733347010095751262e-01	3.476943337139440197e-03	9.876206743839414104e-01	1.946009147935117214e-02	nan	nan	nan	nan	2.608110000000003481e-01	1.500000000000000222e-01	9.942999999999999616e-01	2.851442426939224117e-02	7.036914285714290429e+01	2.342367615310143869e-01	2.517110463081445593e-01	1.390245760192503803e-03	nan	nan
2.700000000000000000e+01	3.291003868243475239e+01	2.149038354409925355e-01	nan	nan	1.983416972876102524e-01	3.950767430695903415e-03	9.873172137093777501e-01	1.947224434877916494e-02	nan	nan	nan	nan	2.953320000000001500e-01	1.500000000000000222e-01	9.939999999999999947e-01	2.855257282132872901e-02	7.036914285714290429e+01	2.343227862257014349e-01	2.846116209043745293e-01	1.482608315270963692e-03	nan	nan
2.800000000000000000e+01	3.642359865873658720e+01	2.082671502335624591e-01	nan	nan	1.747352567849004001e-01	3.456658047347865685e-03	9.870155647055914860e-01	1.948355385698510855e-02	nan	nan	nan	nan	2.574259999999997106e-01	1.500000000000000222e-01	9.937000000000000277e-01	2.858310781272761433e-02	7.036914285714290429e+01	2.343996663868459229e-01	2.487135302704006623e-01	1.221455831362734928e-03	nan	nan
2.900000000000000000e+01	4.044428864256176581e+01	2.025083827645242640e-01	nan	nan	1.815589563388664285e-01	3.566443373166337978e-03	9.868359743448694710e-01	1.942280021896155770e-02	nan	nan	nan	nan	2.644679999999999254e-01	1.500000000000000222e-01	9.935000000000000497e-01	2.851792741142260973e-02	7.036914285714290429e+01	2.344885845543454028e-01	2.560909474718106038e-01	1.166911776979240789e-03	nan	nan
3.000000000000000000e+01	4.434915138711495075e+01	1.986182083519840713e-01	nan	nan	1.830221211895933786e-01	3.571121521666968755e-03	9.865570455203576117e-01	1.936556946686862277e-02	nan	nan	nan	nan	2.636039999999999495e-01	1.500000000000000222e-01	9.931999999999999718e-01	2.845274701011760859e-02	7.036914285714290429e+01	2.345759260232330445e-01	2.553780964018489419e-01	1.080078374625046420e-03	nan	nan
3.100000000000000000e+01	4.826491399201139387e+01	1.961386673743007736e-01	nan	nan	2.040059468425924616e-01	3.956034760982104354e-03	9.862789782572229935e-01	1.930896899854810805e-02	nan	nan	nan	nan	2.906409999999999272e-01	1.500000000000000222e-01	9.929000000000000048e-01	2.838408785110447391e-02	7.036914285714290429e+01	2.346645082319366027e-01	2.818262860136642178e-01	1.108618860194225978e-03	nan	nan
3.200000000000000000e+01	5.181319905138132498e+01	1.949031496573648548e-01	nan	nan	1.995377024125018495e-01	3.847251726088178614e-03	9.860054399678656045e-01	1.923242345111674662e-02	nan	nan	nan	nan	2.812640000000001805e-01	1.500000000000000222e-01	9.926000000000000378e-01	2.829732398592736328e-02	7.036914285714290429e+01	2.347456588416184931e-01	2.730528952040290891e-01	9.862407351050597130e-04	nan	nan
3.300000000000000000e+01	5.547549312540234467e+01	1.944242790354344663e-01	nan	nan	2.007728258858381964e-01	3.849546411303540402e-03	9.857318874990449453e-01	1.916125373955659614e-02	nan	nan	nan	nan	2.799249999999995353e-01	1.500000000000000222e-01	9.922999999999999599e-01	2.821056012075025612e-02	7.036914285714290429e+01	2.348303156990821372e-01	2.726285828293302793e-01	9.042507480115259807e-04	nan	nan
3.400000000000000000e+01	5.914348710322386893e+01	1.945272578251620865e-01	nan	nan	1.751912513958020501e-01	3.339959794971504841e-03	9.854577453675205101e-01	1.909420592595882649e-02	nan	nan	nan	nan	2.413589999999992131e-01	1.500000000000000222e-01	9.919999999999999929e-01	2.812671974185662963e-02	7.036914285714290429e+01	2.349160393666609725e-01	2.360734399752521251e-01	7.125947479125001489e-04	nan	nan
