WDC(m)	GRIP(m)	WD2014 age (yr BP1950)	GICC age (yr BP1950)	difference (yr)	section error (yr)
907.3998	784.47253	3871.7638655462183	3886.1913529411763	-14.427487394958007	-14.968931839403012
912.8256	788.4935	3897.070833333333	3912.5566666666673	-15.485833333334085	-1.0583459383760783
931.28845	802.7877	3987.586652542373	3998.2692857142856	-10.682633171912585	4.8032001614215005
994.85754	849.95685	4305.139562841529	4313.157941176471	-8.01837833494119	2.664254836971395
1057.2961	899.83575	4631.905855855855	4653.969642857142	-22.063787001286983	-14.045408666345793
1098.9819	931.807	4858.8262569832405	4881.592307692307	-22.766050709066803	-0.7022637077798208
1143.7565	966.1077	5099.371657754011	5122.790800000001	-23.41914224598986	-0.653091536923057
1244.02	1041.722	5661.951086956521	5686.62	-24.668913043478824	-1.2497707974889636
1255.5516	1050.3352	5730.96923076923	5753.0325	-22.063269230769947	2.605643812708877
1285.7777	1074.6251	5918.362983425415	5941.639444444444	-23.27646101902883	-1.2131917882588823
1317.8323	1100.8826	6124.2108333333335	6150.64125	-26.430416666666133	-3.1539556476373036
1340.3066	1119.7312	6268.45909090909	6300.008571428571	-31.549480519480312	-5.119063852814179
1342.235	1121.4303	6281.627450980392	6312.085833333333	-30.458382352941044	1.0910981665392683
1346.6412	1125.0488	6310.839639639638	6342.169411764706	-31.329772125067393	-0.8713897721263493
1348.8064	1126.6034	6325.218181818182	6354.18	-28.96181818181867	2.3679539432487218
1353.3916	1130.2767	6355.187323943662	6384.889166666666	-29.70184272300412	-0.7400245411854485
1367.7133	1141.4327	6448.373484848484	6479.454375000001	-31.08089015151745	-1.3790474285133314
1372.6033	1145.1074	6479.310833333334	6511.152222222223	-31.841388888889014	-0.760498737371563
1383.8218	1153.8562	6551.18	6583.056363636364	-31.87636363636375	-0.03497474747473461
1399.3188	1165.798	6652.349618320611	6682.414285714285	-30.064667393674426	1.8116962426893224
1421.587	1182.7148	6800.140495867769	6827.962857142857	-27.822361275088042	2.2423061185863844
1426.5767	1186.5862	6834.134090909091	6860.615714285714	-26.481623376622338	1.3407378984657043
1433.9701	1192.5775	6885.197727272727	6909.795454545456	-24.59772727272866	1.883896103893676
1446.1354	1202.1266	6969.087581699346	6995.721666666666	-26.634084967320632	-2.0363576945919704
1456.9567	1210.3097	7042.259595959595	7066.685625	-24.42602904040541	2.208055926915222
1463.5116	1215.6667	7089.363414634147	7112.333571428572	-22.970156794424838	1.4558722459805722
