#from TJ Fudge Uncertainty Layers	
#may not be	may be
2870	2428-2429
3069	2583-2584
3373	2608-2609
3653	2734-2735
3960	2782-2783
4069	2845-2846
4220	2851-2852
4491	2907-2908
4464	2975-2976
4960	3605-3606
5275	3833-3834
5325	3850-3851
5357	4104-4105
5526	4115-4116
5638	4527-4528
2518	4550-4551
3599	5135-5136
3750	5270-5271
3826	5655-5656
4213	5750-5751
4463	5918-5919
4626	2380-2381
4947	2400-2401
5136	2488-2489
5225	2509-2510
5441	2642-2643
5656	3442-3443
5751	4329-4330
	4339-4340
	4603-4604
	5186-5187
	5502-5503
	5918-5919
	6017-6018
	6018-6019
	
	
	
