#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.209666384359170621e+01	9.509013396358874104e+00	-5.209666384359170621e+01	9.509013396358874104e+00	0.000000000000000000e+00	2.854696870938944545e-02	3.029937393058095094e-03	1.000136725444468633e+00	1.159564630681935143e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000389e-01	1.000140000000000029e+00	1.177473019257974183e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.851497598250577192e-02	8.332822400887828287e-03	1.427545017863741106e-01	6.472875933579329870e+170
5.500000000000000444e-01	-4.509163081495589864e+01	9.306157157504554078e+00	-4.509163081495589864e+01	9.306157157504554078e+00	0.000000000000000000e+00	2.854539206640669194e-02	2.952607006110092788e-03	1.000056441602440671e+00	1.189714465034120072e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000389e-01	1.000059999999999949e+00	1.240657062129659318e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.850433734304967937e-02	8.119404186014611904e-03	1.427351588055448539e-01	1.469234415992045751e+195
1.100000000000000089e+00	-3.808564848818839721e+01	9.156119233066554841e+00	-3.808564848818839721e+01	9.156119233066554841e+00	0.000000000000000000e+00	2.854327216977672887e-02	2.860630854293839519e-03	9.999811577867361301e-01	1.223610745980245650e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000389e-01	9.999850000000000128e-01	1.303841105001344669e-03	0.000000000000000000e+00	2.000000000000000389e-01	8.262359598603365163e-02	8.279742281087056066e-03	1.502247199746065964e-01	1.062639004484912132e+248
1.650000000000000133e+00	-3.142895443564474078e+01	9.059467507186530710e+00	-3.142895443564474078e+01	9.059467507186530710e+00	0.000000000000000000e+00	2.854126098357409255e-02	2.787212311853341177e-03	9.999108739930936407e-01	1.260950387924871527e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	2.000000000000000389e-01	9.999149999999999983e-01	1.367025147873030021e-03	0.000000000000000000e+00	2.000000000000000389e-01	8.720156326660176427e-02	8.514706732057406371e-03	1.585482968483668542e-01	2.660590236962892806e-260
2.200000000000000178e+00	-2.512172805807989917e+01	9.006548665881249249e+00	-2.512172805807989917e+01	9.006548665881249249e+00	0.000000000000000000e+00	2.853908670816262053e-02	2.724276026043366550e-03	9.998245903098708087e-01	1.301409001740949298e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000389e-01	9.998289999999999678e-01	1.430209190744715156e-03	0.000000000000000000e+00	2.000000000000000389e-01	7.133520168951641705e-02	6.808589398402842274e-03	1.297003667082116951e-01	2.522514137145428441e-258
2.750000000000000000e+00	-1.741164962592164045e+01	8.989620319067631371e+00	-1.741164962592164045e+01	8.989620319067631371e+00	0.000000000000000000e+00	2.853674936417710181e-02	2.676989855735660995e-03	9.997423066568138506e-01	1.344726175681434975e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.997470000000000523e-01	1.493393233616400508e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.471988128854528677e-02	7.008328665802563556e-03	1.358543296155368119e-01	1.186004961283581193e-259
3.300000000000000266e+00	-1.005082422690810517e+01	9.019382050349314284e+00	-1.005082422690810517e+01	9.019382050349314284e+00	0.000000000000000000e+00	2.853446637183025547e-02	2.652224809232715461e-03	9.996590230554059930e-01	1.390626897741236009e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.996639999999999970e-01	1.556577276488085642e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.470767951398615825e-02	6.942831387456088917e-03	1.358321445708838560e-01	8.359303518538834629e-13
3.850000000000000533e+00	-2.688796607016179507e+00	9.091456429422343888e+00	-2.688796607016179507e+00	9.091456429422343888e+00	0.000000000000000000e+00	2.865171477497115149e-02	2.660942477745159313e-03	9.995647395591269468e-01	1.438847377240726763e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	1.619761319359770777e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.563154572092663730e-02	6.094302773853029626e-03	1.193300831289575287e-01	9.149849802645736694e+199
4.400000000000000355e+00	5.691319904922565343e+00	9.222753512248395680e+00	5.691319904922565343e+00	9.222753512248395680e+00	0.000000000000000000e+00	2.872307995931274935e-02	2.643165811242292364e-03	9.994624561607113877e-01	1.489161642097930512e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.994680000000000231e-01	1.682945362231456129e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.847853684620821224e-02	5.380350386736507291e-03	1.063246124476512899e-01	2.548307695032170733e+161
4.950000000000000178e+00	1.509647998008717451e+01	9.427330019500905323e+00	1.509647998008717451e+01	9.427330019500905323e+00	0.000000000000000000e+00	2.875198692452724317e-02	2.532667741743347464e-03	9.993621728086681255e-01	1.541375608909717346e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.993680000000000341e-01	1.746129405103141264e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.321408909010541033e-02	5.567145365801417708e-03	1.149347074365554139e-01	2.875181975796454903e+161
