#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.007246287909639904e+01	4.888957793080786374e+00	nan	nan	nan	2.663409436496307070e-02	2.376464213176567985e-03	9.997883298274844455e-01	2.193959879924288481e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000111e-01	9.997854999999999936e-01	2.274595929473371882e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.901511971305636373e-02	6.156627012572785280e-03	nan	nan
1.000000000000000000e+00	-3.558288430330470931e+01	4.766690030321433014e+00	nan	nan	nan	2.663295619115115323e-02	2.179251983667591062e-03	9.996701224249231466e-01	2.208022153297334051e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000389e-01	9.996665000000000134e-01	2.435686867293632586e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.754339199524263260e-02	5.525125327316732400e-03	nan	nan
2.000000000000000000e+00	-2.077758699057226721e+01	4.934228068811054690e+00	nan	nan	nan	2.663179348886221889e-02	2.076658612447995420e-03	9.995519148342097981e-01	2.239085883699287391e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.995475000000000332e-01	2.596777805113893722e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.612240712162181788e-02	5.154115400001641097e-03	nan	nan
3.000000000000000000e+00	-5.654120626731995003e+00	5.321931875974345694e+00	nan	nan	nan	2.663029058524753884e-02	2.049356653015464193e-03	9.994332070527383038e-01	2.286445255869835966e-03	nan	nan	nan	nan	2.677527900000002681e-02	2.000000000000000944e-01	9.994279999999999831e-01	2.757868742934154425e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.474961004927440311e-02	4.980786112054503764e-03	nan	nan
4.000000000000000000e+00	9.789987827959869549e+00	5.874836737833997624e+00	nan	nan	nan	2.662629872544064816e-02	1.835088009865612360e-03	9.993124990703148303e-01	2.349099663966317583e-03	nan	nan	nan	nan	2.677512720689079195e-02	2.000000000000001221e-01	9.993065000000000975e-01	2.918959680754415129e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.341814221131772400e-02	4.368301100207267612e-03	nan	nan
5.000000000000000000e+00	2.555834629970232896e+01	6.485343427183594578e+00	nan	nan	nan	2.639612526475532475e-02	1.731126714729814544e-03	9.991887908753822600e-01	2.425849760505257181e-03	nan	nan	nan	nan	2.654759231145342735e-02	2.000000000000001776e-01	9.991820000000000146e-01	3.080050618574676265e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.160460072147179444e-02	4.037425485910208639e-03	nan	nan
6.000000000000000000e+00	4.179090017211883179e+01	7.105547772774476023e+00	nan	nan	nan	2.603545624411316220e-02	1.772841552051374926e-03	9.990620824608027473e-01	2.515393049674347851e-03	nan	nan	nan	nan	2.618884883834321498e-02	2.000000000000002054e-01	9.990544999999999565e-01	3.241141556394936969e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.955769663941859471e-02	4.052688271690719872e-03	nan	nan
7.000000000000000000e+00	5.858134131450082549e+01	7.737309692705542474e+00	nan	nan	nan	2.591179613828657052e-02	1.576862810321186291e-03	9.989318738152450639e-01	2.616402463348868265e-03	nan	nan	nan	nan	2.607126267520479268e-02	2.000000000000002054e-01	9.989235000000000753e-01	3.402232494215197672e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.811655187360578734e-02	3.533366823837635722e-03	nan	nan
8.000000000000000000e+00	7.578814329708987430e+01	8.354095165434094028e+00	nan	nan	nan	2.592078273817570444e-02	1.529414550646149328e-03	9.987796647606238531e-01	2.727541013977291973e-03	nan	nan	nan	nan	2.608738613997421685e-02	2.000000000000001776e-01	9.987705000000000055e-01	3.563323432035458808e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.701674733893100783e-02	3.360536058463821796e-03	nan	nan
9.000000000000000000e+00	9.332684984686179064e+01	8.925973111508243463e+00	nan	nan	nan	2.631796866096038426e-02	1.687261050792821567e-03	9.985979551698178636e-01	2.847575565987386925e-03	nan	nan	nan	nan	2.649439814204726518e-02	2.000000000000001776e-01	9.985880000000000312e-01	3.724414369855719512e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.679083859856330629e-02	3.637268539694320842e-03	nan	nan
1.000000000000000000e+01	1.109353237605626816e+02	9.462831096572895007e+00	nan	nan	nan	2.693345291543558853e-02	1.521813559230668182e-03	9.984032451502090622e-01	2.975444924183898079e-03	nan	nan	nan	nan	2.712463088687977475e-02	2.000000000000002054e-01	9.983925000000000161e-01	3.885505307675980215e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.703174787349681724e-02	3.217949546140843817e-03	nan	nan
1.100000000000000000e+01	1.284694172661329219e+02	9.970763094884059541e+00	nan	nan	nan	2.719689352385742595e-02	1.501474645560929837e-03	9.982025347517512470e-01	3.110181048734437115e-03	nan	nan	nan	nan	2.740069640551207053e-02	2.000000000000002331e-01	9.981910000000000505e-01	4.046596245496240918e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.652924294205812633e-02	3.115877126639294507e-03	nan	nan
1.200000000000000000e+01	1.461593764439869290e+02	1.043639723914647099e+01	nan	nan	nan	2.729724909485898091e-02	1.621140485920227530e-03	9.979958239601663950e-01	3.250911620822657597e-03	nan	nan	nan	nan	2.751328547451376005e-02	2.000000000000002331e-01	9.979835000000000234e-01	4.207687183316501621e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.570993925680915032e-02	3.303579848524929637e-03	nan	nan
1.300000000000000000e+01	1.641094947413745047e+02	1.087595763881213706e+01	nan	nan	nan	2.707763124501914170e-02	1.387083880443056678e-03	9.977831127611767048e-01	3.396873046202959767e-03	nan	nan	nan	nan	2.731100695836441439e-02	1.999999999999999556e-01	9.977700000000000458e-01	4.368778121136763191e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.427692813493074225e-02	2.774329898842067908e-03	nan	nan
1.400000000000000000e+01	1.825335293056378134e+02	1.127528677055032880e+01	nan	nan	nan	2.696939422451397061e-02	1.373751208084268878e-03	9.975469008966364459e-01	3.547338856383785641e-03	nan	nan	nan	nan	2.722129699999997765e-02	1.999999999999996503e-01	9.975330000000000030e-01	4.529869058957023895e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.311165894178448976e-02	2.698877725920997058e-03	nan	nan
1.500000000000000000e+01	2.013617869787053678e+02	1.161366028833109354e+01	nan	nan	nan	2.694345492956985375e-02	1.449220696052821262e-03	9.972841882664388313e-01	3.701714153003689192e-03	nan	nan	nan	nan	2.721770129864276022e-02	1.999999999999994282e-01	9.972695000000000309e-01	4.690959996777284598e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.214443968957427344e-02	2.798164901146688640e-03	nan	nan
