depth	thinning	rel_unc	comment
0.000000	0.994800	0.000100	
1.650000	0.994500	0.000207	
3.300000	0.994200	0.000417	
4.950000	0.994100	0.000631	
6.600000	0.994100	0.000853	
8.250000	0.994000	0.001083	
9.900000	0.993900	0.001329	
11.550000	0.993800	0.001587	
13.200000	0.993900	0.001853	
14.850000	0.993800	0.002134	
16.500000	0.993700	0.002429	
18.150000	0.993500	0.002733	
19.800000	0.993200	0.003046	
21.450000	0.992600	0.003367	
23.100000	0.992200	0.003693	
24.750000	0.991900	0.004025	
26.400000	0.991600	0.004362	
28.050000	0.991300	0.004700	
29.700000	0.991000	0.005043	
31.350000	0.990700	0.005391	
33.000000	0.990600	0.005740	
34.650000	0.990600	0.006094	
36.300000	0.990500	0.006449	
37.950000	0.990400	0.006809	
39.600000	0.990500	0.007170	
41.250000	0.990600	0.007539	
42.900000	0.990500	0.007907	
44.550000	0.990300	0.008279	
46.200000	0.990100	0.008656	
47.850000	0.989900	0.009035	
49.500000	0.989700	0.009419	
51.150000	0.989400	0.009804	
52.800000	0.989200	0.010194	
54.450000	0.988800	0.010586	
56.100000	0.988500	0.010982	
57.750000	0.988100	0.011380	
59.400000	0.987700	0.011782	
61.050000	0.987300	0.012185	
62.700000	0.986800	0.012594	
64.350000	0.986600	0.013007	
66.000000	0.986100	0.013421	
67.650000	0.985800	0.013841	
69.300000	0.985500	0.014262	
70.950000	0.985300	0.014687	
72.600000	0.985000	0.015114	
74.250000	0.984800	0.015544	
75.900000	0.984500	0.015978	
77.550000	0.984200	0.016415	
79.200000	0.983800	0.016857	
80.850000	0.983300	0.017298	
82.500000	0.982800	0.017744	
84.150000	0.982400	0.018195	
85.800000	0.982000	0.018647	
87.450000	0.981500	0.019104	
89.100000	0.981100	0.019562	
90.750000	0.980600	0.020022	
92.400000	0.980100	0.020489	
94.050000	0.979600	0.020955	
95.700000	0.979100	0.021426	
97.350000	0.978700	0.021900	
99.000000	0.978200	0.022378	
100.650000	0.977700	0.022856	
102.300000	0.977200	0.023338	
103.950000	0.976700	0.023823	
105.600000	0.976400	0.024313	
107.250000	0.975800	0.024804	
108.900000	0.975400	0.025297	
110.550000	0.974800	0.025793	
112.200000	0.974300	0.026293	
113.850000	0.973600	0.026794	
115.500000	0.973100	0.027297	
117.150000	0.972400	0.027804	
118.800000	0.972000	0.028310	
120.450000	0.971400	0.028819	
