#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	6.965624729528529713e+01	9.286592969311044499e+00	nan	nan	nan	6.886277145562572088e-02	6.917345550650492308e-03	9.941110532934395172e-01	4.544619460860055589e-03	nan	nan	nan	nan	6.439430000000000154e-02	2.002707351859528140e-01	9.940799999999999637e-01	4.704290167166577316e-03	8.963249999999999318e+01	2.000000000000000111e-01	1.177216221414599112e-01	1.181506841392835662e-02	nan	nan
1.900000000000000000e+01	7.815086350774583934e+01	9.097251623732285353e+00	nan	nan	nan	7.205817836521231923e-02	7.095108275317365404e-03	9.940176086571894665e-01	4.598131341557615617e-03	nan	nan	nan	nan	6.738280000000000658e-02	2.003717524740034062e-01	9.939700000000000202e-01	4.998003652392027547e-03	8.965070000000000050e+01	2.000000000000000111e-01	1.202408240141910611e-01	1.182613881107009816e-02	nan	nan
2.000000000000000000e+01	8.646750644660309604e+01	8.982086217753293411e+00	nan	nan	nan	6.101099348274038880e-02	5.959469501994027300e-03	9.938941586950107432e-01	4.679595513645345810e-03	nan	nan	nan	nan	5.705279999999998686e-02	2.004815150904427912e-01	9.938300000000002132e-01	5.291717137617477779e-03	8.966030000000000655e+01	2.000000000000000111e-01	1.005043077370298132e-01	9.803829461102250148e-03	nan	nan
2.100000000000000000e+01	9.641732872304230284e+01	8.934930966264076346e+00	nan	nan	nan	7.481680664554751781e-02	7.270332822188731170e-03	9.937607035317700399e-01	4.787646456679809856e-03	nan	nan	nan	nan	6.996760000000001867e-02	2.006063686572185367e-01	9.936800000000000077e-01	5.585430622842928010e-03	8.966280000000000427e+01	2.000000000000000111e-01	1.220649454575419290e-01	1.184284839389003648e-02	nan	nan
2.200000000000000000e+01	1.046096889150011862e+02	8.969145594291134671e+00	nan	nan	nan	8.207511840503534106e-02	7.617228260390867915e-03	9.936172426675529135e-01	4.920504779211751570e-03	nan	nan	nan	nan	7.677929999999999477e-02	2.007819318870953107e-01	9.935199999999999587e-01	5.879144108068378241e-03	8.970000000000000284e+01	2.000000000000000111e-01	1.322235473325855670e-01	1.224723058052907751e-02	nan	nan
2.300000000000000000e+01	1.121726383303929424e+02	9.048336379806150020e+00	nan	nan	nan	7.260514530850990800e-02	6.486111021379078329e-03	9.934737767478010184e-01	5.076243587164436244e-03	nan	nan	nan	nan	6.794200000000000239e-02	2.009620227240601076e-01	9.933600000000000207e-01	6.172857593293827605e-03	8.971769999999999357e+01	2.000000000000000111e-01	1.162285274726002210e-01	1.035854135771216780e-02	nan	nan
2.400000000000000000e+01	1.207763780640460141e+02	9.183955189835128152e+00	nan	nan	nan	6.762610990704248648e-02	5.871185746982683293e-03	9.933203044604063114e-01	5.252753190377972697e-03	nan	nan	nan	nan	6.330510000000000304e-02	2.011617343374522138e-01	9.931900000000000173e-01	6.466571078519277836e-03	8.971939999999999316e+01	2.000000000000000111e-01	1.071814851290199960e-01	9.279492141020655518e-03	nan	nan
2.500000000000000000e+01	1.301063476832974004e+02	9.376188153654647195e+00	nan	nan	nan	7.654055582656213441e-02	6.569507186181306087e-03	9.931168193910591135e-01	5.447762763138378969e-03	nan	nan	nan	nan	7.167479999999998297e-02	2.013578255937173433e-01	9.929700000000000193e-01	6.760284563744728067e-03	8.972740000000000293e+01	2.000000000000000111e-01	1.207114870511044463e-01	1.032854314588350399e-02	nan	nan
2.600000000000000000e+01	1.383905634147848218e+02	9.580563479415411976e+00	nan	nan	nan	7.005863178158992788e-02	6.049277060229587416e-03	9.929133272664445453e-01	5.659560371138534079e-03	nan	nan	nan	nan	6.562740000000000240e-02	2.015514223947420525e-01	9.927500000000000213e-01	7.053998048970178299e-03	8.973749999999999716e+01	2.000000000000000111e-01	1.097464820775981703e-01	9.444641464654663851e-03	nan	nan
2.700000000000000000e+01	1.475024727996608931e+02	9.838960744897825350e+00	nan	nan	nan	6.299821423881470095e-02	5.276543989172982965e-03	9.927098280863838609e-01	5.886306226737055350e-03	nan	nan	nan	nan	5.905320000000002789e-02	2.017539699552063637e-01	9.925300000000000233e-01	7.347711534195628530e-03	8.974370000000000402e+01	2.000000000000000111e-01	9.735976303654700348e-02	8.123407171598009263e-03	nan	nan
2.800000000000000000e+01	1.577736563852723179e+02	1.016236409631895476e+01	nan	nan	nan	6.132220580591580400e-02	4.840490652312280824e-03	9.925063218506985363e-01	6.126313976540837328e-03	nan	nan	nan	nan	5.753690000000000193e-02	2.019620936536350719e-01	9.923100000000000254e-01	7.641425019421078761e-03	8.974110000000000298e+01	2.000000000000000111e-01	9.395636289736118696e-02	7.382084085719154559e-03	nan	nan
2.900000000000000000e+01	1.684168951097470881e+02	1.051399493781967109e+01	nan	nan	nan	6.450951549556324660e-02	4.916856122465153300e-03	9.922627999789982445e-01	6.377803767751738517e-03	nan	nan	nan	nan	6.058490000000005260e-02	2.021694277227130132e-01	9.920499999999999874e-01	7.935138504646528992e-03	8.975270000000000437e+01	2.000000000000000111e-01	9.793436780764554206e-02	7.424650329084812872e-03	nan	nan
3.000000000000000000e+01	1.786278151614710907e+02	1.085681271715115770e+01	nan	nan	nan	7.268487838471446305e-02	5.506671373234572030e-03	9.919992650949794877e-01	6.639517846034490890e-03	nan	nan	nan	nan	6.832300000000002260e-02	2.023618227359972321e-01	9.917700000000000404e-01	8.228851989871978356e-03	8.975979999999999848e+01	2.000000000000000111e-01	1.091971969595136593e-01	8.225323937134767019e-03	nan	nan
3.100000000000000000e+01	1.877855593879164076e+02	1.116548265440899534e+01	nan	nan	nan	6.915372964896761288e-02	5.342601766933103603e-03	9.917457236335809334e-01	6.910443089004867333e-03	nan	nan	nan	nan	6.505939999999998946e-02	2.025488534480296421e-01	9.915000000000000480e-01	8.522565475097427720e-03	8.974190000000000111e+01	2.000000000000000111e-01	1.032248735371098791e-01	7.928131720402643509e-03	nan	nan
3.200000000000000000e+01	1.974731469405472808e+02	1.149409442582885710e+01	nan	nan	nan	6.531122788061050066e-02	4.830646072157118893e-03	9.914821708045986615e-01	7.189380303159060778e-03	nan	nan	nan	nan	6.152130000000000098e-02	2.027441836856201107e-01	9.912200000000002120e-01	8.816278960322878819e-03	8.973709999999999809e+01	2.000000000000000111e-01	9.644285877664864060e-02	7.084978979137296004e-03	nan	nan
3.300000000000000000e+01	2.078419810116721465e+02	1.184383578658580127e+01	nan	nan	nan	7.134054201800724138e-02	4.962141476025148761e-03	9.911785976732321313e-01	7.475162015914664157e-03	nan	nan	nan	nan	6.729420000000008173e-02	2.029367582415525784e-01	9.909000000000000030e-01	9.109992445548328183e-03	8.971880000000000166e+01	2.000000000000000111e-01	1.043295322214337489e-01	7.198061136504837337e-03	nan	nan
