#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
3.599999999999999867e-01	-5.600000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	2.305602953825479917e-01	3.190709725468178926e-03	1.000952866825383980e+00	1.348627173366664586e-02	nan	nan	nan	nan	2.144000000000000072e-01	2.000000000000000389e-01	9.999014777056945968e-01	1.367918089210460805e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.788526886533376881e-01	2.192205985563006228e-03	nan	nan
1.359999999999999876e+00	-5.391167508568810973e+01	9.560431601270848526e-03	nan	nan	nan	2.305602953825479640e-01	3.190709725468178493e-03	1.000800629426078503e+00	1.330306747814175017e-02	nan	nan	nan	nan	2.143999999999999795e-01	2.000000000000000389e-01	9.997869168983627430e-01	1.373134212548231085e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.636325014477239992e-01	2.104861492971756270e-03	nan	nan
2.359999999999999876e+00	-5.175479437331908628e+01	1.934094471682891100e-02	nan	nan	nan	2.305602953825479917e-01	3.190709725468178926e-03	1.000648402042648932e+00	1.312512326972742512e-02	nan	nan	nan	nan	2.144000000000000072e-01	2.000000000000000389e-01	9.996723560910307782e-01	1.378350335886001365e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.493745469418269356e-01	2.032918911499964360e-03	nan	nan
3.359999999999999432e+00	-4.952947919513331954e+01	2.937205867394376835e-02	nan	nan	nan	2.299061554171971944e-01	3.122236435258358457e-03	1.000496184674557698e+00	1.295264873729378395e-02	nan	nan	nan	nan	2.143999999999999240e-01	2.000000000000000389e-01	9.995577952836989244e-01	1.383566459223771646e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.347830459508278400e-01	1.782797918112690718e-03	nan	nan
4.359999999999999432e+00	-4.722948150821086699e+01	3.877244948300946625e-02	nan	nan	nan	2.299102177331648622e-01	3.058949726301476036e-03	1.000343977321267896e+00	1.278585798028170940e-02	nan	nan	nan	nan	2.150974999999998305e-01	2.000000000000000389e-01	9.994432344763670706e-01	1.388782582561541926e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.223486867907293996e-01	1.532726069577373474e-03	nan	nan
5.359999999999999432e+00	-4.486176963582734345e+01	4.732109800016816303e-02	nan	nan	nan	2.317124049849660639e-01	3.022679866854951006e-03	1.000191779982242180e+00	1.262496892796967016e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.993286736690351058e-01	1.393998705899312206e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.139969953474353370e-01	1.309274997631315477e-03	nan	nan
6.359999999999999432e+00	-4.244629316803130337e+01	5.487777525365921533e-02	nan	nan	nan	2.309326283585641237e-01	2.956626904430985792e-03	1.000039592656943199e+00	1.247020258292208701e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.992141128617032519e-01	1.399214829237082486e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.019163392425215697e-01	1.088895251961091194e-03	nan	nan
7.359999999999999432e+00	-3.995821318132394850e+01	6.145604805328623577e-02	nan	nan	nan	2.301357354665840849e-01	2.895368660536603005e-03	9.998840910518628222e-01	1.232174117718613619e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.990962303807834344e-01	1.404430952574852766e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.909876572309264331e-01	8.927887711660189999e-04	nan	nan
8.359999999999999432e+00	-3.740058768725528182e+01	6.697632952219817470e-02	nan	nan	nan	2.293094243670861232e-01	2.839594597799799218e-03	9.996954746641204537e-01	1.217944743288608932e-02	nan	nan	nan	nan	2.174865999999999744e-01	2.000000000000000389e-01	9.989452477139347808e-01	1.409647075912623046e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.815110183679647493e-01	7.309369603695813414e-04	nan	nan
9.359999999999999432e+00	-3.477943141167031627e+01	7.137259726133553250e-02	nan	nan	nan	2.282888728219842900e-01	2.788149390592349446e-03	9.995068710239787269e-01	1.204395816083632040e-02	nan	nan	nan	nan	2.172999999999998266e-01	2.000000000000000389e-01	9.987942650470861272e-01	1.414863199250393326e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.739118999645590913e-01	6.205745692841492652e-04	nan	nan
