#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.175511443796553834e+01	9.505974881292024392e+00	-5.175511443796553834e+01	9.505974881292024392e+00	0.000000000000000000e+00	2.825004656849058535e-02	2.825478315926420632e-03	1.000126216406783231e+00	2.328331374503957250e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000140000000000029e+00	2.364937760087070222e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.769751121412599160e-02	7.769891245655686889e-03	1.412682022075017196e-01	4.273440185110628092e-03
5.500000000000000444e-01	-4.467638062261514165e+01	9.294936511082221742e+00	-4.467638062261514165e+01	9.294936511082221742e+00	0.000000000000000000e+00	2.825939285292502351e-02	2.751465126078436567e-03	1.000045933164063650e+00	2.320034213101677262e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000059999999999949e+00	2.428025345344104330e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.771697768167418197e-02	7.565607539484957809e-03	1.413035957848622071e-01	4.161084146716727099e-03
1.100000000000000089e+00	-3.759941988113109801e+01	9.131817143713336193e+00	-3.759941988113109801e+01	9.131817143713336193e+00	0.000000000000000000e+00	2.827196521420852204e-02	2.656281688271395526e-03	9.999706498951661526e-01	2.314761220600638266e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	2.000000000000000111e-01	9.999850000000000128e-01	2.491112930601138437e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.183738961388783983e-02	7.687514028674659328e-03	1.487952538434324234e-01	4.228132715771063845e-03
1.650000000000000133e+00	-3.087877541049337893e+01	9.018525392838624199e+00	-3.087877541049337893e+01	9.018525392838624199e+00	0.000000000000000000e+00	2.828389888632013710e-02	2.571050756160935587e-03	9.999003665958254849e-01	2.312531554386075723e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.999150000000001093e-01	2.554200515858172111e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.641434174279810643e-02	7.853478516100248150e-03	1.571169849869056556e-01	4.319413183855137089e-03
2.200000000000000178e+00	-2.451409115892540669e+01	8.945793305969612419e+00	-2.451409115892540669e+01	8.945793305969612419e+00	0.000000000000000000e+00	2.829680688569059105e-02	2.485087636599868713e-03	9.998140835750749522e-01	2.313304080138094045e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.998289999999999678e-01	2.617288101115206218e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.072886511129401754e-02	6.210023079218972807e-03	1.285979365659891960e-01	3.415512693570434914e-03
2.750000000000000000e+00	-1.673791662064378727e+01	8.898478392558279992e+00	-1.673791662064378727e+01	8.898478392558279992e+00	0.000000000000000000e+00	2.831069064050850334e-02	2.400638891744970478e-03	9.997318005424966625e-01	2.317120494711541901e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.997470000000000523e-01	2.680375686372240326e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.412719601652403845e-02	6.283940663727284083e-03	1.347767200300435675e-01	3.456167365050010192e-03
3.300000000000000266e+00	-9.318237615418802022e+00	8.891537523771992468e+00	-9.318237615418802022e+00	8.891537523771992468e+00	0.000000000000000000e+00	2.832425922307418853e-02	2.326993639274532039e-03	9.996485175721164795e-01	2.323952778621328659e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.996640000000001081e-01	2.743463271629273999e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.415654511750222055e-02	6.090455593626969456e-03	1.348300820318221460e-01	3.349750576494836974e-03
3.850000000000000533e+00	-1.901495113074382459e+00	8.917499981287621225e+00	-1.901495113074382459e+00	8.917499981287621225e+00	0.000000000000000000e+00	2.845765149664803220e-02	2.268416555281074255e-03	9.995542348225069373e-01	2.333749550721451061e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	2.806550856886308107e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.518632624730177905e-02	5.194316738359128216e-03	1.185205931769123811e-01	2.856874206097520692e-03
4.400000000000000355e+00	6.535857191662465482e+00	8.981921383542790238e+00	6.535857191662465482e+00	8.981921383542790238e+00	0.000000000000000000e+00	2.853817682543147508e-02	2.210815781020713904e-03	9.994519522548822588e-01	2.346478380099782310e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000389e-01	9.994680000000000231e-01	2.869638442143342214e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.810147408577256978e-02	4.499300005901001390e-03	1.056390437923138692e-01	2.474615003245550851e-03
4.950000000000000178e+00	1.600205419706131948e+01	9.092185203496734758e+00	1.600205419706131948e+01	9.092185203496734758e+00	0.000000000000000000e+00	2.855500815865652173e-02	2.164364932358019567e-03	9.993516697126600956e-01	2.362113065984374535e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000389e-01	9.993680000000000341e-01	2.932726027400375888e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.278035196077842717e-02	4.756502786401431947e-03	1.141460944741427286e-01	2.616076532520786313e-03
