#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-6.075370475155219196e+01	9.681548627518676398e+00	-6.075370475155219196e+01	9.681548627518676398e+00	0.000000000000000000e+00	1.405768234790199522e-01	1.731547127024150867e-02	1.000130535255720376e+00	4.850766512598425791e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	1.999999999999999556e-01	9.995499999999999385e-01	4.984066266594295788e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.405951737106211352e-01	1.729684716259706490e-02	1.405951737106211075e-01	1.729684716259706490e-02
1.000000000000000000e+00	-5.364108506762021022e+01	9.475733111424903043e+00	-5.364108506762021022e+01	9.475733111424903043e+00	0.000000000000000000e+00	1.412710445806629189e-01	1.667630103214148840e-02	9.999171630957603973e-01	5.096676692467569034e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	1.999999999999999833e-01	9.992449999999999388e-01	5.452198799783020307e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.412593421246711722e-01	1.664881343064589930e-02	1.412593421246712000e-01	1.664881343064589930e-02
2.000000000000000000e+00	-4.656190725920715323e+01	9.340360608407985765e+00	-4.656190725920715323e+01	9.340360608407985765e+00	0.000000000000000000e+00	1.419689127614548740e-01	1.612017968367954190e-02	9.996887318511956666e-01	5.387000118244232409e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999997995e-02	1.999999999999999833e-01	9.989250000000000629e-01	5.920331332971745693e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.419247223607918440e-01	1.608350279156650631e-02	1.419247223607919273e-01	1.608350279156650978e-02
3.000000000000000000e+00	-3.951591848878092605e+01	9.268204729454021518e+00	-3.951591848878092605e+01	9.268204729454021518e+00	0.000000000000000000e+00	1.426704606543854614e-01	1.565958858056160780e-02	9.994402330977514293e-01	5.714847450252556922e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	2.000000000000000111e-01	9.985850000000000559e-01	6.388463866160470211e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.425905984525825676e-01	1.561336145501143920e-02	nan	nan
4.000000000000000000e+00	-3.250283339865457322e+01	9.252197198622789998e+00	nan	nan	nan	1.433757212790083280e-01	1.530695701904683133e-02	9.991766660558452084e-01	6.074066383643024827e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000111e-01	9.982299999999999507e-01	6.856596399349195597e-03	6.320744746828250271e+01	2.000000000000000111e-01	1.432576751809116478e-01	1.525096176885839573e-02	nan	nan
5.000000000000000000e+00	-2.552240461019937356e+01	9.285838274542440374e+00	nan	nan	nan	1.440847262687145747e-01	1.507381818674869908e-02	9.988980265817795079e-01	6.459322059052006321e-03	nan	nan	nan	nan	8.742999999999995220e-02	2.000000000000000389e-01	9.978599999999999692e-01	7.324728932537920983e-03	6.316642422527470302e+01	2.000000000000000111e-01	1.439259487303948815e-01	1.500791019450962473e-02	nan	nan
6.000000000000000000e+00	-1.857438718303465208e+01	9.363520605805740971e+00	nan	nan	nan	1.447975094084910930e-01	1.496983132244641794e-02	9.985993048702498376e-01	6.866093952850263298e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.974699999999999678e-01	7.792861465726645502e-03	6.318423809042329964e+01	2.000000000000000111e-01	1.445946922422626790e-01	1.489386618798279813e-02	nan	nan
7.000000000000000000e+00	-1.165850400300381295e+01	9.480746413546803808e+00	nan	nan	nan	1.455141066888448742e-01	1.500184563668234029e-02	9.982804953971633477e-01	7.290663061816140059e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.970600000000000573e-01	8.260993998915370021e-03	6.316129083130520172e+01	2.000000000000000111e-01	1.452638945126157322e-01	1.491573654735542029e-02	nan	nan
8.000000000000000000e+00	-4.774480940320792399e+00	9.634235206933750462e+00	nan	nan	nan	1.462345545520498113e-01	1.517321543981820300e-02	9.979415926374123336e-01	7.729976371981315056e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000944e-01	9.966300000000000159e-01	8.729126532104095407e-03	6.315271734726250230e+01	2.000000000000000111e-01	1.459335442682951345e-01	1.507689147430740263e-02	nan	nan
9.000000000000000000e+00	2.077953193407402921e+00	9.821936554728351254e+00	nan	nan	nan	1.467346894496717458e-01	1.503070521003386020e-02	9.975926051445704879e-01	8.181618158465958981e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000944e-01	9.961900000000000199e-01	9.197259065292820793e-03	6.314760060585710022e+01	2.000000000000000111e-01	1.463814411131775517e-01	1.492346438990407691e-02	nan	nan
1.000000000000000000e+01	8.909420300134627269e+00	1.003867077545471354e+01	nan	nan	nan	1.469317453795016548e-01	1.438580533899704202e-02	9.972335301500117044e-01	8.643558488694769518e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000666e-01	9.957400000000000695e-01	9.665391598481546179e-03	6.312546922875409905e+01	2.000000000000000111e-01	1.465252631359031110e-01	1.426647463315704363e-02	nan	nan
1.100000000000000000e+01	1.573418197329738177e+01	1.027349533767954526e+01	nan	nan	nan	1.471291566868124512e-01	1.385576588311001472e-02	9.968593569252084396e-01	9.114089338605120202e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000666e-01	9.952750000000000208e-01	1.013352413167026983e-02	6.310912107356549683e+01	2.000000000000000111e-01	1.466670765197641002e-01	1.372413073032364463e-02	nan	nan
1.200000000000000000e+01	2.255234473844423349e+01	1.051967626862381167e+01	nan	nan	nan	1.473269261647212058e-01	1.345558949354789050e-02	9.964800981594678086e-01	9.591933509003251410e-03	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.948049999999999393e-01	1.060165666485899522e-02	6.310532803328980123e+01	2.000000000000000111e-01	1.468083498461540404e-01	1.331172778036681346e-02	nan	nan
1.300000000000000000e+01	2.936394640175518589e+01	1.077228943443367193e+01	nan	nan	nan	1.475250556285734316e-01	1.319856102390205670e-02	9.960957524621474324e-01	1.007596970615232991e-02	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.943299999999999361e-01	1.106978919804772060e-02	6.310333342602349660e+01	2.000000000000000111e-01	1.469490812933640089e-01	1.304273137738509898e-02	nan	nan
1.400000000000000000e+01	3.616902467239530949e+01	1.102805803234521420e+01	nan	nan	nan	1.477235469041829896e-01	1.309460511095447179e-02	9.957063184423501356e-01	1.056526813781694107e-02	nan	nan	nan	nan	8.742999999999989669e-02	2.000000000000000389e-01	9.938500000000000112e-01	1.153792173123644599e-02	6.306767766566419908e+01	2.000000000000000111e-01	1.470892690352098853e-01	1.292724059146259721e-02	nan	nan
