#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.988582878845444668e+01	9.974602265582033667e+00	nan	nan	nan	2.150526555548934113e-02	3.637455059408933010e-03	9.947300755236467840e-01	2.279867753181806945e-03	nan	nan	nan	nan	2.188800000000000121e-02	2.001851711143585455e-01	9.947300000000000031e-01	2.358183414633007857e-03	9.995369456253919793e+01	2.000000000000000389e-01	5.585361470017752294e-02	9.447399735317878189e-03	nan	nan
1.000000000000000000e+00	-3.198188460564721325e+01	1.030835847566720354e+01	nan	nan	nan	2.150030941380080829e-02	3.547437208755698998e-03	9.942715202629521798e-01	2.260048491721619764e-03	nan	nan	nan	nan	2.188899999999999527e-02	2.002876835411847856e-01	9.942699999999999871e-01	2.464976436845081609e-03	9.993837724881490203e+01	2.000000000000000389e-01	5.509573537882369448e-02	9.090558245633937121e-03	nan	nan
2.000000000000000000e+00	-1.383165949068568779e+01	1.143725413661908696e+01	nan	nan	nan	2.149624926641748035e-02	3.487348299817511887e-03	9.938129636675033796e-01	2.249183519614415816e-03	nan	nan	nan	nan	2.189100000000000767e-02	2.003916995261768585e-01	9.938099999999999712e-01	2.571769459057155361e-03	9.992305993509050666e+01	2.000000000000000389e-01	5.422144972384200512e-02	8.796302367053428217e-03	nan	nan
3.000000000000000000e+00	4.611226214015132996e+00	1.314666064269814072e+01	nan	nan	nan	2.149111321756479870e-02	3.459830917071115338e-03	9.933644057816500839e-01	2.247400168105239890e-03	nan	nan	nan	nan	2.189199999999999480e-02	2.004973528005332128e-01	9.933600000000000207e-01	2.678562481269229113e-03	9.991064966745740605e+01	2.000000000000000111e-01	5.337126727738104870e-02	8.591983259554644356e-03	nan	nan
4.000000000000000000e+00	2.334789954055995054e+01	1.524713143387931780e+01	nan	nan	nan	2.148685720219311451e-02	3.467583812367080066e-03	9.929058465312156079e-01	2.254649980882843761e-03	nan	nan	nan	nan	2.189399999999999680e-02	2.006047777587562364e-01	9.929000000000000048e-01	2.785355503481302866e-03	9.991588896877080117e+01	2.000000000000000111e-01	5.241873744383022948e-02	8.459101183099287588e-03	nan	nan
5.000000000000000000e+00	4.242504730802686197e+01	1.762382888539091041e+01	nan	nan	nan	2.148155111600600492e-02	3.510163087087223455e-03	9.924472859460183871e-01	2.270844000187915383e-03	nan	nan	nan	nan	2.189499999999999780e-02	2.007143327820301859e-01	9.924399999999999888e-01	2.892148525693376618e-03	9.990335845278690385e+01	2.000000000000000111e-01	5.149591087678943163e-02	8.414186036352844927e-03	nan	nan
6.000000000000000000e+00	6.184406491493216151e+01	2.021335972226250632e+01	nan	nan	nan	2.148164052155381032e-02	3.402967139932721458e-03	9.919887240260556460e-01	2.295768396180591919e-03	nan	nan	nan	nan	2.189699999999999980e-02	2.008504161925358522e-01	9.919799999999999729e-01	2.998941547905449936e-03	9.988980535683309370e+01	2.000000000000000111e-01	5.073701231181566157e-02	8.036833939617783057e-03	nan	nan
7.000000000000000000e+00	8.155354236414176228e+01	2.288756465778959992e+01	nan	nan	nan	2.148071885977426501e-02	3.331379074266252200e-03	9.915301607713242760e-01	2.329118719537229525e-03	nan	nan	nan	nan	2.189800000000000080e-02	2.009886754929940955e-01	9.915199999999999569e-01	3.105734570117523689e-03	9.987625233591730023e+01	2.000000000000000111e-01	4.988004830097329118e-02	7.735061373581227258e-03	nan	nan
8.000000000000000000e+00	1.016016384278436107e+02	2.560941715934858820e+01	nan	nan	nan	2.009080755921781661e-02	3.086135001055588609e-03	9.910715961818216124e-01	2.370515624394430813e-03	nan	nan	nan	nan	2.048300000000000121e-02	2.011343540120119067e-01	9.910600000000000520e-01	3.212527592329597441e-03	9.986269923996360376e+01	2.000000000000000111e-01	4.577339934780645658e-02	7.030471940782555100e-03	nan	nan
9.000000000000000000e+00	1.234483881612763270e+02	2.855872746663658646e+01	nan	nan	nan	2.150904177184576743e-02	3.318798884616522369e-03	9.906130302575444357e-01	2.419522884758166376e-03	nan	nan	nan	nan	2.193100000000000604e-02	2.012824398837529949e-01	9.906000000000000361e-01	3.319320614541671193e-03	9.984914618152879484e+01	2.000000000000000111e-01	4.820619241525846144e-02	7.437204701919148016e-03	nan	nan
1.000000000000000000e+01	1.441926110483648813e+02	3.134483939696785271e+01	nan	nan	nan	2.213077242532162162e-02	3.475447161242179329e-03	9.901544629984897483e-01	2.475665894265942270e-03	nan	nan	nan	nan	2.256700000000000372e-02	2.014257959192779224e-01	9.901400000000000201e-01	3.426113636753744945e-03	9.983714254466849525e+01	2.000000000000000111e-01	4.880374852235214861e-02	7.663184599649022245e-03	nan	nan
1.100000000000000000e+01	1.646828403909327108e+02	3.409645535974044606e+01	nan	nan	nan	1.987498761777273248e-02	3.027655479001514858e-03	9.896958944046551077e-01	2.538449120400828977e-03	nan	nan	nan	nan	2.026399999999997648e-02	2.015590633070994397e-01	9.896800000000000042e-01	3.532906658965818264e-03	9.984957881295909488e+01	2.000000000000000111e-01	4.313638957599347928e-02	6.570137816269304085e-03	nan	nan
1.200000000000000000e+01	1.878651236053935918e+02	3.716383482647437830e+01	nan	nan	nan	1.845689997272423680e-02	2.750314666606849378e-03	9.892373244760371831e-01	2.607371428258212134e-03	nan	nan	nan	nan	1.881500000000002615e-02	2.017062270940266910e-01	9.892199999999999882e-01	3.639699681177892450e-03	9.986966685337779381e+01	2.000000000000000111e-01	3.926506311212810130e-02	5.849919434480698247e-03	nan	nan
1.300000000000000000e+01	2.133330566924825007e+02	4.045777899482992979e+01	nan	nan	nan	1.964037428931502891e-02	2.919373015126595135e-03	9.887787532126333101e-01	2.681938670499768151e-03	nan	nan	nan	nan	2.001799999999998025e-02	2.018568114674007263e-01	9.887599999999999723e-01	3.746492703389965769e-03	9.988975496883459471e+01	2.000000000000000111e-01	4.114403559834400870e-02	6.114458206456155689e-03	nan	nan
1.400000000000000000e+01	2.376379160835784887e+02	4.353178714197107269e+01	nan	nan	nan	2.021869289868093167e-02	3.057827266148966088e-03	9.883201806144406021e-01	2.761673364282441097e-03	nan	nan	nan	nan	2.060400000000001119e-02	2.020031947647656922e-01	9.882999999999999563e-01	3.853285725602039521e-03	9.990984304677239436e+01	2.000000000000000111e-01	4.154374681374687489e-02	6.281622097978933721e-03	nan	nan
1.500000000000000000e+01	2.617089274076967058e+02	4.652899957904413952e+01	nan	nan	nan	2.112973224846226988e-02	3.182005360233306195e-03	9.878616066814561725e-01	2.846121591991798098e-03	nan	nan	nan	nan	2.152599999999998959e-02	2.021454328250050503e-01	9.878400000000000514e-01	3.960078747814113273e-03	9.992993108719109330e+01	2.000000000000000111e-01	4.277305583548138973e-02	6.439835518090766993e-03	nan	nan
1.600000000000000000e+01	2.850881314525588550e+02	4.939759357125966943e+01	nan	nan	nan	2.068315169728153144e-02	3.037192470904203408e-03	9.874030314136765796e-01	2.934857459526477117e-03	nan	nan	nan	nan	2.106200000000002515e-02	2.022871751464575540e-01	9.873800000000000354e-01	4.066871770026186592e-03	9.995001916512889295e+01	2.000000000000000111e-01	4.109176395389278758e-02	6.032460482255881835e-03	nan	nan
1.700000000000000000e+01	3.094239083523301588e+02	5.231572995331556086e+01	nan	nan	nan	2.024635696432105711e-02	2.954564416669429663e-03	9.869444548110994919e-01	3.027485538831067337e-03	nan	nan	nan	nan	2.060800000000001519e-02	2.024346070713576029e-01	9.869200000000000195e-01	4.173664792238260778e-03	9.993428921759399941e+01	2.000000000000000111e-01	3.956837571497574813e-02	5.772565489717602742e-03	nan	nan
1.800000000000000000e+01	3.346966162138642176e+02	5.527273077153047609e+01	nan	nan	nan	2.195273673973745926e-02	3.250637680064813722e-03	9.864858768737220229e-01	3.123641737328632095e-03	nan	nan	nan	nan	2.233499999999999375e-02	2.025803158781105950e-01	9.864600000000000035e-01	4.280457814450334963e-03	9.990773643073339372e+01	2.000000000000000111e-01	4.213242169742778542e-02	6.236854777067666299e-03	nan	nan
