#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
314.57	1399.381	5	
322.43	1419.08	5	
339.14	1458.68	5	
344.97	1470.64	5	
349.66	1479.711	5	
352.45	1485.084	5	
369.5049909	1506.13	5	
371.46	1508.049	5	
384.93	1522.22	5	
388.27	1527.32	5	
388.99	1529.03	5	
389.63	1530.4940000000001	5	
390.31	1531.81	5	
394.31	1538.352	5	
402.25	1555.516	5	
406.4	1564.5	5	
419.62	1595.04	5	
424.34	1605.0040000000001	5	
425.66	1606.517	5	
429.97	1611.97	5	
441.82	1625.57	5	
457.02	1642.661	5	
459.74	1645.86	5	
466.98	1653.93	5	
470.87	1657.95	5	
482.85	1671.35	5	
485.93	1675.23	5	
488.79	1679.65	5	
491.69	1684.3	5	
496.84	1692.28	5	
503.93	1706.1	5	
505.79	1710.06	5	
511.4	1721.322	5	
515.14	1728.59	5	
528.65	1751.03	5	
542.01	1770.805	5	
550.82	1784.44	5	
557.82	1795.42	5	
559.708053097345	1797.64	5	
562.96	1801.9	5	
565.86	1805.58	5	
572.46	1814.63	5	
572.75	1814.919	5	
579.71	1824.01	5	
582.17	1827.205	5	
583.68	1829.14	5	
585.87	1831.59	5	
590.34	1837.38	5	
592.29	1840.25	5	
593.97	1842.48	5	
594.9	1843.683	5	
602.98	1855.0	5	
611.23	1869.52	5	
618.05	1877.95	5	
619.782267428027	1880.0	5	
626.30515108256	1892.34	5	
635.89	1902.87	5	
636.3952726	1903.45	5	
643.53	1910.98	5	
646.95	1915.58	5	
659.48	1931.08	5	
666.29	1939.54	5	
671.04	1949.6	5	
681.01	1962.25	5	
682.43	1963.76	5	
694.54	1982.33	5	
701.01	1989.9	5	
706.27	2000.22	5	
711.59	2009.39	5	
714.22	2012.94	5	
716.768	2016.41	5	
718.91	2018.48	5	
721.68	2022.25	5	
729.35	2032.52	5	
733.04	2038.06	5	
735.39	2042.284	5	
744.19	2061.99	5	
746.51	2067.37	5	
750.0	2072.476	5	
767.61	2089.08	5	
772.69	2094.1330000000003	5	
776.242308626974	2100.03	5	
788.98	2116.181	5	
792.08	2121.857	5	
801.0	2132.213	5	
802.14	2133.26	5	
803.87	2135.12	5	
808.42	2142.37	5	
814.12	2151.8	5	
817.37	2156.53	5	
818.28	2157.88	5	
831.48	2173.9	5	
834.28	2177.99	5	
837.4	2182.77	5	
843.07	2191.98	5	
847.01	2199.2	5	
847.98	2201.554	5	
849.55	2204.139	5	
856.33	2217.638	5	
861.08	2224.0	5	
875.39	2237.22	5	
887.43	2252.88	5	
890.19	2257.55	5	
900.03	2271.13	5	
904.64	2277.65	5	
912.5	2289.42	5	
921.001	2302.75	5	
923.92	2307.609	5	
936.57	2329.1	5	
942.07	2337.93	5	
946.02	2344.6	5	
947.92	2346.6	5	
955.68	2352.78	5	
958.14	2355.55	5	
960.65	2357.412	5	
962.83	2359.45	5	
965.07	2362.28	5	
968.54	2367.03	5	
974.92	2373.41	5	
978.99	2378.13	5	
983.03	2382.65	5	
983.54	2383.32	5	
984.95	2385.24	5	
988.59	2389.487	5	
995.79	2399.05	5	
997.31	2400.69	5	
999.56	2403.591	5	
1002.18	2405.91	5	
1010.42	2415.95	5	
1012.31	2417.46	5	
1016.07	2421.724	5	
1017.73	2422.824	5	
1029.47	2430.41	5	
1036.03	2434.96	5	
1038.89	2437.142	5	
1052.1	2445.9	5	
1080.68	2469.74	5	
1087.63	2475.109	5	
1095.7	2481.763	5	
1102.12	2487.42	5	
1110.34	2494.16	5	
1123.38	2505.21	5	
1127.14	2509.193	5	
1127.59	2509.477	5	
1131.7	2513.05	5	
1141.34	2524.44	5	
1143.85	2528.014	5	
1149.61	2536.117	5	
1150.46	2536.699	5	
1156.6	2540.94	5	
1156.77	2541.11	5	
1157.73	2541.71	5	
1166.23	2547.221	5	
1167.29	2548.01	5	
1168.95	2550.058	5	
1170.11	2551.446	5	
1175.74	2558.84	5	
1179.97	2564.7	5	
1185.55	2572.63	5	
1190.42	2578.98	5	
1192.92	2581.106	5	
1201.23	2587.6	5	
1205.59	2590.92	5	
1207.35	2592.5	5	
1210.16	2595.62	5	
1214.33	2600.85	5	
1224.9	2612.55	5	
1230.85	2619.18	5	
1237.72	2626.65	5	
1243.32	2633.45	5	
1247.78	2638.4	5	
1254.26	2645.8	5	
1264.5	2656.952	5	
1267.65	2660.251	5	
1270.78	2663.843	5	
1284.32	2678.97	5	
1291.67	2687.3	5	
1295.32	2689.38	5	
1297.97	2691.24	5	
1307.58	2696.93	5	
1326.86	2708.47	5	
1333.24	2713.08	5	
1351.34	2733.48	5	
1357.76	2744.16	5	
1359.17	2746.62	5	
1364.32	2752.34	5	
1367.97	2756.92	5	
1376.11	2767.18	5	
1382.72	2775.1	5	
1388.33	2780.54	5	
1399.37	2793.06	5	
1409.88	2806.74	5	
1411.95	2808.97	5	
1413.65	2811.08	5	
1427.55	2824.95	5	
1437.74	2834.66	5	
1446.2	2843.71	5	
1463.72	2861.48	5	
1465.54	2863.2	5	
1466.97	2864.73	5	
1469.28	2866.68	5	
1473.27	2870.35	5	
1486.02	2883.8	5	
1491.82	2890.42	5	
1495.95	2893.94	5	
1502.15	2898.54	5	
1503.91	2899.95	5	
1512.07	2905.02	5	
1512.94	2905.6	5	
1519.8	2911.63	5	
1533.01	2924.25	5	
1534.38	2925.54	5	
1545.01	2936.19	5	
1559.28	2946.48	5	
1563.42	2949.88	5	
215.0	305.0	5	
300.0	305.0	5	
0.7166666666666667	1.0	5	
