#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
314.57	1517.287	5	
322.43	1539.05	5	
339.14	1585.05	5	
344.97	1598.9	5	
349.66	1609.47	5	
352.45	1615.62	5	
369.5049909	1639.53	5	
371.46	1641.68	5	
384.93	1657.52	5	
388.27	1663.325	5	
388.99	1665.4	5	
389.63	1666.99	5	
390.31	1668.483	5	
394.31	1676.25	5	
402.25	1696.15	5	
406.4	1706.57	5	
419.62	1742.28	5	
424.34	1753.75	5	
425.66	1755.46	5	
429.97	1761.44	5	
441.82	1775.82	5	
457.02	1793.372	5	
459.74	1796.72	5	
511.4	1874.755	5	
515.14	1882.23	5	
542.01	1926.337	5	
572.75	1973.03	5	
582.17	1985.34	5	
592.29	1997.82	5	
594.9	2001.127	5	
611.23	2025.84	5	
619.782267428027	2035.26	5	
635.89	2055.99	5	
659.48	2080.41	5	
666.29	2087.83	5	
671.04	2096.91	5	
701.01	2131.4	5	
706.27	2140.49	5	
721.68	2159.12	5	
733.04	2172.18	5	
735.39	2175.9	5	
744.19	2193.328	5	
746.51	2197.994	5	
750.0	2202.29	5	
776.242308626974	2223.93	5	
788.98	2236.819	5	
792.08	2241.555	5	
801.0	2249.72	5	
802.14	2250.53	5	
803.87	2252.045	5	
808.42	2257.93	5	
814.12	2265.98	5	
817.37	2269.91	5	
831.48	2283.64	5	
834.28	2287.04	5	
837.4	2291.05	5	
843.07	2298.735	5	
847.01	2304.88	5	
847.98	2306.902	5	
849.55	2309.126	5	
856.33	2320.513	5	
887.43	2347.35	5	
890.19	2351.03	5	
900.03	2361.54	5	
904.64	2366.64	5	
912.5	2375.84	5	
921.001	2386.63	5	
923.92	2390.604	5	
942.07	2415.02	5	
946.02	2420.13	5	
960.65	2429.538	5	
962.83	2431.0	5	
983.03	2447.875	5	
984.95	2449.785	5	
988.59	2453.106	5	
997.31	2461.6	5	
1052.1	2493.81	5	
1080.68	2510.03	5	
1110.34	2527.27	5	
1143.85	2551.894	5	
1166.23	2564.67	5	
1167.29	2565.18	5	
1168.95	2566.58	5	
1170.11	2567.46	5	
1179.97	2576.28	5	
1185.55	2581.3	5	
1207.35	2592.72	5	
1210.16	2594.65	5	
1224.9	2604.73	5	
1230.85	2608.54	5	
1237.72	2612.846	5	
1243.32	2616.73	5	
1254.26	2623.96	5	
1264.5	2630.662	5	
1267.65	2632.624	5	
1270.78	2634.719	5	
1297.97	2650.814	5	
1351.34	2672.177	5	
1367.97	2684.72	5	
1382.72	2694.724	5	
1399.37	2703.62	5	
1409.88	2710.77	5	
1413.65	2713.05	5	
1466.97	2738.9	5	
1473.27	2741.75	5	
1502.15	2753.24	5	
1512.07	2753.96	5	
