#From Ikumi SP/DF synchronization, email sent on Nov 8. Also includes interpolated DF2 - DF1 tiepoints.
#Includes WD-TALDICE-Byrd-EDML-EDC Tiepoints file.
#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
126.3809	788.5733	5.0	
132.29565	828.3489	5.0	
134.88101	850.81647	5.0	
141.03165	895.632	5.0	
141.32993	898.12054	5.0	
142.62413	907.5519	5.0	
144.35997	918.6729	5.0	
146.39694	931.3475	5.0	
152.6866	978.50806	5.0	
154.89342	994.98065	5.0	
157.95357	1014.466	5.0	
161.32043	1036.6083	5.0	
171.06293	1099.0331	5.0	
174.10631	1118.5402	5.0	
177.93475	1143.8763	5.0	
181.91354	1169.4019	5.0	
188.19974	1210.0042	5.0	
191.89783	1233.0612	5.0	
192.4296	1236.0334	5.0	
193.79189	1244.0927	5.0	
201.1102	1285.8724	5.0	
202.66989	1294.5093	5.0	
211.27464	1342.34	5.0	
212.06778	1346.7024	5.0	
212.37646	1348.8899	5.0	
215.6971	1367.7771	5.0	
216.53568	1372.6448	5.0	
218.30873	1382.5391	5.0	
218.55612	1383.8934	5.0	
221.31525	1399.3574	5.0	
221.53108	1400.8835	5.0	
235.55896	1475.149	5.0	
235.84198	1476.3242	5.0	
237.33101	1483.5087	5.0	
246.26695	1526.0131	5.0	
260.2199	1590.4512	5.0	
262.5802	1601.6511	5.0	
263.94296	1607.9518	5.0	
264.9499	1612.7563	5.0	
266.33334	1619.2172	5.0	
267.39056	1624.0687	5.0	
269.50247	1633.2229	5.0	
273.82086	1652.1514	5.0	
274.05353	1653.0402	5.0	
282.95157	1689.9692	5.0	
286.39667	1703.0072	5.0	
296.92596	1742.844	5.0	
301.4607	1760.0293	5.0	
304.68765	1772.3761	5.0	
306.4433	1779.4585	5.0	
307.7897	1784.0406	5.0	
314.58807	1808.942	5.0	
318.92914	1824.4291	5.0	
321.48035	1833.0764	5.0	
322.41312	1836.3809	5.0	
323.23303	1839.4626	5.0	
323.65085	1840.9015	5.0	
326.3816	1850.355	5.0	
339.11063	1896.6454	5.0	
339.85352	1899.2397	5.0	
342.90256	1911.2964	5.0	
343.7823	1914.6454	5.0	
344.5529	1917.5049	5.0	
344.74463	1918.317	5.0	
344.96463	1919.1418	5.0	
345.3712	1920.7297	5.0	
346.4003	1924.6517	5.0	
348.49188	1932.8323	5.0	
349.6587	1937.6948	5.0	
350.365	1940.2622	5.0	
352.4495	1948.5425	5.0	
352.6062	1949.3	5.0	
358.43658	1974.3864	5.0	
369.51166	2012.567	5.0	
371.49637	2019.0997	5.0	
376.77435	2037.4015	5.0	
378.17816	2042.0513	5.0	
378.39334	2042.9078	5.0	
379.47397	2047.1716	5.0	
384.91162	2068.3179	5.0	
386.84122	2076.6865	5.0	
388.25882	2082.991	5.0	
388.9971	2086.5942	5.0	
389.64575	2089.6118	5.0	
390.29837	2092.7737	5.0	
393.00034	2105.0632	5.0	
394.30127	2111.2043	5.0	
399.6366	2133.6768	5.0	
402.24182	2145.287	5.0	
404.56686	2155.6572	5.0	
406.4044	2164.1296	5.0	
409.90204	2179.7603	5.0	
419.65765	2219.9001	5.0	
424.35217	2240.1968	5.0	
424.98712	2242.9402	5.0	
425.55865	2245.155	5.0	
427.50977	2253.436	5.0	
428.40048	2257.202	5.0	
428.7208	2258.344	5.0	
429.93317	2263.2336	5.0	
432.17346	2271.7944	5.0	
434.3285	2279.4697	5.0	
435.15613	2282.861	5.0	
441.78186	2308.8157	5.0	
452.091	2345.1145	5.0	
453.3463	2348.9695	5.0	
455.93936	2357.4775	5.0	
457.0279	2361.1343	5.0	
458.5353	2366.1003	5.0	
458.9673	2367.3523	5.0	
459.7674	2370.049	5.0	
466.98355	2392.3801	5.0	
472.06192	2405.4805	5.0	
482.85626	2430.279	5.0	
484.19217	2433.1863	5.0	
484.49484	2434.006	5.0	
485.33145	2435.626	5.0	
488.81067	2444.67	5.0	
