#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.198916217141874085e+01	3.824540684405805635e+00	nan	nan	nan	2.992315788487468278e-02	1.104534812876583651e-03	9.997934266345349652e-01	2.193951190798196661e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000389e-01	9.997854999999999936e-01	2.274595929473371882e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.753824189476428430e-02	2.857278109725959209e-03	nan	nan
1.000000000000000000e+00	-3.909230024156984484e+01	3.851184989062646391e+00	nan	nan	nan	2.961402633481224900e-02	6.834122879575166591e-04	9.996710246715144743e-01	2.207995244287987765e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.996665000000000134e-01	2.435686867293633019e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.510370160305690490e-02	1.725326459494688509e-03	nan	nan
2.000000000000000000e+00	-2.577737729296118019e+01	3.895308340965976779e+00	nan	nan	nan	2.930151666978820721e-02	4.854393712360539946e-04	9.995486235297761368e-01	2.239032604470256142e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000944e-01	9.995475000000000332e-01	2.596777805113893722e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.275065555060740430e-02	1.194189274147857424e-03	nan	nan
3.000000000000000000e+00	-1.203179668710159689e+01	3.919841540695078841e+00	nan	nan	nan	2.893845163070481522e-02	6.409995061484487352e-04	9.994257232104545308e-01	2.286357935777695062e-03	nan	nan	nan	nan	2.677527900000002681e-02	2.000000000000001221e-01	9.994279999999999831e-01	2.757868742934154425e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.036120847768706499e-02	1.550241892548880887e-03	nan	nan
4.000000000000000000e+00	2.180580013578861553e+00	3.926321849499310179e+00	nan	nan	nan	2.823305479217405947e-02	3.934593348030122743e-04	9.993008237271693295e-01	2.348971347936593210e-03	nan	nan	nan	nan	2.677512720689079195e-02	2.000000000000001776e-01	9.993065000000000975e-01	2.918959680754415129e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.724430546619861171e-02	9.238659843678345912e-04	nan	nan
5.000000000000000000e+00	1.705172773481847059e+01	3.917608149132179474e+00	nan	nan	nan	2.729401611478594891e-02	4.331690167157367178e-04	9.991729251094110253e-01	2.425674332414013909e-03	nan	nan	nan	nan	2.654759231145342735e-02	2.000000000000002331e-01	9.991820000000000146e-01	3.080050618574676265e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.369913193805207263e-02	9.992597970341506562e-04	nan	nan
6.000000000000000000e+00	3.275052879497276592e+01	3.881126549925638880e+00	nan	nan	nan	2.623164728560653525e-02	6.915439655123832357e-04	9.990420273877942403e-01	2.515165253055014205e-03	nan	nan	nan	nan	2.618884883834321498e-02	2.000000000000002887e-01	9.990544999999999565e-01	3.241141556394936969e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.000529106752394010e-02	1.574848976683231472e-03	nan	nan
7.000000000000000000e+00	4.941572585025744502e+01	3.838538852894453068e+00	nan	nan	nan	2.604666414652984444e-02	4.660431596880656915e-04	9.989076306008769501e-01	2.616117846470626934e-03	nan	nan	nan	nan	2.607126267520479268e-02	2.000000000000002609e-01	9.989235000000000753e-01	3.402232494215198105e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.841762426304066697e-02	1.034194495536263280e-03	nan	nan
8.000000000000000000e+00	6.653384752355997023e+01	3.831735505142141562e+00	nan	nan	nan	2.602381277211843549e-02	3.175523397837403945e-04	9.987512351412145550e-01	2.727195836413664424e-03	nan	nan	nan	nan	2.608738613997421685e-02	2.000000000000002054e-01	9.987705000000000055e-01	3.563323432035458808e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.724174834513785087e-02	6.809450168014638321e-04	nan	nan
9.000000000000000000e+00	8.400361441416089292e+01	3.830987851548890433e+00	nan	nan	nan	2.638987903088847384e-02	4.167607208730585806e-04	9.985653414035187136e-01	2.847166681170185728e-03	nan	nan	nan	nan	2.649439814204726518e-02	2.000000000000001776e-01	9.985880000000000312e-01	3.724414369855719512e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.694415222535195720e-02	8.844774684324470697e-04	nan	nan
