#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
312.765	1517.287	5	
320.949	1539.05	5	
338.556	1585.05	5	
344.807	1598.9	5	
349.927	1609.47	5	
352.845	1615.62	5	
357.038	1624.449	5	
370.087	1639.53	5	
371.943	1641.68	5	
384.13100000000003	1657.52	5	
387.279	1663.325	5	
388.03000000000003	1665.4	5	
388.708	1666.99	5	
389.357	1668.483	5	
393.008	1676.25	5	
400.284	1696.15	5	
404.13920631263164	1706.57	5	
417.1	1742.28	5	
421.883	1753.75	5	
423.062	1755.46	5	
427.105	1761.44	5	
433.2355505766063	1769.48	5	
438.08	1775.82	5	
440.2	1778.62	5	
451.532	1793.372	5	
454.0	1796.72	5	
499.209065483871	1874.755	5	
502.75	1882.23	5	
526.45	1926.337	5	
553.32	1973.03	5	
561.376	1985.34	5	
569.95	1997.82	5	
571.93	2001.127	5	
583.32	2018.919	5	
586.28	2025.84	5	
588.0	2028.25	5	
593.45	2035.26	5	
606.98	2055.99	5	
626.54	2080.41	5	
632.28	2087.83	5	
636.42	2096.91	5	
661.85	2131.4	5	
666.38	2140.49	5	
671.93	2150.0	5	
679.52	2159.12	5	
689.12	2172.18	5	
691.11	2175.9	5	
699.02	2193.328	5	
701.27	2197.994	5	
702.592	2200.507	5	
704.155	2202.29	5	
710.0	2207.53	5	
726.31	2223.93	5	
737.48	2236.819	5	
748.08	2249.72	5	
748.96	2250.53	5	
750.33	2252.045	5	
754.28	2257.93	5	
759.56	2265.98	5	
773.55	2281.58	5	
775.02	2283.64	5	
777.48	2286.78	5	
777.65	2287.04	5	
780.58	2291.05	5	
785.82	2298.735	5	
789.4	2304.88	5	
790.56	2306.902	5	
791.88	2309.126	5	
798.503	2320.513	5	
826.0	2347.35	5	
828.55	2351.03	5	
837.56	2361.54	5	
841.62	2366.64	5	
848.95	2375.84	5	
856.76	2386.63	5	
859.49	2390.604	5	
876.66	2415.02	5	
880.53	2420.13	5	
893.62	2429.538	5	
895.59	2431.0	5	
913.91	2447.875	5	
915.695	2449.785	5	
919.18	2453.106	5	
923.37	2458.0	5	
927.11	2461.6	5	
975.658	2493.81	5	
992.95	2504.25	5	
1000.676	2510.03	5	
1026.781	2527.27	5	
1055.94	2549.772	5	
1057.974	2551.894	5	
1078.96	2564.67	5	
1079.72	2565.18	5	
1081.27	2566.58	5	
1082.29	2567.46	5	
1092.32	2576.28	5	
1097.96	2581.3	5	
1118.45	2592.72	5	
1120.9	2594.65	5	
1134.95	2604.73	5	
1140.57	2608.54	5	
1147.1	2612.846	5	
1152.77	2616.73	5	
1163.2	2623.96	5	
1173.03	2630.662	5	
1176.06	2632.624	5	
1178.96	2634.719	5	
1205.68	2650.814	5	
1254.6	2672.177	5	
1271.19	2684.72	5	
1285.88	2694.724	5	
1303.14	2703.62	5	
1314.14	2710.77	5	
1318.1	2713.05	5	
1358.88	2732.72	5	
1371.1	2738.9	5	
1377.0	2741.75	5	
1402.62	2753.24	5	
1411.22	2753.96	5	
