#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
312.765	611.253	5.0	
320.949	623.5	5.0	
338.556	650.25	5.0	
344.807	659.52	5.0	
349.927	667.038	5.0	
352.845	671.266	5.0	
357.038	677.51	5.0	
358.28	679.48	5.0	
365.9	692.19	5.0	
370.087	700.181	5.0	
371.943	703.395	5.0	
384.13100000000003	725.831	5.0	
387.279	731.464	5.0	
388.03000000000003	732.625	5.0	
388.708	733.65	5.0	
389.357	734.77	5.0	
393.008	741.235	5.0	
400.284	754.712	5.0	
404.13920631263164	761.6928700000001	5.0	
417.1	784.903	5.0	
421.883	793.21	5.0	
423.062	795.517	5.0	
427.105	803.859	5.0	
433.2355505766063	816.3	5.0	
438.08	825.99	5.0	
440.2	830.26	5.0	
451.532	854.42	5.0	
454.0	859.64	5.0	
460.42	873.07	5.0	
463.53	880.07	5.0	
469.16	891.98	5.0	
471.28	896.769	5.0	
473.69709690197794	901.373	5.0	
475.01722197170966	904.0	5.0	
478.86775318871827	911.72	5.0	
484.2734298780487	921.735	5.0	
486.1	925.15	5.0	
486.55	925.95	5.0	
492.5	936.7	5.0	
499.209065483871	949.176425	5.0	
502.55	955.21	5.0	
502.75	955.6	5.0	
503.02	956.11	5.0	
506.0	961.375	5.0	
512.5523496294683	972.7121	5.0	
514.7724498692241	976.47578	5.0	
526.45	997.8	5.0	
528.28	1001.4	5.0	
540.32	1024.19	5.0	
541.95651	1027.5835	5.0	
544.8	1033.57	5.0	
547.36	1039.0	5.0	
553.1	1051.37	5.0	
553.32	1051.81	5.0	
561.376	1069.723	5.0	
562.58	1072.53	5.0	
564.41	1076.9370000000001	5.0	
565.41	1079.25	5.0	
568.22	1085.66	5.0	
569.95	1089.4315000000001	5.0	
571.2	1092.49	5.0	
571.93	1094.12	5.0	
576.07	1103.4	5.0	
579.0	1109.62	5.0	
583.32	1118.46	5.0	
586.28	1123.98	5.0	
588.0	1127.7	5.0	
593.45	1138.0	5.0	
598.86	1146.8	5.0	
606.98	1160.14	5.0	
613.2	1170.19	5.0	
616.0	1174.5	5.0	
626.54	1190.58	5.0	
629.2	1194.68	5.0	
632.28	1199.6	5.0	
636.42	1206.06	5.0	
644.76	1220.12	5.0	
645.9	1222.02	5.0	
653.22	1233.75	5.0	
661.85	1247.97	5.0	
666.38	1254.95325	5.0	
667.8	1257.131	5.0	
670.99	1262.29	5.0	
671.93	1263.7	5.0	
673.1726553966189	1265.776	5.0	
674.852078023407	1268.423	5.0	
677.14	1272.27	5.0	
679.52	1276.3	5.0	
686.23	1286.83	5.0	
689.12	1291.82	5.0	
691.11	1295.108	5.0	
699.02	1307.595	5.0	
701.27	1311.084	5.0	
702.592	1313.08	5.0	
704.155	1316.039	5.0	
710.0	1326.04	5.0	
718.95	1342.33	5.0	
723.22	1349.534	5.0	
723.82	1350.59	5.0	
726.31	1354.57	5.0	
730.9499999999999	1362.28	5.0	
733.8499999999999	1366.56	5.0	
736.27	1370.57	5.0	
737.48	1372.717	5.0	
745.9799999999999	1386.61	5.0	
748.08	1390.02	5.0	
748.4699999999999	1390.49	5.0	
748.96	1391.454	5.0	
750.33	1393.78	5.0	
754.28	1400.141	5.0	
759.56	1408.04	5.0	
763.25	1413.7	5.0	
766.15	1418.12	5.0	
773.55	1429.11	5.0	
775.02	1431.27	5.0	
775.9	1432.5	5.0	
777.48	1434.82	5.0	
777.65	1435.08	5.0	
780.58	1439.07	5.0	
785.82	1446.28	5.0	
789.4	1451.14	5.0	
790.56	1452.63	5.0	
791.88	1454.356	5.0	
798.503	1462.987	5.0	
802.85	1468.91	5.0	
815.27	1487.91	5.0	
822.08	1497.9	5.0	
826.0	1503.6	5.0	
828.55	1507.33	5.0	
837.56	1520.42	5.0	
841.62	1526.13	5.0	
848.95	1536.6	5.0	
856.76	1547.79	5.0	
859.49	1551.53	5.0	
865.7	1560.393	5.0	
871.43	1568.3	5.0	
876.66	1575.51	5.0	
880.53	1580.8	5.0	
882.27	1583.32	5.0	
884.77	1587.05	5.0	
889.3	1593.61	5.0	
891.34	1596.69	5.0	
893.62	1599.96	5.0	
895.59	1602.8	5.0	
897.7	1605.6319452555	5.0	
900.9	1609.93	5.0	
906.82	1618.42	5.0	
907.53	1619.39	5.0	
910.2	1623.18	5.0	
913.91	1628.15	5.0	
914.42	1628.87	5.0	
915.695	1630.61	5.0	
919.18	1635.13	5.0	
923.37	1640.66	5.0	
925.74	1644.02	5.0	
927.11	1645.949	5.0	
929.2	1648.907	5.0	
931.64	1652.25	5.0	
939.54	1662.732	5.0	
941.3	1665.239	5.0	
944.59	1670.14	5.0	
946.097	1672.313	5.0	
956.34	1687.65	5.0	
962.0	1696.16	5.0	
964.46	1699.82	5.0	
975.658	1716.11	5.0	
982.19	1725.12	5.0	
990.38	1735.28	5.0	
992.95	1738.45	5.0	
998.56	1745.66	5.0	
1000.124	1747.7250000000001	5.0	
1000.676	1748.47	5.0	
1006.668	1756.75	5.0	
1013.72	1766.861	5.0	
1019.41	1775.207	5.0	
1026.781	1786.1	5.0	
1027.86	1787.75	5.0	
1031.04	1792.59	5.0	
1038.55	1804.27	5.0	
1040.49	1807.33	5.0	
1040.67	1807.57	5.0	
1041.9	1809.67	5.0	
1042.318	1810.342	5.0	
1043.957	1813.11	5.0	
1044.361	1813.75	5.0	
1046.085	1816.54	5.0	
1055.413	1830.85	5.0	
1055.94	1831.68	5.0	
1057.491	1833.98	5.0	
1057.974	1834.761	5.0	
1063.95	1843.261	5.0	
1064.67	1844.477	5.0	
1070.2	1853.64	5.0	
1070.4	1853.925	5.0	
1071.194	1855.21	5.0	
1078.96	1866.616	5.0	
1079.72	1867.559	5.0	
1081.27	1869.48	5.0	
1082.29	1870.929	5.0	
1087.93	1877.854	5.0	
1092.32	1883.31	5.0	
1097.96	1890.6	5.0	
1102.911	1897.69	5.0	
1105.215	1900.849	5.0	
1113.0	1913.0	5.0	
1116.88	1919.08	5.0	
1118.45	1921.26	5.0	
1120.9	1924.74	5.0	
1124.95	1930.06	5.0	
1134.95	1942.77	5.0	
1140.57	1949.86	5.0	
1147.1	1957.88	5.0	
1152.77	1965.07	5.0	
1156.9	1969.93	5.0	
1163.2	1976.43	5.0	
1173.03	1985.05	5.0	
1176.06	1987.54	5.0	
1178.96	1990.07	5.0	
1192.18	2001.35	5.0	
1199.42	2007.73	5.0	
1202.91	2010.87	5.0	
1205.68	2013.5	5.0	
1211.41	2018.92	5.0	
1214.6	2022.05	5.0	
1232.62	2039.68	5.0	
1237.99	2045.33	5.0	
1238.72	2046.15	5.0	
1243.6	2051.44	5.0	
1246.75	2054.85	5.0	
1254.6	2062.88	5.0	
1260.86	2069.48	5.0	
1262.49	2071.18	5.0	
1267.43	2076.32	5.0	
1271.19	2080.22	5.0	
1276.19	2085.58	5.0	
1279.15	2088.85	5.0	
