#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.500557814284110236e+01	8.642607846832584428e+00	-5.500557814284110236e+01	8.642607846832584428e+00	0.000000000000000000e+00	3.074775275805358143e-02	2.605583241384497317e-03	1.000133140111137742e+00	2.328337829101723242e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000140000000000029e+00	2.364937760087070222e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.456766249016331449e-02	7.164542416542765864e-03	1.537593863457513976e-01	3.940498329098521615e-03
5.500000000000000444e-01	-4.850191014724083516e+01	8.332699256308265134e+00	-4.850191014724083516e+01	8.332699256308265134e+00	0.000000000000000000e+00	3.073427037638947965e-02	2.501983473020876966e-03	1.000053268698050335e+00	2.320041769110171501e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000059999999999949e+00	2.428025345344104330e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.452383028896466588e-02	6.878887393915642488e-03	1.536796914344812914e-01	3.783388066653602718e-03
1.100000000000000089e+00	-4.199486949231908284e+01	8.046104932170459634e+00	-4.199486949231908284e+01	8.046104932170459634e+00	0.000000000000000000e+00	3.071615060281858434e-02	2.377027512129721749e-03	9.999783972314799652e-01	2.314769459848679042e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	2.000000000000000111e-01	9.999850000000000128e-01	2.491112930601138437e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.891313499276977395e-02	6.878452220427986805e-03	1.616602454413995638e-01	3.783148721235394391e-03
1.650000000000000133e+00	-3.580905678821495997e+01	7.792692171419949965e+00	-3.580905678821495997e+01	7.792692171419949965e+00	0.000000000000000000e+00	3.069896866159831789e-02	2.275847376895635474e-03	9.999085257133475402e-01	2.312540060820008399e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.999150000000001093e-01	2.554200515858172111e-03	0.000000000000000000e+00	2.000000000000000111e-01	9.379374557430349146e-02	6.950731665673251687e-03	1.705340828623699012e-01	3.822902416120287517e-03
2.200000000000000178e+00	-2.994512634560042841e+01	7.567359097343791419e+00	-2.994512634560042841e+01	7.567359097343791419e+00	0.000000000000000000e+00	3.068040286952665799e-02	2.188154306594484923e-03	9.998226542788556381e-01	2.313312442941360767e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.998289999999999678e-01	2.617288101115206218e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.668740457838690849e-02	5.467103360947141166e-03	1.394316446879762250e-01	3.006906848520927728e-03
2.750000000000000000e+00	-2.277315328139519579e+01	7.309035902464805723e+00	-2.277315328139519579e+01	7.309035902464805723e+00	0.000000000000000000e+00	3.066045560725403490e-02	2.122000039051146186e-03	9.997407827974841288e-01	2.317128311932360046e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.997470000000000523e-01	2.680375686372240326e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.028041603518865088e-02	5.553580219305528400e-03	1.459643927912520900e-01	3.054469120618042224e-03
3.300000000000000266e+00	-1.592216736025942225e+01	7.078298511066365428e+00	-1.592216736025942225e+01	7.078298511066365428e+00	0.000000000000000000e+00	3.064098313480604144e-02	2.087971575189519809e-03	9.996579113012226125e-01	2.323959660106150737e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	2.000000000000000111e-01	9.996640000000001081e-01	2.743463271629274433e-03	0.000000000000000000e+00	2.000000000000000111e-01	8.022277944139930006e-02	5.463885584106119297e-03	1.458595989843622653e-01	3.005137071258368736e-03
3.850000000000000533e+00	-9.066259302352236205e+00	6.862396698189551003e+00	-9.066259302352236205e+00	6.862396698189551003e+00	0.000000000000000000e+00	3.074862664502054851e-02	2.095316781900685970e-03	9.995640398493140788e-01	2.333755121025156334e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	2.806550856886308107e-03	0.000000000000000000e+00	2.000000000000000111e-01	7.043482383770201249e-02	4.797170409419656070e-03	1.280633160685491212e-01	2.638443725180810231e-03
4.400000000000000355e+00	-1.257621897830205171e+00	6.635681745505564777e+00	-1.257621897830205171e+00	6.635681745505564777e+00	0.000000000000000000e+00	3.079105460006882275e-02	2.069997038638404178e-03	9.994621684200298839e-01	2.346482281225873313e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.994680000000000231e-01	2.869638442143342214e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.268879608751178056e-02	4.212054094515725773e-03	1.139796292500214470e-01	2.316629751983647831e-03
4.950000000000000178e+00	7.515875669936377790e+00	6.407820162824068078e+00	7.515875669936377790e+00	6.407820162824068078e+00	0.000000000000000000e+00	3.075687720434313807e-02	1.916003521865957022e-03	9.993622969532304223e-01	2.362114959652747686e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000111e-01	9.993680000000000341e-01	2.932726027400376322e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.762204721213699310e-02	4.209707173326067073e-03	1.229491767493399723e-01	2.315338945329336630e-03
