#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
611.253	1517.287	5	
623.5	1539.05	5	
650.25	1585.05	5	
659.52	1598.9	5	
667.038	1609.47	5	
671.266	1615.62	5	
677.51	1624.449	5	
700.181	1639.53	5	
703.395	1641.68	5	
725.831	1657.52	5	
731.464	1663.325	5	
732.625	1665.4	5	
733.65	1666.99	5	
734.77	1668.483	5	
741.235	1676.25	5	
754.712	1696.15	5	
761.6928700000001	1706.57	5	
784.903	1742.28	5	
793.21	1753.75	5	
795.517	1755.46	5	
803.859	1761.44	5	
816.3	1769.48	5	
825.99	1775.82	5	
829.82	1778.339	5	
830.26	1778.62	5	
854.42	1793.372	5	
859.64	1796.72	5	
949.176425	1874.755	5	
955.6	1882.23	5	
997.8	1926.337	5	
1051.81	1973.03	5	
1069.723	1985.34	5	
1089.4315000000001	1997.82	5	
1094.12	2001.127	5	
1118.46	2018.919	5	
1123.98	2025.84	5	
1127.7	2028.25	5	
1138.0	2035.26	5	
1160.14	2055.99	5	
1190.58	2080.41	5	
1199.6	2087.83	5	
1206.06	2096.91	5	
1247.97	2131.4	5	
1254.95325	2140.49	5	
1263.7	2150.0	5	
1276.3	2159.12	5	
1291.82	2172.18	5	
1295.108	2175.9	5	
1302.36	2186.42	5	
1307.595	2193.328	5	
1311.084	2197.994	5	
1313.08	2200.507	5	
1316.039	2202.29	5	
1326.04	2207.53	5	
1354.57	2223.93	5	
1372.717	2236.819	5	
1376.915	2241.555	5	
1390.02	2249.72	5	
1391.454	2250.53	5	
1393.78	2252.045	5	
1400.141	2257.93	5	
1408.04	2265.98	5	
1412.4	2269.91	5	
1429.11	2281.58	5	
1431.27	2283.64	5	
1434.82	2286.78	5	
1435.08	2287.04	5	
1439.07	2291.05	5	
1446.28	2298.735	5	
1451.14	2304.88	5	
1452.63	2306.902	5	
1454.356	2309.126	5	
1462.987	2320.513	5	
1473.06	2328.03	5	
1503.6	2347.35	5	
1507.33	2351.03	5	
1520.42	2361.54	5	
1526.13	2366.64	5	
1536.6	2375.84	5	
1547.79	2386.63	5	
1551.53	2390.604	5	
1575.51	2415.02	5	
1580.8	2420.13	5	
1581.04	2420.448	5	
1599.96	2429.538	5	
1602.8	2431.0	5	
1628.15	2447.875	5	
1630.61	2449.785	5	
1635.13	2453.106	5	
1640.66	2458.0	5	
1645.949	2461.6	5	
1716.11	2493.81	5	
1738.45	2504.25	5	
1748.47	2510.03	5	
1786.1	2527.27	5	
1831.68	2549.772	5	
1834.761	2551.894	5	
1866.616	2564.67	5	
1867.559	2565.18	5	
1869.48	2566.58	5	
1870.929	2567.46	5	
1883.31	2576.28	5	
1890.6	2581.3	5	
1921.26	2592.72	5	
1924.74	2594.65	5	
1942.77	2604.73	5	
1949.86	2608.54	5	
1957.88	2612.846	5	
1965.07	2616.73	5	
1976.43	2623.96	5	
1985.05	2630.662	5	
1987.54	2632.624	5	
1990.07	2634.719	5	
2004.51	2646.247	5	
2013.5	2650.814	5	
2062.88	2672.177	5	
2080.22	2684.72	5	
2096.08	2694.724	5	
2111.56	2703.62	5	
2122.25	2710.77	5	
2125.55	2713.05	5	
2159.16	2732.72	5	
2169.3	2738.9	5	
2174.2	2741.75	5	
2193.45	2753.15	5	
2194.67	2753.24	5	
2200.41	2753.96	5	
