#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.917599999999999838e+01	7.944956199213078207e+01	9.055614013527645056e+00	nan	nan	nan	7.114760424666498329e-02	6.857306447235673487e-03	9.939765014561987577e-01	1.916223907701719662e-03	nan	nan	nan	nan	6.556472000000002076e-02	2.003904043339390928e-01	9.939453600000000000e-01	1.971180714865779313e-03	8.965238960000000645e+01	1.999999999999999833e-01	1.184489284885275051e-01	1.140740266233110020e-02	nan	nan
2.017599999999999838e+01	8.789201911488015639e+01	8.821125308817236998e+00	nan	nan	nan	6.443060406636200166e-02	6.151807493145877888e-03	9.938401406065784371e-01	2.146527432352202721e-03	nan	nan	nan	nan	5.932580479999996492e-02	2.005014280507414204e-01	9.938036000000002312e-01	2.265408549312544675e-03	8.966074000000000410e+01	1.999999999999999833e-01	1.059536862934507273e-01	1.010697286100397004e-02	nan	nan
2.117599999999999838e+01	9.733010508416288076e+01	8.638093734876422403e+00	nan	nan	nan	7.734776491568359780e-02	7.293069402982381086e-03	9.936937778226972995e-01	2.398976496024718841e-03	nan	nan	nan	nan	7.116645920000000403e-02	2.006320185075144424e-01	9.936518399999999529e-01	2.559636383759310036e-03	8.966934720000000425e+01	1.999999999999999833e-01	1.259068549798867676e-01	1.185864431820196456e-02	nan	nan
2.217599999999999838e+01	1.052724843943262982e+02	8.549971461425984742e+00	nan	nan	nan	8.179976809221740919e-02	7.332184266140108486e-03	9.935391730252752795e-01	2.667247069148076782e-03	nan	nan	nan	nan	7.522393520000003608e-02	2.008089016203546684e-01	9.934918400000000149e-01	2.853864218206075831e-03	8.970311519999999916e+01	1.999999999999999833e-01	1.316257077552543953e-01	1.178228398236721118e-02	nan	nan
2.317599999999999838e+01	1.128697844738776723e+02	8.514285162819428265e+00	nan	nan	nan	7.303296632795877597e-02	6.270601211949820321e-03	9.933828064238482414e-01	2.946995691227771632e-03	nan	nan	nan	nan	6.712590559999997986e-02	2.009930192208135569e-01	9.933300800000000041e-01	3.148092052652841193e-03	8.971799919999999418e+01	1.999999999999999833e-01	1.166996159128770860e-01	1.000333646241740454e-02	nan	nan
2.417599999999999838e+01	1.214387929678435540e+02	8.522390986530359314e+00	nan	nan	nan	7.051960886036670595e-02	5.864763980607335184e-03	9.932093970955397921e-01	3.235162925287280149e-03	nan	nan	nan	nan	6.477816720000001416e-02	2.011927175156568159e-01	9.931512799999999697e-01	3.442319887099606554e-03	8.972080799999999101e+01	1.999999999999999833e-01	1.116615373466315203e-01	9.268501104136904131e-03	nan	nan
2.517599999999999838e+01	1.303944282184643271e+02	8.577794615368517839e+00	nan	nan	nan	7.691274862974468995e-02	6.312307231148011830e-03	9.929947832172141275e-01	3.529544121250893784e-03	nan	nan	nan	nan	7.061045760000000948e-02	2.013889442301510790e-01	9.929312799999999717e-01	3.736547721546371915e-03	8.972917759999999987e+01	2.000000000000000111e-01	1.211437274693122901e-01	9.921129105893287947e-03	nan	nan
2.617599999999999838e+01	1.386490858956710497e+02	8.666661243060957531e+00	nan	nan	nan	7.026510252914408561e-02	5.803323264248942161e-03	9.927801669757670977e-01	3.828764431249920882e-03	nan	nan	nan	nan	6.447034080000002554e-02	2.015870258889310984e-01	9.927112799999999737e-01	4.030775555993137277e-03	8.973859120000000189e+01	2.000000000000000111e-01	1.097958630042081690e-01	9.047640918532854834e-03	nan	nan
2.717599999999999838e+01	1.477568971796141568e+02	8.804739990897587631e+00	nan	nan	nan	6.409600444193201685e-02	5.064953978121943326e-03	9.925655483711794957e-01	4.131739431757870500e-03	nan	nan	nan	nan	5.878633119999998602e-02	2.017903777196950743e-01	9.924912799999999757e-01	4.325003390439902638e-03	8.974324239999999975e+01	2.000000000000000111e-01	9.889487826173366802e-02	7.794033207888250575e-03	nan	nan
2.817599999999999838e+01	1.578686442951059803e+02	8.994816101303468869e+00	nan	nan	nan	6.333822553077836370e-02	4.695121976291308230e-03	9.923438868383468447e-01	4.437637755392134613e-03	nan	nan	nan	nan	5.807334799999996910e-02	2.019985909025004966e-01	9.922642400000000196e-01	4.619231224886668000e-03	8.974314160000000129e+01	2.000000000000000111e-01	9.687595014927145864e-02	7.158046666530408497e-03	nan	nan
2.917599999999999838e+01	1.681911236974669350e+02	9.209299605548276091e+00	nan	nan	nan	6.758341544571772053e-02	4.836048669533938617e-03	9.920857397392436328e-01	4.745711706767966748e-03	nan	nan	nan	nan	6.194680560000009883e-02	2.022033420296827366e-01	9.920007199999999470e-01	4.913459059333434228e-03	8.975394959999999855e+01	2.000000000000000111e-01	1.023979514603573782e-01	7.300351100191336193e-03	nan	nan
3.017599999999999838e+01	1.779569440653396555e+02	9.421203295536560773e+00	nan	nan	nan	7.393417101277945103e-02	5.277513617366964144e-03	9.918128684620316493e-01	5.055580050489423029e-03	nan	nan	nan	nan	6.774860640000002210e-02	2.023948189724098234e-01	9.917224800000000728e-01	5.207686893780199590e-03	8.975664960000000292e+01	2.000000000000000389e-01	1.109319847122055419e-01	7.887632596659224088e-03	nan	nan
3.117599999999999838e+01	1.869714767323097249e+02	9.621377241797791413e+00	nan	nan	nan	7.033966444329922685e-02	5.159009162828417407e-03	9.915464748140689899e-01	5.366989068033815521e-03	nan	nan	nan	nan	6.443669439999999415e-02	2.025840898405724400e-01	9.914507200000001186e-01	5.501914728226965819e-03	8.974105520000000524e+01	2.000000000000000389e-01	1.047788849532330924e-01	7.655155698035996485e-03	nan	nan
3.217600000000000193e+01	1.965153843664322153e+02	9.839512922345523549e+00	nan	nan	nan	6.826854795394411701e-02	4.741397131213886604e-03	9.912647966811241051e-01	5.679541980873656359e-03	nan	nan	nan	nan	6.253733039999997967e-02	2.027789584389848576e-01	9.911636800000002134e-01	5.796142562673731180e-03	8.973387920000000406e+01	2.000000000000000389e-01	1.006206431839924004e-01	6.956663855289800004e-03	nan	nan
3.317600000000000193e+01	2.064537028700361248e+02	1.006754767161684150e+01	nan	nan	nan	7.280243278351232472e-02	4.770141625621063947e-03	9.909483917249689577e-01	5.992885589973723399e-03	nan	nan	nan	nan	6.669298400000012172e-02	2.029714436595800586e-01	9.908419200000000426e-01	6.090370397120497409e-03	8.971649440000000197e+01	2.000000000000000389e-01	1.063128891249889713e-01	6.928749783464718988e-03	nan	nan
3.417600000000000193e+01	2.158599000699290684e+02	1.027477088198311428e+01	nan	nan	nan	6.997749992929377938e-02	4.476241517988498175e-03	9.906237423686083954e-01	6.306977593632879901e-03	nan	nan	nan	nan	6.410740479999987862e-02	2.031630856372642069e-01	9.905119199999999902e-01	6.384598231567262770e-03	8.970397519999998792e+01	2.000000000000000389e-01	1.014798455730379356e-01	6.453588722399456780e-03	nan	nan
3.517600000000000193e+01	2.257140735203633426e+02	1.047840422852437214e+01	nan	nan	nan	6.914049952109663222e-02	4.494789044700161010e-03	9.902973511346032653e-01	6.560421174513908840e-03	nan	nan	nan	nan	6.334295440000015098e-02	2.033610589563314697e-01	9.901819200000000487e-01	6.741500232004771394e-03	8.969417519999998945e+01	2.000000000000000111e-01	9.957048610435909053e-02	6.434005376156177840e-03	nan	nan
