#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.510000000000000009e+00	-4.182340852191239833e+01	8.811506652509201176e-01	nan	nan	nan	2.175229797502507834e-01	3.393875444869432281e-03	1.035587314630123990e+00	1.003021374744854713e-02	nan	nan	nan	nan	2.480396294020645875e-01	3.719296400774733946e-02	9.995727743217105443e-01	9.962793155681158239e-03	6.961061743923654888e+01	2.000000000000000111e-01	5.646106978512018815e-01	8.936059087298898682e-03	nan	nan
2.509999999999999787e+00	-4.005227665387340608e+01	8.732989079875347338e-01	nan	nan	nan	2.176783936487143856e-01	3.358744851189991634e-03	1.036619013052302973e+00	9.895172604070709074e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.719134697692970393e-02	9.999797202797202633e-01	9.960403741606161515e-03	6.961061743923654888e+01	2.000000000000000111e-01	5.455350392684976679e-01	8.484223960691400501e-03	nan	nan
3.509999999999999787e+00	-3.821921382927300925e+01	8.660284816788792472e-01	nan	nan	nan	2.178402707474492717e-01	3.323843896362521037e-03	1.037250897804910865e+00	9.759096281580994722e-03	nan	nan	nan	nan	2.480396294020646430e-01	3.718966392567700507e-02	1.000000385732401353e+00	9.958014327531164792e-03	6.961061743923654888e+01	2.000000000000000111e-01	5.226479392953556902e-01	7.985054286723341360e-03	nan	nan
4.509999999999998899e+00	-3.630587996757593316e+01	8.593383713071347518e-01	nan	nan	nan	2.180101568527948730e-01	3.289135886029583792e-03	1.035398498541512780e+00	9.602955491329294782e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718789894852864847e-02	9.976270234852765428e-01	9.955624913456168068e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.974839814747371025e-01	7.464522217700014610e-03	nan	nan
5.509999999999998899e+00	-3.429576499455588134e+01	8.532640807032854102e-01	nan	nan	nan	2.181885119874107659e-01	3.254886998139592483e-03	1.035556729378876106e+00	9.468970151551162409e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718604746443228415e-02	9.971922503725781928e-01	9.953235499381171345e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.762054119938953778e-01	7.015816910303736276e-03	nan	nan
6.509999999999998899e+00	-3.219583085938310063e+01	8.479231028226231759e-01	nan	nan	nan	2.183746022753075555e-01	3.221626566928838514e-03	1.036344225266925045e+00	9.344040990781668152e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718411729525456649e-02	9.973632393807065899e-01	9.950846085306174621e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.589897552811138537e-01	6.639408420320547753e-03	nan	nan
7.509999999999998010e+00	-3.001713299413872704e+01	8.434224409788877441e-01	nan	nan	nan	2.188979549190774865e-01	3.194755235823096371e-03	1.038604908126657289e+00	9.235587105664961119e-03	nan	nan	nan	nan	2.484148090476128168e-01	3.718211976114684653e-02	9.989506219120267705e-01	9.948456671231176163e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.458649901868812493e-01	6.333497818737492298e-03	nan	nan
8.509999999999998010e+00	-2.777430159447925462e+01	8.398473568693174407e-01	nan	nan	nan	2.168159893573004260e-01	3.131919441026012087e-03	1.037567192583901621e+00	9.101380503349548734e-03	nan	nan	nan	nan	2.458271855301297215e-01	3.718004920370644728e-02	9.973651931877153265e-01	9.946067257156179439e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.285399858228559067e-01	5.979604178319005738e-03	nan	nan
9.509999999999998010e+00	-2.544079706028774268e+01	8.372133203320696326e-01	nan	nan	nan	2.115124213501239081e-01	3.025510098847877284e-03	1.037679437867373045e+00	8.981258123229238222e-03	nan	nan	nan	nan	2.395842928340536915e-01	3.717787979810060345e-02	9.968860380257346110e-01	9.943677843081182716e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.075018966628927708e-01	5.587369425731786646e-03	nan	nan
1.050999999999999801e+01	-2.298682075198296815e+01	8.355782793617874127e-01	nan	nan	nan	2.147000397819342765e-01	3.043735469143950354e-03	1.040505011175441918e+00	8.888332834883366090e-03	nan	nan	nan	nan	2.429552438600923736e-01	3.717564691666673526e-02	9.990122285728469942e-01	9.941288429006185992e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.055175077641073322e-01	5.467837324066806941e-03	nan	nan
1.150999999999999801e+01	-2.052083597733371079e+01	8.350455397594521711e-01	nan	nan	nan	2.153756302837502856e-01	3.029489923937150973e-03	1.038095001935923412e+00	8.754845335339458273e-03	nan	nan	nan	nan	2.434761748260969583e-01	3.717338311815795299e-02	9.961117292135047707e-01	9.938899014931189269e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.977429016717417554e-01	5.279837699038722638e-03	nan	nan
1.250999999999999801e+01	-1.800664905961141216e+01	8.355847060020977768e-01	nan	nan	nan	2.132194963979796576e-01	2.979260924679066457e-03	1.041990783763298678e+00	8.678766572145875033e-03	nan	nan	nan	nan	2.407921275259905236e-01	3.717106565285145658e-02	9.992615052290507727e-01	9.936509600856192545e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.882162749666576707e-01	5.079741063583432387e-03	nan	nan
1.350999999999999623e+01	-1.543076529459953861e+01	8.372074677682367350e-01	nan	nan	nan	2.145060708930898452e-01	2.981369217978729023e-03	1.041953999407487119e+00	8.574087097994592677e-03	nan	nan	nan	nan	2.419925504116062775e-01	3.716870427150647388e-02	9.986381461675579718e-01	9.934120186781194087e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.842802874539838487e-01	4.963863738765625713e-03	nan	nan
1.450999999999999623e+01	-1.282849806245652502e+01	8.398855372077901338e-01	nan	nan	nan	2.212968721768949765e-01	3.064179855074170532e-03	1.039588352802741200e+00	8.455199227985717159e-03	nan	nan	nan	nan	2.493933819379172689e-01	3.716634394433815380e-02	9.957844410066631902e-01	9.931730772706197363e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.898351973958972816e-01	4.980161238430520429e-03	nan	nan
1.550999999999999623e+01	-1.026331152547882652e+01	8.434898969455357776e-01	nan	nan	nan	2.179849631133708443e-01	3.011658567653157509e-03	1.040721912038960362e+00	8.369777338657341872e-03	nan	nan	nan	nan	2.454029074113646125e-01	3.716396421418675933e-02	9.962835402482980163e-01	9.929341358631200640e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.793420196726271509e-01	4.801961205479676233e-03	nan	nan
1.650999999999999801e+01	-7.627168023994322255e+00	8.481387750000264347e-01	nan	nan	nan	2.205877910634937156e-01	3.045828134012461275e-03	1.040627440961673367e+00	8.279440298396101988e-03	nan	nan	nan	nan	2.480681882936726090e-01	3.716154756169178647e-02	9.956068050219213372e-01	9.926951944556203916e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.791831991915122213e-01	4.766132096890261620e-03	nan	nan
1.750999999999999801e+01	-4.989920376598071527e+00	8.537018518645774767e-01	nan	nan	nan	2.242457078427514128e-01	3.099693084693693618e-03	1.043111758825674640e+00	8.214648652945095303e-03	nan	nan	nan	nan	2.519132636719838558e-01	3.715913537291246072e-02	9.973962920863183035e-01	9.924562530481207193e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.820124846608086155e-01	4.778511082117601824e-03	nan	nan
1.850999999999999801e+01	-2.372204882592932051e+00	8.600851728873643021e-01	nan	nan	nan	2.274212570969575686e-01	3.152187778851186541e-03	1.041085150922163249e+00	8.119682204350948951e-03	nan	nan	nan	nan	2.552093088568385681e-01	3.715672979572075957e-02	9.948726367173682528e-01	9.922173116406210469e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.825295208499549515e-01	4.772753268149123804e-03	nan	nan
1.950999999999999801e+01	2.419724435858867650e-01	8.672827458983631832e-01	nan	nan	nan	2.310290843799149285e-01	3.182317057701089177e-03	1.043291224468460898e+00	8.063270756013500920e-03	nan	nan	nan	nan	2.590455038447370129e-01	3.713937683581003402e-02	9.963940237154150781e-01	9.919783702331212011e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.854055813234436578e-01	4.746557253991381953e-03	nan	nan
2.050999999999999801e+01	2.836641665982980953e+00	8.751095379259840046e-01	nan	nan	nan	2.287352117155977416e-01	3.082129099310053529e-03	1.040764756998574958e+00	7.976002141129779135e-03	nan	nan	nan	nan	2.563582555619801084e-01	3.709828823333312375e-02	9.933961278220674318e-01	9.917394288256215287e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.768099552553472731e-01	4.493300570769323717e-03	nan	nan
2.150999999999999801e+01	5.490499362822077956e+00	8.835662390000692534e-01	nan	nan	nan	2.262487523963528369e-01	2.983105189698623781e-03	1.042680437411886096e+00	7.928669704553690731e-03	nan	nan	nan	nan	2.534551019494237778e-01	3.705629038423377541e-02	9.946388912824931650e-01	9.915004874181218564e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.696549256934818506e-01	4.267122914549281720e-03	nan	nan
2.250999999999999801e+01	8.195725048977820393e+00	8.925335059147422312e-01	nan	nan	nan	2.241734153087588666e-01	2.893732702409679888e-03	1.043388787497428138e+00	7.877996505010810904e-03	nan	nan	nan	nan	2.510125899147670481e-01	3.701344789597061508e-02	9.947288231148695425e-01	9.912615460106221840e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.628596673766032454e-01	4.055289915593000838e-03	nan	nan
2.350999999999999801e+01	1.095161138715859295e+01	9.019122501587357732e-01	nan	nan	nan	2.279101329860789837e-01	2.883199253659688658e-03	1.045491797878339346e+00	7.843839643688951119e-03	nan	nan	nan	nan	2.550764483417271578e-01	3.697034825939218838e-02	9.961471403080390807e-01	9.910226046031225117e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.660012524443667092e-01	3.963312042502540634e-03	nan	nan
2.450999999999999801e+01	1.368384247467926684e+01	9.113474458833819014e-01	nan	nan	nan	2.275378999603581420e-01	2.824604687460167008e-03	1.044107505264050939e+00	7.789731746885048859e-03	nan	nan	nan	nan	2.545394829435227990e-01	3.692711277920739110e-02	9.942426882069804739e-01	9.907836631956228393e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.613609395872835472e-01	3.796144494313376250e-03	nan	nan
2.550999999999999446e+01	1.645115872402850243e+01	9.209479059370749843e-01	nan	nan	nan	2.246438622565635479e-01	2.739827879362438569e-03	1.044185024615321256e+00	7.752937799568824888e-03	nan	nan	nan	nan	2.511809991196578551e-01	3.688306212110505078e-02	9.937313117916565242e-01	9.905447217881229935e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.533646824202571479e-01	3.605815256753000866e-03	nan	nan
2.650999999999999446e+01	1.928109632036898091e+01	9.307285746627115275e-01	nan	nan	nan	2.151448798679919672e-01	2.581086106594885927e-03	1.042448122679070277e+00	7.709166067835637216e-03	nan	nan	nan	nan	2.404393649986884540e-01	3.683722504796752700e-02	9.914944584587214171e-01	9.903057803806233211e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.346757872778751142e-01	3.321829482034639736e-03	nan	nan
