#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
1517.287	1808.9	5.0	
1539.05	1836.4	5.0	
1585.05	1896.608	5.0	
1598.9	1919.17	5.0	
1609.47	1937.7540000000001	5.0	
1615.62	1948.55	5.0	
1624.449	1965.488	5.0	
1639.53	2012.5	5.0	
1641.68	2019.0710000000001	5.0	
1657.52	2068.34	5.0	
1663.325	2082.951	5.0	
1665.4	2086.525	5.0	
1666.99	2089.552	5.0	
1668.483	2092.7200000000003	5.0	
1676.25	2111.2490000000003	5.0	
1696.15	2145.37	5.0	
1706.57	2164.1528	5.0	
1742.28	2219.809	5.0	
1753.75	2240.15	5.0	
1755.46	2245.205	5.0	
1761.44	2263.204	5.0	
1769.48	2288.38	5.0	
1775.82	2308.71	5.0	
1778.339	2316.33	5.0	
1778.62	2317.14	5.0	
1793.372	2361.136	5.0	
1796.72	2370.02	5.0	
1874.755	2497.12	5.0	
1882.23	2506.97	5.0	
1926.337	2567.25	5.0	
1973.03	2634.3540000000003	5.0	
1985.34	2660.23	5.0	
1997.82	2687.3808	5.0	
2001.127	2694.11	5.0	
2018.919	2732.95	5.0	
2025.84	2742.86	5.0	
2028.25	2749.08	5.0	
2035.26	2768.1	5.0	
2055.99	2806.62	5.0	
2080.41	2851.69	5.0	
2087.83	2863.15	5.0	
2096.91	2872.32	5.0	
2131.4	2928.33	5.0	
2140.49	2939.56	5.0	
2150.0	2953.05	5.0	
2159.12	2969.13	5.0	
2172.18	2987.25	5.0	
2175.9	2991.1330000000003	5.0	
2193.328	3006.318	5.0	
2197.994	3010.469	5.0	
2200.507	3012.89	5.0	
2202.29	3016.45	5.0	
2207.53	3027.63	5.0	
2223.93	3057.95	5.0	
2236.819	3079.07	5.0	
2241.555	3083.92	5.0	
2249.72	3098.606	5.0	
2250.53	3100.16	5.0	
2252.045	3102.68	5.0	
2257.93	3109.92	5.0	
2265.98	3118.82	5.0	
2269.91	3123.9	5.0	
2281.58	3142.5	5.0	
2283.64	3144.96	5.0	
2287.04	3149.45	5.0	
2291.05	3154.24	5.0	
2298.735	3162.931	5.0	
2304.88	3169.04	5.0	
2306.902	3170.992	5.0	
2309.126	3173.17	5.0	
2320.513	3184.42	5.0	
2347.35	3228.32	5.0	
2351.03	3231.9	5.0	
2361.54	3244.07	5.0	
2366.64	3249.64	5.0	
2375.84	3260.32	5.0	
2386.63	3271.39	5.0	
2390.604	3274.77	5.0	
2415.02	3297.95	5.0	
2420.13	3303.76	5.0	
2420.448	3304.13	5.0	
2429.538	3320.22	5.0	
2431.0	3322.22	5.0	
2447.875	3338.45	5.0	
2449.785	3340.35	5.0	
2453.106	3343.02	5.0	
2458.0	3346.06	5.0	
2461.6	3348.86	5.0	
2493.81	3378.275	5.0	
2504.25	3385.29	5.0	
2510.03	3389.45	5.0	
127.0	192.0	5.0	
293.0	203.0	5.0	
0.4334470989761092	0.9458128078817734	5.0	
139.3839	139.1365	20.0	
143.15456	142.90114	20.0	
181.31995	182.41005	20.0	
187.29059	188.45998	20.0	
205.9964	208.83713	20.0	
219.5368	223.29808	20.0	
256.15244	264.103	20.0	
269.39	279.3105	20.0	
309.70468	325.77286	20.0	
320.86798	339.464	20.0	
331.87845	351.35205	20.0	
338.89203	359.6614	20.0	
339.8614	361.01752	20.0	
356.2628	380.16846	20.0	
394.24423	423.70557	20.0	
413.21722	445.54684	20.0	
475.05817	518.4427	20.0	
479.29388	523.8032	20.0	
486.67575	532.688	20.0	
493.0477	541.39795	20.0	
513.4398	568.0407	20.0	
526.7442	583.8395	20.0	
534.13794	593.9524	20.0	
553.4706	619.32996	20.0	
659.32324	747.6572	20.0	
673.5012	765.16394	20.0	
701.841	799.7706	20.0	
709.99976	810.3125	20.0	
733.55396	841.3834	20.0	
736.48346	845.08386	20.0	
740.5822	850.7301	20.0	
784.47253	907.3998	20.0	
788.4935	912.8256	20.0	
802.7877	931.28845	20.0	
849.95685	994.85754	20.0	
899.83575	1057.2961	100.0	
931.807	1098.9819	100.0	
966.1077	1143.7565	100.0	
1041.722	1244.02	100.0	
1050.3352	1255.5516	100.0	
1074.6251	1285.7777	100.0	
1100.8826	1317.8323	100.0	
1119.7312	1340.3066	100.0	
1121.4303	1342.235	100.0	
1125.0488	1346.6412	100.0	
1126.6034	1348.8064	100.0	
1130.2767	1353.3916	100.0	
1141.4327	1367.7133	100.0	
1145.1074	1372.6033	100.0	
1153.8562	1383.8218	100.0	
1165.798	1399.3188	100.0	
1182.7148	1421.587	100.0	
1186.5862	1426.5767	100.0	
1192.5775	1433.9701	100.0	
1202.1266	1446.1354	100.0	
1210.3097	1456.9567	100.0	
1215.6667	1463.5116	100.0	
1225.1112	1475.1012	100.0	
1227.296	1477.8752	100.0	
1232.3667	1483.47	100.0	
1234.0825	1485.4048	100.0	
1237.378	1489.2062	100.0	
1252.1018	1505.6184	100.0	
1268.2043	1524.5071	100.0	
1269.4244	1525.9445	100.0	
1340.3931	1607.919	100.0	
1346.81	1614.9736	100.0	
1354.6954	1624.0154	100.0	
1359.5299	1629.4144	100.0	
1362.8712	1633.229	100.0	
1378.8939	1651.124	100.0	
1380.4996	1652.9624	100.0	
1399.8749	1674.9333	100.0	
1404.4261	1679.8826	100.0	
1425.531	1702.9266	100.0	
1452.896	1732.9674	100.0	
1459.9875	1741.2144	100.0	
1489.6915	1775.345	100.0	
1492.8092	1779.3671	100.0	
1509.2411	1799.1902	100.0	
1512.1714	1802.5999	100.0	
1528.5948	1822.9694	100.0	
1529.4889	1824.2096	100.0	
1532.7993	1828.5771	100.0	
1536.4926	1833.0356	100.0	
1538.5718	1835.6399	100.0	
1540.9186	1838.8472	100.0	
1541.4108	1839.4426	100.0	
1542.5576	1840.9191	100.0	
1544.8939	1844.0787	100.0	
1549.8325	1850.2968	100.0	
1574.6589	1884.1968	100.0	
1575.8278	1885.9464	100.0	
1609.4066	1937.6833	100.0	
