#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
5.424999999999999822e+00	-3.000000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	5.716574531773054024e-02	8.111129001904961557e-04	9.753625217757000421e-01	9.598985206632106373e-03	nan	nan	nan	nan	2.430999999999998717e-01	2.000000000000000111e-01	9.974962742175856878e-01	9.952546488193013408e-03	6.440000000000000568e+01	6.881835835653201672e-01	1.177555676986851430e-01	1.237526836753867227e-03	nan	nan
6.424999999999999822e+00	-2.150783254207719253e+01	8.924660919879957854e-02	nan	nan	nan	6.057851839857287396e-02	7.950129832762219432e-04	9.765114873590057254e-01	9.475675383167753846e-03	nan	nan	nan	nan	2.387750000000001815e-01	2.000000000000000111e-01	9.979098848749503592e-01	9.950097613727967513e-03	6.440000000000000568e+01	6.882259259372354165e-01	1.231615332236358634e-01	1.119680124837284241e-03	nan	nan
7.424999999999999822e+00	-1.338841429657511028e+01	1.630144163991286421e-01	nan	nan	nan	5.730186536739794584e-02	6.903521015046826768e-04	9.784029188368854602e-01	9.362076360273384468e-03	nan	nan	nan	nan	2.075749999999998707e-01	2.000000000000000389e-01	9.990804420987899892e-01	9.947648739262923354e-03	6.440000000000000568e+01	6.882696370315152246e-01	1.128262425694669391e-01	8.518519384810945266e-04	nan	nan
8.425000000000000711e+00	-4.525228062359232695e+00	2.296909363951613603e-01	nan	nan	nan	6.260504569534393327e-02	6.905501768399111570e-04	9.773109042592349471e-01	9.222869084840726317e-03	nan	nan	nan	nan	2.065999999999996728e-01	2.000000000000000389e-01	9.972044589643188628e-01	9.945199864797877459e-03	6.440000000000000568e+01	6.883215949579348791e-01	1.199627220968071672e-01	7.107206605141674211e-04	nan	nan
9.425000000000000711e+00	3.810694818692290653e+00	2.782821044747553763e-01	nan	nan	nan	8.277363578487791085e-02	8.511039179727591941e-04	9.775979410352664267e-01	9.099959637103558624e-03	nan	nan	nan	nan	2.501999999999999780e-01	2.000000000000000389e-01	9.967368053494422009e-01	9.942750990332833300e-03	6.440000000000000568e+01	6.883752773896745225e-01	1.536248254084733311e-01	6.973670198981210804e-04	nan	nan
1.042500000000000071e+01	1.032005941742233546e+01	3.060952539984407306e-01	nan	nan	nan	8.232005183294335837e-02	8.062017225350224690e-04	9.804088401987216539e-01	9.003466056710165977e-03	nan	nan	nan	nan	2.283249999999998892e-01	2.000000000000000389e-01	9.988405963401693066e-01	9.940302115867789140e-03	6.440000000000000568e+01	6.884210782933680717e-01	1.485695456689781202e-01	5.185972761353296445e-04	nan	nan
1.142500000000000071e+01	1.705091395088143713e+01	3.249413650690469724e-01	nan	nan	nan	9.406589693824778109e-02	9.012308174967907908e-04	9.788557229621486222e-01	8.870191353734235840e-03	nan	nan	nan	nan	2.384500000000002728e-01	2.000000000000000389e-01	9.964979295171114693e-01	9.937853241402743246e-03	6.440000000000000568e+01	6.884727299609083584e-01	1.669596066312550864e-01	5.144236347363452620e-04	nan	nan
1.242500000000000071e+01	2.304038661541991928e+01	3.329229106277921124e-01	nan	nan	nan	1.004702138552038826e-01	9.741124004148468555e-04	9.822761895020777345e-01	8.785365236396199332e-03	nan	nan	nan	nan	2.325999999999996959e-01	2.000000000000000389e-01	9.992176180817153863e-01	9.935404366937699086e-03	6.440000000000000568e+01	6.885230587735980956e-01	1.755166499334183949e-01	6.356010586972511223e-04	nan	nan
1.342500000000000071e+01	2.873785178684010333e+01	3.326977008532751579e-01	nan	nan	nan	1.057766098759050644e-01	1.075384949985338633e-03	9.825152310224291030e-01	8.675404716709444672e-03	nan	nan	nan	nan	2.223749999999999893e-01	2.000000000000000389e-01	9.986987522281640661e-01	9.932955492472653192e-03	6.440000000000000568e+01	6.885755194359245435e-01	1.786260255793458984e-01	8.738052883939576541e-04	nan	nan
1.442500000000000071e+01	3.433614014799383085e+01	3.252449611625334303e-01	nan	nan	nan	1.131894430559449716e-01	1.245716022841962057e-03	9.804094316328975101e-01	8.548843022370154754e-03	nan	nan	nan	nan	2.148749999999997051e-01	2.000000000000000389e-01	9.957984499651165722e-01	9.930506618007609032e-03	6.440000000000000568e+01	6.886323281124758777e-01	1.911706896306244463e-01	1.256371846607471461e-03	nan	nan
1.542500000000000071e+01	3.956706755601949510e+01	3.125297448887144336e-01	nan	nan	nan	1.370923879420979652e-01	1.659221798160982623e-03	9.817910283454149845e-01	8.456815214057375463e-03	nan	nan	nan	nan	2.354000000000002757e-01	2.000000000000000389e-01	9.964414251834712299e-01	9.928057743542563138e-03	6.440000000000000568e+01	6.886911563315671891e-01	2.266271862352581268e-01	1.895807564068462733e-03	nan	nan
