#Includes GICC05 Timescale Tiepoint Data
depth1	depth2	age_unc	comment
28.165	30.62	20	
38.885	43.153	20	
45.625	50.887	20	
47.855	53.407	20	
48.792	54.51	20	
52.424	58.696	20	
53.704	60.217	20	
60.087	67.345	20	
63.691	71.679	20	
64.509	72.66	20	
65.961	74.297	20	
70.978	80.384	20	
78.304	88.99	20	
82.415	93.852	20	
84.137	95.911	20	
89.217	102.057	20	
96.896	110.961	20	
103.746	118.883	20	
114.202	131.185	20	
116.078	133.506	20	
120.927	139.361	20	
124.213	143.147	20	
145.876	168.836	20	
156.338	181.382	20	
161.464	187.276	20	
166.566	193.26	20	
175.668	203.746	20	
177.617	205.949	20	
189.114	219.532	20	
203.378	236.622	20	
204.702	238.209	20	
208.345	242.398	20	
219.677	256.127	20	
221.721	258.548	20	
226.223	263.77	20	
230.975	269.401	20	
251.183	293.208	20	
253.315	295.56	20	
265.305	309.634	20	
274.888	320.826	20	
282.929	330.285	20	
284.147	331.855	20	
290.216	338.872	20	
290.902	339.821	20	
293.41	342.632	20	
302.978	353.835	20	
305.504	356.668	20	
306.072	357.317	20	
309.002	360.789	20	
311.509	363.582	20	
331.274	386.867	20	
337.655	394.24	20	
353.807	413.241	20	
367.817	429.082	20	
381.29	444.704	20	
390.201	455.319	20	
397.121	463.335	20	
406.797	474.25	20	
413.918	482.431	20	
418.717	488.019	20	
423.115	493.026	20	
424.815	495.148	20	
426.081	496.54	20	
441.204	513.319	20	
447.134	520.143	20	
448.185	521.216	20	
453.041	526.677	20	
459.462	534.105	20	
462.01	537.032	20	
462.944	538.043	20	
463.655	538.881	20	
466.599	542.039	20	
476.531	553.42	20	
480.39	557.915	20	
481.429	559.171	20	
482.014	559.781	20	
488.598	566.991	20	
489.104	567.608	20	
490.679	569.365	20	
496.157	575.685	20	
497.193	576.878	20	
498.756	578.665	20	
500.299	580.538	20	
555.32	641.734	20	
562.807	650.282	20	
570.903	659.399	20	
571.164	659.752	20	
571.774	660.359	20	
590.211	680.827	20	
609.431	701.851	20	
610.122	702.625	20	
613.533	706.326	20	
627.667	721.738	20	
630.992	725.468	20	
634.698	729.514	20	
641.02	736.469	20	
644.858	740.562	20	
647.497	743.423	20	
670.515	768.638	20	
674.31	772.741	20	
680.452	779.447	20	
680.726	779.778	20	
688.777	788.494	20	
702.069	802.761	20	
731.983	835.012	20	
733.155	836.316	20	
777.104	882.653	20	
777.544	883.104	20	
786.003	891.88	20	
788.046	894.091	20	
793.232	899.532	20	
824.166	931.785	20	
857.206	966.075	20	
898.241	1007.837	20	
899.734	1009.26	20	
901.323	1010.761	20	
907.488	1016.868	20	
944.459	1054.615	20	
947.109	1057.3	20	
947.599	1057.813	20	
956.65	1066.996	20	
958.136	1068.542	20	
960.832	1071.26	20	
964.082	1074.603	20	
967.655	1078.332	20	
1011.647	1122.099	20	
1016.17	1126.512	20	
1031.229	1141.405	20	
1034.891	1145.09	20	
1038.893	1148.964	20	
1043.909	1153.779	20	
1056.372	1165.756	20	
1078.266	1186.592	20	
1092.65	1200.504	20	
1097.685	1205.299	20	
1102.538	1209.958	20	
1102.883	1210.288	20	
1108.487	1215.664	20	
1118.329	1225.086	20	
1125.773	1232.34	20	
1126.43	1233.044	20	
1137.88	1244.305	20	
1139.082	1245.477	20	
1142.398	1248.674	20	
1145.892	1252.09	20	
1151.69	1257.677	20	
1163.639	1269.433	20	
1165.036	1270.842	20	
1169.959	1275.675	20	
1170.744	1276.43	20	
1171.713	1277.359	20	
1172.165	1277.805	20	
1175.605	1281.033	20	
