#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
9.900000000000000355e+00	-2.300000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	1.375856814192223665e-01	1.727622483455022164e-03	9.982384167700509847e-01	1.191468672504554429e-03	nan	nan	nan	nan	3.388731000000000382e-01	2.000000000000000111e-01	9.982199999999999962e-01	1.221507136713239619e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.858424599532242705e-01	3.565352635899793690e-03	nan	nan
1.090000000000000036e+01	-1.950156943036509816e+01	4.363640956281070182e-02	nan	nan	nan	1.508047615582464029e-01	1.726165558471185087e-03	9.979960285048640189e-01	1.268550773494114478e-03	nan	nan	nan	nan	3.711017999999999262e-01	2.000000000000000111e-01	9.979299999999999837e-01	1.343185693532709772e-03	7.036914285714289008e+01	2.000000000000000111e-01	3.044394375969693978e-01	3.453416096735536633e-03	nan	nan
1.190000000000000036e+01	-1.621684387741671429e+01	8.088920254358404616e-02	nan	nan	nan	1.326487676078596245e-01	1.363027340605705911e-03	9.978336239465556146e-01	1.356274962082049639e-03	nan	nan	nan	nan	3.261135000000001671e-01	2.000000000000000111e-01	9.977200000000000513e-01	1.464864250352179926e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.526159381266730453e-01	2.563565906236075186e-03	nan	nan
1.290000000000000036e+01	-1.225826546223154700e+01	1.210265198076666132e-01	nan	nan	nan	1.168862892430127115e-01	1.048233717318217606e-03	9.976812032338716607e-01	1.452637230500004178e-03	nan	nan	nan	nan	2.870506999999999920e-01	2.000000000000000111e-01	9.975200000000000733e-01	1.586542807171650079e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.327774535602679939e-01	2.049806020165171987e-03	nan	nan
1.390000000000000036e+01	-7.962316757985188787e+00	1.587475588380869163e-01	nan	nan	nan	1.431641630422861577e-01	1.110510555016644505e-03	9.975287657038990341e-01	1.556011288494153419e-03	nan	nan	nan	nan	3.512193999999997374e-01	2.000000000000000111e-01	9.973199999999999843e-01	1.708221363991120232e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.773541680001700427e-01	2.094178733531184937e-03	nan	nan
1.490000000000000036e+01	-4.356818390283041964e+00	1.857619275829642536e-01	nan	nan	nan	1.320374996266361067e-01	8.770311703051080279e-04	9.973763113553805182e-01	1.665080556434291210e-03	nan	nan	nan	nan	3.235966000000001230e-01	2.000000000000000111e-01	9.971200000000000063e-01	1.829899920810590386e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.467102662507578703e-01	1.573669601592246267e-03	nan	nan
1.590000000000000036e+01	-3.034807842038773629e-01	2.111365147909362860e-01	nan	nan	nan	1.295522261544171660e-01	7.205996923314319201e-04	9.971338127569565613e-01	1.778626693076533396e-03	nan	nan	nan	nan	3.171654000000000417e-01	2.000000000000000111e-01	9.968299999999999939e-01	1.951578477630060322e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.444523222267724893e-01	1.275218710254031208e-03	nan	nan
1.689999999999999858e+01	3.787296472034753947e+00	2.314795904202980315e-01	nan	nan	nan	1.251349959480664020e-01	5.772772671601616784e-04	9.969713169468309433e-01	1.896097376246793720e-03	nan	nan	nan	nan	3.059994999999999798e-01	2.000000000000000111e-01	9.966200000000000614e-01	2.073257034449530693e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.162412578545147568e-01	8.978739626861054072e-04	nan	nan
1.789999999999999858e+01	8.411760877771754963e+00	2.482742965352812692e-01	nan	nan	nan	1.328919514391538603e-01	5.338121202749272157e-04	9.967287713403261140e-01	2.016524942576293500e-03	nan	nan	nan	nan	3.245792000000000677e-01	2.000000000000000111e-01	9.963299999999999379e-01	2.194935591269001063e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.249312985406897170e-01	7.712357515383356848e-04	nan	nan
1.889999999999999858e+01	1.285756280257192685e+01	2.584552894551939151e-01	nan	nan	nan	1.162852022889975939e-01	4.675255418871063608e-04	9.965662361558259574e-01	2.139686855770696079e-03	nan	nan	nan	nan	2.836571999999999427e-01	2.000000000000000111e-01	9.961200000000000054e-01	2.316614148088470999e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.929630948457053408e-01	6.519542404807067990e-04	nan	nan
1.989999999999999858e+01	1.803990091131550599e+01	2.634117660674257788e-01	nan	nan	nan	1.181514021838737521e-01	5.611585586351032062e-04	9.964136881484357833e-01	2.265023748011511795e-03	nan	nan	nan	nan	2.878137999999998975e-01	2.000000000000000111e-01	9.959200000000000275e-01	2.438292704907940936e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.923725079417182571e-01	8.022803556388185750e-04	nan	nan
2.089999999999999858e+01	2.323814888707596538e+01	2.617153568829962418e-01	nan	nan	nan	1.182146459514681752e-01	7.068353287442612556e-04	9.961710744040601639e-01	2.391952737401034038e-03	nan	nan	nan	nan	2.875677999999997070e-01	2.000000000000000111e-01	9.956300000000000150e-01	2.559971261727411306e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.889829437811322843e-01	1.037637142437363878e-03	nan	nan
2.189999999999999858e+01	2.852963170553674388e+01	2.545144930247342785e-01	nan	nan	nan	1.372767292626181912e-01	1.013443772801201877e-03	9.959184293266101218e-01	2.520360404836260136e-03	nan	nan	nan	nan	3.334983000000004694e-01	2.000000000000000111e-01	9.953299999999999370e-01	2.681649818546881676e-03	7.036914285714289008e+01	2.000000000000000111e-01	2.156281451902622437e-01	1.501123139577663487e-03	nan	nan
2.289999999999999858e+01	3.316724521891941180e+01	2.454442456596036271e-01	nan	nan	nan	1.283509317063357136e-01	1.009039877894170106e-03	9.957558153752539276e-01	2.650279374002679263e-03	nan	nan	nan	nan	3.091842999999991903e-01	2.000000000000000111e-01	9.951200000000000045e-01	2.803328375366351613e-03	7.036914285714289008e+01	2.000000000000000111e-01	1.982448860620083242e-01	1.474862830560060576e-03	nan	nan
