depth	thinning	rel_unc
8	0.9955	0.01991
9	0.9953	0.019906
10	0.9951	0.019902
11	0.9948	0.019896
12	0.9946	0.019892
13	0.9944	0.019888
14	0.9942	0.019884
15	0.9941	0.019882
16	0.9938	0.019876
17	0.9936	0.019872
18	0.9933	0.019865999999999998
19	0.9932	0.019864
20	0.993	0.01986
21	0.9927	0.019854
22	0.9924	0.019848
23	0.9923	0.019846
24	0.992	0.01984
25	0.9918	0.019836
26	0.9915	0.01983
27	0.9913	0.019826
28	0.9911	0.019822
29	0.991	0.01982
30	0.9908	0.019816
31	0.9906	0.019812
32	0.9905	0.01981
33	0.9903	0.019806
34	0.9902	0.019804
35	0.9901	0.019802
36	0.9902	0.019804
37	0.9901	0.019802
38	0.9901	0.019802
39	0.99	0.0198
40	0.9899	0.019798
41	0.9898	0.019796
42	0.9898	0.019796
43	0.9897	0.019794000000000003
44	0.9897	0.019794000000000003
45	0.9896	0.019792
46	0.9895	0.019790000000000002
47	0.9894	0.019788
48	0.9892	0.019784
49	0.989	0.01978
50	0.9889	0.019778
51	0.9887	0.019774
52	0.9884	0.019768
53	0.9882	0.019764
54	0.988	0.01976
55	0.9876	0.019752000000000002
56	0.9873	0.019746
57	0.987	0.01974
58	0.9866	0.019732
59	0.9862	0.019724
60	0.9857	0.019714000000000002
61	0.9854	0.019708
62	0.985	0.0197
63	0.9845	0.019690000000000003
64	0.9841	0.019682
65	0.9837	0.019674
66	0.9833	0.019666
67	0.9828	0.019656
68	0.9825	0.01965
69	0.982	0.01964
70	0.9816	0.019632
71	0.9813	0.019626
72	0.9808	0.019616
73	0.9805	0.019610000000000002
74	0.9801	0.019602
75	0.9796	0.019592000000000002
76	0.9793	0.019586
77	0.9789	0.019578
78	0.9786	0.019572000000000003
79	0.9782	0.019563999999999998
80	0.9778	0.019556
81	0.9776	0.019552
82	0.9772	0.019544
83	0.9769	0.019538
84	0.9765	0.019530000000000002
85	0.9763	0.019525999999999998
86	0.976	0.01952
87	0.9756	0.019512
88	0.9753	0.019506
89	0.9749	0.019498
90	0.9744	0.019488000000000002
91	0.974	0.01948
92	0.9735	0.01947
93	0.9731	0.019462
94	0.9725	0.019450000000000002
95	0.9719	0.019438
96	0.9713	0.019426000000000002
97	0.9707	0.019414
98	0.97	0.0194
99	0.9693	0.019386
100	0.9686	0.019372
101	0.968	0.01936
102	0.9674	0.019348
103	0.9669	0.019338
104	0.9664	0.019328
105	0.9658	0.019316
106	0.9653	0.019306
107	0.9649	0.019298
108	0.9645	0.01929
109	0.9641	0.019282
110	0.9639	0.019278
111	0.9636	0.019272
112	0.9633	0.019266000000000002
113	0.963	0.01926
114	0.9627	0.019254
115	0.9625	0.01925
116	0.9622	0.019244
117	0.962	0.01924
118	0.9618	0.019236
119	0.9616	0.019232
120	0.9614	0.019228000000000002
121	0.9611	0.019222
122	0.9608	0.019216
123	0.9605	0.01921
124	0.9601	0.019202
125	0.9598	0.019196
126	0.9594	0.019188
127	0.959	0.01918
128	0.9586	0.019172
129	0.9583	0.019166000000000002
130	0.9578	0.019156
131	0.9574	0.019148000000000002
132	0.9569	0.019138
133	0.9564	0.019128000000000003
134	0.956	0.019119999999999998
135	0.9555	0.019110000000000002
136	0.9551	0.019102
137	0.9547	0.019094
138	0.9543	0.019086000000000002
139	0.9538	0.019076
140	0.9534	0.019068
141	0.953	0.01906
142	0.9526	0.019052
143	0.9522	0.019044000000000002
144	0.9518	0.019036
145	0.9514	0.019028
146	0.951	0.01902
147	0.9506	0.019012
148	0.9502	0.019004
149	0.9497	0.018994
150	0.9493	0.018986
151	0.9489	0.018978
152	0.9485	0.01897
153	0.9481	0.018962000000000003
154	0.9477	0.018954
155	0.9473	0.018946
156	0.947	0.01894
157	0.9466	0.018932
158	0.9463	0.018926000000000002
159	0.9461	0.018922
160	0.9458	0.018916
161	0.9455	0.01891
162	0.9452	0.018904
163	0.9449	0.018897999999999998
164	0.9445	0.01889
165	0.9442	0.018884
166	0.9438	0.018876
167	0.9434	0.018868
168	0.9429	0.018858
169	0.9424	0.018848
170	0.9418	0.018836
171	0.9413	0.018826000000000002
172	0.9407	0.018814
173	0.9401	0.018802000000000003
174	0.9395	0.01879
175	0.9388	0.018776
176	0.9383	0.018766
177	0.9378	0.018756
178	0.9373	0.018746000000000002
179	0.9369	0.018738
180	0.9365	0.01873
181	0.9361	0.018722000000000003
182	0.9358	0.018716
183	0.9355	0.01871
184	0.9352	0.018704000000000002
185	0.9349	0.018698
186	0.9347	0.018694
187	0.9344	0.018688
188	0.9341	0.018682
189	0.9338	0.018675999999999998
190	0.9334	0.018668
191	0.933	0.018660000000000003
192	0.9326	0.018652
193	0.9323	0.018646
194	0.9319	0.018638
195	0.9315	0.01863
196	0.9311	0.018622
197	0.9307	0.018614
198	0.9304	0.018608
199	0.93	0.018600000000000002
200	0.9297	0.018594
201	0.9294	0.018588
202	0.9291	0.018582
203	0.9287	0.018574
204	0.9284	0.018568
205	0.9281	0.018562000000000002
206	0.9277	0.018554
207	0.9274	0.018548000000000002
208	0.927	0.01854
209	0.9266	0.018532
210	0.9262	0.018524000000000002
211	0.9258	0.018516
212	0.9253	0.018506
213	0.9248	0.018496
214	0.9243	0.018486
215	0.9238	0.018476
216	0.9233	0.018466
217	0.9227	0.018453999999999998
218	0.9221	0.018442
219	0.9214	0.018428
220	0.9209	0.018418
221	0.9203	0.018406000000000002
222	0.9198	0.018396
223	0.9194	0.018388
224	0.919	0.01838
225	0.9186	0.018372
226	0.9183	0.018366
227	0.918	0.01836
228	0.9178	0.018356
229	0.9177	0.018354
230	0.9176	0.018352
231	0.9174	0.018348
232	0.9172	0.018344
233	0.917	0.018340000000000002
234	0.9167	0.018334
235	0.9163	0.018326000000000002
236	0.9159	0.018318
237	0.9154	0.018308
238	0.9148	0.018296
239	0.9141	0.018282
240	0.9134	0.018268
241	0.9127	0.018254
242	0.9121	0.018242
243	0.9115	0.01823
244	0.911	0.01822
245	0.9106	0.018212
246	0.9103	0.018206
247	0.9101	0.018202
248	0.9099	0.018198000000000002
249	0.9098	0.018196
250	0.9098	0.018196
251	0.9098	0.018196
252	0.9097	0.018194
253	0.9096	0.018192
254	0.9095	0.01819
255	0.9092	0.018184000000000002
256	0.9089	0.018178
257	0.9086	0.018172
258	0.9081	0.018162
259	0.9076	0.018151999999999998
260	0.907	0.01814
261	0.9064	0.018128000000000002
262	0.9058	0.018116
263	0.9052	0.018104000000000002
264	0.9046	0.018092
265	0.9041	0.018082
266	0.9036	0.018072
267	0.9032	0.018064
268	0.9028	0.018056000000000003
269	0.9024	0.018048
270	0.902	0.01804
271	0.9017	0.018033999999999998
272	0.9014	0.018028
273	0.9012	0.018024000000000002
274	0.9009	0.018018000000000003
275	0.9006	0.018012
276	0.9003	0.018006
277	0.9	0.018000000000000002
278	0.8997	0.017994000000000003
279	0.8993	0.017986
280	0.899	0.01798
281	0.8986	0.017972
282	0.8982	0.017964
283	0.8978	0.017956
284	0.8974	0.017948
285	0.8969	0.017938000000000003
286	0.8964	0.017928
287	0.8958	0.017916
288	0.8953	0.017906000000000002
289	0.8947	0.017894
290	0.8941	0.017882000000000002
291	0.8935	0.01787
292	0.8929	0.017858000000000002
293	0.8924	0.017848
294	0.8919	0.017838
295	0.8914	0.017828
296	0.8909	0.017818
297	0.8905	0.01781
298	0.8902	0.017804
299	0.8899	0.017798
300	0.8896	0.017792
301	0.8893	0.017786
302	0.889	0.01778
303	0.8887	0.017774
304	0.8884	0.017768
305	0.888	0.01776
306	0.8876	0.017752
307	0.8872	0.017744
308	0.8867	0.017734
309	0.8862	0.017724
310	0.8857	0.017714
311	0.8851	0.017702
312	0.8846	0.017692000000000003
313	0.884	0.01768
314	0.8835	0.017669999999999998
315	0.883	0.017660000000000002
316	0.8825	0.01765
317	0.8821	0.017642
318	0.8817	0.017634
319	0.8813	0.017626
320	0.8809	0.017618
321	0.8805	0.01761
322	0.8802	0.017604
323	0.8798	0.017596
324	0.8794	0.017588
325	0.8791	0.017582
326	0.8787	0.017574000000000003
327	0.8783	0.017566
328	0.8779	0.017558
329	0.8776	0.017552
330	0.8772	0.017544
331	0.8768	0.017536
332	0.8764	0.017528
333	0.8761	0.017522
334	0.8757	0.017514000000000002
335	0.8754	0.017508
336	0.8751	0.017502
337	0.8748	0.017496
338	0.8744	0.017488
339	0.8741	0.017482
340	0.8737	0.017474
341	0.8734	0.017468
342	0.8731	0.017462000000000002
343	0.8727	0.017454
344	0.8723	0.017446
345	0.872	0.01744
346	0.8716	0.017432
347	0.8713	0.017426
348	0.8709	0.017418
349	0.8706	0.017412
350	0.8703	0.017406
351	0.87	0.0174
352	0.8697	0.017394
353	0.8694	0.017388
354	0.8691	0.017382
355	0.8688	0.017376
356	0.8685	0.01737
357	0.8681	0.017362
358	0.8677	0.017354
359	0.8673	0.017346
360	0.8668	0.017336
361	0.8663	0.017326
