depth_top	depth_bot	duration	dur_unc
2007.085	2016.0339999999999	100	2.6000000000000085
2016.0339999999999	2024.8889999999997	100	2.6000000000000085
2024.8889999999997	2033.685	100	2.5
2033.685	2042.65	100	2.5
2042.65	2051.737	100	2.6000000000000085
2051.737	2060.517	100	2.5
2060.517	2069.407	100	2.500000000000199
2069.407	2078.614	100	2.5999999999999943
2078.614	2088.165	100	2.6000000000000085
2088.165	2098.029	100	2.499999999999986
2098.029	2107.761	100	2.5
2107.761	2117.247	100	2.6000000000000085
2117.247	2126.535	100	2.499999999999986
2126.535	2135.508	100	2.5
2135.508	2144.677	100	2.5999999999999943
2144.677	2154.116	100	2.5999999999999943
2154.116	2163.72	100	2.5
2163.72	2172.685	100	2.5000000000001847
2172.685	2181.292	100	2.5999999999999943
2181.292	2189.761	100	2.5
2189.761	2198.064	100	2.4999999999999716
2198.064	2206.778	100	2.6000000000000227
2206.778	2215.252	100	2.599999999999824
2215.252	2223.954	100	2.5
2223.954	2233.245	100	2.5
2233.245	2241.948	100	1.0
2241.948	2250.609	100	1.0
2250.609	2259.14	100	1.0
2259.14	2267.532	100	1.0
2267.532	2275.658	100	1.0
2275.658	2283.517	100	1.0
2283.517	2291.624	100	1.0
2291.624	2299.851	100	1.0
2299.851	2307.581	100	1.0
2307.581	2314.632	100	1.0
2314.632	2321.947	100	1.0
2321.947	2328.465	100	1.0
2328.465	2334.918	100	1.0
2334.918	2341.79	100	1.0
2341.79	2347.983	100	1.0
2347.983	2353.99	100	1.0
2353.99	2359.586	100	1.0
2359.586	2364.6160000000004	100	1.0
2364.6160000000004	2369.803	100	1.0
2369.803	2374.688	100	1.0
2374.688	2379.518	100	1.0
2379.518	2384.667	100	1.0
2384.667	2389.117	100	1.0
2389.117	2393.795	100	1.0
2393.795	2398.409	100	1.0
2398.409	2402.456	100	1.0
2402.456	2406.456	100	1.0
2406.456	2410.336	100	1.0
2410.336	2414.129	100	1.0
2414.129	2417.915	100	1.0
2417.915	2421.708	100	1.0
2421.708	2425.102	100	1.0
2425.102	2428.958	100	1.0
2428.958	2432.516	100	1.0
2432.516	2436.179	100	1.0
2436.179	2439.612	100	1.0
2439.612	2442.956	100	1.0
2442.956	2446.167	100	1.0
2446.167	2449.211	100	1.0
2449.211	2452.373	100	1.0
2452.373	2455.491	100	1.0
2455.491	2458.61	100	1.0
2458.61	2461.729	100	1.0
