#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
3.599999999999999867e-01	-5.600000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	2.306194579638953801e-01	3.191511292018171537e-03	1.000942680391387452e+00	1.348612981437819457e-02	nan	nan	nan	nan	2.144000000000000072e-01	2.000000000000000389e-01	9.999014777056945968e-01	1.367918089210460805e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.789706895263062814e-01	2.192693364127635929e-03	nan	nan
1.359999999999999876e+00	-5.391218957262503153e+01	9.557845959611996345e-03	nan	nan	nan	2.306194579638953523e-01	3.191511292018171103e-03	1.000791464921983787e+00	1.330294143285517053e-02	nan	nan	nan	nan	2.143999999999999795e-01	2.000000000000000389e-01	9.997869168983627430e-01	1.373134212548231085e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.637472245232581169e-01	2.105328692434002124e-03	nan	nan
2.359999999999999876e+00	-5.175584243539306328e+01	1.933568995663886500e-02	nan	nan	nan	2.306194579638953801e-01	3.191511292018171537e-03	1.000640259158983136e+00	1.312501265929683601e-02	nan	nan	nan	nan	2.144000000000000072e-01	2.000000000000000389e-01	9.996723560910307782e-01	1.378350335886001365e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.494862002565173653e-01	2.033369804147814024e-03	nan	nan
3.359999999999999432e+00	-4.953108003016391336e+01	2.936404312929001906e-02	nan	nan	nan	2.299574782443747079e-01	3.122926273781927945e-03	1.000489063101878573e+00	1.295255313580355450e-02	nan	nan	nan	nan	2.143999999999999240e-01	2.000000000000000389e-01	9.995577952836989244e-01	1.383566459223771646e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.348770087326717659e-01	1.783183425298500878e-03	nan	nan
4.359999999999999432e+00	-4.723157929795868171e+01	3.876240756994808051e-02	nan	nan	nan	2.299528190465734145e-01	3.059518472923268909e-03	1.000337876750162724e+00	1.278577697583534699e-02	nan	nan	nan	nan	2.150974999999998305e-01	2.000000000000000389e-01	9.994432344763670706e-01	1.388782582561541926e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.224243699141593256e-01	1.533055933042681493e-03	nan	nan
5.359999999999999432e+00	-4.486429163365274064e+01	4.730985559621909281e-02	nan	nan	nan	2.317463619391313678e-01	3.023131443265715014e-03	1.000186700103327997e+00	1.262490212351170295e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.993286736690351058e-01	1.393998705899312206e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.140555627564317387e-01	1.309563442418111828e-03	nan	nan
6.359999999999999432e+00	-4.244915683062571077e+01	5.486613000440720977e-02	nan	nan	nan	2.309573291014836993e-01	2.956955493770979659e-03	1.000035533160868351e+00	1.247014959709098411e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.992141128617032519e-01	1.399214829237082486e-02	6.546460000000000434e+01	1.000000000000000056e-01	4.019576968553731366e-01	1.089145834933417240e-03	nan	nan
7.359999999999999432e+00	-3.996133284361593496e+01	6.144474029528573800e-02	nan	nan	nan	2.301510091444156914e-01	2.895573616530586810e-03	9.998810516394095460e-01	1.232170164532693513e-02	nan	nan	nan	nan	2.175000000000000266e-01	2.000000000000000389e-01	9.990962303807834344e-01	1.404430952574852766e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.910124177602161688e-01	8.929991359896141071e-04	nan	nan
8.359999999999999432e+00	-3.740386930900963591e+01	6.696603612431552277e-02	nan	nan	nan	2.293151234883342715e-01	2.839674728875305962e-03	9.996934550861368285e-01	1.217942100848204423e-02	nan	nan	nan	nan	2.174865999999999744e-01	2.000000000000000389e-01	9.989452477139347808e-01	1.409647075912623046e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.815197294727886157e-01	7.310868051180090862e-04	nan	nan
9.359999999999999432e+00	-3.478277288135733158e+01	7.136390189773086923e-02	nan	nan	nan	2.282848907358233925e-01	2.788103046700864205e-03	9.995058708968750372e-01	1.204394451405938794e-02	nan	nan	nan	nan	2.172999999999998266e-01	2.000000000000000389e-01	9.987942650470861272e-01	1.414863199250393326e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.739050036108813035e-01	6.206156985638963241e-04	nan	nan
1.035999999999999943e+01	-3.210829677019864903e+01	7.459731771829077041e-02	nan	nan	nan	2.274429052908611137e-01	2.746332988728348960e-03	9.993182990709716940e-01	1.191549467607501238e-02	nan	nan	nan	nan	2.173000000000002707e-01	2.000000000000000389e-01	9.986432823802374736e-01	1.420079322588163606e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.683662291594114735e-01	5.826088795298492093e-04	nan	nan
1.135999999999999943e+01	-2.939360709226064827e+01	7.666850546461471960e-02	nan	nan	nan	2.265947935190921747e-01	2.712524828402920057e-03	9.991307396077742098e-01	1.179429140907622270e-02	nan	nan	nan	nan	2.172999999999998266e-01	2.000000000000000389e-01	9.984922997133888201e-01	1.425295445925933886e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.630588315551213641e-01	6.222583883946229862e-04	nan	nan
1.235999999999999943e+01	-2.663923255820341751e+01	7.764115490700991551e-02	nan	nan	nan	2.244257620368560191e-01	2.671397010858137574e-03	9.989431925066297735e-01	1.168055054181484434e-02	nan	nan	nan	nan	2.160365000000004088e-01	2.000000000000000111e-01	9.983413170465402775e-01	1.430511569263704166e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.558081369779180214e-01	7.195851419545443812e-04	nan	nan
1.335999999999999943e+01	-2.382872909840743603e+01	7.763096012812648050e-02	nan	nan	nan	2.212472326968210057e-01	2.627154524775798371e-03	9.987556577668854629e-01	1.157448223231606621e-02	nan	nan	nan	nan	2.137999999999999345e-01	2.000000000000000111e-01	9.981903343796916239e-01	1.435727692601474620e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.471556413536840968e-01	8.503278154401696038e-04	nan	nan
1.435999999999999766e+01	-2.094817674413590680e+01	7.681970118779467283e-02	nan	nan	nan	2.203821658901431169e-01	2.619541039937445248e-03	9.985681353878892441e-01	1.147628930160065480e-02	nan	nan	nan	nan	2.137999999999999901e-01	2.000000000000000111e-01	9.980393517128429703e-01	1.440943815939244900e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.423032281644983188e-01	1.009596053218139288e-03	nan	nan
1.535999999999999766e+01	-1.802679033080229942e+01	7.553584106353991579e-02	nan	nan	nan	2.194998821479448581e-01	2.621012813622018971e-03	9.983806253689881949e-01	1.138616550782441984e-02	nan	nan	nan	nan	2.137883999999999340e-01	2.000000000000000111e-01	9.978883690459943168e-01	1.446159939277015180e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.375513765904278873e-01	1.179228879072640682e-03	nan	nan
1.635999999999999943e+01	-1.506427834195811499e+01	7.428789341387179168e-02	nan	nan	nan	2.184313674489115897e-01	2.629579581497517183e-03	9.981931277095300592e-01	1.130429378697504761e-02	nan	nan	nan	nan	2.136000000000000121e-01	2.000000000000000111e-01	9.977373863791456632e-01	1.451376062614785460e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.326385051600617704e-01	1.352869578298118410e-03	nan	nan
1.735999999999999943e+01	-1.205801182594304066e+01	7.380284293940563012e-02	nan	nan	nan	2.175509547159610313e-01	2.649662276603825459e-03	9.980056424088620259e-01	1.123084449027335341e-02	nan	nan	nan	nan	2.136000000000000121e-01	2.000000000000000111e-01	9.975864037122970096e-01	1.456592185952555740e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.281326118479409581e-01	1.529743982754820956e-03	nan	nan
1.835999999999999943e+01	-9.010463475389556720e+00	7.501741090426830572e-02	nan	nan	nan	2.166657654673763977e-01	2.678774871514353392e-03	9.978181694663320611e-01	1.116597365180469446e-02	nan	nan	nan	nan	2.136000000000000121e-01	2.000000000000000111e-01	9.974354210454483560e-01	1.461808309290326020e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.237362909058605909e-01	1.707058661085193111e-03	nan	nan
1.935999999999999943e+01	-5.921529586631343989e+00	7.894159992621613275e-02	nan	nan	nan	2.181369919636905741e-01	2.746085027103481024e-03	9.976202315410118704e-01	1.110970464457216277e-02	nan	nan	nan	nan	2.159323999999998023e-01	2.000000000000000111e-01	9.972739646749342324e-01	1.467024432628096300e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.229319162750204919e-01	1.903266816105542766e-03	nan	nan
2.035999999999999943e+01	-2.824901630079772019e+00	8.631062016104429357e-02	nan	nan	nan	2.180335046491815310e-01	2.749010102085308604e-03	9.974043137012588156e-01	1.106207805165103711e-02	nan	nan	nan	nan	2.164000000000001478e-01	2.000000000000000111e-01	9.970945208568207097e-01	1.472240555965866581e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.198556567572081177e-01	1.925278025266352914e-03	nan	nan
2.135999999999999943e+01	3.015086080204341101e-01	9.659896294865717714e-02	nan	nan	nan	2.179965242281321769e-01	2.670926212277840387e-03	9.971884102962751406e-01	1.102339801166675286e-02	nan	nan	nan	nan	2.164000000000000368e-01	2.000000000000000111e-01	9.969150770387072980e-01	1.477456679303636861e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.169557695915956597e-01	1.679717698990028894e-03	nan	nan
2.235999999999999588e+01	3.456522953676667953e+00	1.073904233554311416e-01	nan	nan	nan	2.191593102395126835e-01	2.616437928428117475e-03	9.969725213252940144e-01	1.099374707719595959e-02	nan	nan	nan	nan	2.175913999999998794e-01	2.000000000000000111e-01	9.967356332205937752e-01	1.482672802641407141e-02	6.546460000000000434e+01	1.000000000000000056e-01	3.158655287696119363e-01	1.448374474972924375e-03	nan	nan
