#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.615673017181305227e+01	3.263904943812826254e+00	nan	nan	nan	2.991527737028611134e-02	1.104780492950539414e-03	9.997932224031369497e-01	2.193950588802375846e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000389e-01	9.997854999999999936e-01	2.274595929473371882e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.751780571361932548e-02	2.857918038738086614e-03	nan	nan
1.000000000000000000e+00	-3.325646821529707609e+01	3.293416109509282652e+00	nan	nan	nan	2.958818930049844295e-02	6.832807147324192762e-04	9.996709333141776677e-01	2.207994817465509362e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000666e-01	9.996665000000000134e-01	2.435686867293633019e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.503816981845733147e-02	1.725005064199413522e-03	nan	nan
2.000000000000000000e+00	-1.992991717574830446e+01	3.343182040731680349e+00	nan	nan	nan	2.925773051783234213e-02	4.847839480784648801e-04	9.995486450188781902e-01	2.239032374221955682e-03	nan	nan	nan	nan	2.677527899999999905e-02	2.000000000000000944e-01	9.995475000000000332e-01	2.596777805113893722e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.264194358412094654e-02	1.192580286703653816e-03	nan	nan
3.000000000000000000e+00	-6.163765684468636152e+00	3.369839928086481695e+00	nan	nan	nan	2.887315939918260604e-02	6.392270771235993064e-04	9.994258575183063709e-01	2.286357929519394760e-03	nan	nan	nan	nan	2.677527900000002681e-02	2.000000000000001221e-01	9.994279999999999831e-01	2.757868742934154425e-03	1.041500000000000057e+02	1.499999999999999944e-01	7.020246579985554847e-02	1.545947113040178986e-03	nan	nan
4.000000000000000000e+00	8.080748216951299412e+00	3.375167639289740507e+00	nan	nan	nan	2.812118462047687867e-02	3.910357251467756604e-04	9.993010708255417596e-01	2.348971597832543931e-03	nan	nan	nan	nan	2.677512720689079195e-02	2.000000000000001776e-01	9.993065000000000975e-01	2.918959680754415129e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.697787434614548008e-02	9.181165056512219196e-04	nan	nan
5.000000000000000000e+00	2.301105183978565094e+01	3.361926517288096328e+00	nan	nan	nan	2.713821269959427324e-02	4.287154583080850364e-04	9.991732849690377893e-01	2.425674874160589026e-03	nan	nan	nan	nan	2.654759231145342735e-02	2.000000000000002331e-01	9.991820000000000146e-01	3.080050618574676265e-03	1.041500000000000057e+02	1.499999999999999944e-01	6.333553869982463946e-02	9.888783118729498837e-04	nan	nan
6.000000000000000000e+00	3.879997572878019696e+01	3.314920973480004474e+00	nan	nan	nan	2.603473743073509220e-02	6.838938513056538795e-04	9.990424999783932281e-01	2.515166124838454781e-03	nan	nan	nan	nan	2.618884883834321498e-02	2.000000000000002887e-01	9.990544999999999565e-01	3.241141556394936969e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.955488495967965062e-02	1.557377203872597170e-03	nan	nan
7.000000000000000000e+00	5.559120957428302745e+01	3.259047663294996067e+00	nan	nan	nan	2.584159169379839777e-02	4.602205708021213978e-04	9.989082158908577647e-01	2.616119088150212907e-03	nan	nan	nan	nan	2.607126267520479268e-02	2.000000000000002609e-01	9.989235000000000753e-01	3.402232494215198105e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.795772041890830117e-02	1.021170585289130376e-03	nan	nan
8.000000000000000000e+00	7.284516629949882827e+01	3.244620586929739314e+00	nan	nan	nan	2.581097859212946530e-02	3.124793568266311236e-04	9.987519330848737553e-01	2.727197488897647407e-03	nan	nan	nan	nan	2.608738613997421685e-02	2.000000000000002054e-01	9.987705000000000055e-01	3.563323432035458808e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.677363984006142394e-02	6.697880273605122305e-04	nan	nan
9.000000000000000000e+00	9.045897444738449167e+01	3.236471048553756447e+00	nan	nan	nan	2.616590927431993244e-02	4.103868804087010724e-04	9.985661519416153542e-01	2.847168785999866069e-03	nan	nan	nan	nan	2.649439814204726518e-02	2.000000000000001776e-01	9.985880000000000312e-01	3.724414369855719512e-03	1.041500000000000057e+02	1.499999999999999944e-01	5.646091550934692616e-02	8.707465340705705789e-04	nan	nan
