#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.510000000000000009e+00	-3.728517347315031571e+01	9.717512109210182381e-01	nan	nan	nan	2.090614406106922063e-01	3.162771867946000647e-03	9.837142129284545122e-01	9.518543555147234575e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.719296400774733946e-02	9.995727743217105443e-01	9.962793155681158239e-03	6.961061743923654888e+01	2.000000000000000111e-01	5.154661153381534522e-01	7.891010292261798481e-03	nan	nan
2.509999999999999787e+00	-3.534518174480172092e+01	9.629656108910423784e-01	nan	nan	nan	2.090538920695494685e-01	3.126492184247388860e-03	9.841610694510486423e-01	9.385452927756755825e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.719134697692970393e-02	9.999797202797202633e-01	9.960403741606161515e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.974078044783021846e-01	7.476187268688993387e-03	nan	nan
3.509999999999999787e+00	-3.333475892675038210e+01	9.547247303399244434e-01	nan	nan	nan	2.090460356246371387e-01	3.090410789184888044e-03	9.842277780407255872e-01	9.251535157352918856e-03	nan	nan	nan	nan	2.480396294020646430e-01	3.718966392567700507e-02	1.000000385732401353e+00	9.958014327531164792e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.759099763486782098e-01	7.021053884815380876e-03	nan	nan
4.509999999999998899e+00	-3.123352119336161081e+01	9.470184156682669441e-01	nan	nan	nan	2.090377970686701503e-01	3.054478114412429411e-03	9.819381120606887059e-01	9.098761757157512384e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718789894852864847e-02	9.976270234852765428e-01	9.955624913456168068e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.523803995353583018e-01	6.548690935399934833e-03	nan	nan
5.509999999999998899e+00	-2.902299217612942073e+01	9.398743236930736655e-01	nan	nan	nan	2.090291550647292163e-01	3.018954508155763470e-03	9.815564204769078316e-01	8.967144877059378058e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718604746443228415e-02	9.971922503725781928e-01	9.953235499381171345e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.324248907231073025e-01	6.140894535072731822e-03	nan	nan
6.509999999999998899e+00	-2.671045184495703140e+01	9.334151147933984483e-01	nan	nan	nan	2.090201461699638663e-01	2.984370551277151177e-03	9.817709826980890453e-01	8.844253174612983631e-03	nan	nan	nan	nan	2.480396294020645875e-01	3.718411729525456649e-02	9.973632393807065899e-01	9.950846085306174621e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.161933841777240017e-01	5.797792524950681411e-03	nan	nan
7.509999999999998010e+00	-2.430772263777440045e+01	9.277557940657811253e-01	nan	nan	nan	2.093269687396830114e-01	2.955767820582110277e-03	9.833798790148925439e-01	8.737091995643011394e-03	nan	nan	nan	nan	2.484148090476128168e-01	3.718211976114684653e-02	9.989506219120267705e-01	9.948456671231176163e-03	6.961061743923654888e+01	2.000000000000000111e-01	4.036991175332452220e-01	5.517520647186116046e-03	nan	nan
8.509999999999998010e+00	-2.183063027723029137e+01	9.229921766618043311e-01	nan	nan	nan	2.071369282997827521e-01	2.894005144627152977e-03	9.818654212713108231e-01	8.605709066070294649e-03	nan	nan	nan	nan	2.458271855301297215e-01	3.718004920370644728e-02	9.973651931877153265e-01	9.946067257156179439e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.874300569914211900e-01	5.196742000740194219e-03	nan	nan
9.509999999999998010e+00	-1.924951923033455969e+01	9.191293038911829694e-01	nan	nan	nan	2.018668131976642521e-01	2.792173542814500604e-03	9.814399512249011304e-01	8.487789806026263886e-03	nan	nan	nan	nan	2.395842928340536915e-01	3.717787979810060345e-02	9.968860380257346110e-01	9.943677843081182716e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.678402136212120532e-01	4.844132033201215340e-03	nan	nan
1.050999999999999801e+01	-1.653094751639530458e+01	9.162145104149761465e-01	nan	nan	nan	2.046968730281566173e-01	2.805557294978056060e-03	9.835795373647489015e-01	8.395699663714912414e-03	nan	nan	nan	nan	2.429552438600923736e-01	3.717564691666673526e-02	9.990122285728469942e-01	9.941288429006185992e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.654719087639969333e-01	4.729169621488362590e-03	nan	nan
1.150999999999999801e+01	-1.379475910896903557e+01	9.144131380235992479e-01	nan	nan	nan	2.051254033101228835e-01	2.789173589480067449e-03	9.807700519141490103e-01	8.265427908975934990e-03	nan	nan	nan	nan	2.434761748260969583e-01	3.717338311815795299e-02	9.961117292135047707e-01	9.938899014931189269e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.578948262975606975e-01	4.555956050540423304e-03	nan	nan
1.250999999999999801e+01	-1.100064216029713648e+01	9.136817075293952595e-01	nan	nan	nan	2.028536320513399382e-01	2.739886688927975836e-03	9.839176718898929863e-01	8.189479665990512247e-03	nan	nan	nan	nan	2.407921275259905236e-01	3.717106565285145658e-02	9.992615052290507727e-01	9.936509600856192545e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.487582550546226567e-01	4.373441315217500153e-03	nan	nan
1.350999999999999623e+01	-8.133326518282075313e+00	9.140321903035560913e-01	nan	nan	nan	2.038541706655676300e-01	2.738975210958100644e-03	9.833502133130559431e-01	8.086653011181296410e-03	nan	nan	nan	nan	2.419925504116062775e-01	3.716870427150647388e-02	9.986381461675579718e-01	9.934120186781194087e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.446575451549330205e-01	4.264525439539258202e-03	nan	nan
1.450999999999999623e+01	-5.231895767504596506e+00	9.154614106991708633e-01	nan	nan	nan	2.100775479191299699e-01	2.812391782358623221e-03	9.805863933862191129e-01	7.970555140868838123e-03	nan	nan	nan	nan	2.493933819379172689e-01	3.716634394433815380e-02	9.957844410066631902e-01	9.931730772706197363e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.490678648459718536e-01	4.270003801838384398e-03	nan	nan
1.550999999999999623e+01	-2.367123324354452052e+00	9.178768428884402919e-01	nan	nan	nan	2.067051709585910335e-01	2.761815557692053058e-03	9.811240990012169982e-01	7.886124569277853588e-03	nan	nan	nan	nan	2.454029074113646125e-01	3.716396421418675933e-02	9.962835402482980163e-01	9.929341358631200640e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.391134392816735899e-01	4.109660821261127035e-03	nan	nan
1.650999999999999801e+01	5.817424065887095708e-01	9.213544855874783446e-01	nan	nan	nan	2.089388868588874792e-01	2.790988295125937466e-03	9.805038555694551849e-01	7.797168120390991601e-03	nan	nan	nan	nan	2.480681882936726090e-01	3.716154756169178647e-02	9.956068050219213372e-01	9.926951944556203916e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.384082352505669022e-01	4.072201808542906358e-03	nan	nan
1.750999999999999801e+01	3.536753236214565277e+00	9.258048273905770120e-01	nan	nan	nan	2.121660269628640183e-01	2.838418848773885048e-03	9.823124766518049888e-01	7.732363712910993170e-03	nan	nan	nan	nan	2.519132636719838558e-01	3.715913537291246072e-02	9.973962920863183035e-01	9.924562530481207193e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.403674963281292931e-01	4.076761247583069424e-03	nan	nan
1.850999999999999801e+01	6.474754105239838964e+00	9.311500019968829145e-01	nan	nan	nan	2.149304720396351676e-01	2.884790231717318000e-03	9.798731518902318305e-01	7.639251598476622974e-03	nan	nan	nan	nan	2.552093088568385681e-01	3.715672979572075957e-02	9.948726367173682528e-01	9.922173116406210469e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.402636053464057064e-01	4.066639098774383135e-03	nan	nan
1.950999999999999801e+01	9.413652019349548539e+00	9.373853007018406736e-01	nan	nan	nan	2.182124207031959640e-01	2.910886064499003910e-03	9.814178389157208748e-01	7.582503540742809890e-03	nan	nan	nan	nan	2.590455038447370129e-01	3.713937683581003402e-02	9.963940237154150781e-01	9.919783702331212011e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.424358327140692437e-01	4.038308307267111930e-03	nan	nan
2.050999999999999801e+01	1.233390715758734757e+01	9.443235007170300843e-01	nan	nan	nan	2.160981053151101172e-01	2.817901734303703606e-03	9.785111032616764515e-01	7.496823305080517821e-03	nan	nan	nan	nan	2.563582555619801084e-01	3.709828823333312375e-02	9.933961278220674318e-01	9.917394288256215287e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.346982814902931258e-01	3.814829934977929764e-03	nan	nan
2.150999999999999801e+01	1.532167272228446109e+01	9.519101070451360114e-01	nan	nan	nan	2.138019079414135992e-01	2.726125244079375884e-03	9.797814057439342417e-01	7.448759280611883665e-03	nan	nan	nan	nan	2.534551019494237778e-01	3.705629038423377541e-02	9.946388912824931650e-01	9.915004874181218564e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.282463070463462751e-01	3.614980898727056594e-03	nan	nan
2.250999999999999801e+01	1.836816548864118204e+01	9.600175501100445263e-01	nan	nan	nan	2.118942162216898017e-01	2.643344056462809850e-03	9.799161611229700863e-01	7.397617580182819751e-03	nan	nan	nan	nan	2.510125899147670481e-01	3.701344789597061508e-02	9.947288231148695425e-01	9.912615460106221840e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.221190778671182975e-01	3.427975306968547142e-03	nan	nan
2.350999999999999801e+01	2.147260750623730985e+01	9.685354415955468310e-01	nan	nan	nan	2.154809578119185054e-01	2.632774057205749738e-03	9.813595928477353292e-01	7.362038053320540260e-03	nan	nan	nan	nan	2.550764483417271578e-01	3.697034825939218838e-02	9.961471403080390807e-01	9.910226046031225117e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.248144761345714837e-01	3.342920132906353117e-03	nan	nan
2.450999999999999801e+01	2.455128802534600396e+01	9.771199206947770444e-01	nan	nan	nan	2.151838256930706517e-01	2.578539460139400025e-03	9.795295605426025398e-01	7.307785260093875926e-03	nan	nan	nan	nan	2.545394829435227990e-01	3.692711277920739110e-02	9.942426882069804739e-01	9.907836631956228393e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.206043532066342738e-01	3.195149917318549238e-03	nan	nan
2.550999999999999446e+01	2.767039726387677234e+01	9.858501706412385879e-01	nan	nan	nan	2.125020568287630807e-01	2.500673266003210909e-03	9.790718787750006813e-01	7.269826343228404097e-03	nan	nan	nan	nan	2.511809991196578551e-01	3.688306212110505078e-02	9.937313117916565242e-01	9.905447217881229935e-03	6.961061743923654888e+01	2.000000000000000111e-01	3.134215385909858709e-01	3.028863541056553421e-03	nan	nan
2.650999999999999446e+01	3.086098845456388773e+01	9.947218102588994970e-01	nan	nan	nan	2.035714490188791637e-01	2.355615958779821301e-03	9.769140487675188611e-01	7.225368515721852618e-03	nan	nan	nan	nan	2.404393649986884540e-01	3.683722504796752700e-02	9.914944584587214171e-01	9.903057803806233211e-03	6.961061743923654888e+01	2.000000000000000111e-01	2.967645699236943213e-01	2.785188967842467701e-03	nan	nan
2.750999999999999446e+01	3.423066294184221903e+01	1.003943395234808689e+00	nan	nan	nan	2.003766682423032131e-01	2.284008835832514444e-03	9.777206742735594647e-01	7.208984744734219484e-03	nan	nan	nan	nan	2.364761018412053772e-01	3.678951906205778916e-02	9.922663718545765565e-01	9.900668389731236488e-03	6.961061743923654888e+01	2.000000000000000111e-01	2.896517994443792987e-01	2.646425421946642983e-03	nan	nan
