#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
5.424999999999999822e+00	-3.000000000000000000e+01	0.000000000000000000e+00	nan	nan	nan	1.276835778124986165e-01	1.178515900531943057e-03	8.579130807439281359e-01	7.823584715202950429e-03	nan	nan	nan	nan	2.148288909429507954e-01	3.307616434066894262e-02	9.974962742175856878e-01	9.956862253125815798e-03	6.440000000000000568e+01	6.881064009834725326e-01	2.385284939799982851e-01	1.192647449838179097e-03	nan	nan
6.424999999999999822e+00	-2.580762875196011308e+01	2.096194376747689131e-02	nan	nan	nan	1.279229032083675499e-01	1.162203158968169031e-03	8.627761242487468341e-01	7.772352414017320160e-03	nan	nan	nan	nan	2.148288909429507954e-01	3.316447834163110259e-02	9.979098848749503592e-01	9.954438755627357041e-03	6.440000000000000568e+01	6.881571208055228261e-01	2.312644765664915170e-01	1.069957787164423774e-03	nan	nan
7.424999999999999822e+00	-2.148357511931114416e+01	4.095173320608708895e-02	nan	nan	nan	1.281717054182952842e-01	1.147572476372465695e-03	8.683244648308018343e-01	7.728636340094395020e-03	nan	nan	nan	nan	2.148288909429507398e-01	3.325611440912366185e-02	9.990804420987899892e-01	9.952015258128898284e-03	6.440000000000000568e+01	6.882098070338000806e-01	2.247272258071641715e-01	9.571741036424892112e-04	nan	nan
8.425000000000000711e+00	-1.703373600254080245e+01	5.984576398580660622e-02	nan	nan	nan	1.284303290601806757e-01	1.134993742738940603e-03	8.712455603173691054e-01	7.663218879881053720e-03	nan	nan	nan	nan	2.148288909429508786e-01	3.335117943782582584e-02	9.972044589643188628e-01	9.949591760630439527e-03	6.440000000000000568e+01	6.882644166329535684e-01	2.180132542432794140e-01	8.513100145992014926e-04	nan	nan
9.425000000000000711e+00	-1.244685891806727085e+01	7.760696075862554000e-02	nan	nan	nan	1.286990483485020986e-01	1.124877373324370154e-03	8.754102911784047425e-01	7.610700125334983468e-03	nan	nan	nan	nan	2.148288909429506566e-01	3.344975285436839474e-02	9.967368053494422009e-01	9.947168263131980770e-03	6.440000000000000568e+01	6.883211178003294517e-01	2.120750537626363286e-01	7.577624615895355150e-04	nan	nan
1.042500000000000071e+01	-7.731547134535937005e+00	9.413607398679699201e-02	nan	nan	nan	1.318321061629136037e-01	1.142506860199156860e-03	8.818650359533553029e-01	7.579829263991304245e-03	nan	nan	nan	nan	2.195890234774051653e-01	3.355051696713060722e-02	9.988405963401693066e-01	9.944744765633522013e-03	6.440000000000000568e+01	6.883798353384920077e-01	2.116668260784667077e-01	6.944129712408839876e-04	nan	nan
1.142500000000000071e+01	-3.007141243792851526e+00	1.090396863928332488e-01	nan	nan	nan	1.340703378778188848e-01	1.155437610217693693e-03	8.844170894607148448e-01	7.517452378815164989e-03	nan	nan	nan	nan	2.228351650628948022e-01	3.365242130181342328e-02	9.964979295171114693e-01	9.942321268135064991e-03	6.440000000000000568e+01	6.884391015718943629e-01	2.104463569922983834e-01	6.409092845326497733e-04	nan	nan
1.242500000000000071e+01	1.744663512022412988e+00	1.224781974900350651e-01	nan	nan	nan	1.366738595931344669e-01	1.174995467414051550e-03	8.914881900659474834e-01	7.495620214265122719e-03	nan	nan	nan	nan	2.266700178167777580e-01	3.375475881957160779e-02	9.992176180817153863e-01	9.939897770636606233e-03	6.440000000000000568e+01	6.884991541854019736e-01	2.130012923706589012e-01	6.144518201963200576e-04	nan	nan
1.342500000000000071e+01	6.439470707181719433e+00	1.343717870896197486e-01	nan	nan	nan	1.363952351844402444e-01	1.173512834186040592e-03	8.957046007432858392e-01	7.451915125305460380e-03	nan	nan	nan	nan	2.257143873218341312e-01	3.385776672493032158e-02	9.986987522281640661e-01	9.937474273138147476e-03	6.440000000000000568e+01	6.885589276288774929e-01	2.108346851068468586e-01	5.929379091316792048e-04	nan	nan
1.442500000000000071e+01	1.118252330070171041e+01	1.451695193993965127e-01	nan	nan	nan	1.350142193060132334e-01	1.166456977785389941e-03	8.977936511074111614e-01	7.393230254447554807e-03	nan	nan	nan	nan	2.229302753856132746e-01	3.396315540290175544e-02	9.957984499651165722e-01	9.935050775639688719e-03	6.440000000000000568e+01	6.886197651930521246e-01	2.065641775982529349e-01	5.862691332890667892e-04	nan	nan
1.542500000000000071e+01	1.602363375667293610e+01	1.551579839260368299e-01	nan	nan	nan	1.399396911287185130e-01	1.218085816356752425e-03	9.030912708408131984e-01	7.363740093117993046e-03	nan	nan	nan	nan	2.305457138618445256e-01	3.406885910218105523e-02	9.964414251834712299e-01	9.932627278141229962e-03	6.440000000000000568e+01	6.886823262612522534e-01	2.127210046091034534e-01	6.300854270780746830e-04	nan	nan
1.642500000000000071e+01	2.072462697470329829e+01	1.641177824842910415e-01	nan	nan	nan	1.432805620429136451e-01	1.260296463320806359e-03	9.069379491399286453e-01	7.325194161985699309e-03	nan	nan	nan	nan	2.355291461341511017e-01	3.417297289367109830e-02	9.954579469162120331e-01	9.930203780642771205e-03	6.440000000000000568e+01	6.887435326809747682e-01	2.161006493913900373e-01	6.847685103515752233e-04	nan	nan
1.742500000000000071e+01	2.535210034332262552e+01	1.725113430114703361e-01	nan	nan	nan	1.452671290353552136e-01	1.281656328960167641e-03	9.135403815291046614e-01	7.311743888739006755e-03	nan	nan	nan	nan	2.373624286767723746e-01	3.424576521710494953e-02	9.974664719307058114e-01	9.927780283144314183e-03	6.440000000000000568e+01	6.888042321407881197e-01	2.180976804315454820e-01	7.118500382832063404e-04	nan	nan
1.842500000000000071e+01	2.993720183555912939e+01	1.806342650815469797e-01	nan	nan	nan	1.474499614580615514e-01	1.276140366771521401e-03	9.162445820970878119e-01	7.270167990416327199e-03	nan	nan	nan	nan	2.373335464778327797e-01	3.424626264279254789e-02	9.951927201980899085e-01	9.925356785645855426e-03	6.440000000000000568e+01	6.888650564794238651e-01	2.194749671567127192e-01	6.513469037682667346e-04	nan	nan
1.942500000000000071e+01	3.449353011734429231e+01	1.882922471626580774e-01	nan	nan	nan	1.481386609755747652e-01	1.259284606108701694e-03	9.221020051625768987e-01	7.256899890228341379e-03	nan	nan	nan	nan	2.348214931703322961e-01	3.424676881908446380e-02	9.963225296442688173e-01	9.922933288147396669e-03	6.440000000000000568e+01	6.889267370515721467e-01	2.194090627863990450e-01	5.891644498325465228e-04	nan	nan
2.042500000000000071e+01	3.905122699321823632e+01	1.952936407913003214e-01	nan	nan	nan	1.507645975612723621e-01	1.260789582196781894e-03	9.240650791571982658e-01	7.216460253105595572e-03	nan	nan	nan	nan	2.352953541572340157e-01	3.424728340616522287e-02	9.932275483108705671e-01	9.920509790648937912e-03	6.440000000000000568e+01	6.889897164699075871e-01	2.213043162380618212e-01	5.365073082879192592e-04	nan	nan
2.142500000000000071e+01	4.356989168534416024e+01	2.014068165086091711e-01	nan	nan	nan	1.552731728844584103e-01	1.280028430985854105e-03	9.301952567408442452e-01	7.212177787409275974e-03	nan	nan	nan	nan	2.385769884513981864e-01	3.424780000451368295e-02	9.945933077094682995e-01	9.918086293150479155e-03	6.440000000000000568e+01	6.890534684327420667e-01	2.269546546691778854e-01	4.990157480833832225e-04	nan	nan
2.242500000000000071e+01	4.797605820110766217e+01	2.064497893571708431e-01	nan	nan	nan	1.587742741777214972e-01	1.293283803457057719e-03	9.351389985459551690e-01	7.202291195887972064e-03	nan	nan	nan	nan	2.401773115522938262e-01	3.424831648301805004e-02	9.946557434813247944e-01	9.915662795652020398e-03	6.440000000000000568e+01	6.891169431816892565e-01	2.308355550746116480e-01	4.667605089632503802e-04	nan	nan
2.342500000000000071e+01	5.230814646921166400e+01	2.104417436327152002e-01	nan	nan	nan	1.551026507498421692e-01	1.251168983544389580e-03	9.414986134686099684e-01	7.207056750895478488e-03	nan	nan	nan	nan	2.308923000333953368e-01	3.424884677421331791e-02	9.961885007747933729e-01	9.913239298153563375e-03	6.440000000000000568e+01	6.891806656295828004e-01	2.246766623316604761e-01	4.279572435866995533e-04	nan	nan
2.442500000000000071e+01	5.675898702212958824e+01	2.134955044291901305e-01	nan	nan	nan	1.552636086315785369e-01	1.243584816375955387e-03	9.448090650316057770e-01	7.192452987338304217e-03	nan	nan	nan	nan	2.273163072949033747e-01	3.424939745708720229e-02	9.944686680620518082e-01	9.910815800655104618e-03	6.440000000000000568e+01	6.892475421378455591e-01	2.234075833379378928e-01	4.165081556111384538e-04	nan	nan
2.542500000000000071e+01	6.123511081819316360e+01	2.154749469778351745e-01	nan	nan	nan	1.558752157714707876e-01	1.243467823417454717e-03	9.486824696143478786e-01	7.186349376307877949e-03	nan	nan	nan	nan	2.243463222807378088e-01	3.424996259134879817e-02	9.933290631782010216e-01	9.908392303156645861e-03	6.440000000000000568e+01	6.893162866037642056e-01	2.229653978459812946e-01	4.269310924374389109e-04	nan	nan
2.642500000000000071e+01	6.572011167330690284e+01	2.163659878171348139e-01	nan	nan	nan	1.574329288456562115e-01	1.255141133213994939e-03	9.520491222092665184e-01	7.180737495570957071e-03	nan	nan	nan	nan	2.226671923608485315e-01	3.425054008089824242e-02	9.916463954500436273e-01	9.905968805658187104e-03	6.440000000000000568e+01	6.893867221681985180e-01	2.237885537325478014e-01	4.600026145996997918e-04	nan	nan
2.742500000000000071e+01	7.018861546101675231e+01	2.162030737853415929e-01	nan	nan	nan	1.588347121356588343e-01	1.270188928522867754e-03	9.575693952747800219e-01	7.195767756952115186e-03	nan	nan	nan	nan	2.206903692076558343e-01	3.425112834659587574e-02	9.921856729151173893e-01	9.903545308159728347e-03	6.440000000000000568e+01	6.894585094673940651e-01	2.249199778593576338e-01	5.115813834262293450e-04	nan	nan
2.842500000000000071e+01	7.463464115209742999e+01	2.150722015580528723e-01	nan	nan	nan	1.626027515562946946e-01	1.309157785640983288e-03	9.636432944482734575e-01	7.219407520742329200e-03	nan	nan	nan	nan	2.219027254494321255e-01	3.425172274563755004e-02	9.932628945409214261e-01	9.901121810661269590e-03	6.440000000000000568e+01	6.895315989580428351e-01	2.295461404293310248e-01	5.861834456837502084e-04	nan	nan
2.942500000000000071e+01	7.899106377863191142e+01	2.131366412024570667e-01	nan	nan	nan	1.638579719590310957e-01	1.333154259800784424e-03	9.678507645648365409e-01	7.233665752013353732e-03	nan	nan	nan	nan	2.195870433704651958e-01	3.425232418274332807e-02	9.923880346113272966e-01	9.898698313162812568e-03	6.440000000000000568e+01	6.896048967637998794e-01	2.301957773011150954e-01	6.625406638033660978e-04	nan	nan
3.042500000000000071e+01	8.333519211897031198e+01	2.105483918580804137e-01	nan	nan	nan	1.679031235790517385e-01	1.385417964383114930e-03	9.739553837200191078e-01	7.266820757863883852e-03	nan	nan	nan	nan	2.209088361865454431e-01	3.425293241557481050e-02	9.934302910528206576e-01	9.896274815664353811e-03	6.440000000000000568e+01	6.896797195734869490e-01	2.352313005465998530e-01	7.613175819309531481e-04	nan	nan
3.142500000000000071e+01	8.758632705584449241e+01	2.075882025763557126e-01	nan	nan	nan	1.747634941116578133e-01	1.467015697092935575e-03	9.776041426730248673e-01	7.286472589358394120e-03	nan	nan	nan	nan	2.257654906485448143e-01	3.425353780323254355e-02	9.919426927450910592e-01	9.893851318165895053e-03	6.440000000000000568e+01	6.897546910157148492e-01	2.435933795594180939e-01	8.804718324438550250e-04	nan	nan
3.242499999999999716e+01	9.169152893698212381e+01	2.045843397704316113e-01	nan	nan	nan	1.808157006799482047e-01	1.548235612376720098e-03	9.815041851504895387e-01	7.312919313748038157e-03	nan	nan	nan	nan	2.293846194662556570e-01	3.425413795098786879e-02	9.906971616312152396e-01	9.891427820667436296e-03	6.440000000000000568e+01	6.898288131222301001e-01	2.508484178659959318e-01	1.004511225158734788e-03	nan	nan
